,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1995-11-17,32.5,34.875,32.375,34.5,6.601,8914800
1,1995-11-20,34.375,35.25,32.75,33.25,6.3618,2108600
2,1995-11-21,33.0,33.125,31.75,32.625,6.2423,1610000
3,1995-11-22,32.5,34.125,32.5,33.625,6.4336,870200
4,1995-11-24,33.875,34.875,33.75,34.875,6.6728,319800
5,1995-11-27,34.875,35.625,34.5,35.0,6.6967,600800
6,1995-11-28,35.0,35.125,34.0,34.5,6.601,263700
7,1995-11-29,34.375,35.875,34.25,35.0,6.6967,332800
8,1995-11-30,35.375,36.75,35.25,36.375,6.9598,606500
9,1995-12-01,36.375,36.5,35.75,36.0,6.888,244600
10,1995-12-04,36.125,36.375,35.375,35.625,6.8163,148500
11,1995-12-05,35.625,35.625,34.5,35.125,6.7206,287200
12,1995-12-06,35.0,36.0,35.0,35.25,6.7445,304000
13,1995-12-07,35.5,35.625,34.75,35.0,6.6967,160300
14,1995-12-08,34.875,35.875,34.5,35.875,6.8641,167200
15,1995-12-11,36.0,36.375,35.875,36.375,6.9598,165000
16,1995-12-12,36.125,36.25,34.875,35.0,6.6967,242900
17,1995-12-13,35.25,35.25,34.125,34.75,6.6488,132100
18,1995-12-14,34.875,34.875,33.75,33.75,6.4575,159800
19,1995-12-15,34.0,34.25,33.375,33.5,6.4097,341600
20,1995-12-18,33.5,33.625,33.0,33.125,6.338,185400
21,1995-12-19,33.0,34.125,32.875,33.75,6.4575,160900
22,1995-12-20,33.875,34.75,33.875,34.5,6.601,90100
23,1995-12-21,34.375,35.125,34.25,34.75,6.6488,75400
24,1995-12-22,34.875,35.0,34.5,35.0,6.6967,52100
25,1995-12-26,34.875,34.875,34.0,34.125,6.5293,60000
26,1995-12-27,34.5,35.375,34.5,35.375,6.7685,87900
27,1995-12-28,35.5,35.625,35.125,35.25,6.7445,86100
28,1995-12-29,35.125,35.375,34.625,34.875,6.6728,54800
