Date,Open,High,Low,Close,Adjusted_close,Volume
1997-12-31,6.75,7.063,6.72,6.86,6.86,15787200
1998-01-02,6.845,7.345,6.845,7.345,7.345,9310000
1998-01-05,7.407,7.407,7.11,7.25,7.25,9333200
1998-01-06,7.157,7.202,6.89,7.032,7.032,9456000
1998-01-07,6.89,7,6.765,6.907,6.907,9487600
1998-01-08,6.75,6.875,6.577,6.845,6.845,8302000
1998-01-09,6.72,6.735,6.25,6.375,6.375,16786400
1998-01-12,6,6.452,6,6.298,6.298,13239200
1998-01-13,6.75,7.125,6.657,7.125,7.125,13890000
1998-01-14,7.032,7.282,6.907,7.282,7.282,12906000
1998-01-15,7.25,7.327,7.14,7.22,7.22,10669600
1998-01-16,7.423,7.47,7.22,7.375,7.375,13823600
1998-01-20,7.313,7.47,7.22,7.452,7.452,6547600
1998-01-21,7.423,7.548,7.313,7.423,7.423,8979600
1998-01-22,7.265,7.327,7.077,7.095,7.095,6502000
1998-01-23,7,7.188,6.938,7.048,7.048,7887200
1998-01-26,7.077,7.188,6.845,6.97,6.97,12109200
1998-01-27,6.938,7.235,6.702,7.202,7.202,12808400
1998-01-28,7.375,7.5,7.298,7.438,7.438,12682000
1998-01-29,7.563,8.422,7.563,8.188,8.188,39578800
1998-01-30,8.375,8.453,8.14,8.14,8.14,21294400
1998-02-02,8.75,9,8.547,8.922,8.922,18561200
1998-02-03,8.985,9.047,8.515,8.625,8.625,18480000
1998-02-04,8.438,9.063,8.438,9.015,9.015,17018400
1998-02-05,9.188,9.345,8.735,8.783,8.783,23125600
1998-02-06,8.845,8.86,8.563,8.61,8.61,10536800
1998-02-09,8.845,8.845,8.235,8.485,8.485,12734800
1998-02-10,8.5,9.033,8.5,8.845,8.845,11483600
1998-02-11,8.875,9.235,8.875,9.235,9.235,13372800
1998-02-12,9.033,9.033,8.688,8.89,8.89,11956800
1998-02-13,8.89,8.938,8.72,8.828,8.828,6978000
1998-02-17,8.875,9,8.72,8.735,8.735,7428400
1998-02-18,8.797,8.922,8.72,8.75,8.75,10534000
1998-02-19,8.797,9.015,8.797,8.97,8.97,15321600
1998-02-20,9.125,9.375,8.953,9.235,9.235,15567600
1998-02-23,9.422,9.438,9.22,9.408,9.408,9503600
1998-02-24,9.408,9.422,9.033,9.188,9.188,9205200
1998-02-25,9.36,9.438,9.203,9.22,9.22,11762400
1998-02-26,9.25,9.735,9.22,9.672,9.672,11168400
1998-02-27,9.703,9.813,9.438,9.438,9.438,9518400
1998-03-02,9.39,9.61,9.39,9.438,9.438,8584400
1998-03-03,9.297,9.345,9.015,9.158,9.158,5848400
1998-03-04,9.125,9.36,8.938,8.938,8.938,7840400
1998-03-05,8.75,8.953,8.735,8.828,8.828,13129200
1998-03-06,8.89,9.188,8.828,9.158,9.158,12368400
1998-03-09,8.908,9.078,8.72,8.813,8.813,10488800
1998-03-10,9.047,9.063,8.625,8.783,8.783,12491200
1998-03-11,9.047,9.283,8.828,9.158,9.158,11997600
1998-03-12,9.063,9.297,9,9.25,9.25,10292400
1998-03-13,9.36,9.5,9.297,9.375,9.375,7586800
1998-03-16,9.5,9.563,9.313,9.328,9.328,6269600
1998-03-17,9.22,9.283,8.86,9.188,9.188,12226000
1998-03-18,9.158,9.595,9.125,9.515,9.515,9337200
1998-03-19,9.453,9.688,9.408,9.563,9.563,6903600
1998-03-20,9.5,9.515,9.22,9.438,9.438,7528400
1998-03-23,9.265,9.438,9.14,9.25,9.25,6890800
1998-03-24,9.283,9.61,9.283,9.515,9.515,8970800
1998-03-25,9.875,9.875,9.547,9.547,9.547,8599600
1998-03-26,9.5,9.72,9.422,9.625,9.625,6394400
1998-03-27,9.688,9.703,9.265,9.297,9.297,8820400
1998-03-30,9.453,9.47,9.25,9.297,9.297,6201200
1998-03-31,9.408,9.64,9.39,9.453,9.453,7841200
1998-04-01,9.485,9.86,9.283,9.813,9.813,10406800
1998-04-02,10,10.125,9.89,9.89,9.89,16509600
1998-04-03,10.188,10.188,9.563,9.658,9.658,10968400
1998-04-06,9.845,9.845,9.125,9.125,9.125,9870000
1998-04-07,9.125,9.36,9.095,9.14,9.14,12826000
1998-04-08,9.188,9.422,9.14,9.172,9.172,7945600
1998-04-09,9.297,9.345,9.125,9.158,9.158,6472000
