,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2000-08-11,12.75,14.0,12.0,13.125,333.8829,792500
1,2000-08-14,13.0938,13.125,12.0,12.0,305.2644,80219
2,2000-08-15,12.1563,12.375,12.0,12.125,308.4442,48422
3,2000-08-16,12.0625,13.0625,12.0625,12.375,314.8039,42166
4,2000-08-17,12.25,12.5,11.9375,12.0,305.2644,47247
5,2000-08-18,12.5313,14.375,12.375,14.3125,364.0914,60328
6,2000-08-21,15.0625,16.25,13.9375,15.1875,386.3502,66569
7,2000-08-22,15.375,15.6875,13.5,13.5,343.4224,33878
8,2000-08-23,13.5625,13.75,12.75,13.0,330.7031,17925
9,2000-08-24,12.9375,13.0625,12.0625,12.0625,306.8543,18441
10,2000-08-25,12.5625,12.9375,12.125,12.875,327.5232,20113
11,2000-08-28,13.4063,13.5469,12.5,13.125,333.8829,19491
12,2000-08-29,13.4375,13.5,12.625,13.375,340.2426,22728
13,2000-08-30,13.3438,14.6875,13.25,14.1875,360.9115,19891
14,2000-08-31,15.0625,16.5,14.875,16.1875,411.7889,87397
15,2000-09-01,16.125,16.25,15.0,15.75,400.6595,27738
16,2000-09-05,15.8125,16.25,15.5,15.5625,395.8897,23025
17,2000-09-06,16.125,16.25,15.25,15.5,394.2998,20559
18,2000-09-07,16.0,16.0,13.375,14.375,365.6813,23959
19,2000-09-08,14.2656,14.5,13.75,14.0,356.1418,15956
20,2000-09-11,13.8125,14.0,13.5,13.875,352.9619,34547
21,2000-09-12,13.5938,13.8125,12.875,13.0,330.7031,33853
22,2000-09-13,12.75,13.125,12.375,12.5,317.9837,10363
23,2000-09-14,13.875,13.875,12.5,12.6875,322.7535,8109
24,2000-09-15,12.5625,13.0,12.5,12.5625,319.5737,3600
25,2000-09-18,13.125,13.25,11.9375,12.0625,306.8543,18659
26,2000-09-19,13.0938,13.125,10.75,11.25,286.1854,48191
27,2000-09-20,11.5,11.5625,9.75,10.375,263.9265,24103
28,2000-09-21,10.3125,10.75,10.1875,10.625,270.2862,25247
29,2000-09-22,9.5938,10.8125,9.4375,10.5625,268.6963,8456
30,2000-09-25,10.625,10.8125,9.375,9.4375,240.0777,21066
31,2000-09-26,9.875,9.9375,9.0,9.25,235.308,19634
32,2000-09-27,9.4063,9.4375,8.625,9.3438,237.6928,16756
33,2000-09-28,9.25,10.75,9.125,10.0,254.387,22041
34,2000-09-29,10.0938,10.125,8.7188,8.875,225.7685,19125
