,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2020-12-18,3651.5,3651.5,3651.5,3651.5,3651.5,0
1,2020-12-21,3636.0,3636.0,3636.0,3636.0,3636.0,0
2,2020-12-22,3628.0,3628.0,3628.0,3628.0,3628.0,0
3,2020-12-23,3633.0,3633.0,3633.0,3633.0,3633.0,0
4,2020-12-24,3646.0,3646.0,3646.0,3646.0,3646.0,0
5,2020-12-28,3677.5,3677.5,3677.5,3677.5,3677.5,0
6,2020-12-29,3670.0,3670.0,3670.0,3670.0,3670.0,0
7,2020-12-30,3674.25,3674.25,3674.25,3674.25,3674.25,0
8,2020-12-31,3699.75,3699.75,3699.75,3699.75,3699.75,0
9,2021-01-04,3642.25,3642.25,3642.25,3642.25,3642.25,0
10,2021-01-05,3668.5,3668.5,3668.5,3668.5,3668.5,0
11,2021-01-06,3690.75,3690.75,3690.75,3690.75,3690.75,0
12,2021-01-07,3745.75,3745.75,3745.75,3745.75,3745.75,0
13,2021-01-08,3765.75,3765.75,3765.75,3765.75,3765.75,10
14,2021-01-11,3742.0,3742.0,3742.0,3742.0,3742.0,0
15,2021-01-12,3746.75,3746.75,3746.75,3746.75,3746.75,0
16,2021-01-13,3754.0,3754.0,3754.0,3754.0,3754.0,0
17,2021-01-14,3741.25,3741.25,3741.25,3741.25,3741.25,0
18,2021-01-15,3712.5,3712.5,3712.5,3712.5,3712.5,0
19,2021-01-19,3741.5,3741.5,3741.5,3741.5,3741.5,0
20,2021-01-20,3795.75,3795.75,3795.75,3795.75,3795.75,0
21,2021-01-21,3797.25,3797.25,3797.25,3797.25,3797.25,0
22,2021-01-22,3795.75,3795.75,3795.75,3795.75,3795.75,5
23,2021-01-25,3799.75,3799.75,3799.75,3799.75,3799.75,0
24,2021-01-26,3794.75,3794.75,3794.75,3794.75,3794.75,0
25,2021-01-27,3696.25,3696.25,3696.25,3696.25,3696.25,0
26,2021-01-28,3732.5,3732.5,3732.5,3732.5,3732.5,0
27,2021-01-29,3700.0,3700.0,3660.0,3660.0,3660.0,6
28,2021-02-01,3720.0,3720.0,3720.0,3720.0,3720.0,1
29,2021-02-02,3772.25,3772.25,3772.25,3772.25,3772.25,0
30,2021-02-03,3776.5,3776.5,3776.5,3776.5,3776.5,0
31,2021-02-04,3816.75,3816.75,3816.75,3816.75,3816.75,0
32,2021-02-05,3832.5,3832.5,3832.5,3832.5,3832.5,0
33,2021-02-08,3860.25,3860.25,3860.25,3860.25,3860.25,0
34,2021-02-09,3857.5,3857.5,3857.5,3857.5,3857.5,0
35,2021-02-10,3855.0,3855.0,3855.0,3855.0,3855.0,0
36,2021-02-11,3864.0,3864.0,3864.0,3864.0,3864.0,0
37,2021-02-12,3883.25,3883.25,3883.25,3883.25,3883.25,0
38,2021-02-16,3879.75,3879.75,3879.75,3879.75,3879.75,0
39,2021-02-17,3880.0,3880.0,3880.0,3880.0,3880.0,0
40,2021-02-18,3861.5,3861.5,3861.5,3861.5,3861.5,0
41,2021-02-19,3855.0,3855.0,3855.0,3855.0,3855.0,0
42,2021-02-22,3825.75,3825.75,3825.75,3825.75,3825.75,0
43,2021-02-23,3830.0,3830.0,3830.0,3830.0,3830.0,0
44,2021-02-24,3874.75,3874.75,3874.75,3874.75,3874.75,0
45,2021-02-25,3780.5,3780.5,3780.5,3780.5,3780.5,0
46,2021-02-26,3762.0,3762.0,3762.0,3762.0,3762.0,0
47,2021-03-01,3851.5,3851.5,3851.5,3851.5,3851.5,0
48,2021-03-02,3820.5,3820.5,3820.5,3820.5,3820.5,0
49,2021-03-03,3769.5,3769.5,3769.5,3769.5,3769.5,0
50,2021-03-04,3718.5,3718.5,3718.5,3718.5,3718.5,0
51,2021-03-05,3792.0,3792.0,3792.0,3792.0,3792.0,0
52,2021-03-08,3772.0,3772.0,3772.0,3772.0,3772.0,0
53,2021-03-09,3826.25,3826.25,3826.25,3826.25,3826.25,0
54,2021-03-10,3849.25,3849.25,3849.25,3849.25,3849.25,0
55,2021-03-11,3889.5,3889.5,3889.5,3889.5,3889.5,0
56,2021-03-12,3895.0,3895.0,3895.0,3895.0,3895.0,0
57,2021-03-15,3920.5,3920.5,3920.5,3920.5,3920.5,0
58,2021-03-16,3915.0,3915.0,3915.0,3915.0,3915.0,0
59,2021-03-17,3926.5,3926.5,3926.5,3926.5,3926.5,0
60,2021-03-18,3869.0,3869.0,3869.0,3869.0,3869.0,0
61,2021-03-19,3860.0,3860.0,3860.0,3860.0,3860.0,3
62,2021-03-22,3892.5,3892.5,3892.5,3892.5,3892.5,0
63,2021-03-23,3872.25,3872.25,3872.25,3872.25,3872.25,1000
64,2021-03-24,3851.25,3851.25,3851.25,3851.25,3851.25,0
65,2021-03-25,3872.5,3872.5,3872.5,3872.5,3872.5,0
66,2021-03-26,3938.5,3938.5,3938.5,3938.5,3938.5,0
67,2021-03-29,3931.0,3931.0,3931.0,3931.0,3931.0,0
68,2021-03-30,3914.5,3914.5,3914.5,3914.5,3914.5,0
69,2021-03-31,3937.5,3937.5,3937.5,3937.5,3937.5,0
70,2021-04-01,3981.5,3981.5,3981.5,3981.5,3981.5,0
71,2021-04-02,4041.0,4041.0,4041.0,4041.0,4041.0,0
72,2021-04-05,4041.0,4041.0,4041.0,4041.0,4041.0,0
73,2021-04-06,4034.25,4034.25,4034.25,4034.25,4034.25,0
74,2021-04-07,4041.25,4041.25,4041.25,4041.25,4041.25,0
