Date,Open,High,Low,Close,Adjusted_close,Volume
2019-06-24,2971.75,2971.75,2971.75,2971.75,2971.75,0
2019-06-25,2926.75,2926.75,2926.75,2926.75,2926.75,0
2019-06-26,2923,2923,2923,2923,2923,0
2019-06-27,2936.75,2936.75,2936.75,2936.75,2936.75,0
2019-06-28,2949.5,2949.5,2949.5,2949.5,2949.5,0
2019-07-01,2971.75,2971.75,2971.75,2971.75,2971.75,0
2019-07-02,2984.5,2984.5,2984.5,2984.5,2984.5,0
2019-07-03,3005.75,3005.75,3005.75,3005.75,3005.75,0
2019-07-05,2994.75,2994.75,2994.75,2994.75,2994.75,0
2019-07-08,2984,2984,2984,2984,2984,0
2019-07-09,2986.5,2986.5,2986.5,2986.5,2986.5,0
2019-07-10,3002.5,3002.5,3002.5,3002.5,3002.5,0
2019-07-11,3008.75,3008.75,3008.75,3008.75,3008.75,0
2019-07-12,3020.75,3020.75,3020.75,3020.75,3020.75,0
2019-07-15,3022,3022,3022,3022,3022,0
2019-07-16,3013,3013,3013,3013,3013,0
2019-07-17,2991,2991,2991,2991,2991,0
2019-07-18,3003.75,3003.75,3003.75,3003.75,3003.75,0
2019-07-19,2983.5,2983.5,2983.5,2983.5,2983.5,0
2019-07-22,2975,2975,2975,2975,2995,1
2019-07-23,3014.25,3014.25,3014.25,3014.25,3014.25,0
2019-07-24,3028.25,3028.25,3028.25,3028.25,3028.25,0
2019-07-25,3014,3014,3014,3014,3014,1
2019-07-26,3032.25,3032.25,3032.25,3032.25,3032.25,0
2019-07-29,3029.5,3029.5,3029.5,3029.5,3029.5,0
2019-07-30,3019.75,3019.75,3019.75,3019.75,3019.75,0
2019-07-31,2991.75,2991.75,2991.75,2991.75,2991.75,0
2019-08-01,2961,2961,2961,2961,2961,0
2019-08-02,2930.5,2930.5,2920,2930.5,2941.5,6
2019-08-05,2840,2840,2840,2840,2840,0
2019-08-06,2860,2870,2860,2870,2884.75,2
2019-08-07,2890.25,2890.25,2890.25,2890.25,2890.25,0
2019-08-08,2949,2949,2949,2949,2949,0
2019-08-09,2928.5,2928.5,2928.5,2928.5,2928.5,0
2019-08-12,2887.25,2887.25,2887.25,2887.25,2887.25,0
2019-08-13,2939.25,2939.25,2939.25,2939.25,2939.25,0
2019-08-14,2849.75,2849.75,2849.75,2849.75,2849.75,0
2019-08-15,2850,2850,2850,2850,2843.75,2
2019-08-16,2892,2892,2892,2892,2892,0
2019-08-19,2925.25,2925.25,2925.25,2925.25,2925.25,0
2019-08-20,2898.25,2898.25,2898.25,2898.25,2898.25,0
2019-08-21,2929.75,2929.75,2929.75,2929.75,2929.75,0
2019-08-22,2924,2924,2924,2924,2924,0
2019-08-23,2865,2865,2856,2856.25,2856.25,3
2019-08-26,2882.75,2882.75,2882.75,2882.75,2882.75,0
2019-08-27,2865.5,2865.5,2865.5,2865.5,2865.5,0
2019-08-28,2891,2891,2891,2891,2891,0
2019-08-29,2926.75,2926.75,2926.75,2926.75,2926.75,0
2019-08-30,2924.75,2924.75,2924.75,2924.75,2924.75,0
2019-09-03,2906,2906,2906,2906,2906,0
2019-09-04,2938.5,2938.5,2938.5,2938.5,2938.5,0
2019-09-05,2972,2972,2972,2972,2972,0
2019-09-06,2980.75,2980.75,2980.75,2980.75,2980.75,0
2019-09-09,2978.5,2978.5,2978.5,2978.5,2978.5,1
2019-09-10,2978.5,2978.5,2978.5,2978.5,2978.5,0
2019-09-11,3002.5,3002.5,3002.5,3002.5,3002.5,0
2019-09-12,3012,3012,3012,3012,3012,0
2019-09-13,3010.25,3010.25,3010.25,3010.25,3010.25,4
2019-09-16,3000.25,3000.25,3000.25,3000.25,3000.25,0
2019-09-17,3007,3007,3007,3007,3007,0
2019-09-18,3008,3008,3008,3008,3008,0
2019-09-19,3008.25,3008.25,3008.25,3008.25,3008.25,0
2019-09-20,2990,2990,2990,2990,2990,0
2019-09-23,2996.75,2996.75,2996.75,2996.75,2996.75,0
2019-09-24,3006,3006,3006,3006,2968.25,1
2019-09-25,2986,2986,2986,2986,2986,0
2019-09-26,2979.75,2979.75,2979.75,2979.75,2979.75,0
2019-09-27,2950,2950,2950,2950,2963.25,1
2019-09-30,2980,2980,2980,2980,2979.75,1
2019-10-01,2939,2939,2939,2939,2939,0
2019-10-02,2890,2890,2890,2890,2881.5,4
2019-10-03,2907.25,2907.25,2907.25,2907.25,2907.25,4
2019-10-04,2948.25,2948.25,2948.25,2948.25,2948.25,0
2019-10-07,2940,2940,2940,2940,2935.25,1
2019-10-08,2889,2889,2889,2889,2889,1
2019-10-09,2916.75,2916.75,2916.75,2916.75,2916.75,0
2019-10-10,2938.75,2938.75,2938.75,2938.75,2938.75,0
2019-10-11,2971.5,2971.5,2971.5,2971.5,2971.5,7
2019-10-14,2966.25,2966.25,2966.25,2966.25,2966.25,0
2019-10-15,3000,3000,3000,3000,2999,2
2019-10-16,2991,2991,2991,2991,2991,0
2019-10-17,2999,2999,2999,2999,2999,0
2019-10-18,2989.5,2989.5,2989.5,2989.5,2989.5,0
2019-10-21,2999,3007,2999,3007,3008,3
2019-10-22,3010,3010,3010,3010,2995,0
2019-10-23,3007,3007,3007,3007,3007,0
2019-10-24,3005.5,3005.5,3005.5,3005.5,3005.5,0
2019-10-25,3019.25,3019.25,3019.25,3019.25,3021.75,1
2019-10-28,3037.75,3037.75,3037.75,3037.75,3037.75,0
2019-10-29,3044,3044.75,3044,3044,3037,2
2019-10-30,3043,3050,3043,3048.75,3048.75,2
2019-10-31,3036.75,3036.75,3036.75,3036.75,3036.75,1
2019-11-01,3064,3064,3064,3064,3064,0
2019-11-04,3077,3077,3077,3077,3077,1
2019-11-05,3077,3077,3077,3077,3073.25,1
2019-11-06,3067,3067,3065,3067,3077,2
2019-11-07,3096,3105.25,3094.5,3094.5,3087.5,10
2019-11-08,3080,3080,3080,3080,3092.5,88
2019-11-11,3085,3085,3085,3085,3089.5,1
2019-11-12,3085,3085,3085,3085,3093.5,1
2019-11-13,3085,3085,3085,3085,3097.75,2
2019-11-14,3098.5,3098.5,3098.5,3098.5,3098.5,0
2019-11-15,3105,3105,3105,3105,3119.5,3
2019-11-18,3124,3124,3124,3124,3124,0
2019-11-19,3120,3120,3120,3120,3120.5,1
2019-11-20,3109.75,3109.75,3109.75,3109.75,3109.75,1
2019-11-21,3104.25,3104.25,3104.25,3104.25,3104.25,1
2019-11-22,3108.75,3108.75,3108.75,3108.75,3113.25,1
2019-11-25,3134.5,3134.5,3134.5,3134.5,3134.5,0
2019-11-26,3146,3146,3146,3146,3145.5,5
2019-11-27,3155,3155,3155,3155,3155,1
2019-11-29,3145,3145,3145,3145,3145,0
2019-12-02,3114.5,3114.5,3114.5,3114.5,3114.5,0
2019-12-03,3077,3092,3077,3092,3092.25,5
2019-12-04,3098,3108.75,3098,3108.75,3112,2
2019-12-05,3117.25,3117.25,3117.25,3117.25,3117.25,0
