,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1972-06-01,18.1736,18.2696,18.0288,18.1736,0.9158,82978
1,1972-06-02,18.1256,18.1256,17.9328,17.9808,0.9061,120318
2,1972-06-05,17.884,17.884,17.5952,17.6432,0.8891,107871
3,1972-06-06,17.6432,17.74,17.4504,17.5472,0.8842,327763
4,1972-06-07,17.4984,17.4984,17.4024,17.4024,0.8769,43563
5,1972-06-08,17.4024,17.4984,17.4024,17.4024,0.8769,87127
6,1972-06-09,17.4024,17.4024,17.2576,17.2576,0.8696,497868
7,1972-06-12,17.2576,17.3056,17.0648,17.0648,0.8599,109946
8,1972-06-13,17.0648,17.3544,16.872,17.3544,0.8745,103722
9,1972-06-14,17.3544,17.4504,17.2576,17.4504,0.8793,35266
10,1972-06-15,17.5472,17.6432,17.5472,17.6432,0.8891,62233
11,1972-06-16,17.74,18.0288,17.74,17.9808,0.9061,51861
12,1972-06-19,17.884,17.884,17.836,17.836,0.8988,47712
13,1972-06-20,17.836,18.1256,17.74,18.0288,0.9085,190849
14,1972-06-21,18.2216,18.5112,18.2216,18.2696,0.9206,136914
15,1972-06-22,18.2696,18.2696,18.2696,18.2696,0.9206,53936
16,1972-06-23,18.2696,18.4144,18.2696,18.2696,0.9206,95425
17,1972-06-26,18.2696,18.2696,17.788,17.788,0.8964,701164
18,1972-06-27,17.836,18.0768,17.836,17.884,0.9012,350582
19,1972-06-28,17.788,17.788,17.5952,17.5952,0.8866,85052
20,1972-06-29,17.5952,17.6432,17.2576,17.3544,0.8745,105797
21,1972-06-30,17.3544,17.5952,17.2576,17.4984,0.8818,109946
22,1972-07-03,17.4984,17.5952,17.4504,17.5472,0.8842,47712
23,1972-07-05,17.5472,17.74,17.5472,17.5952,0.8866,43563
24,1972-07-06,17.74,18.0288,17.74,17.9808,0.9061,141063
25,1972-07-07,17.884,17.884,17.5472,17.6912,0.8915,134839
26,1972-07-10,17.6912,17.74,17.5472,17.6912,0.8915,85052
27,1972-07-11,17.5472,17.5472,17.4024,17.4024,0.8769,20744
28,1972-07-12,17.4024,17.6432,17.3056,17.6432,0.8891,47712
29,1972-07-13,17.5472,17.5472,17.3544,17.3544,0.8745,514464
30,1972-07-14,17.3544,17.5472,17.3544,17.5472,0.8842,49787
31,1972-07-17,17.5472,17.6432,17.4984,17.4984,0.8818,138988
32,1972-07-18,17.4984,17.4984,17.3544,17.3544,0.8745,132765
33,1972-07-19,17.3544,17.6432,17.3544,17.6432,0.8891,99574
34,1972-07-20,17.5952,17.5952,17.4024,17.4024,0.8769,91276
35,1972-07-21,17.3544,17.3544,17.2576,17.3544,0.8745,62233
36,1972-07-24,17.4504,17.6912,17.4504,17.5472,0.8842,369252
37,1972-07-25,17.5472,17.6432,17.3544,17.3544,0.8745,400369
38,1972-07-26,17.4024,17.5952,17.4024,17.4024,0.8769,163882
39,1972-07-27,17.4024,17.4504,17.0168,17.2096,0.8672,213668
40,1972-07-28,17.0648,17.0648,16.7752,16.7752,0.8453,163882
41,1972-07-31,16.6792,16.6792,16.3416,16.4384,0.8284,182552
42,1972-08-01,16.2456,16.2456,15.8112,16.2456,0.8186,369252
43,1972-08-02,16.2936,16.6312,16.2936,16.6312,0.8381,205371
44,1972-08-03,16.7272,16.92,16.7272,16.7752,0.8453,116169
45,1972-08-04,16.6792,16.6792,16.4384,16.5824,0.8356,89201
46,1972-08-07,16.6792,16.92,16.6792,16.7272,0.8429,87127
47,1972-08-08,16.7272,16.872,16.6312,16.872,0.8502,182552
48,1972-08-09,16.872,16.872,16.5824,16.6792,0.8405,143137
49,1972-08-10,16.6792,16.824,16.2456,16.2456,0.8186,78829
50,1972-08-11,16.2456,16.3896,16.004,16.3896,0.8259,356805
51,1972-08-14,16.3896,16.5344,16.2936,16.5344,0.8332,138988
52,1972-08-15,16.5344,16.6312,16.4384,16.4384,0.8284,1568284
53,1972-08-16,16.4384,16.5344,16.3896,16.4384,0.8284,122393
54,1972-08-17,16.4384,16.5344,16.1968,16.1968,0.8162,49787
55,1972-08-18,16.1968,16.5344,16.1008,16.4864,0.8308,180477
56,1972-08-21,16.4864,16.824,16.4864,16.6792,0.8405,271753
57,1972-08-22,16.6792,16.872,16.6792,16.872,0.8502,74680
58,1972-08-23,16.872,17.0648,16.7752,17.0648,0.8599,122393
59,1972-08-24,17.0648,17.3544,17.0168,17.2576,0.8696,207445
60,1972-08-25,17.2576,17.3544,17.2096,17.2096,0.8672,78829
61,1972-08-28,17.2096,17.3056,17.2096,17.2096,0.8672,74680
62,1972-08-29,17.2096,17.4504,17.2096,17.3544,0.8745,263455
63,1972-08-30,17.3544,17.5472,17.3544,17.3544,0.8745,207445
64,1972-08-31,17.3544,17.4504,17.3056,17.3544,0.8745,265530
65,1972-09-01,17.3544,17.3544,17.2576,17.3544,0.8745,66382
66,1972-09-05,17.3544,17.4504,17.3544,17.3544,0.8745,105797
67,1972-09-06,17.3544,17.4984,17.3544,17.3544,0.8745,255157
68,1972-09-07,17.3544,17.4984,17.3544,17.4024,0.8769,68457
69,1972-09-08,17.4024,17.5472,17.3544,17.4504,0.8793,352656
70,1972-09-11,17.4504,17.4984,17.4024,17.4024,0.8769,58085
71,1972-09-12,17.4024,17.4504,17.3056,17.3544,0.8745,149360
72,1972-09-13,17.3544,17.3544,17.1608,17.1608,0.8648,329838
73,1972-09-14,17.1608,17.2576,17.1128,17.1608,0.8648,112020
74,1972-09-15,17.1608,17.2096,17.1128,17.2096,0.8672,35266
75,1972-09-18,17.2096,17.2096,17.1608,17.1608,0.8648,14521
76,1972-09-19,17.1608,17.3056,17.0648,17.3056,0.8721,97499
77,1972-09-20,17.3056,17.3056,17.0648,17.2096,0.8672,118244
78,1972-09-21,17.2096,17.2096,17.1128,17.2096,0.8672,24893
79,1972-09-22,17.2096,17.2576,17.1608,17.1608,0.8648,56010
80,1972-09-25,17.1608,17.1608,17.0168,17.0168,0.8575,558027
81,1972-09-26,16.92,16.92,16.3896,16.4864,0.8308,387922
82,1972-09-27,16.4864,16.7752,16.4864,16.7272,0.8429,176328
83,1972-09-28,16.7272,16.92,16.6312,16.7752,0.8453,109946
84,1972-09-29,16.7752,16.872,16.6312,16.7272,0.8429,307019
85,1972-10-02,16.7272,16.7272,16.4864,16.6312,0.8381,186700
86,1972-10-03,16.6312,16.7272,16.3896,16.4384,0.8284,439783
87,1972-10-04,16.4384,16.4864,16.3896,16.4384,0.8284,165956
88,1972-10-05,16.4384,16.4864,16.2936,16.2936,0.8211,89201
89,1972-10-06,16.2936,16.4384,16.004,16.1488,0.8138,485421
90,1972-10-09,16.1488,16.1488,16.0528,16.0528,0.8089,26968
91,1972-10-10,16.0528,16.1008,15.908,16.004,0.8065,174254
92,1972-10-11,16.1488,16.3416,16.1488,16.1968,0.8162,267604
93,1972-10-12,16.1968,16.2456,16.004,16.0528,0.8089,60159
94,1972-10-13,16.0528,16.1488,16.004,16.004,0.8065,35266
95,1972-10-16,16.004,16.1008,15.86,16.004,0.8065,62233
96,1972-10-17,16.004,16.004,15.7152,15.7152,0.7919,76755
97,1972-10-18,15.7632,15.86,15.7632,15.86,0.7992,143137
98,1972-10-19,15.86,15.86,15.7152,15.7152,0.7919,74680
99,1972-10-20,15.7152,15.8112,15.5704,15.7632,0.7943,109946
100,1972-10-23,15.8112,16.0528,15.8112,16.004,0.8065,138988
101,1972-10-24,16.004,16.1968,15.956,15.956,0.804,319465
102,1972-10-25,15.908,15.908,15.8112,15.8112,0.7967,255157
103,1972-10-26,15.8112,15.8112,15.2328,15.2328,0.7676,2416734
104,1972-10-27,15.3296,15.4256,15.3296,15.3296,0.7725,259306
105,1972-10-30,15.3296,15.6184,15.3296,15.6184,0.787,338135
106,1972-10-31,15.6672,16.1008,15.6672,15.908,0.8016,468826
107,1972-11-01,15.908,15.908,15.8112,15.8112,0.7967,194998
108,1972-11-02,15.8112,16.004,15.8112,15.8112,0.7967,356805
109,1972-11-03,15.8112,16.004,15.7632,16.004,0.8065,201222
110,1972-11-06,16.004,16.1008,16.004,16.1008,0.8113,340210
111,1972-11-08,16.1008,16.2936,16.1008,16.1008,0.8113,350582
112,1972-11-09,16.0528,16.0528,15.908,15.908,0.8016,255157
113,1972-11-10,15.908,16.0528,15.86,15.956,0.804,419039
114,1972-11-13,15.956,16.0528,15.86,15.908,0.8016,296646
115,1972-11-14,15.908,15.908,15.7152,15.7152,0.7919,159733
116,1972-11-15,15.7152,15.7632,15.4256,15.4256,0.7773,138988
117,1972-11-16,15.3776,15.3776,15.2328,15.3296,0.7725,371326
118,1972-11-17,15.3296,15.6672,15.2328,15.6184,0.787,275902
119,1972-11-20,15.6184,15.8112,15.6184,15.8112,0.7967,126541
120,1972-11-21,15.8112,15.8112,15.6184,15.8112,0.7967,178403
121,1972-11-22,15.8112,15.8112,15.6184,15.7632,0.7943,636856
122,1972-11-24,15.8112,16.004,15.8112,16.004,0.8065,224041
123,1972-11-27,16.004,16.1488,15.956,16.0528,0.8089,159733
124,1972-11-28,16.0528,16.0528,15.8112,15.908,0.8016,182552
125,1972-11-29,15.908,16.0528,15.86,15.956,0.804,126541
126,1972-11-30,15.956,15.956,15.6672,15.956,0.804,161807
127,1972-12-01,15.956,15.956,15.5224,15.6672,0.7895,2748646
128,1972-12-04,15.6672,15.8112,15.5224,15.8112,0.7967,657601
129,1972-12-05,15.8112,15.956,15.8112,15.908,0.8016,512389
130,1972-12-06,15.908,16.2936,15.8112,16.2936,0.8211,456379
131,1972-12-07,16.4384,16.6792,16.4384,16.6792,0.8405,833929
132,1972-12-08,16.6792,16.92,16.6792,16.92,0.8526,242711
133,1972-12-11,16.92,17.1128,16.824,17.0648,0.8599,228189
134,1972-12-12,17.0168,17.0168,16.872,16.968,0.855,143137
135,1972-12-13,16.968,16.968,16.5824,16.7752,0.8453,116169
136,1972-12-14,16.7272,16.7272,16.5824,16.5824,0.8356,852599
137,1972-12-15,16.4864,16.4864,16.0528,16.0528,0.8089,850524
138,1972-12-18,16.0528,16.1488,15.86,16.1488,0.8138,178403
139,1972-12-19,16.1008,16.1008,15.956,16.1008,0.8113,1010257
140,1972-12-20,16.1008,16.1008,15.6672,15.7152,0.7919,130690
141,1972-12-21,15.7152,15.7152,15.3296,15.5224,0.7822,282125
142,1972-12-22,15.5224,15.6184,15.3776,15.5224,0.7822,80904
143,1972-12-26,15.5224,15.6184,15.5224,15.5224,0.7822,120318
144,1972-12-27,15.5224,15.6672,15.3776,15.3776,0.7749,331912
145,1972-12-29,15.3776,15.6184,15.3776,15.5704,0.7846,246860
146,1973-01-02,15.5704,15.956,15.4256,15.5704,0.7846,1412700
147,1973-01-03,15.5704,15.7152,15.5704,15.7152,0.7919,180477
148,1973-01-04,15.7152,15.7632,15.5704,15.6184,0.787,184626
149,1973-01-05,15.6184,15.8112,15.5704,15.8112,0.7967,159733
150,1973-01-08,15.8112,15.908,15.6184,15.7152,0.7919,180477
151,1973-01-09,15.7152,15.8112,15.7152,15.8112,0.7967,282125
152,1973-01-10,15.7152,15.7152,15.4256,15.4736,0.7797,495793
153,1973-01-11,15.5704,15.7632,15.5704,15.7632,0.7943,149360
154,1973-01-12,15.7632,16.004,15.5704,15.6184,0.787,114095
155,1973-01-15,15.6184,15.7632,15.5224,15.5224,0.7822,91276
156,1973-01-16,15.5704,15.7152,15.5704,15.6672,0.7895,112020
157,1973-01-17,15.6672,15.6672,15.3296,15.4256,0.7773,172179
158,1973-01-18,15.4256,15.4256,15.3776,15.4256,0.7773,74680
159,1973-01-19,15.4256,15.4256,14.7512,15.2808,0.77,495793
160,1973-01-22,15.2808,15.2808,15.04,15.1368,0.7628,136914
161,1973-01-23,15.1368,15.1368,14.7992,15.1368,0.7628,275902
162,1973-01-24,15.04,15.04,14.4616,14.4616,0.7287,354731
163,1973-01-26,14.4616,14.6064,14.124,14.4616,0.7287,943875
164,1973-01-29,14.5584,14.992,14.5584,14.992,0.7555,151435
165,1973-01-30,14.992,15.2328,14.8952,15.2328,0.7676,184626
166,1973-01-31,15.2328,15.3296,15.1368,15.2328,0.7676,587069
167,1973-02-01,15.2328,15.2328,14.992,14.992,0.7555,1360839
168,1973-02-02,14.992,15.088,14.8952,14.8952,0.7506,101648
169,1973-02-05,14.8952,14.992,14.7024,14.8952,0.7506,112020
170,1973-02-06,14.8952,14.8952,14.7512,14.7512,0.7433,70531
171,1973-02-07,14.7512,14.8952,14.7024,14.7992,0.7457,101648
172,1973-02-08,14.7992,14.8472,14.6544,14.6544,0.7385,2194768
173,1973-02-09,14.6544,14.992,14.6064,14.7992,0.7457,161807
174,1973-02-12,14.7024,14.7024,14.4616,14.6064,0.736,147286
175,1973-02-13,14.6064,14.7512,14.4616,14.4616,0.7287,649303
176,1973-02-14,14.4616,14.6064,14.124,14.2688,0.719,240636
177,1973-02-15,14.2208,14.2208,13.9312,14.028,0.7069,128616
178,1973-02-16,14.076,14.3656,14.076,14.3656,0.7239,114095
179,1973-02-20,14.3656,14.4616,13.8832,14.076,0.7093,273827
180,1973-02-21,14.028,14.028,13.7864,13.7864,0.6947,342284
181,1973-02-22,13.6904,13.6904,13.208,13.2568,0.668,176328
182,1973-02-23,13.2568,13.4976,13.208,13.3048,0.6704,182552
183,1973-02-26,13.4496,13.5936,13.4496,13.4496,0.6777,170105
184,1973-02-27,13.4496,13.5936,13.064,13.064,0.6583,1004034
185,1973-02-28,13.064,13.7384,13.0152,13.7384,0.6923,304944
186,1973-03-01,13.7384,13.98,13.6424,13.7384,0.6923,732281
187,1973-03-02,13.98,14.2208,13.98,14.1728,0.7142,782068
188,1973-03-05,14.1728,14.2688,14.076,14.076,0.7093,535208
189,1973-03-06,14.076,14.2208,13.9312,14.028,0.7069,157658
190,1973-03-07,14.028,14.2688,14.028,14.124,0.7117,194998
191,1973-03-08,14.124,14.1728,14.028,14.124,0.7117,114095
192,1973-03-09,14.124,14.4616,14.124,14.3656,0.7239,143137
193,1973-03-12,14.3656,14.6064,14.2688,14.4136,0.7263,315316
194,1973-03-13,14.4136,14.4616,14.2688,14.2688,0.719,89201
195,1973-03-14,14.2688,14.4616,14.2688,14.2688,0.719,74680
196,1973-03-15,14.2688,14.3656,14.076,14.1728,0.7142,60159
197,1973-03-16,14.1728,14.3168,14.028,14.076,0.7093,792440
198,1973-03-19,14.076,14.124,13.9312,13.9312,0.702,51861
199,1973-03-20,13.8352,13.8352,13.5456,13.8352,0.6972,120318
200,1973-03-21,13.8352,13.8352,13.5936,13.5936,0.685,564250
201,1973-03-22,13.5936,14.076,13.5936,13.6904,0.6899,157658
202,1973-03-23,13.6904,13.6904,13.5936,13.5936,0.685,240636
203,1973-03-26,13.5936,13.6904,13.5456,13.6904,0.6899,103722
204,1973-03-27,13.6904,13.7384,13.5936,13.7384,0.6923,60159
205,1973-03-28,13.7384,13.8832,13.5936,13.7864,0.6947,80904
206,1973-03-29,13.7864,13.98,13.7384,13.98,0.7045,87127
207,1973-03-30,13.98,14.076,13.6904,13.7864,0.6947,360954
208,1973-04-02,13.7864,13.8832,13.5936,13.5936,0.685,95425
209,1973-04-03,13.5456,13.5456,13.4008,13.4496,0.6777,381699
210,1973-04-04,13.4496,13.8352,13.4008,13.5936,0.685,85052
211,1973-04-05,13.5936,13.5936,13.4008,13.4008,0.6753,101648
212,1973-04-06,13.3528,13.3528,13.16,13.208,0.6656,155584
213,1973-04-09,13.208,13.5456,13.208,13.4496,0.6777,58085
214,1973-04-10,13.4496,13.6424,13.4008,13.4976,0.6802,350582
215,1973-04-11,13.6424,14.076,13.6424,14.076,0.7093,97499
216,1973-04-12,14.076,14.1728,13.9312,13.9312,0.702,632707
217,1973-04-13,13.9312,13.98,13.8352,13.8832,0.6996,103722
218,1973-04-16,13.8832,13.9312,13.6904,13.7864,0.6947,78829
219,1973-04-17,13.7864,14.028,13.7864,14.028,0.7069,56010
220,1973-04-18,14.028,14.2208,13.9312,13.9312,0.702,72606
221,1973-04-19,13.9312,14.124,13.9312,14.028,0.7069,51861
222,1973-04-23,14.028,14.2208,14.028,14.028,0.7069,95425
223,1973-04-24,14.028,14.076,13.7864,13.7864,0.6947,163882
224,1973-04-25,13.6904,13.6904,13.4008,13.4008,0.6753,321540
225,1973-04-26,13.4008,13.6904,13.3528,13.4008,0.6753,124467
226,1973-04-27,13.4008,13.6424,13.16,13.16,0.6631,89201
227,1973-04-30,13.16,13.3048,13.16,13.16,0.6631,68457
228,1973-05-01,13.16,13.4008,13.16,13.3528,0.6729,53936
