,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2013-08-14,75.599,76.766,73.713,75.299,75.299,4010672
1,2013-08-15,74.641,77.006,74.551,76.347,76.347,573712
2,2013-08-16,77.365,78.054,76.497,76.946,76.946,272377
3,2013-08-19,76.946,77.066,73.862,75.599,75.599,279725
4,2013-08-20,75.449,75.719,75.03,75.599,75.599,138543
5,2013-08-21,75.24,76.257,75.12,75.15,75.15,198262
6,2013-08-22,75.15,75.808,75.15,75.299,75.299,76787
7,2013-08-23,75.15,76.317,75.15,76.198,76.198,71443
8,2013-08-26,76.317,78.473,75.778,77.754,77.754,175049
9,2013-08-27,76.048,78.353,75.838,78.054,78.054,110821
10,2013-08-28,77.874,78.443,77.335,78.084,78.084,81763
11,2013-08-29,78.054,79.012,78.024,78.982,78.982,176920
12,2013-08-30,79.281,79.701,78.144,78.563,78.563,313793
13,2013-09-03,76.856,80.06,76.737,79.94,79.94,148563
14,2013-09-04,80.689,82.335,80.449,82.006,82.006,261589
15,2013-09-05,81.856,81.946,80.329,80.838,80.838,271509
16,2013-09-06,82.365,82.365,80.03,80.569,80.569,125517
17,2013-09-09,80.449,81.407,80.0,80.24,80.24,135337
18,2013-09-10,79.94,81.407,79.79,81.257,81.257,100501
19,2013-09-11,80.719,84.94,80.599,84.671,84.671,220039
20,2013-09-12,84.82,85.928,83.593,85.299,85.299,88410
21,2013-09-13,86.138,86.467,85.269,85.359,85.359,99265
22,2013-09-16,84.491,85.15,81.257,82.186,82.186,189211
23,2013-09-17,82.784,83.802,82.365,83.802,83.802,284668
24,2013-09-18,83.832,84.731,83.653,84.192,84.192,153172
25,2013-09-19,84.491,84.581,83.293,83.593,83.593,86306
26,2013-09-20,83.234,83.653,80.06,80.359,80.359,315129
27,2013-09-23,81.677,81.886,78.563,80.359,80.359,451401
28,2013-09-24,80.808,80.808,79.311,80.359,80.359,210053
29,2013-09-25,80.749,80.778,78.323,79.281,79.281,216098
30,2013-09-26,79.281,80.03,78.892,79.222,79.222,218937
31,2013-09-27,78.862,79.281,78.054,78.084,78.084,260353
32,2013-09-30,78.054,80.24,76.377,77.934,77.934,997725
33,2013-10-01,78.473,78.802,77.754,78.473,78.473,209084
34,2013-10-02,79.371,81.228,78.683,80.509,80.509,565262
35,2013-10-03,80.958,86.796,80.958,84.431,84.431,405209
36,2013-10-04,84.76,89.222,84.731,87.665,87.665,336472
37,2013-10-07,87.575,88.413,86.677,87.934,87.934,134435
38,2013-10-08,88.054,88.054,86.317,86.557,86.557,100167
39,2013-10-09,86.467,87.216,84.251,86.677,86.677,126252
40,2013-10-10,87.725,89.341,86.407,87.485,87.485,237006
41,2013-10-11,87.126,87.365,85.838,86.377,86.377,46426
42,2013-10-14,85.659,87.395,85.269,85.269,85.269,92819
43,2013-10-15,85.21,85.778,83.084,84.192,84.192,180193
44,2013-10-16,84.94,87.725,84.91,86.527,86.527,110888
45,2013-10-17,86.737,87.485,85.749,87.485,87.485,169472
46,2013-10-18,87.904,89.371,87.695,87.904,87.904,151469
47,2013-10-21,87.814,88.982,86.407,87.395,87.395,78290
48,2013-10-22,87.305,87.964,86.886,87.126,87.126,61723
49,2013-10-23,86.946,86.976,85.988,86.826,86.826,39011
50,2013-10-24,87.036,87.365,85.778,86.796,86.796,54141
51,2013-10-25,86.437,86.946,85.449,86.078,86.078,41717
52,2013-10-28,86.347,88.623,86.138,87.335,87.335,104375
53,2013-10-29,87.695,88.383,86.347,87.365,87.365,76119
54,2013-10-30,87.844,88.293,85.09,86.916,86.916,84302
55,2013-10-31,87.156,89.012,86.587,86.976,86.976,122511
56,2013-11-01,86.856,87.246,85.689,86.946,86.946,64863
57,2013-11-04,87.126,88.204,86.916,87.814,87.814,55778
