,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,33.75,33.75,33.25,33.75,2.0415,24200
1,1984-11-06,34.0,34.125,33.5,34.0,2.0566,38200
2,1984-11-07,33.75,34.125,33.75,33.75,2.0415,27400
3,1984-11-08,33.625,33.875,33.5,33.625,2.0339,18800
4,1984-11-09,33.625,33.75,33.5,33.625,2.0339,19400
5,1984-11-12,33.375,33.75,33.375,33.375,2.0188,488000
6,1984-11-13,33.375,33.5,33.25,33.375,2.0188,118200
7,1984-11-14,33.375,33.625,33.25,33.375,2.0188,126000
8,1984-11-15,33.375,33.625,33.25,33.375,2.0188,27400
9,1984-11-16,33.5,33.625,33.375,33.5,2.0263,38200
10,1984-11-19,33.375,33.625,33.25,33.375,2.0188,32600
11,1984-11-20,33.375,33.5,33.125,33.375,2.0188,345800
12,1984-11-21,33.25,33.375,33.125,33.25,2.0112,109800
13,1984-11-23,33.375,33.5,33.125,33.375,2.0188,62600
14,1984-11-26,33.5,33.5,33.25,33.5,2.0263,17600
15,1984-11-27,33.625,33.625,33.375,33.625,2.0339,72000
16,1984-11-28,33.375,33.625,33.375,33.375,2.0188,397400
17,1984-11-29,32.5,33.5,32.5,32.5,2.0074,27400
18,1984-11-30,32.625,32.625,32.375,32.625,2.0151,47400
19,1984-12-03,32.5,33.5,32.5,32.5,2.0074,18200
20,1984-12-04,32.625,32.75,32.5,32.625,2.0151,17800
21,1984-12-05,32.75,32.875,32.625,32.75,2.0228,17400
22,1984-12-06,32.625,32.875,32.625,32.625,2.0151,121000
23,1984-12-07,32.875,32.875,32.625,32.875,2.0305,15400
24,1984-12-10,32.75,32.875,32.625,32.75,2.0228,39800
25,1984-12-11,33.0,33.125,32.75,33.0,2.0382,71400
26,1984-12-12,33.25,33.25,32.875,33.25,2.0537,31800
27,1984-12-13,33.375,33.5,33.25,33.375,2.0614,12200
28,1984-12-14,33.25,33.375,33.25,33.25,2.0537,43800
29,1984-12-17,33.25,33.375,33.25,33.25,2.0537,22400
30,1984-12-18,33.125,33.375,33.125,33.125,2.046,46400
31,1984-12-19,33.25,33.5,33.0,33.25,2.0537,109400
32,1984-12-20,33.375,33.625,33.375,33.375,2.0614,22600
33,1984-12-21,33.375,33.5,33.375,33.375,2.0614,24600
34,1984-12-24,33.375,33.5,33.375,33.375,2.0614,8400
35,1984-12-26,33.375,33.5,33.25,33.375,2.0614,11000
36,1984-12-27,33.375,33.5,33.25,33.375,2.0614,8800
37,1984-12-28,33.5,33.625,33.375,33.5,2.0691,17400
38,1984-12-31,33.5,33.5,33.25,33.5,2.0691,26200
39,1985-01-02,33.5,33.5,33.25,33.5,2.0691,39800
40,1985-01-03,33.375,33.5,33.25,33.375,2.0614,26800
41,1985-01-04,33.5,33.5,33.375,33.5,2.0691,19000
42,1985-01-07,33.5,33.625,33.375,33.5,2.0691,25800
43,1985-01-08,33.625,33.625,33.5,33.625,2.0768,55400
44,1985-01-09,33.625,33.625,33.5,33.625,2.0768,89800
45,1985-01-10,33.875,33.875,33.5,33.875,2.0923,54600
46,1985-01-11,33.875,33.875,33.625,33.875,2.0923,31400
47,1985-01-14,33.875,34.0,33.75,33.875,2.0923,152800
48,1985-01-15,34.75,35.0,33.875,34.75,2.1463,86400
49,1985-01-16,34.875,35.25,34.625,34.875,2.1541,31400
50,1985-01-17,35.0,35.125,34.75,35.0,2.1618,32400
51,1985-01-18,35.0,35.5,34.875,35.0,2.1618,22000
52,1985-01-21,35.25,35.25,35.0,35.25,2.1772,25200
53,1985-01-22,35.25,35.625,35.25,35.25,2.1772,46800
54,1985-01-23,35.25,35.25,35.0,35.25,2.1772,21400
55,1985-01-24,35.0,35.25,34.75,35.0,2.1618,38800
56,1985-01-25,35.25,35.25,34.625,35.25,2.1772,51600
57,1985-01-28,35.25,35.375,35.0,35.25,2.1772,20000
58,1985-01-29,35.125,35.25,35.0,35.125,2.1695,10800
59,1985-01-30,35.125,35.375,35.125,35.125,2.1695,29800
60,1985-01-31,35.25,35.25,35.0,35.25,2.1772,99400
61,1985-02-01,34.0,35.25,33.75,34.0,2.1,98200
62,1985-02-04,33.875,34.0,33.625,33.875,2.0923,83200
63,1985-02-05,34.25,34.25,33.875,34.25,2.1154,133400
64,1985-02-06,34.0,34.25,33.875,34.0,2.1,18000
65,1985-02-07,34.0,34.125,33.875,34.0,2.1,41800
66,1985-02-08,34.0,34.25,33.875,34.0,2.1,277000
67,1985-02-11,33.75,33.875,33.5,33.75,2.0846,39200
68,1985-02-12,33.75,33.875,33.5,33.75,2.0846,55800
69,1985-02-13,34.25,34.25,33.625,34.25,2.1154,67000
70,1985-02-14,34.25,34.5,34.125,34.25,2.1154,68000
71,1985-02-15,34.125,34.375,34.0,34.125,2.1077,67600
72,1985-02-19,34.375,34.5,34.0,34.375,2.1232,40200
73,1985-02-20,34.25,34.375,34.125,34.25,2.1154,29200
74,1985-02-21,34.375,34.375,34.125,34.375,2.1232,443000
75,1985-02-22,34.625,35.0,34.25,34.625,2.1386,42800
76,1985-02-25,34.5,34.625,34.0,34.5,2.1309,46600
77,1985-02-26,33.625,33.75,33.5,33.625,2.1224,26200
78,1985-02-27,33.375,33.625,33.375,33.375,2.1066,16000
79,1985-02-28,33.375,33.5,33.25,33.375,2.1066,31400
80,1985-03-01,33.375,33.75,33.375,33.375,2.1066,113600
81,1985-03-04,33.25,33.5,33.25,33.25,2.0987,8000
82,1985-03-05,33.0,33.25,33.0,33.0,2.0829,30000
83,1985-03-06,32.625,33.0,32.5,32.625,2.0592,120800
84,1985-03-07,32.375,32.625,32.375,32.375,2.0435,20200
85,1985-03-08,32.75,32.75,32.375,32.75,2.0671,33400
86,1985-03-11,32.625,32.875,32.5,32.625,2.0592,25600
87,1985-03-12,32.5,32.875,32.5,32.5,2.0514,39400
88,1985-03-13,32.625,32.75,32.5,32.625,2.0592,11600
89,1985-03-14,32.875,33.0,32.625,32.875,2.075,139200
90,1985-03-15,33.125,33.125,32.875,33.125,2.0908,16800
91,1985-03-18,33.125,33.25,33.0,33.125,2.0908,193200
92,1985-03-19,33.5,33.5,33.25,33.5,2.1145,44400
93,1985-03-20,33.25,33.5,33.25,33.25,2.0987,37200
94,1985-03-21,33.5,33.5,33.0,33.5,2.1145,31000
95,1985-03-22,33.625,33.625,33.5,33.625,2.1224,36000
96,1985-03-25,33.875,33.875,33.5,33.875,2.1381,78200
97,1985-03-26,34.125,34.125,33.875,34.125,2.1539,80600
98,1985-03-27,34.375,34.375,34.0,34.375,2.1697,20200
99,1985-03-28,35.125,35.25,34.25,35.125,2.217,57400
100,1985-03-29,35.25,35.5,35.125,35.25,2.2249,89800
101,1985-04-01,35.0,35.125,34.75,35.0,2.2092,67000
102,1985-04-02,34.875,35.125,34.75,34.875,2.2013,54600
103,1985-04-03,34.625,34.875,34.625,34.625,2.1855,87800
104,1985-04-04,34.75,34.75,34.375,34.75,2.1934,37200
105,1985-04-08,35.0,35.0,34.75,35.0,2.2092,34800
