,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1995-07-10,24.5,24.5,23.625,24.5,6.8611,5438000
1,1995-07-11,25.0,25.125,24.75,25.0,7.0011,4907000
2,1995-07-12,25.0,26.125,24.875,26.125,7.3534,1055800
3,1995-07-13,26.0,26.25,25.875,26.125,7.3534,1373600
4,1995-07-14,26.0,26.125,25.875,26.0,7.3182,985600
5,1995-07-17,26.0,26.0,25.75,25.875,7.283,947600
6,1995-07-18,25.875,25.875,25.125,25.25,7.1071,727400
7,1995-07-19,25.125,25.125,23.375,23.75,6.6849,558200
8,1995-07-20,23.5,23.625,23.5,23.625,6.6497,464600
9,1995-07-21,23.75,24.375,23.75,24.125,6.7904,721200
10,1995-07-24,24.125,24.5,24.125,24.125,6.7904,509000
11,1995-07-25,24.25,24.75,24.125,24.25,6.8256,847000
12,1995-07-26,24.5,25.125,24.5,25.125,7.0719,1584800
13,1995-07-27,25.0,25.75,25.0,25.75,7.2478,2082600
14,1995-07-28,25.75,27.375,25.375,27.375,7.7052,14640800
15,1995-07-31,27.25,27.25,26.5,27.0,7.5997,2544600
16,1995-08-01,26.875,26.875,26.5,26.625,7.4941,1956000
17,1995-08-02,26.625,26.625,25.25,25.375,7.1423,2307600
18,1995-08-03,25.125,26.0,25.125,26.0,7.3182,1762800
19,1995-08-04,25.75,25.875,25.0,25.375,7.1423,903800
20,1995-08-07,25.25,25.25,24.875,25.125,7.0719,837000
21,1995-08-08,25.0,25.125,24.875,24.875,7.0015,729000
22,1995-08-09,24.875,24.875,24.375,24.5,6.896,586600
23,1995-08-10,24.5,25.125,24.5,24.75,6.9664,1319400
24,1995-08-11,24.75,25.25,24.75,25.0,7.0367,1152000
25,1995-08-14,25.0,25.0,24.25,24.5,6.896,379800
26,1995-08-15,24.5,24.75,24.5,24.625,6.9312,349600
27,1995-08-16,24.875,25.0,24.625,24.75,6.9664,440200
28,1995-08-17,24.75,25.125,24.625,25.125,7.0719,410600
29,1995-08-18,25.125,25.125,24.375,24.5,6.896,598800
30,1995-08-21,24.625,24.875,24.25,24.25,6.8256,440400
31,1995-08-22,24.375,24.5,23.75,24.0,6.7553,444200
32,1995-08-23,24.125,24.125,23.125,23.625,6.6497,193200
33,1995-08-24,23.625,23.625,23.125,23.25,6.5441,1284000
34,1995-08-25,23.25,23.875,22.875,23.625,6.6497,733400
35,1995-08-28,23.625,23.625,23.0,23.25,6.5441,447600
36,1995-08-29,23.25,23.25,22.625,22.875,6.4386,368600
37,1995-08-30,22.625,23.5,22.625,23.125,6.509,398000
38,1995-08-31,23.25,23.375,23.125,23.375,6.5793,417400
39,1995-09-01,23.25,23.625,23.25,23.5,6.6145,594600
40,1995-09-05,23.75,23.875,23.375,23.625,6.6497,487600
41,1995-09-06,23.75,24.0,23.625,23.875,6.7201,476400
42,1995-09-07,23.75,23.75,23.125,23.25,6.5441,618000
43,1995-09-08,23.25,23.375,23.125,23.25,6.5441,1015600
44,1995-09-11,23.25,24.0,23.125,23.75,6.6849,279000
45,1995-09-12,23.75,24.0,23.375,24.0,6.7553,290000
46,1995-09-13,24.375,24.875,24.375,24.375,6.8608,325000
47,1995-09-14,24.375,24.5,24.125,24.5,6.896,491800
48,1995-09-15,24.75,24.875,24.5,24.75,6.9664,1108600
49,1995-09-18,24.75,24.875,24.625,24.875,7.0015,609400
50,1995-09-19,24.75,24.875,24.625,24.875,7.0015,581600
51,1995-09-20,24.75,24.875,24.625,24.75,6.9664,597600
52,1995-09-21,24.75,24.875,24.625,24.75,6.9664,437400
