,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2001-06-20,13.3691,13.6477,13.3134,13.3134,9.7519,11000
1,2001-06-21,13.6477,14.2047,13.6477,14.2047,10.4048,39300
2,2001-06-22,14.2047,14.2883,14.2047,14.2604,10.4456,33800
3,2001-06-25,14.4275,14.7617,14.4275,14.7617,10.8128,9100
4,2001-06-26,14.7617,14.7617,14.5668,14.7339,10.7924,109800
5,2001-06-27,14.7339,14.8174,14.7283,14.8174,10.8536,185300
6,2001-06-28,14.9289,15.3188,14.9289,15.3188,11.2208,66000
7,2001-06-29,15.3466,15.653,15.3466,15.5973,11.4248,71300
8,2001-07-02,15.5973,15.8201,15.5973,15.5973,11.4248,69700
9,2001-07-03,15.6029,15.6864,15.6029,15.6252,11.4452,56200
10,2001-07-05,15.6252,15.6252,15.5639,15.5695,11.4044,61900
11,2001-07-06,15.5695,16.7114,14.9846,16.7114,12.2409,3337400
12,2001-07-09,16.7114,17.4356,16.6,16.6613,12.2042,1674700
13,2001-07-10,16.6613,16.717,15.9037,15.9037,11.6493,1210400
14,2001-07-11,15.848,16.1599,15.809,15.8758,11.6289,2426400
15,2001-07-12,15.8814,16.8228,15.8814,16.405,12.0165,1294600
16,2001-07-13,16.3493,16.7226,16.1488,16.1544,11.8329,709500
17,2001-07-16,16.1544,16.4942,15.887,16.0151,11.7309,593900
18,2001-07-17,16.0151,16.5721,15.9928,16.483,12.0736,837100
19,2001-07-18,16.444,16.7114,16.3939,16.4273,12.0328,396600
20,2001-07-19,16.3995,16.4357,16.0485,16.0987,11.7921,303600
21,2001-07-20,16.043,16.2379,16.043,16.1321,11.8166,519000
22,2001-07-23,16.1321,16.1599,15.9315,16.1599,11.837,206100
23,2001-07-24,16.1265,16.3215,16.0095,16.1432,11.8247,268600
24,2001-07-25,16.1377,16.5944,16.0151,16.4607,12.0573,385200
25,2001-07-26,16.3772,16.6836,16.2546,16.6724,12.2123,208500
26,2001-07-27,16.6668,17.0178,16.6557,17.0066,12.4572,274600
27,2001-07-30,17.0122,17.9091,17.0122,17.6138,12.9019,289200
28,2001-07-31,17.6027,18.6611,17.6027,18.3937,13.4732,357300
29,2001-08-01,18.4383,19.0956,18.4383,18.9396,13.873,759800
30,2001-08-02,18.9117,19.051,18.7502,18.7781,13.7547,365500
31,2001-08-03,18.6611,18.6889,18.1597,18.1876,13.3222,139800
32,2001-08-06,18.2711,18.3268,17.8701,17.9035,13.1141,161700
33,2001-08-07,17.9035,18.2154,17.8812,18.0762,13.2406,186400
34,2001-08-08,18.104,18.1597,17.8255,18.0985,13.2569,322400
35,2001-08-09,18.104,18.1597,18.0205,18.1096,13.2651,169400
36,2001-08-10,18.1096,18.2433,17.8812,17.9091,13.1182,328500
37,2001-08-13,17.9035,17.9035,17.8199,17.8255,13.057,396200
38,2001-08-14,18.3826,18.3826,18.0929,18.2656,13.3793,269000
39,2001-08-15,18.2711,18.4383,17.8255,17.8255,13.057,307000
40,2001-08-16,17.8255,17.9091,17.7141,17.8255,13.057,280600
41,2001-08-17,17.7977,17.9648,17.7085,17.9592,13.1549,211200
42,2001-08-20,17.987,17.987,17.8255,17.8366,13.0651,150900
43,2001-08-21,17.8255,18.0762,17.8255,17.9926,13.1794,321800
44,2001-08-22,17.9369,18.1764,17.9091,18.104,13.261,234300
45,2001-08-23,17.9648,18.104,17.9369,18.0483,13.2202,72300
46,2001-08-24,18.0205,18.0483,17.9369,18.0205,13.1998,69600
47,2001-08-27,18.0205,18.2321,18.0205,18.1876,13.3222,80900
48,2001-08-28,18.2266,18.2266,17.9982,18.0372,13.212,241000
49,2001-08-29,18.0372,18.2377,17.9926,18.2321,13.3548,261600
50,2001-08-30,18.2043,18.4494,18.2043,18.3881,13.4691,182300
51,2001-08-31,18.5218,19.1401,18.5218,19.1401,14.0199,277600
52,2001-09-04,19.1346,19.5523,19.1234,19.4409,14.2403,760800
53,2001-09-05,19.4409,19.4409,18.7781,18.7836,13.7588,296900
54,2001-09-06,18.7725,18.7725,18.2879,18.3826,13.465,333900
55,2001-09-07,18.3826,18.4104,18.104,18.182,13.3181,186200
56,2001-09-10,18.104,18.3046,18.104,18.2433,13.363,179400
57,2001-09-17,17.8255,17.8534,16.7058,16.7615,12.2776,279800
58,2001-09-18,16.7615,17.1459,16.7003,17.1292,12.5469,389000
59,2001-09-19,17.1849,17.3799,16.9008,17.1682,12.5755,222200
60,2001-09-20,17.1013,17.1849,16.3215,16.639,12.1879,653800
61,2001-09-21,15.8201,16.6557,15.4581,16.5109,12.094,685900
