,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,36.5,36.75,36.5,36.5,3.6955,192800
1,1984-11-06,37.5,37.5,36.75,37.5,3.7968,429600
2,1984-11-07,37.125,37.375,37.125,37.125,3.7588,214400
3,1984-11-08,37.5,37.75,37.0,37.5,3.7968,516000
4,1984-11-09,37.75,38.0,37.5,37.75,3.8221,570800
5,1984-11-12,37.625,37.625,37.375,37.625,3.8094,48000
6,1984-11-13,37.0,37.5,37.0,37.0,3.7462,75600
7,1984-11-14,36.5,37.0,36.5,36.5,3.6955,140400
8,1984-11-15,36.75,37.0,36.5,36.75,3.7209,326800
9,1984-11-16,36.75,37.0,36.75,36.75,3.7209,154000
10,1984-11-19,35.75,36.5,35.75,35.75,3.6196,158800
11,1984-11-20,35.875,35.875,35.375,35.875,3.6323,367200
12,1984-11-21,36.125,36.125,35.875,36.125,3.6576,74800
13,1984-11-23,37.125,37.125,36.125,37.125,3.7588,140800
14,1984-11-26,37.125,37.125,37.125,37.125,3.7588,150800
15,1984-11-27,37.5,37.75,37.0,37.5,3.7968,216800
16,1984-11-28,37.375,37.875,37.375,37.375,3.7841,446800
17,1984-11-29,36.0,37.0,36.0,36.0,3.6449,211600
18,1984-11-30,36.375,36.375,36.125,36.375,3.6829,103200
19,1984-12-03,36.375,36.375,36.125,36.375,3.6829,171600
20,1984-12-04,36.375,36.625,36.375,36.375,3.6829,155600
21,1984-12-05,36.125,36.375,36.125,36.125,3.6576,136000
22,1984-12-06,36.375,36.375,36.125,36.375,3.6829,220800
23,1984-12-07,36.5,36.75,36.5,36.5,3.6955,61600
24,1984-12-10,36.5,36.5,36.5,36.5,3.6955,81600
25,1984-12-11,36.25,36.5,36.0,36.25,3.6702,101600
26,1984-12-12,35.75,36.0,35.75,35.75,3.6196,128800
27,1984-12-13,35.5,35.75,35.5,35.5,3.5943,75600
28,1984-12-14,35.75,36.0,35.25,35.75,3.6196,164000
29,1984-12-17,36.25,36.25,35.75,36.25,3.6702,77600
30,1984-12-18,37.125,37.125,36.125,37.125,3.7588,582800
31,1984-12-19,37.375,37.625,37.375,37.375,3.7841,278800
32,1984-12-20,36.875,37.375,36.875,36.875,3.7335,202800
33,1984-12-21,36.625,36.875,35.625,36.625,3.7082,111200
34,1984-12-24,36.75,36.75,36.5,36.75,3.7209,56800
35,1984-12-26,37.0,37.0,36.75,37.0,3.7462,223600
36,1984-12-27,37.25,37.75,37.25,37.25,3.7715,85200
37,1984-12-28,36.625,37.125,36.625,36.625,3.7082,47200
38,1984-12-31,37.0,37.0,36.5,37.0,3.7462,113600
39,1985-01-02,37.0,37.0,36.75,37.0,3.7462,49600
40,1985-01-03,36.75,37.0,36.75,36.75,3.7209,155600
41,1985-01-04,36.875,36.875,36.625,36.875,3.7335,80400
42,1985-01-07,37.125,37.125,36.875,37.125,3.7588,168400
43,1985-01-08,37.75,38.0,37.0,37.75,3.8221,805600
44,1985-01-09,38.125,38.375,37.625,38.125,3.8601,262000
45,1985-01-10,38.5,38.75,38.0,38.5,3.898,220000
46,1985-01-11,38.25,38.5,38.25,38.25,3.8727,298800
47,1985-01-14,39.5,39.5,38.25,39.5,3.9993,194400
48,1985-01-15,39.5,40.0,39.0,39.5,3.9993,764000
49,1985-01-16,39.625,40.125,39.625,39.625,4.0119,906400
50,1985-01-17,39.25,39.5,38.75,39.25,3.974,393200
51,1985-01-18,39.125,39.375,39.125,39.125,3.9613,267600
52,1985-01-21,40.0,40.0,39.0,40.0,4.0499,2039600
53,1985-01-22,41.0,41.25,40.75,41.0,4.1512,1080000
54,1985-01-23,42.875,42.875,40.875,42.875,4.341,1437200
