,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,4.753,4.753,4.7128,4.733,0.9713,91200
1,1984-11-06,4.733,4.733,4.6628,4.7028,0.9652,149600
2,1984-11-07,4.6928,4.6928,4.6528,4.6928,0.9631,271200
3,1984-11-08,4.6928,4.6928,4.6528,4.6528,0.9549,178000
4,1984-11-09,4.6528,4.6528,4.5124,4.5124,0.9261,48400
5,1984-11-12,4.5324,4.5324,4.4922,4.5124,0.9261,211600
6,1984-11-13,4.5324,4.5324,4.4922,4.5124,0.9261,236800
7,1984-11-14,4.5926,4.5926,4.5224,4.5926,0.9425,80000
8,1984-11-15,4.6126,4.6126,4.5724,4.5724,0.9384,69600
9,1984-11-16,4.5724,4.5724,4.4722,4.5124,0.9261,90000
10,1984-11-19,4.5324,4.5324,4.4922,4.4922,0.9219,24000
11,1984-11-20,4.5124,4.5124,4.392,4.4322,0.9096,179600
12,1984-11-21,4.4522,4.4522,4.392,4.4322,0.9096,228400
13,1984-11-23,4.5926,4.5926,4.4722,4.5926,0.9425,228800
14,1984-11-26,4.6226,4.6226,4.5724,4.5926,0.9425,148800
15,1984-11-27,4.6426,4.6426,4.5926,4.6126,0.9466,57200
16,1984-11-28,4.7128,4.7128,4.6528,4.6928,0.9631,64400
17,1984-11-29,4.6728,4.6728,4.5724,4.6126,0.9466,35200
18,1984-11-30,4.6426,4.6426,4.5424,4.5724,0.9384,156800
19,1984-12-03,4.5724,4.5724,4.5324,4.5524,0.9343,65200
20,1984-12-04,4.6126,4.6126,4.5324,4.5524,0.9343,192800
21,1984-12-05,4.5926,4.5926,4.5524,4.5926,0.9425,156400
22,1984-12-06,4.5926,4.5926,4.5124,4.5324,0.9302,109200
23,1984-12-07,4.5124,4.5124,4.412,4.4322,0.9096,211200
24,1984-12-10,4.4522,4.4522,4.412,4.422,0.9075,96400
25,1984-12-11,4.4522,4.4522,4.412,4.4322,0.9096,127600
26,1984-12-12,4.362,4.362,4.1714,4.1914,0.8602,769600
27,1984-12-13,4.3518,4.3518,4.2014,4.2716,0.8767,1034800
28,1984-12-14,4.4722,4.4722,4.2616,4.4322,0.9096,464800
29,1984-12-17,4.4822,4.4822,4.422,4.422,0.9075,78800
30,1984-12-18,4.4922,4.4922,4.422,4.4722,0.9178,170000
31,1984-12-19,4.5624,4.5624,4.4322,4.5324,0.9302,448400
32,1984-12-20,4.5724,4.5724,4.5224,4.5424,0.9322,63200
33,1984-12-21,4.5524,4.5524,4.5022,4.5324,0.9302,198000
34,1984-12-24,4.5324,4.5324,4.5124,4.5124,0.9261,104400
35,1984-12-26,4.5324,4.5324,4.5022,4.5022,0.924,12800
36,1984-12-27,4.5022,4.5022,4.3518,4.412,0.9055,358000
37,1984-12-28,4.4322,4.4322,4.372,4.392,0.9014,190800
38,1984-12-31,4.5224,4.5224,4.372,4.5224,0.9281,132800
39,1985-01-02,4.5324,4.5324,4.4722,4.4922,0.9219,87600
40,1985-01-03,4.4722,4.4722,4.372,4.372,0.8972,118800
41,1985-01-04,4.392,4.392,4.3318,4.3318,0.889,246000
42,1985-01-07,4.372,4.372,4.3118,4.372,0.8972,135600
43,1985-01-08,4.4322,4.4322,4.3518,4.392,0.9014,276400
44,1985-01-09,4.392,4.392,4.3518,4.372,0.8972,41200
45,1985-01-10,4.412,4.412,4.362,4.402,0.9034,207600
46,1985-01-11,4.4522,4.4522,4.392,4.4322,0.9096,167600
47,1985-01-14,4.5926,4.5926,4.4322,4.5926,0.9425,94800
48,1985-01-15,4.6928,4.6928,4.6326,4.6628,0.9569,249200
49,1985-01-16,4.6728,4.6728,4.5724,4.6326,0.9507,81600
50,1985-01-17,4.733,4.733,4.6126,4.6528,0.9549,47600
51,1985-01-18,4.6928,4.6928,4.6326,4.6928,0.9631,138400
52,1985-01-21,4.8834,4.8834,4.6928,4.8834,1.0022,94400
53,1985-01-22,4.9134,4.9134,4.8332,4.8432,0.994,243600
54,1985-01-23,4.9936,4.9936,4.8132,4.9836,1.0228,168400
55,1985-01-24,5.0838,5.0838,5.0136,5.0338,1.0331,215600
56,1985-01-25,5.154,5.154,5.0538,5.134,1.0536,120000
57,1985-01-28,5.114,5.114,5.0538,5.0738,1.0413,79200
58,1985-01-29,5.154,5.154,5.0638,5.154,1.0578,118000
59,1985-01-30,5.2544,5.2544,5.154,5.2242,1.0722,264800
60,1985-01-31,5.4148,5.4148,5.1742,5.3746,1.103,475600
61,1985-02-01,5.3746,5.3746,5.2544,5.3146,1.0907,103200
62,1985-02-04,5.3146,5.3146,5.2342,5.2544,1.0783,264000
63,1985-02-05,5.2844,5.2844,5.2544,5.2544,1.0783,78800
64,1985-02-06,5.2944,5.2944,5.2342,5.2342,1.0742,165600
65,1985-02-07,5.2744,5.2744,5.2142,5.2544,1.0783,114000
66,1985-02-08,5.3146,5.3146,5.2544,5.2844,1.0845,96400
67,1985-02-11,5.3546,5.3546,5.0538,5.0538,1.0372,340000
68,1985-02-12,5.2342,5.2342,5.094,5.2142,1.0701,379600
69,1985-02-13,5.2944,5.2944,5.2544,5.2844,1.0845,803200
70,1985-02-14,5.3746,5.3746,5.2744,5.3346,1.0948,272400
71,1985-02-15,5.3948,5.3948,5.3146,5.3948,1.1071,207200
72,1985-02-19,5.3948,5.3948,5.3546,5.3746,1.103,92400
73,1985-02-20,5.4348,5.4348,5.3646,5.4148,1.1113,68400
74,1985-02-21,5.4148,5.4148,5.3346,5.3346,1.0948,456400
75,1985-02-22,5.3146,5.3146,5.1742,5.2544,1.0783,68000
76,1985-02-25,5.2142,5.2142,5.134,5.154,1.0578,138400
77,1985-02-26,5.1942,5.1942,5.154,5.1742,1.0619,137200
78,1985-02-27,5.1942,5.1942,5.154,5.154,1.0578,259600
79,1985-02-28,5.1742,5.1742,5.144,5.1742,1.0619,82400
80,1985-03-01,5.2944,5.2944,5.1742,5.2744,1.0825,211200
81,1985-03-04,5.3346,5.3346,5.2544,5.2744,1.0825,182400
82,1985-03-05,5.3044,5.3044,5.2342,5.2744,1.0825,227200
83,1985-03-06,5.2744,5.2744,5.1742,5.2142,1.0701,153200
84,1985-03-07,5.2342,5.2342,5.2042,5.2042,1.068,51200
85,1985-03-08,5.2142,5.2142,5.154,5.154,1.0578,104400
86,1985-03-11,5.134,5.134,5.0738,5.0738,1.0413,388800
87,1985-03-12,5.094,5.094,5.0538,5.0738,1.0413,104000
88,1985-03-13,5.0738,5.0738,4.9334,4.9536,1.0166,150800
89,1985-03-14,4.9636,4.9636,4.9334,4.9636,1.0187,151200
90,1985-03-15,4.9636,4.9636,4.8934,4.8934,1.0043,130000
91,1985-03-18,4.8934,4.8934,4.773,4.8232,0.9898,188800
92,1985-03-19,4.8834,4.8834,4.8032,4.8834,1.0022,174800
93,1985-03-20,4.9536,4.9536,4.8834,4.8934,1.0043,236400
94,1985-03-21,4.9736,4.9736,4.9234,4.9536,1.0166,112400
95,1985-03-22,4.9936,4.9936,4.9536,4.9936,1.0248,197200
96,1985-03-25,5.0136,5.0136,4.9636,4.9636,1.0187,53600
97,1985-03-26,4.9736,4.9736,4.9536,4.9536,1.0166,233200
98,1985-03-27,5.0338,5.0338,4.9736,5.0338,1.0331,83600
99,1985-03-28,5.0438,5.0438,5.0136,5.0438,1.0351,153200
100,1985-03-29,5.0438,5.0438,4.9736,4.9936,1.0248,178000
101,1985-04-01,5.0338,5.0338,4.9936,4.9936,1.0248,45600
102,1985-04-02,5.0238,5.0238,4.9936,5.0136,1.0289,132400
103,1985-04-03,5.0438,5.0438,4.9536,4.9836,1.0228,248400
104,1985-04-04,5.0136,5.0136,4.9134,4.9234,1.0104,81600
105,1985-04-08,4.9736,4.9736,4.9334,4.9736,1.0207,308800
106,1985-04-09,5.0036,5.0036,4.9636,4.9836,1.0228,21200
107,1985-04-10,4.9936,4.9936,4.9736,4.9936,1.0248,62800
108,1985-04-11,5.0036,5.0036,4.9736,4.9736,1.0207,162000
109,1985-04-12,5.0136,5.0136,4.9536,4.9636,1.0187,211200
110,1985-04-15,5.0136,5.0136,4.9736,4.9936,1.0248,132400
111,1985-04-16,5.0538,5.0538,4.9836,5.0338,1.0331,94800
112,1985-04-17,5.0538,5.0538,4.9334,4.9334,1.0125,51600
113,1985-04-18,4.8934,4.8934,4.793,4.8632,0.9981,101200
114,1985-04-19,4.8734,4.8734,4.8332,4.8632,0.9981,181200
115,1985-04-22,4.8834,4.8834,4.8532,4.8532,0.996,85200
116,1985-04-23,4.8332,4.8332,4.773,4.773,0.9796,142000
117,1985-04-24,4.8532,4.8532,4.8032,4.8332,0.9919,212800
118,1985-04-25,4.9536,4.9536,4.8432,4.9334,1.0125,137600
119,1985-04-26,4.9836,4.9836,4.9134,4.9134,1.0084,351200
120,1985-04-29,4.9536,4.9536,4.9234,4.9334,1.0125,201200
121,1985-04-30,4.9736,4.9736,4.9334,4.9636,1.0187,205200
122,1985-05-01,4.9936,4.9936,4.9536,4.9536,1.0166,282000
123,1985-05-02,4.9736,4.9736,4.9334,4.9334,1.0125,80800
124,1985-05-03,5.0036,5.0036,4.9536,4.9836,1.0228,52400
125,1985-05-06,5.0538,5.0538,4.9736,5.0338,1.0331,55600
126,1985-05-07,5.0538,5.0538,4.9936,4.9936,1.0248,120800
127,1985-05-08,5.0036,5.0036,4.9736,4.9836,1.0228,179600
128,1985-05-09,5.0136,5.0136,4.9736,4.9836,1.0228,275600
129,1985-05-10,5.0036,5.0036,4.9736,5.0036,1.0269,41200
130,1985-05-13,5.0136,5.0136,4.9334,4.9536,1.0166,261600
131,1985-05-14,4.9936,4.9936,4.9736,4.9936,1.0248,142800
132,1985-05-15,5.0338,5.0338,4.9736,5.0338,1.0331,133600
133,1985-05-16,5.1742,5.1742,5.0538,5.1742,1.0619,287200
134,1985-05-17,5.3546,5.3546,5.2142,5.2944,1.0866,168800
135,1985-05-20,5.3948,5.3948,5.2944,5.3746,1.103,58000
136,1985-05-21,5.455,5.455,5.3746,5.455,1.1195,129200
137,1985-05-22,5.4348,5.4348,5.3746,5.4148,1.1113,82000
138,1985-05-23,5.3948,5.3948,5.3546,5.3746,1.103,122800
139,1985-05-24,5.3646,5.3646,5.3346,5.3346,1.0948,93600
140,1985-05-28,5.4048,5.4048,5.3346,5.3948,1.1071,117200
141,1985-05-29,5.4148,5.4148,5.3746,5.4148,1.1113,79600
142,1985-05-30,5.4148,5.4148,5.3746,5.3948,1.1071,288800
143,1985-05-31,5.3546,5.3546,5.154,5.154,1.0578,294400
144,1985-06-03,5.134,5.134,5.0738,5.114,1.0495,125600
145,1985-06-04,5.124,5.124,5.0738,5.0738,1.0413,104400
146,1985-06-05,5.124,5.124,5.094,5.094,1.0454,66400
147,1985-06-06,5.1742,5.1742,5.0838,5.1742,1.0619,74000
148,1985-06-07,5.1942,5.1942,5.134,5.154,1.0578,245600
149,1985-06-10,5.1742,5.1742,5.0738,5.1742,1.0619,152400
150,1985-06-11,5.1942,5.1942,5.134,5.134,1.0536,136400
151,1985-06-12,5.1742,5.1742,5.134,5.1742,1.0619,52400
152,1985-06-13,5.1942,5.1942,5.134,5.134,1.0536,97200
153,1985-06-14,5.1742,5.1742,5.134,5.1742,1.0619,53200
154,1985-06-17,5.2142,5.2142,5.154,5.1842,1.0639,54400
155,1985-06-18,5.2342,5.2342,5.1742,5.1842,1.0639,99600
156,1985-06-19,5.2142,5.2142,5.2142,5.2142,1.0701,31600
157,1985-06-20,5.2544,5.2544,5.2242,5.2544,1.0783,61600
158,1985-06-21,5.2844,5.2844,5.2342,5.2844,1.0845,150800
159,1985-06-24,5.2844,5.2844,5.2644,5.2644,1.0804,11200
160,1985-06-25,5.2944,5.2944,5.2644,5.2744,1.0825,124000
161,1985-06-26,5.2944,5.2944,5.2544,5.2944,1.0866,23200
