Date,Open,High,Low,Close,Adjusted_close,Volume
2009-03-26,5,5,5,5,60,30
2009-04-14,5.25,5.25,5.25,5.25,63,30
2009-10-21,7.5,7.5,7.5,7.5,90,3
2009-11-06,7.55,7.55,7.55,7.55,90.6,25
2009-11-11,7.55,7.55,7.55,7.55,90.6,10
2009-11-18,8,8,8,8,96,6
2009-11-19,8,8,8,8,96,6
2009-12-09,8.5,8.5,8.5,8.5,102,12
2009-12-11,8.51,8.51,8.51,8.51,102.12,15
2009-12-16,10.01,10.01,10.01,10.01,120.12,14
2009-12-18,10.01,10.01,10.01,10.01,120.12,6
2009-12-23,10.01,10.01,10.01,10.01,120.12,6
2010-01-04,10.01,10.01,10.01,10.01,120.12,13
2010-01-11,10.01,10.01,10.01,10.01,120.12,4
2010-01-21,10.01,10.01,10.01,10.01,120.12,10
2010-01-27,10.01,10.01,10.01,10.01,120.12,9
2010-01-28,10.01,10.01,10.01,10.01,120.12,20
2010-02-09,10.01,10.01,10.01,10.01,120.12,6
2010-02-22,10.01,10.01,10.01,10.01,120.12,15
2010-02-23,10.01,10.01,10.01,10.01,120.12,4
2010-03-11,11.05,11.05,11.05,11.05,132.6,6
2010-04-07,11.01,11.01,11.01,11.01,132.12,3
2010-04-20,11.01,11.01,11.01,11.01,132.12,3
2010-04-22,11.01,11.01,11.01,11.01,132.12,30
2010-04-30,11.01,11.01,11.01,11.01,132.12,6
2010-05-12,11.01,11.01,11.01,11.01,132.12,21
2010-06-15,12.01,12.01,12.01,12.01,144.12,3
2010-06-16,12.01,12.01,12.01,12.01,144.12,6
2010-06-21,12.01,12.01,12.01,12.01,144.12,3
2010-07-09,12,12,12,12,144,24
2010-07-29,12.05,12.05,12.05,12.05,144.6,3
2010-08-06,13,13,13,13,156,5
2010-08-10,13,13,13,13,156,15
2010-08-11,12.05,12.05,12.05,12.05,144.6,2
2010-08-24,13.1,13.1,13.1,13.1,157.2,21
2010-09-02,14.05,14.05,14.05,14.05,168.6,10
2010-09-09,13,13,13,13,156,4
2010-09-27,12.05,12.05,12.05,12.05,144.6,6
2010-10-26,12,12,12,12,144,3
2010-11-03,12,12,12,12,144,10
2010-11-04,12,12,12,12,144,12
2010-11-16,12,12,12,12,144,26
2010-11-22,12,12,12,12,144,9
2010-11-29,12,12,12,12,144,10
2010-12-08,12,12,12,12,144,15
2010-12-10,12,12,12,12,144,15
2010-12-15,12,12,12,12,144,30
2010-12-16,12,12,12,12,144,45
2011-01-10,12,12,12,12,144,9
2011-01-18,13,13,13,13,156,20
2011-01-20,13,13,13,13,156,15
2011-01-27,12,12,12,12,144,36
2011-01-28,12.01,12.01,12.01,12.01,144.12,6
2011-02-07,13,13,13,13,156,3
2011-02-08,13.13,13.13,13.13,13.13,157.56,10
2011-02-10,14,14.01,14,14.01,168.12,42
2011-02-11,14.01,14.01,14.01,14.01,168.12,30
2011-02-16,14.02,14.02,14.02,14.02,168.24,15
2011-02-25,14.03,14.03,14.03,14.03,168.36,6
2011-02-28,14.03,14.03,14.03,14.03,168.36,15
2011-03-03,14.5,14.5,14.5,14.5,174,9
2011-03-08,14.5,14.5,14.5,14.5,174,6
2011-03-09,14.5,14.5,14.5,14.5,174,9
2011-03-10,14.5,14.5,14.5,14.5,174,15
2011-03-28,14.5,14.5,14.5,14.5,174,60
2011-04-04,15.01,15.01,15.01,15.01,180.12,8
2011-04-07,15.5,15.5,15.5,15.5,186,3
2011-04-19,15.5,15.5,15.5,15.5,186,6
2011-05-11,16,16,16,16,192,2
2011-05-12,16,16,16,16,192,18
2011-06-09,16.26,16.26,16.26,16.26,195.12,6
2011-07-13,16.3,16.3,16.3,16.3,195.6,64
2011-07-18,16.31,16.31,16.31,16.31,195.72,18
2011-07-20,16.3,16.3,16.3,16.3,195.6,8
2011-07-28,16.3,16.3,16.3,16.3,195.6,3
2011-08-03,16.3,16.3,16.3,16.3,195.6,12
2011-08-10,16.3,16.3,16.3,16.3,195.6,36
2011-08-30,16.3,16.3,16.3,16.3,195.6,12
2011-08-31,16.3,16.3,16.3,16.3,195.6,2
2011-09-08,16.3,16.3,16.3,16.3,195.6,9
2011-09-09,16.3,16.3,16.3,16.3,195.6,30
2011-09-16,16.3,16.3,16.3,16.3,195.6,15
2011-09-21,16.3,16.3,16.3,16.3,195.6,15
2011-09-26,16.3,16.3,16.3,16.3,195.6,3
2011-10-12,16.3,16.3,16.3,16.3,195.6,9
2011-10-19,16.3,16.3,16.3,16.3,195.6,37
2011-10-26,16.3,16.3,16.3,16.3,195.6,15
2011-11-02,16.3,16.3,16.3,16.3,195.6,6
2011-11-03,18,18,18,18,216,26
2011-11-22,18,18,18,18,216,57
2011-11-23,18,18,18,18,216,9
2011-11-24,18,18,18,18,216,30
2011-11-25,18,18,18,18,216,30
2011-11-28,16.3,16.3,16.3,16.3,195.6,2
2011-11-29,16.3,18,16.3,18,216,36
2011-12-01,17,17,17,17,204,27
2011-12-02,18.26,18.26,18.26,18.26,219.12,6
2011-12-06,19,19,19,19,228,3
2011-12-15,20,20,20,20,240,6
2012-01-11,19.07,19.07,19.07,19.07,228.84,8
2012-01-24,20,20,20,20,240,30
2012-01-25,20,20,20,20,240,6
2012-01-26,20,20,20,20,240,25
2012-01-30,20,20,20,20,240,12
2012-01-31,20,20,20,20,240,3
2012-02-01,20,20,20,20,240,27
2012-02-02,20,20,20,20,240,15
2012-02-03,23,23,23,23,276,12
2012-02-10,23,23,20,20,240,60
2012-02-14,23,23,23,23,276,18
2012-02-16,21,21,21,21,252,10
2012-02-21,21,21,21,21,252,30
2012-02-22,21,21,21,21,252,8
2012-03-02,21,21,21,21,252,20
2012-03-05,21,21,21,21,252,15
2012-03-08,21,21,21,21,252,30
2012-03-13,21,21,21,21,252,3
2012-03-16,21,21,21,21,252,22
2012-03-26,21,21,21,21,252,60
2012-03-29,21,21,21,21,252,6
2012-04-02,21,21,21,21,252,11
2012-04-04,21,21,21,21,252,5
2012-04-05,21,21,21,21,252,15
2012-04-10,21,21,21,21,252,15
2012-04-12,21,21,21,21,252,6
2012-04-18,21,21,21,21,252,10
2012-04-19,21,21,21,21,252,5
2012-04-23,21,21,21,21,252,4
2012-05-04,21,21,21,21,252,3
2012-05-11,21,21,21,21,252,15
2012-05-16,21,21,21,21,252,6
2012-05-24,21,21,21,21,252,36
2012-06-11,21,21,21,21,252,6
2012-06-18,21,21,21,21,252,21
2012-06-19,21,21,21,21,252,6
2012-07-06,22.5,23,22.5,23,276,48
2012-07-30,21,21,21,21,252,9
2012-08-02,22,24,22,24,288,32
2012-08-09,21,21,21,21,252,10
