Date,Open,High,Low,Close,Adjusted_close,Volume
1980-03-18,17,17.625,17,17,6.1101,3600
1980-03-19,17.125,17.25,17.125,17.125,6.155,600
1980-03-20,17,17,17,17,6.1101,300
1980-03-21,16.875,16.875,16.875,16.875,6.0652,900
1980-03-24,16.375,16.75,16.375,16.375,5.8855,34500
1980-03-25,16.25,16.25,16.25,16.25,5.8405,19000
1980-03-26,16.25,16.375,16.25,16.25,5.8405,7100
1980-03-27,16.25,16.25,16.25,16.25,5.8405,16900
1980-03-28,16.5,16.5,16.5,16.5,5.9304,3900
1980-03-31,16.875,17,16.875,16.875,6.0652,2400
1980-04-01,17,17,17,17,6.1101,10600
1980-04-02,17.125,17.125,17.125,17.125,6.155,500
1980-04-03,17.25,17.25,17.25,17.25,6.1999,900
1980-04-07,16.75,17.25,16.75,16.75,6.0202,1400
1980-04-08,16.125,16.5,16.125,16.125,5.7956,1200
1980-04-09,16.125,16.25,16.125,16.125,5.7956,1000
1980-04-10,16,16.125,16,16,5.7507,4200
1980-04-11,16.25,16.25,16.25,16.25,5.8405,1100
1980-04-14,16.625,16.75,16.625,16.625,5.9753,1000
1980-04-15,16.125,16.5,16.125,16.125,5.7956,7200
1980-04-16,16,16.25,16,16,5.7507,200
1980-04-17,16.25,16.25,16.25,16.25,5.8405,2800
1980-04-18,16.125,16.125,16.125,16.125,5.7956,100
1980-04-21,16,16,16,16,5.7507,24600
1980-04-22,16.25,16.25,16.25,16.25,5.8405,700
1980-04-23,16.25,16.25,16.25,16.25,5.8405,2400
1980-04-24,16.5,16.5,16.5,16.5,5.9304,6200
1980-04-25,16.125,16.25,16.125,16.125,5.7956,20800
1980-04-28,16,16,16,16,5.7507,800
1980-04-29,16.125,16.375,16.125,16.125,5.7956,1300
1980-04-30,16.5,16.625,16.5,16.5,5.9304,3000
1980-05-01,16.375,16.375,16.375,16.375,5.8855,400
1980-05-02,16.5,16.75,16.5,16.5,5.9304,600
1980-05-05,16.625,16.625,16.625,16.625,5.9753,1300
1980-05-06,16.375,16.5,16.375,16.375,5.8855,700
1980-05-07,16.625,16.625,16.625,16.625,5.9753,1700
1980-05-08,16.75,16.75,16.75,16.75,6.0202,2500
1980-05-09,17,17,17,17,6.1101,2100
1980-05-13,17,17,17,17,6.1101,1300
1980-05-14,17,17,17,17,6.1101,5400
1980-05-15,16.75,17,16.75,16.75,6.0202,3100
1980-05-16,16.875,17,16.875,16.875,6.0652,8700
1980-05-20,17,17,17,17,6.1101,1700
1980-05-21,17.375,17.375,17.375,17.375,6.2449,4700
1980-05-22,17.375,17.5,17.375,17.375,6.2449,1100
1980-05-23,17.375,17.625,17.375,17.375,6.2449,1700
1980-05-27,17.5,17.5,17.5,17.5,6.2898,800
1980-05-28,17.875,17.875,17.875,17.875,6.4246,400
1980-05-29,18,18,18,18,6.4695,300
1980-05-30,17.75,17.875,17.75,17.75,6.3796,2000
1980-06-02,17.375,17.5,17.375,17.375,6.2449,5500
1980-06-03,17.125,17.5,17.125,17.125,6.155,11100
1980-06-04,17.25,17.25,17.25,17.25,6.1999,300
1980-06-05,17.25,17.25,17.25,17.25,6.1999,1000
1980-06-06,17.25,17.25,17.25,17.25,6.1999,4500
1980-06-10,17.625,17.625,17.625,17.625,6.3347,1100
1980-06-11,17.75,18,17.75,17.75,6.3796,800
1980-06-13,18,18,18,18,6.4695,600
1980-06-16,17.75,18.125,17.75,17.75,6.3796,3200
1980-06-17,17.5,17.625,17.5,17.5,6.2898,5100
1980-06-19,17.25,17.375,17.25,17.25,6.1999,1300
1980-06-20,17.125,17.125,17.125,17.125,6.155,1000
1980-06-23,17.375,17.375,17.375,17.375,6.2449,2100
1980-06-25,17,17.25,17,17,6.1101,7000
1980-06-26,16.75,16.75,16.75,16.75,6.0202,2500
1980-06-27,16.75,16.75,16.75,16.75,6.0202,700
1980-06-30,17,17,17,17,6.1101,100
1980-07-01,17,17,17,17,6.1101,13800
1980-07-02,16.625,16.875,16.625,16.625,5.9753,5000
1980-07-03,16.75,16.75,16.75,16.75,6.0202,100
1980-07-07,16.625,16.625,16.625,16.625,5.9753,600
1980-07-08,16.875,16.875,16.875,16.875,6.0652,16700
1980-07-09,16.875,16.875,16.875,16.875,6.0652,14200
1980-07-10,16.75,17.25,16.75,16.75,6.0202,11300
1980-07-11,16.625,16.75,16.625,16.625,5.9753,16600
1980-07-14,17.375,17.375,17.375,17.375,6.2449,1700
1980-07-15,17.375,17.375,17.375,17.375,6.2449,100
1980-07-16,17,17.125,17,17,6.1101,1300
1980-07-17,17,17,17,17,6.1101,100
1980-07-18,17.25,17.5,17.25,17.25,6.1999,17000
1980-07-21,17.625,17.625,17.625,17.625,6.3347,900
1980-07-22,19.375,19.375,19.375,19.375,6.9637,38400
1980-07-23,18.75,19,18.75,18.75,6.739,6300
1980-07-24,18.25,18.75,18.25,18.25,6.5593,2200
1980-07-25,18.5,18.5,18.5,18.5,6.6492,8300
1980-07-28,19.25,19.25,19.25,19.25,6.9187,3400
1980-07-29,19.5,19.625,19.5,19.5,7.0086,2400
1980-07-31,19.375,19.5,19.375,19.375,6.9637,1500
1980-08-01,19.75,20,19.75,19.75,7.0984,4200
1980-08-04,19.125,19.75,19.125,19.125,6.8738,7600
1980-08-05,19.125,19.375,19.125,19.125,6.8738,500
1980-08-06,18.75,19,18.75,18.75,6.739,900
1980-08-07,19,19.375,19,19,6.8289,4500
1980-08-08,19.125,19.125,19.125,19.125,6.8738,1100
1980-08-11,19.375,19.625,19.375,19.375,6.9637,5400
1980-08-12,19.75,19.75,19.75,19.75,7.0984,700
1980-08-13,19.75,19.75,19.75,19.75,7.0984,600
1980-08-14,19.125,19.5,19.125,19.125,6.8738,3200
1980-08-15,19.75,19.75,19.75,19.75,7.0984,2800
1980-08-18,19.75,19.75,19.75,19.75,7.0984,7500
1980-08-19,20.375,20.375,20.375,20.375,7.3231,1500
1980-08-20,19.875,20.75,19.875,19.875,7.1434,7500
1980-08-21,19.75,19.875,19.75,19.75,7.0984,4200
1980-08-22,20.5,20.75,20.5,20.5,7.368,2100
1980-08-25,20.25,20.5,20.25,20.25,7.2781,700
1980-08-26,20,20.25,20,20,7.1883,1100
