,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2004-05-25,18.75,19.51,18.75,19.5,18.2498,39915301
1,2004-05-26,19.5,19.53,19.5,19.5,18.2498,8131800
2,2004-05-27,19.5,19.51,19.49,19.5,18.2498,10778100
3,2004-05-28,19.5,19.52,19.5,19.5,18.2498,5758600
4,2004-06-01,19.5,19.57,19.01,19.53,18.2779,5800900
5,2004-06-02,19.54,19.65,19.39,19.47,18.2217,2931200
6,2004-06-03,19.46,19.55,19.25,19.51,18.2592,2040900
7,2004-06-04,19.59,20.04,19.51,19.95,18.6709,2832600
8,2004-06-07,20.02,20.38,20.0,20.37,19.064,3320600
9,2004-06-08,20.34,20.34,19.9,20.09,18.802,1971800
10,2004-06-09,19.95,20.08,19.9,20.05,18.7645,1038900
11,2004-06-10,20.1,20.19,20.05,20.12,18.83,1395200
12,2004-06-14,20.1,20.18,20.0,20.15,18.8581,1161400
13,2004-06-15,20.16,20.17,20.0,20.13,18.8394,1390100
14,2004-06-16,20.07,20.27,20.07,20.23,18.933,1007500
15,2004-06-17,20.18,21.1,20.15,20.9,19.56,2765300
16,2004-06-18,20.75,21.77,20.5,21.7,20.3087,3918000
17,2004-06-21,21.6,21.65,21.35,21.44,20.0654,2146600
18,2004-06-22,21.4,21.6,21.0,21.49,20.1122,1168400
19,2004-06-23,21.39,21.74,21.15,21.74,20.3462,1261300
20,2004-06-24,21.6,22.25,21.4,21.95,20.5427,3988000
21,2004-06-25,21.95,22.2,21.82,22.2,20.7767,6939600
22,2004-06-28,22.15,22.49,21.97,22.36,20.9264,2912500
23,2004-06-29,22.48,22.88,22.25,22.57,21.123,3135200
24,2004-06-30,22.6,23.04,22.45,22.95,21.4786,4063000
25,2004-07-01,22.94,22.95,22.56,22.65,21.1978,1658400
26,2004-07-02,22.55,22.56,21.95,22.3,20.8703,739400
27,2004-07-06,22.25,22.35,21.89,22.22,20.7954,1148400
28,2004-07-07,22.27,22.32,22.14,22.3,20.8703,1051100
29,2004-07-08,22.25,22.33,21.76,21.85,20.4491,911400
30,2004-07-09,22.0,22.0,21.5,21.89,20.4866,1146500
31,2004-07-12,21.84,22.13,21.79,22.1,20.6831,954800
32,2004-07-13,22.24,23.19,22.23,23.0,21.5254,2330600
33,2004-07-14,22.9,23.3,22.68,22.79,21.3289,1535400
34,2004-07-15,22.8,22.9,22.72,22.84,21.3757,570800
35,2004-07-16,22.9,23.05,22.43,22.48,21.0387,770800
36,2004-07-19,22.5,22.8,22.45,22.8,21.3382,837500
37,2004-07-20,23.0,23.24,22.62,23.15,21.6658,1668700
38,2004-07-21,23.15,23.5,23.03,23.2,21.7126,1315700
39,2004-07-22,23.2,23.26,22.83,23.12,21.6377,979800
40,2004-07-23,23.2,23.25,22.87,23.05,21.5722,1063500
41,2004-07-26,22.97,23.17,22.72,22.99,21.516,748600
42,2004-07-27,22.99,23.03,22.38,22.6,21.151,1296900
43,2004-07-28,22.73,22.76,22.45,22.52,21.0762,1213900
44,2004-07-29,22.46,22.8,22.4496,22.68,21.2259,517600
45,2004-07-30,22.65,22.9,22.55,22.74,21.2821,591700
46,2004-08-02,22.7,22.85,22.5,22.72,21.2634,391200
