,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,33.375,33.375,33.0002,33.375,2.8794,406350
1,1984-11-06,33.0002,33.5001,32.7501,33.0002,2.8471,385762
2,1984-11-07,32.7501,32.8751,32.4999,32.7501,2.8255,393187
3,1984-11-08,33.375,33.375,32.625,33.375,2.8794,97875
4,1984-11-09,32.7501,33.375,32.7501,32.7501,2.8255,275400
5,1984-11-12,33.0002,33.0002,32.7501,33.0002,2.8471,38138
6,1984-11-13,32.1251,33.0002,32.1251,32.1251,2.7716,407700
7,1984-11-14,32.25,32.3751,31.8752,32.25,2.7824,214987
8,1984-11-15,32.25,32.3751,32.0,32.25,2.7824,120825
9,1984-11-16,32.3751,32.3751,32.1251,32.3751,2.7932,116775
10,1984-11-19,32.3751,32.3751,32.1251,32.3751,2.7932,67500
11,1984-11-20,31.7501,32.25,31.6251,31.7501,2.7392,102600
12,1984-11-21,31.8752,32.3751,31.7501,31.8752,2.75,182925
13,1984-11-23,32.0,32.1251,31.7501,32.0,2.7608,40500
14,1984-11-26,32.1251,32.1251,31.8752,32.1251,2.7716,96187
15,1984-11-27,32.1251,32.25,32.0,32.1251,2.7716,194062
16,1984-11-28,32.25,32.3751,32.1251,32.25,2.7824,66825
17,1984-11-29,32.0,32.1251,32.0,32.0,2.7608,10463
18,1984-11-30,31.125,32.0,31.0001,31.125,2.6853,106988
19,1984-12-03,30.6251,30.875,30.6251,30.6251,2.6422,56025
20,1984-12-04,30.6251,30.6251,30.2499,30.6251,2.6644,163350
21,1984-12-05,30.6251,30.875,30.6251,30.6251,2.6644,38475
22,1984-12-06,31.0001,31.0001,30.7502,31.0001,2.697,168412
23,1984-12-07,30.7502,31.0001,30.7502,30.7502,2.6752,237937
24,1984-12-10,30.875,30.875,30.5001,30.875,2.6861,136350
25,1984-12-11,31.125,31.125,30.7502,31.125,2.7079,159975
26,1984-12-12,30.2499,30.7502,29.8751,30.2499,2.6317,263925
27,1984-12-13,30.0,30.375,29.75,30.0,2.61,249412
28,1984-12-14,29.0001,29.8751,28.875,29.0001,2.523,598387
29,1984-12-17,30.0,30.0,29.25,30.0,2.61,263925
30,1984-12-18,32.25,32.4999,30.0,32.25,2.8057,493087
31,1984-12-19,30.7502,32.25,30.2499,30.7502,2.6752,293625
32,1984-12-20,30.7502,31.0001,30.5001,30.7502,2.6752,169087
33,1984-12-21,30.0,31.2501,30.0,30.0,2.61,307125
34,1984-12-24,30.7502,30.7502,30.0,30.7502,2.6752,24975
35,1984-12-26,30.875,30.875,30.375,30.875,2.6861,32063
36,1984-12-27,31.0001,31.6251,30.875,31.0001,2.697,271687
37,1984-12-28,31.0001,31.6251,31.0001,31.0001,2.697,190688
38,1984-12-31,31.7501,32.0,31.2501,31.7501,2.7622,133987
39,1985-01-02,31.8752,31.8752,31.6251,31.8752,2.7731,58050
40,1985-01-03,31.6251,31.8752,31.5,31.6251,2.7514,504562
41,1985-01-04,30.875,31.6251,30.875,30.875,2.6861,108675
42,1985-01-07,31.2501,31.5,31.125,31.2501,2.7187,88762
43,1985-01-08,31.7501,31.8752,31.3749,31.7501,2.7622,185625
44,1985-01-09,32.0,32.25,31.7501,32.0,2.784,343237
45,1985-01-10,32.625,32.625,31.8752,32.625,2.8384,237262
46,1985-01-11,32.8751,32.8751,32.25,32.8751,2.8601,183262
47,1985-01-14,32.625,33.0002,32.625,32.625,2.8384,62775
48,1985-01-15,32.8751,33.5001,32.8751,32.8751,2.8601,309150
49,1985-01-16,33.5001,33.5001,33.0002,33.5001,2.9145,360112
50,1985-01-17,33.6249,33.8751,33.375,33.6249,2.9254,274050
51,1985-01-18,34.0001,34.0001,33.5001,34.0001,2.958,354375
52,1985-01-21,35.7501,35.7501,33.8751,35.7501,3.1102,580162
53,1985-01-22,35.5001,36.0,35.375,35.5001,3.0885,316238
54,1985-01-23,35.1251,35.5001,34.5,35.1251,3.0559,333450
55,1985-01-24,35.1251,35.2502,35.0001,35.1251,3.0559,93487
56,1985-01-25,35.5001,35.5001,35.0001,35.5001,3.0885,1312200
57,1985-01-28,35.1251,35.625,35.0001,35.1251,3.0559,222750
58,1985-01-29,35.2502,35.2502,35.0001,35.2502,3.0667,64462
59,1985-01-30,35.1251,35.5001,35.0001,35.1251,3.0559,502537
60,1985-01-31,35.5001,35.625,35.0001,35.5001,3.0885,152550
61,1985-02-01,35.375,35.375,35.2502,35.375,3.0776,83700
62,1985-02-04,36.0,36.0,35.2502,36.0,3.132,165037
63,1985-02-05,35.5001,35.8749,35.375,35.5001,3.0885,413437
64,1985-02-06,35.375,35.8749,35.1251,35.375,3.0776,525487
65,1985-02-07,35.2502,35.375,35.0001,35.2502,3.0667,659475
66,1985-02-08,35.7501,35.7501,35.2502,35.7501,3.1102,109350
67,1985-02-11,35.8749,35.8749,35.5001,35.8749,3.1211,111375
68,1985-02-12,35.7501,36.0,35.7501,35.7501,3.1102,184275
69,1985-02-13,35.5001,35.8749,35.1251,35.5001,3.0885,628425
70,1985-02-14,35.2502,35.625,35.0001,35.2502,3.0667,109687
71,1985-02-15,35.0001,35.5001,34.875,35.0001,3.045,786037
72,1985-02-19,35.0001,35.1251,34.875,35.0001,3.045,75600
73,1985-02-20,35.0001,35.2502,34.7499,35.0001,3.045,324000
74,1985-02-21,34.875,34.875,34.6251,34.875,3.0341,145125
75,1985-02-22,34.7499,34.7499,34.5,34.7499,3.0232,68512
76,1985-02-25,34.7499,34.875,34.25,34.7499,3.0232,120487
77,1985-02-26,34.875,35.1251,34.3751,34.875,3.0341,258187
78,1985-02-27,34.7499,35.0001,34.7499,34.7499,3.0232,27675
79,1985-02-28,34.5,34.5,34.1252,34.5,3.0015,316913
80,1985-03-01,34.7499,35.0001,34.0001,34.7499,3.0232,472837
81,1985-03-04,34.7499,34.875,34.0001,34.7499,3.0232,206550
82,1985-03-05,34.875,35.375,34.1252,34.875,3.0601,401962
83,1985-03-06,35.0001,35.1251,34.6251,35.0001,3.0711,486337
84,1985-03-07,35.0001,35.0001,34.5,35.0001,3.0711,277425
85,1985-03-08,35.0001,35.0001,34.7499,35.0001,3.0711,67162
86,1985-03-11,35.0001,35.0001,34.6251,35.0001,3.0711,67162
87,1985-03-12,34.875,35.0001,34.5,34.875,3.0601,100575
88,1985-03-13,34.7499,34.875,34.7499,34.7499,3.0491,88425
