,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1997-12-31,41.75,41.75,41.25,41.438,41.438,579796
1,1998-01-02,41.688,41.813,41.0,41.75,41.75,188812
2,1998-01-05,42.125,42.25,41.75,41.938,41.938,279408
3,1998-01-06,41.875,42.25,41.75,42.0,42.0,432838
4,1998-01-07,41.75,41.875,40.688,41.625,41.625,357584
5,1998-01-08,41.75,41.75,40.5,40.563,40.563,403091
6,1998-01-09,40.5,40.5,38.625,39.0,39.0,306963
7,1998-01-12,38.625,40.0,38.375,39.938,39.938,275025
8,1998-01-13,40.0,40.25,39.438,40.25,40.25,396307
9,1998-01-14,40.5,40.5,39.75,39.938,39.938,323871
10,1998-01-15,39.813,40.25,39.75,39.938,39.938,326794
11,1998-01-16,40.063,41.375,40.063,40.813,40.813,879765
12,1998-01-20,41.063,42.25,40.813,42.25,42.25,826535
13,1998-01-21,41.5,42.875,41.188,42.188,42.188,821838
14,1998-01-22,42.0,43.188,41.813,42.625,42.625,504020
15,1998-01-23,42.312,42.312,41.0,41.313,41.313,385348
16,1998-01-26,40.813,41.25,40.5,41.25,41.25,365725
17,1998-01-27,41.438,42.563,41.375,42.375,42.375,395159
18,1998-01-28,42.125,42.312,41.813,41.813,41.813,166998
19,1998-01-29,42.0,43.0,41.688,41.75,41.75,278260
20,1998-01-30,41.687,42.0,41.375,41.938,41.938,269597
21,1998-02-02,42.0,43.563,41.938,43.563,43.563,526774
22,1998-02-03,43.375,43.625,42.688,43.563,43.563,206660
23,1998-02-04,43.688,43.813,43.0,43.688,43.688,157291
24,1998-02-05,43.625,44.125,43.188,43.563,43.563,426158
25,1998-02-06,43.375,43.938,43.375,43.688,43.688,215845
26,1998-02-09,44.0,44.125,43.438,43.563,43.563,82246
27,1998-02-10,43.563,44.875,43.563,44.188,44.188,230353
28,1998-02-11,44.75,45.438,44.5,44.938,44.938,296108
29,1998-02-12,44.75,45.5,44.625,44.75,44.75,230666
30,1998-02-13,45.0,45.063,44.0,44.5,44.5,202381
31,1998-02-17,45.125,45.875,45.125,45.875,45.875,347564
32,1998-02-18,47.125,47.125,46.063,46.438,46.438,364055
33,1998-02-19,46.313,47.875,46.25,47.563,47.563,747211
34,1998-02-20,48.5,48.5,47.75,48.0,48.0,519676
35,1998-02-23,48.063,48.188,47.188,47.563,47.563,205720
36,1998-02-24,47.25,47.312,46.625,46.938,46.938,157187
37,1998-02-25,47.125,48.563,46.688,48.5,48.5,258951
38,1998-02-26,48.5,49.75,48.375,49.625,49.625,311660
39,1998-02-27,49.875,50.125,49.438,49.563,49.563,204885
40,1998-03-02,49.313,49.938,49.313,49.625,49.625,404030
41,1998-03-03,49.875,50.25,49.375,50.25,50.25,356332
42,1998-03-04,50.25,50.25,49.625,49.875,49.875,244965
43,1998-03-05,49.188,49.563,48.688,49.0,49.0,155830
44,1998-03-06,49.25,50.25,49.25,50.25,50.25,280243
45,1998-03-09,50.25,51.75,50.0,50.313,50.313,386287
46,1998-03-10,50.438,50.75,49.875,50.375,50.375,308529
47,1998-03-11,50.375,50.688,50.063,50.625,50.625,95189
48,1998-03-12,50.5,51.125,50.312,51.0,51.0,197892
49,1998-03-13,51.125,51.75,50.625,50.688,50.688,234632
50,1998-03-16,50.688,51.5,50.625,51.313,51.313,150507
51,1998-03-17,51.188,51.875,51.188,51.75,51.75,287445
52,1998-03-18,52.0,52.0,50.688,51.125,51.125,160840
53,1998-03-19,51.125,51.25,50.438,51.125,51.125,135999
54,1998-03-20,50.875,50.938,50.438,50.875,50.875,376371
55,1998-03-23,50.875,51.25,50.688,51.063,51.063,193718
56,1998-03-24,51.0,52.5,51.0,52.25,52.25,295482
57,1998-03-25,53.0,54.5,52.875,53.5,53.5,573951
58,1998-03-26,53.5,54.0,53.0,53.563,53.563,214697
59,1998-03-27,53.813,54.0,53.125,53.813,53.813,196431
60,1998-03-30,53.875,53.938,52.625,52.688,52.688,192569
61,1998-03-31,52.625,52.875,51.063,51.063,51.063,580944
62,1998-04-01,51.063,51.438,50.875,50.875,50.875,511535
63,1998-04-02,51.625,52.5,51.563,52.063,52.063,401317
64,1998-04-03,52.313,53.063,52.062,52.313,52.313,318131
65,1998-04-06,52.5,52.5,51.5,51.625,51.625,152072
66,1998-04-07,51.625,53.0,51.5,52.5,52.5,129632
67,1998-04-08,51.5,51.5,49.875,50.438,50.438,531157
68,1998-04-09,50.688,50.875,49.313,50.188,50.188,523016
69,1998-04-13,50.063,50.875,50.0,50.563,50.563,266048
70,1998-04-14,51.25,51.562,51.0,51.0,51.0,285984
71,1998-04-15,51.375,51.625,51.0,51.25,51.25,363951
72,1998-04-16,52.25,54.375,52.25,53.5,53.5,722057
73,1998-04-17,53.75,53.75,52.625,53.0,53.0,359254
74,1998-04-20,53.0,53.313,52.5,53.188,53.188,364264
75,1998-04-21,53.25,53.438,52.5,52.813,52.813,622276
76,1998-04-22,53.0,54.562,52.938,54.188,54.188,691893
77,1998-04-23,53.938,54.625,53.563,53.938,53.938,368752
