Date,Open,High,Low,Close,Adjusted_close,Volume
1997-12-31,41.75,41.75,41.25,41.438,41.438,579796
1998-01-02,41.688,41.813,41,41.75,41.75,188812
1998-01-05,42.125,42.25,41.75,41.938,41.938,279408
1998-01-06,41.875,42.25,41.75,42,42,432838
1998-01-07,41.75,41.875,40.688,41.625,41.625,357584
1998-01-08,41.75,41.75,40.5,40.563,40.563,403091
1998-01-09,40.5,40.5,38.625,39,39,306963
1998-01-12,38.625,40,38.375,39.938,39.938,275025
1998-01-13,40,40.25,39.438,40.25,40.25,396307
1998-01-14,40.5,40.5,39.75,39.938,39.938,323871
1998-01-15,39.813,40.25,39.75,39.938,39.938,326794
1998-01-16,40.063,41.375,40.063,40.813,40.813,879765
1998-01-20,41.063,42.25,40.813,42.25,42.25,826535
1998-01-21,41.5,42.875,41.188,42.188,42.188,821838
1998-01-22,42,43.188,41.813,42.625,42.625,504020
1998-01-23,42.312,42.312,41,41.313,41.313,385348
1998-01-26,40.813,41.25,40.5,41.25,41.25,365725
1998-01-27,41.438,42.563,41.375,42.375,42.375,395159
1998-01-28,42.125,42.312,41.813,41.813,41.813,166998
1998-01-29,42,43,41.688,41.75,41.75,278260
1998-01-30,41.687,42,41.375,41.938,41.938,269597
1998-02-02,42,43.563,41.938,43.563,43.563,526774
1998-02-03,43.375,43.625,42.688,43.563,43.563,206660
1998-02-04,43.688,43.813,43,43.688,43.688,157291
1998-02-05,43.625,44.125,43.188,43.563,43.563,426158
1998-02-06,43.375,43.938,43.375,43.688,43.688,215845
1998-02-09,44,44.125,43.438,43.563,43.563,82246
1998-02-10,43.563,44.875,43.563,44.188,44.188,230353
1998-02-11,44.75,45.438,44.5,44.938,44.938,296108
1998-02-12,44.75,45.5,44.625,44.75,44.75,230666
1998-02-13,45,45.063,44,44.5,44.5,202381
1998-02-17,45.125,45.875,45.125,45.875,45.875,347564
1998-02-18,47.125,47.125,46.063,46.438,46.438,364055
1998-02-19,46.313,47.875,46.25,47.563,47.563,747211
1998-02-20,48.5,48.5,47.75,48,48,519676
1998-02-23,48.063,48.188,47.188,47.563,47.563,205720
1998-02-24,47.25,47.312,46.625,46.938,46.938,157187
1998-02-25,47.125,48.563,46.688,48.5,48.5,258951
1998-02-26,48.5,49.75,48.375,49.625,49.625,311660
1998-02-27,49.875,50.125,49.438,49.563,49.563,204885
1998-03-02,49.313,49.938,49.313,49.625,49.625,404030
1998-03-03,49.875,50.25,49.375,50.25,50.25,356332
1998-03-04,50.25,50.25,49.625,49.875,49.875,244965
1998-03-05,49.188,49.563,48.688,49,49,155830
1998-03-06,49.25,50.25,49.25,50.25,50.25,280243
1998-03-09,50.25,51.75,50,50.313,50.313,386287
1998-03-10,50.438,50.75,49.875,50.375,50.375,308529
1998-03-11,50.375,50.688,50.063,50.625,50.625,95189
1998-03-12,50.5,51.125,50.312,51,51,197892
1998-03-13,51.125,51.75,50.625,50.688,50.688,234632
1998-03-16,50.688,51.5,50.625,51.313,51.313,150507
1998-03-17,51.188,51.875,51.188,51.75,51.75,287445
1998-03-18,52,52,50.688,51.125,51.125,160840
1998-03-19,51.125,51.25,50.438,51.125,51.125,135999
1998-03-20,50.875,50.938,50.438,50.875,50.875,376371
1998-03-23,50.875,51.25,50.688,51.063,51.063,193718
1998-03-24,51,52.5,51,52.25,52.25,295482
1998-03-25,53,54.5,52.875,53.5,53.5,573951
1998-03-26,53.5,54,53,53.563,53.563,214697
1998-03-27,53.813,54,53.125,53.813,53.813,196431
1998-03-30,53.875,53.938,52.625,52.688,52.688,192569
1998-03-31,52.625,52.875,51.063,51.063,51.063,580944
1998-04-01,51.063,51.438,50.875,50.875,50.875,511535
1998-04-02,51.625,52.5,51.563,52.063,52.063,401317
1998-04-03,52.313,53.063,52.062,52.313,52.313,318131
1998-04-06,52.5,52.5,51.5,51.625,51.625,152072
1998-04-07,51.625,53,51.5,52.5,52.5,129632
1998-04-08,51.5,51.5,49.875,50.438,50.438,531157
1998-04-09,50.688,50.875,49.313,50.188,50.188,523016
1998-04-13,50.063,50.875,50,50.563,50.563,266048
1998-04-14,51.25,51.562,51,51,51,285984
1998-04-15,51.375,51.625,51,51.25,51.25,363951
1998-04-16,52.25,54.375,52.25,53.5,53.5,722057
1998-04-17,53.75,53.75,52.625,53,53,359254
1998-04-20,53,53.313,52.5,53.188,53.188,364264
1998-04-21,53.25,53.438,52.5,52.813,52.813,622276
1998-04-22,53,54.562,52.938,54.188,54.188,691893
1998-04-23,53.938,54.625,53.563,53.938,53.938,368752
1998-04-24,53.75,53.75,52.5,52.75,52.75,184428
1998-04-27,52.5,52.875,50.75,51,51,509970
1998-04-28,52.5,52.5,51.25,51.5,51.5,426888
1998-04-29,51.25,52.25,51.125,52.188,52.188,262813
1998-04-30,52.313,54,52.313,53.813,53.813,289115
1998-05-01,53.813,54.563,53.813,54.563,54.563,187142
1998-05-04,54.562,55,54,54,54,279304
1998-05-05,53.375,54.313,53.188,53.75,53.75,211983
1998-05-06,53.625,53.688,53,53.063,53.063,103956
1998-05-07,53,53.5,52.687,52.75,52.75,134016
1998-05-08,52.75,52.75,51.875,52,52,209687
1998-05-11,52.5,53,52.375,52.688,52.688,141218
1998-05-12,52.75,54,52.625,53.875,53.875,260934
1998-05-13,53.938,54.625,53,54.438,54.438,170651
1998-05-14,54.562,55.25,54.5,54.813,54.813,203111
1998-05-15,55.062,56,54.75,54.75,54.75,390879
1998-05-18,54.75,55.438,53.875,54.375,54.375,213862
1998-05-19,54.125,54.25,53.25,53.438,53.438,139026
1998-05-20,53.688,53.688,51.875,52.688,52.688,426262
1998-05-21,52.75,52.813,52,52.625,52.625,308633
1998-05-22,52.5,52.5,51.25,51.75,51.75,313434
1998-05-26,51.875,51.875,50.375,50.688,50.688,149881
1998-05-27,50.563,51.438,49.563,51.188,51.188,262082
1998-05-28,51.063,51.5,48.5,51.25,51.25,728006
1998-05-29,51.188,51.75,51.125,51.25,51.25,126814
1998-06-01,51.188,51.875,50.875,50.875,50.875,211983
1998-06-02,50.875,52.375,50.875,51.25,51.25,365934
1998-06-03,51.5,52.188,50.563,50.75,50.75,177226
1998-06-04,50.563,50.563,49.812,50.5,50.5,244861
1998-06-05,50.625,51.813,50.375,51.688,51.688,212609
1998-06-08,52.5,52.625,52,52.313,52.313,161570
1998-06-09,52.062,52.25,51.375,52.188,52.188,215218
1998-06-10,52.125,52.125,50.125,51.125,51.125,397664
1998-06-11,51.125,51.188,49.625,50.063,50.063,123683
1998-06-12,50.312,50.312,48.437,49.188,49.188,246217
1998-06-15,49.188,49.188,48.375,48.375,48.375,176705
1998-06-16,48.375,48.688,48.063,48.688,48.688,254567
1998-06-17,49.188,50,49.188,49.5,49.5,683230
1998-06-18,49.5,49.563,49.25,49.5,49.5,161257
1998-06-19,49.5,49.625,47.313,47.813,47.813,218245
1998-06-22,47.563,47.75,44.937,45.063,45.063,1565605
1998-06-23,45.5,46,45,45.125,45.125,569776
1998-06-24,45.437,45.938,44.688,45.688,45.688,388583
1998-06-25,45.937,48.5,45.75,48.063,48.063,687718
1998-06-26,48.125,48.75,48,48.188,48.188,318235
1998-06-29,48.188,49.25,48,48.75,48.75,430854
1998-06-30,48.625,49.625,48.563,49.625,49.625,327316
1998-07-01,49.5,50.25,49.188,49.688,49.688,304875
1998-07-02,49.75,49.75,48,48.125,48.125,628851
1998-07-06,48.375,48.375,47.563,47.813,47.813,356749
1998-07-07,47.938,47.938,47,47.5,47.5,211565
1998-07-08,47.75,48,47.063,47.688,47.688,300805
1998-07-09,47.938,48.375,47.625,47.938,47.938,595347
1998-07-10,48.188,48.25,47.5,47.688,47.688,245904
1998-07-13,47.688,47.75,47.375,47.688,47.688,311555
1998-07-14,47.625,48.25,47.563,47.688,47.688,268032
1998-07-15,47.688,48,47.25,47.25,47.25,235571
1998-07-16,47.75,48.063,45.25,45.625,45.625,498593
1998-07-17,45.375,45.875,45,45.125,45.125,266988
1998-07-20,45.375,45.375,43.5,44.063,44.063,887489
1998-07-21,43.5,44.187,43.5,43.813,43.813,681873
1998-07-22,44,44.5,43.625,44.063,44.063,469890
1998-07-23,44.313,44.313,42.875,43,43,396098
1998-07-24,43.625,43.687,42.5,42.625,42.625,237554
1998-07-27,42.25,42.625,41.125,41.5,41.5,393906
1998-07-28,41.75,42.25,40.875,41.438,41.438,490139
1998-07-29,40.813,41.125,40.25,40.375,40.375,348504
1998-07-30,40.375,41.438,40.375,40.563,40.563,835824
1998-07-31,40.937,41.687,40.375,40.563,40.563,279617
1998-08-03,40.563,40.625,39.875,40.313,40.313,326481
1998-08-04,40.563,40.625,39,39.375,39.375,523121
1998-08-05,39.75,39.75,36.875,37.813,37.813,1072752
1998-08-06,37.938,38,37.313,37.75,37.75,373866
1998-08-07,38,38.125,37.188,37.688,37.688,487216
1998-08-10,37.5,37.75,36.125,36.188,36.188,438474
1998-08-11,35.25,35.625,34.5,35.25,35.25,638662
1998-08-12,35.375,35.75,34.875,35.25,35.25,830188
1998-08-13,35.25,35.812,34.688,34.688,34.688,286193
1998-08-14,34.938,35.188,34,34.063,34.063,311555
1998-08-17,34.188,35.625,34.188,35.438,35.438,337231
1998-08-18,35.875,35.875,34.875,35.25,35.25,288071
1998-08-19,35.5,36.438,35.5,35.75,35.75,375536
1998-08-20,36,36.938,35.75,36.813,36.813,325959
1998-08-21,36.375,36.625,34.75,35.313,35.313,232545
1998-08-24,35.125,35.125,34.313,34.813,34.813,178583
1998-08-25,34.938,35.188,33.812,34.063,34.063,474378
1998-08-26,34,34,33.187,33.438,33.438,306024
