,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1999-05-04,76.0,77.25,70.0,70.375,52.8509,22320900
1,1999-05-05,69.875,69.875,66.25,69.125,51.9121,7565700
2,1999-05-06,68.0,69.375,67.0625,67.9375,51.0203,2905700
3,1999-05-07,67.9375,74.875,66.75,74.125,55.6671,4862300
4,1999-05-10,73.375,73.5,70.25,70.6875,53.0856,2589400
5,1999-05-11,70.0,71.1875,69.5,70.625,53.0386,1839800
6,1999-05-12,71.0,74.875,69.125,73.5,55.1977,2659300
7,1999-05-13,73.25,75.25,72.5,73.1875,54.963,1142900
8,1999-05-14,71.25,72.25,69.0625,70.1875,52.7101,2058400
9,1999-05-17,69.125,70.25,68.0,68.625,51.5366,2075000
10,1999-05-18,68.25,70.4375,68.125,68.625,51.5366,1407100
11,1999-05-19,69.375,69.8125,68.75,69.3125,52.053,727400
12,1999-05-20,69.5625,70.125,68.375,68.375,51.3489,520800
13,1999-05-21,68.125,68.8125,67.5,67.5,50.6918,930400
14,1999-05-24,67.0,67.25,65.0,65.3125,49.049,1493000
15,1999-05-25,64.125,65.9375,64.0,64.5,48.4388,1662400
16,1999-05-26,65.625,66.625,63.0625,66.0625,49.6122,1602900
17,1999-05-27,65.0,67.75,64.6875,67.75,50.8795,1220500
18,1999-05-28,67.75,68.8125,67.0,67.9375,51.0203,901900
19,1999-06-01,66.625,66.625,63.5625,64.1875,48.2041,953900
20,1999-06-02,63.75,64.0625,62.0,63.25,47.5001,2204300
21,1999-06-03,64.0,64.1875,63.125,63.625,47.7817,852600
22,1999-06-04,64.3125,67.0,64.3125,65.375,49.0959,1357400
23,1999-06-07,65.1875,67.75,65.1875,65.9375,49.5184,891900
24,1999-06-08,65.375,65.6875,63.75,63.75,47.8756,571700
25,1999-06-09,64.25,65.5,63.625,65.5,49.1898,611400
26,1999-06-10,64.875,64.9375,63.3125,63.375,47.594,664200
27,1999-06-11,63.9375,64.3125,62.3125,63.25,47.5001,969300
28,1999-06-14,63.5,64.0,60.5,61.25,45.9981,821100
29,1999-06-15,62.875,63.375,62.25,62.75,47.1246,831700
30,1999-06-16,63.9375,65.4375,63.9375,65.25,49.0021,690300
31,1999-06-17,64.5,66.875,64.5,65.0,48.8143,955700
32,1999-06-18,64.25,64.875,63.5,64.8125,48.6735,613900
33,1999-06-21,66.6875,69.9375,66.5625,69.5,52.1938,1811000
34,1999-06-22,70.125,70.125,67.75,68.0,51.0673,1165900
35,1999-06-23,67.0625,67.4375,64.875,65.0,48.8143,1351700
