,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,27.125,27.25,26.75,27.125,6.7288,602000
1,1984-11-06,27.625,27.625,27.25,27.625,6.8529,757200
2,1984-11-07,26.875,27.5,26.625,26.875,6.6663,616000
3,1984-11-08,26.625,27.0,26.5,26.625,6.6047,389800
4,1984-11-09,26.125,26.375,26.0,26.125,6.5796,526600
5,1984-11-12,25.875,26.25,25.875,25.875,6.5161,121600
6,1984-11-13,25.875,26.125,25.75,25.875,6.5161,4200800
7,1984-11-14,25.375,25.875,25.0,25.375,6.3909,436200
8,1984-11-15,25.0,25.375,24.875,25.0,6.2962,897800
9,1984-11-16,24.875,25.25,24.75,24.875,6.2645,572600
10,1984-11-19,24.875,25.0,24.75,24.875,6.2645,130800
11,1984-11-20,24.875,25.0,24.625,24.875,6.2645,511600
12,1984-11-21,24.75,24.875,24.5,24.75,6.2329,454600
13,1984-11-23,25.25,25.5,25.0,25.25,6.3592,493600
14,1984-11-26,25.375,25.375,25.0,25.375,6.3909,248600
15,1984-11-27,25.75,26.0,25.0,25.75,6.4851,376200
16,1984-11-28,25.5,26.125,25.375,25.5,6.4222,279400
17,1984-11-29,24.875,25.5,24.625,24.875,6.2645,282600
18,1984-11-30,24.875,24.875,24.625,24.875,6.2645,641000
19,1984-12-03,24.875,25.0,24.625,24.875,6.2645,361800
20,1984-12-04,24.875,25.0,24.75,24.875,6.2645,268600
21,1984-12-05,24.875,24.875,24.5,24.875,6.2645,169800
22,1984-12-06,24.875,24.875,24.5,24.875,6.2645,512600
23,1984-12-07,24.875,25.125,24.75,24.875,6.2645,405400
24,1984-12-10,24.875,25.0,24.625,24.875,6.2645,414800
25,1984-12-11,24.875,25.125,24.625,24.875,6.2645,396000
26,1984-12-12,24.625,25.25,24.5,24.625,6.2021,735200
27,1984-12-13,24.5,24.75,24.25,24.5,6.1704,786800
28,1984-12-14,25.125,25.125,24.5,25.125,6.3277,911200
29,1984-12-17,25.125,25.25,24.875,25.125,6.3277,378000
30,1984-12-18,26.5,26.625,25.0,26.5,6.6737,1648800
31,1984-12-19,26.375,26.75,26.25,26.375,6.6424,751800
32,1984-12-20,26.25,26.5,26.25,26.25,6.6112,250800
33,1984-12-21,26.25,26.375,26.0,26.25,6.6112,391000
34,1984-12-24,26.5,26.5,26.0,26.5,6.6737,155000
35,1984-12-26,26.0,26.5,26.0,26.0,6.5478,298400
36,1984-12-27,25.625,26.125,25.625,25.625,6.4537,180600
37,1984-12-28,25.75,25.75,25.625,25.75,6.4851,278600
38,1984-12-31,26.0,26.0,25.375,26.0,6.5478,333000
39,1985-01-02,25.75,26.25,25.75,25.75,6.4851,351000
40,1985-01-03,25.75,26.0,25.625,25.75,6.4851,235400
41,1985-01-04,25.875,26.125,25.75,25.875,6.5161,552200
42,1985-01-07,26.25,26.25,26.0,26.25,6.6112,194200
43,1985-01-08,26.375,26.5,26.125,26.375,6.6424,243200
44,1985-01-09,26.25,26.5,26.25,26.25,6.6112,504400
45,1985-01-10,26.75,26.75,26.25,26.75,6.7365,558800
46,1985-01-11,26.75,26.875,26.5,26.75,6.7365,372600
47,1985-01-14,26.75,26.875,25.625,26.75,6.7365,759800
48,1985-01-15,27.0,27.0,26.75,27.0,6.8001,953400
49,1985-01-16,26.875,27.125,26.75,26.875,6.7688,732800
50,1985-01-17,26.75,27.0,26.125,26.75,6.7365,404200
51,1985-01-18,26.5,26.75,26.375,26.5,6.6737,458600
52,1985-01-21,27.5,27.5,26.625,27.5,6.926,507000
53,1985-01-22,27.625,28.25,27.5,27.625,6.9567,1472800
54,1985-01-23,28.0,28.0,27.375,28.0,7.052,544400
55,1985-01-24,27.875,28.375,27.875,27.875,7.0207,1627800
56,1985-01-25,27.875,28.0,27.75,27.875,7.0207,561800
