,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1997-12-31,10.658,10.75,10.61,10.688,10.688,254400
1,1998-01-02,10.672,10.672,10.533,10.625,10.625,94000
2,1998-01-05,10.578,10.703,10.328,10.422,10.422,229600
3,1998-01-06,10.39,10.595,10.313,10.595,10.595,214800
4,1998-01-07,10.578,10.625,10.283,10.345,10.345,548400
5,1998-01-08,10.283,10.297,10.14,10.203,10.203,262800
6,1998-01-09,10.158,10.297,10.078,10.125,10.125,327200
7,1998-01-12,10.0,10.11,9.985,10.063,10.063,363200
8,1998-01-13,10.0,10.125,9.938,10.095,10.095,190400
9,1998-01-14,10.095,10.11,10.047,10.047,10.047,216400
10,1998-01-15,10.063,10.063,9.908,9.953,9.953,396800
11,1998-01-16,9.953,10.14,9.953,10.078,10.078,304800
12,1998-01-20,10.11,10.11,9.813,9.985,9.985,251200
13,1998-01-21,9.922,9.97,9.61,9.845,9.845,366800
14,1998-01-22,9.72,9.845,9.688,9.845,9.845,167200
15,1998-01-23,9.875,9.97,9.765,9.797,9.797,194400
16,1998-01-26,9.783,9.797,9.563,9.797,9.797,331600
17,1998-01-27,9.765,10.0,9.765,10.0,10.0,211200
18,1998-01-28,9.75,9.813,9.658,9.783,9.783,273600
19,1998-01-29,9.783,9.908,9.658,9.75,9.75,159200
20,1998-01-30,9.75,9.845,9.75,9.783,9.783,184400
21,1998-02-02,9.828,10.095,9.813,10.063,10.063,366800
22,1998-02-03,10.063,10.47,10.063,10.283,10.283,218800
23,1998-02-04,10.328,10.5,10.313,10.438,10.438,260400
24,1998-02-05,10.408,10.578,10.408,10.578,10.578,55200
25,1998-02-06,10.595,10.908,10.595,10.875,10.875,156400
26,1998-02-09,10.797,11.0,10.783,10.922,10.922,160000
27,1998-02-10,10.908,11.14,10.908,11.11,11.11,136400
28,1998-02-11,11.11,11.375,11.078,11.172,11.172,166400
29,1998-02-12,11.158,11.158,11.078,11.158,11.158,78000
30,1998-02-13,11.095,11.313,11.063,11.297,11.297,214800
31,1998-02-17,11.297,11.438,11.283,11.438,11.438,104000
32,1998-02-18,11.39,11.5,11.375,11.47,11.47,46000
33,1998-02-19,11.485,11.61,11.345,11.563,11.563,99600
34,1998-02-20,11.5,11.533,11.313,11.533,11.533,97600
35,1998-02-23,11.47,11.595,11.375,11.515,11.515,173600
36,1998-02-24,11.515,11.515,11.033,11.328,11.328,134800
37,1998-02-25,11.328,11.328,11.172,11.25,11.25,114000
38,1998-02-26,11.313,11.703,11.313,11.422,11.422,314000
39,1998-02-27,11.39,11.625,11.375,11.625,11.625,141200
40,1998-03-02,11.64,11.658,11.25,11.297,11.297,182000
41,1998-03-03,11.297,11.328,11.22,11.297,11.297,658800
42,1998-03-04,11.297,11.313,11.158,11.203,11.203,734000
43,1998-03-05,11.063,11.078,10.625,10.658,10.658,624000
44,1998-03-06,10.625,11.033,10.533,10.908,10.908,610000
45,1998-03-09,10.845,11.015,10.845,11.015,11.015,138000
46,1998-03-10,11.063,11.078,10.908,10.908,10.908,252000
47,1998-03-11,10.908,10.908,10.658,10.735,10.735,102000
48,1998-03-12,10.765,10.875,10.672,10.828,10.828,41600
49,1998-03-13,10.828,10.883,10.813,10.828,10.828,166800
50,1998-03-16,10.86,10.875,10.72,10.86,10.86,155200
51,1998-03-17,10.875,11.078,10.86,11.0,11.0,342400
52,1998-03-18,11.125,11.125,11.033,11.11,11.11,164400
53,1998-03-19,11.047,11.063,10.72,10.828,10.828,821600
54,1998-03-20,10.828,10.97,10.75,10.797,10.797,100400
55,1998-03-23,10.828,10.89,10.813,10.813,10.813,161600
56,1998-03-24,10.813,10.875,10.563,10.688,10.688,100800
57,1998-03-25,10.658,10.735,10.533,10.563,10.563,471600
58,1998-03-26,10.563,11.015,10.5,10.953,10.953,174800
59,1998-03-27,10.89,10.89,10.64,10.75,10.75,68800
60,1998-03-30,10.813,11.047,10.75,11.047,11.047,129200
61,1998-03-31,10.985,11.063,10.938,11.0,11.0,168800
62,1998-04-01,10.938,11.0,10.845,10.938,10.938,119200
63,1998-04-02,10.875,11.0,10.875,10.953,10.953,161600
64,1998-04-03,10.985,11.0,10.563,10.563,10.563,159200
65,1998-04-06,10.563,10.563,10.297,10.328,10.328,1027600
66,1998-04-07,10.328,10.375,10.22,10.235,10.235,375600
67,1998-04-08,10.235,10.313,10.125,10.14,10.14,221200
68,1998-04-09,10.14,10.25,10.14,10.235,10.235,190400
69,1998-04-13,10.203,10.313,10.095,10.25,10.25,106400
70,1998-04-14,10.313,10.313,10.125,10.235,10.235,1186000
71,1998-04-15,10.235,10.25,10.172,10.235,10.235,237200
72,1998-04-16,10.25,10.25,9.875,9.875,9.875,260400
73,1998-04-17,9.875,9.97,9.688,9.97,9.97,226400
74,1998-04-20,9.97,9.977,9.86,9.922,9.922,70800
75,1998-04-21,9.89,9.953,9.89,9.908,9.908,163600
76,1998-04-22,9.922,9.922,9.86,9.908,9.908,268800
77,1998-04-23,9.875,9.985,9.875,9.922,9.922,213200
78,1998-04-24,9.922,9.985,9.845,9.875,9.875,310000
79,1998-04-27,9.908,9.97,9.515,9.61,9.61,221200
80,1998-04-28,9.61,9.75,9.61,9.703,9.703,136000
81,1998-04-29,9.688,10.328,9.625,9.953,9.953,573200
82,1998-04-30,9.97,10.783,9.97,10.75,10.75,350400
83,1998-05-01,10.875,11.235,10.845,10.938,10.938,468400
84,1998-05-04,10.953,11.203,10.953,11.0,11.0,200800
85,1998-05-05,11.0,11.033,10.953,11.033,11.033,182800
86,1998-05-06,11.033,11.408,11.033,11.172,11.172,236400
87,1998-05-07,11.172,11.5,11.172,11.297,11.297,356000
88,1998-05-08,11.313,11.5,11.297,11.297,11.297,132000
89,1998-05-11,11.297,11.36,11.095,11.25,11.25,143600
90,1998-05-12,11.188,11.22,11.125,11.14,11.14,138800
91,1998-05-13,11.14,11.283,10.922,11.25,11.25,234400
92,1998-05-14,11.297,11.61,11.297,11.328,11.328,140800
93,1998-05-15,11.328,11.328,11.25,11.25,11.25,228000
94,1998-05-18,11.313,11.313,11.125,11.25,11.25,123200
95,1998-05-19,11.25,11.25,11.0,11.0,11.0,136400
96,1998-05-20,11.0,11.0,10.547,10.672,10.672,181600
97,1998-05-21,10.703,10.922,10.595,10.922,10.922,182000
98,1998-05-22,10.953,11.11,10.938,10.938,10.938,257600
99,1998-05-26,10.97,11.063,10.922,10.938,10.938,62800
100,1998-05-27,10.938,10.938,10.22,10.22,10.22,286000
101,1998-05-28,10.158,10.61,10.158,10.453,10.453,112800
102,1998-05-29,10.39,10.658,10.39,10.64,10.64,91200
103,1998-06-01,10.578,10.595,10.313,10.328,10.328,182800
104,1998-06-02,10.39,10.453,10.328,10.438,10.438,76800
105,1998-06-03,10.408,10.595,10.408,10.563,10.563,21200
106,1998-06-04,10.533,10.625,10.5,10.5,10.5,86000
107,1998-06-05,10.5,10.5,10.172,10.235,10.235,191200
108,1998-06-08,10.078,10.297,9.985,10.203,10.203,174800
109,1998-06-09,10.047,10.125,9.953,9.97,9.97,241600
