,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1980-03-17,6.0042,6.0042,6.0042,6.0042,0.0545,11391
1,1980-03-18,5.6282,5.7545,5.6282,5.6282,0.0511,28477
2,1980-03-19,6.2505,6.2505,5.7545,6.2505,0.0568,96820
3,1980-03-20,6.1257,6.1257,6.1257,6.1257,0.0556,17086
4,1980-03-21,6.0042,6.0042,6.0042,6.0042,0.0545,5695
5,1980-03-24,5.7545,5.8779,5.7545,5.7545,0.0523,45563
6,1980-03-25,5.3765,5.6282,5.3765,5.3765,0.0489,68344
7,1980-03-26,5.2536,5.2536,5.2536,5.2536,0.0477,5695
8,1980-03-27,4.5009,5.1267,4.5009,4.5009,0.0409,74039
9,1980-03-28,4.8756,4.8756,4.752,4.8756,0.0443,130992
10,1980-03-31,5.0018,5.0018,4.752,5.0018,0.0454,153773
11,1980-04-01,5.0018,5.0018,5.0018,5.0018,0.0454,0
12,1980-04-02,5.2536,5.2536,5.2536,5.2536,0.0477,11391
13,1980-04-03,5.2536,5.2536,5.1267,5.2536,0.0477,34172
14,1980-04-07,5.2536,5.2536,5.2536,5.2536,0.0477,0
15,1980-04-08,5.1267,5.1267,5.1267,5.1267,0.0466,5695
16,1980-04-09,5.1267,5.1267,5.1267,5.1267,0.0466,5695
17,1980-04-10,5.5034,5.5034,5.2536,5.5034,0.05,68344
18,1980-04-11,5.6282,5.7545,5.6282,5.6282,0.0511,28477
19,1980-04-14,5.5034,5.7545,5.5034,5.5034,0.05,56953
20,1980-04-15,5.3765,5.6282,5.3765,5.3765,0.0489,113906
21,1980-04-16,5.1267,5.1267,5.1267,5.1267,0.0466,5695
22,1980-04-17,5.0018,5.1267,5.0018,5.0018,0.0454,68344
23,1980-04-18,5.2536,5.2536,5.0018,5.2536,0.0477,56953
24,1980-04-21,5.2536,5.5034,5.2536,5.2536,0.0477,62648
25,1980-04-22,6.0042,6.0042,5.1267,6.0042,0.0545,392977
26,1980-04-23,6.3774,6.3774,6.1257,6.3774,0.0579,51258
27,1980-04-24,6.7521,6.7521,6.3774,6.7521,0.0613,239203
28,1980-04-25,6.5003,6.6272,6.5003,6.5003,0.059,79734
29,1980-04-28,7.0019,7.0019,6.5003,7.0019,0.0636,91125
30,1980-04-29,6.6272,6.7521,6.6272,6.6272,0.0602,62648
31,1980-04-30,6.3774,6.6272,6.3774,6.3774,0.0579,45563
32,1980-05-01,6.3774,6.3774,6.3774,6.3774,0.0579,56953
33,1980-05-02,6.2505,6.2505,6.1257,6.2505,0.0568,68344
34,1980-05-05,6.5003,6.5003,6.2505,6.5003,0.059,28477
35,1980-05-06,6.5003,6.7521,6.5003,6.5003,0.059,108211
36,1980-05-07,6.5003,6.6272,6.5003,6.5003,0.059,17086
37,1980-05-08,6.3774,6.3774,6.3774,6.3774,0.0579,28477
38,1980-05-09,6.3774,6.3774,6.3774,6.3774,0.0579,5695
39,1980-05-12,6.6272,6.6272,6.5003,6.6272,0.0602,17086
40,1980-05-13,6.5003,6.5003,6.5003,6.5003,0.059,5695
41,1980-05-14,6.5003,6.6272,6.5003,6.5003,0.059,22781
42,1980-05-15,6.5003,6.5003,6.5003,6.5003,0.059,0
43,1980-05-16,6.5003,6.5003,6.5003,6.5003,0.059,17086
44,1980-05-19,6.5003,6.5003,6.3774,6.5003,0.059,17086
45,1980-05-20,6.6272,6.6272,6.5003,6.6272,0.0602,39867
46,1980-05-21,6.6272,6.6272,6.6272,6.6272,0.0602,0
47,1980-05-22,6.5003,6.5003,6.2505,6.5003,0.059,74039
48,1980-05-23,6.3774,6.3774,6.3774,6.3774,0.0579,5695
49,1980-05-27,6.6272,6.6272,6.5003,6.6272,0.0602,108211
50,1980-05-28,6.5003,6.5003,6.3774,6.5003,0.059,34172
51,1980-05-29,6.8783,6.8783,6.3774,6.8783,0.0625,113906
52,1980-05-30,6.6272,6.6272,6.5003,6.6272,0.0602,51258
53,1980-06-02,6.5003,6.6272,6.5003,6.5003,0.059,39867
54,1980-06-03,6.5003,6.5003,6.5003,6.5003,0.059,28477
55,1980-06-04,6.7521,6.7521,6.5003,6.7521,0.0613,159469
56,1980-06-05,7.0019,7.128,6.8783,7.0019,0.0636,467016
57,1980-06-06,6.8783,6.8783,6.8783,6.8783,0.0625,11391
58,1980-06-09,7.0019,7.0019,7.0019,7.0019,0.0636,85430
59,1980-06-10,6.7521,6.8783,6.7521,6.7521,0.0613,51258
60,1980-06-11,6.5003,6.6272,6.5003,6.5003,0.059,17086
61,1980-06-12,6.6272,6.6272,6.5003,6.6272,0.0602,85430
62,1980-06-13,6.3774,6.5003,6.3774,6.3774,0.0579,68344
63,1980-06-16,6.3774,6.3774,6.3774,6.3774,0.0579,0
64,1980-06-17,6.3774,6.3774,6.3774,6.3774,0.0579,28477
65,1980-06-18,6.5003,6.5003,6.3774,6.5003,0.059,74039
66,1980-06-19,6.2505,6.2505,6.2505,6.2505,0.0568,51258
67,1980-06-20,6.3774,6.3774,6.3774,6.3774,0.0579,11391
68,1980-06-23,6.3774,6.3774,6.3774,6.3774,0.0579,56953
69,1980-06-24,6.3774,6.3774,6.2505,6.3774,0.0579,62648
70,1980-06-25,6.2505,6.2505,6.0042,6.2505,0.0568,28477
71,1980-06-26,6.5003,6.7521,6.5003,6.5003,0.059,284766
72,1980-06-27,6.2505,6.3774,6.2505,6.2505,0.0568,39867
73,1980-06-30,6.2505,6.3774,6.2505,6.2505,0.0568,68344
74,1980-07-01,6.2505,6.2505,6.2505,6.2505,0.0568,0
75,1980-07-02,6.2505,6.2505,6.2505,6.2505,0.0568,0
76,1980-07-03,6.5003,6.5003,6.2505,6.5003,0.059,91125
77,1980-07-07,6.5003,6.6272,6.5003,6.5003,0.059,91125
78,1980-07-08,6.3774,6.5003,6.3774,6.3774,0.0579,56953
79,1980-07-09,7.0019,7.253,6.5003,7.0019,0.0636,239203
80,1980-07-10,7.8807,8.0042,7.253,7.8807,0.0716,313242
81,1980-07-11,7.6296,7.7544,7.6296,7.6296,0.0693,142383
82,1980-07-14,8.1305,8.2553,7.8807,8.1305,0.0738,387281
83,1980-07-15,7.8807,8.3822,7.7544,7.8807,0.0716,250594
84,1980-07-16,7.8807,8.0042,7.6296,7.8807,0.0716,102516
85,1980-07-17,7.8807,8.0042,7.8807,7.8807,0.0716,74039
86,1980-07-18,7.7544,8.0042,7.7544,7.7544,0.0704,85430
87,1980-07-21,8.0042,8.1305,7.5027,8.0042,0.0727,398672
88,1980-07-22,8.0042,8.2553,8.0042,8.0042,0.0727,216422
89,1980-07-23,7.8807,8.1305,7.8807,7.8807,0.0716,56953
90,1980-07-24,8.0042,8.0042,7.8807,8.0042,0.0727,39867
91,1980-07-25,8.0042,8.0042,8.0042,8.0042,0.0727,68344
92,1980-07-28,7.8807,8.0042,7.8807,7.8807,0.0716,74039
93,1980-07-29,7.7544,8.1305,7.7544,7.7544,0.0704,506883
94,1980-07-30,7.8807,8.0042,7.8807,7.8807,0.0716,68344
95,1980-07-31,8.1305,8.1305,8.0042,8.1305,0.0738,119602
96,1980-08-01,8.0042,8.2553,7.8807,8.0042,0.0727,142383
97,1980-08-04,7.8807,8.2553,7.8807,7.8807,0.0716,125297
98,1980-08-05,8.0042,8.0042,7.8807,8.0042,0.0727,85430
99,1980-08-06,8.3822,8.4983,8.1305,8.3822,0.0761,330328
100,1980-08-07,8.9999,8.9999,8.4983,8.9999,0.0818,518273
101,1980-08-08,8.4983,8.9999,8.4983,8.4983,0.0772,222117
102,1980-08-11,8.9999,8.9999,8.4983,8.9999,0.0818,330328
103,1980-08-12,9.2496,9.6276,8.9999,9.2496,0.084,660656
104,1980-08-13,9.2496,9.2496,9.2496,9.2496,0.084,0
105,1980-08-14,9.2496,9.2496,9.2496,9.2496,0.084,0
106,1980-08-15,9.2496,9.2496,9.2496,9.2496,0.084,0
107,1980-08-18,8.748,9.3758,8.6252,8.748,0.0795,626484
108,1980-08-19,8.8749,8.9999,8.748,8.8749,0.0806,102516
109,1980-08-20,8.9999,8.9999,8.748,8.9999,0.0818,153773
110,1980-08-21,8.6252,8.9999,8.6252,8.6252,0.0783,347414
111,1980-08-22,8.9999,8.9999,8.748,8.9999,0.0818,370195
112,1980-08-25,8.6252,8.8749,8.6252,8.6252,0.0783,153773
113,1980-08-26,8.8749,8.8749,8.6252,8.8749,0.0806,227813
114,1980-08-27,8.6252,8.748,8.4983,8.6252,0.0783,108211
115,1980-08-28,8.4983,8.748,8.4983,8.4983,0.0772,119602
116,1980-08-29,8.748,8.748,8.6252,8.748,0.0795,62648
117,1980-09-02,8.4983,8.6252,8.4983,8.4983,0.0772,17086
118,1980-09-03,8.2553,8.4983,8.1305,8.2553,0.075,170859
119,1980-09-04,8.2553,8.4983,8.2553,8.2553,0.075,91125
120,1980-09-05,8.4983,8.4983,8.2553,8.4983,0.0772,267680
121,1980-09-08,8.2553,8.6252,8.2553,8.2553,0.075,227813
122,1980-09-09,8.1305,8.2553,7.5027,8.1305,0.0738,233508
123,1980-09-10,7.6296,8.0042,7.6296,7.6296,0.0693,170859
124,1980-09-11,8.3822,8.3822,7.8807,8.3822,0.0761,216422
125,1980-09-12,8.748,8.748,8.3822,8.748,0.0795,239203
126,1980-09-15,8.4983,8.748,8.3822,8.4983,0.0772,415758
127,1980-09-16,8.4983,8.6252,8.3822,8.4983,0.0772,296156
128,1980-09-17,8.3822,8.4983,8.3822,8.3822,0.0761,153773
129,1980-09-18,8.3822,8.3822,8.2553,8.3822,0.0761,187945
130,1980-09-19,8.2553,8.3822,8.2553,8.2553,0.075,210727
131,1980-09-22,8.8749,8.8749,8.2553,8.8749,0.0806,370195
132,1980-09-23,8.4983,8.8749,8.3822,8.4983,0.0772,501188
133,1980-09-24,8.2553,8.3822,8.2553,8.2553,0.075,136688
134,1980-09-25,8.6252,8.6252,8.4983,8.6252,0.0783,159469
135,1980-09-26,8.3822,8.4983,8.0042,8.3822,0.0761,165164
136,1980-09-29,8.2553,8.2553,8.2553,8.2553,0.075,142383
137,1980-09-30,8.1305,8.2553,8.1305,8.1305,0.0738,239203
138,1980-10-01,8.0042,8.1305,8.0042,8.0042,0.0727,130992
139,1980-10-02,8.4983,8.4983,7.8807,8.4983,0.0772,113906
140,1980-10-03,8.6252,8.748,8.4983,8.6252,0.0783,193641
141,1980-10-06,8.748,8.748,8.6252,8.748,0.0795,51258
142,1980-10-07,8.6252,8.8749,8.6252,8.6252,0.0783,51258
143,1980-10-08,8.8749,8.8749,8.6252,8.8749,0.0806,96820
144,1980-10-09,8.748,8.8749,8.748,8.748,0.0795,159469
145,1980-10-10,8.8749,8.8749,8.8749,8.8749,0.0806,34172
146,1980-10-13,8.8749,8.8749,8.748,8.8749,0.0806,17086
147,1980-10-14,8.748,8.748,8.748,8.748,0.0795,11391
148,1980-10-15,8.8749,8.8749,8.6252,8.8749,0.0806,187945
149,1980-10-16,8.8749,9.2496,8.8749,8.8749,0.0806,706219
150,1980-10-17,8.8749,8.8749,8.6252,8.8749,0.0806,56953
151,1980-10-20,8.9999,8.9999,8.6252,8.9999,0.0818,216422
152,1980-10-21,8.8749,8.8749,8.748,8.8749,0.0806,34172
153,1980-10-22,8.4983,8.6252,8.4983,8.4983,0.0772,62648
154,1980-10-23,8.2553,8.4983,8.2553,8.2553,0.075,301852
155,1980-10-24,8.3822,8.4983,8.3822,8.3822,0.0761,102516
156,1980-10-27,8.4983,8.4983,8.3822,8.4983,0.0772,17086
157,1980-10-28,8.6252,8.6252,8.3822,8.6252,0.0783,279070
158,1980-10-29,8.6252,8.8749,8.6252,8.6252,0.0783,68344
159,1980-10-30,8.748,8.8749,8.748,8.748,0.0795,85430
160,1980-10-31,8.4983,8.8749,8.4983,8.4983,0.0772,91125
161,1980-11-03,8.4983,8.4983,8.4983,8.4983,0.0772,0
162,1980-11-05,8.748,8.748,8.4983,8.748,0.0795,119602
163,1980-11-06,8.4983,8.4983,8.4983,8.4983,0.0772,17086
164,1980-11-07,8.4983,8.4983,8.2553,8.4983,0.0772,108211
165,1980-11-10,8.3822,8.3822,8.3822,8.3822,0.0761,39867
166,1980-11-11,8.4983,8.6252,8.3822,8.4983,0.0772,85430
167,1980-11-12,8.4983,8.6252,8.4983,8.4983,0.0772,210727
168,1980-11-13,8.9999,8.9999,8.748,8.9999,0.0818,136688
169,1980-11-14,8.748,8.8749,8.748,8.748,0.0795,56953
170,1980-11-17,8.748,8.748,8.6252,8.748,0.0795,85430
171,1980-11-18,8.9999,8.9999,8.748,8.9999,0.0818,96820
172,1980-11-19,8.8749,8.9999,8.748,8.8749,0.0806,193641
173,1980-11-20,8.748,8.8749,8.748,8.748,0.0795,79734
174,1980-11-21,8.8749,9.126,8.748,8.8749,0.0806,170859
175,1980-11-24,9.126,9.2496,9.126,9.126,0.0829,79734
176,1980-11-25,9.5007,9.5007,9.2496,9.5007,0.0863,125297
177,1980-11-26,10.503,11.0012,9.6276,10.503,0.0954,1224492
178,1980-11-28,10.2519,10.2519,9.2496,10.2519,0.0932,797344
179,1980-12-01,9.7505,10.2519,9.7505,9.7505,0.0886,205031
180,1980-12-02,9.8774,10.1285,9.8774,9.8774,0.0897,113906
181,1980-12-03,10.0022,10.0022,9.7505,10.0022,0.0909,193641
182,1980-12-04,10.2519,10.3782,10.0022,10.2519,0.0932,108211
183,1980-12-05,10.0022,10.1285,10.0022,10.0022,0.0909,74039
184,1980-12-08,8.9999,10.0022,8.9999,8.9999,0.0818,148078
185,1980-12-09,9.2496,9.2496,8.9999,9.2496,0.084,290461
186,1980-12-10,9.2496,9.7505,9.2496,9.2496,0.084,96820
187,1980-12-11,8.748,8.9999,8.748,8.748,0.0795,187945
188,1980-12-12,8.9999,8.9999,8.748,8.9999,0.0818,74039
189,1980-12-15,8.8749,8.9999,8.8749,8.8749,0.0806,17086
190,1980-12-16,9.126,9.126,8.8749,9.126,0.0829,22781
191,1980-12-17,8.9999,9.126,8.8749,8.9999,0.0818,34172
192,1980-12-18,8.9999,9.2496,8.9999,8.9999,0.0818,119602
193,1980-12-19,9.126,9.2496,8.9999,9.126,0.0829,62648
194,1980-12-22,9.2496,9.2496,9.126,9.2496,0.084,267680
195,1980-12-23,9.3758,9.6276,9.2496,9.3758,0.0852,113906
196,1980-12-24,9.7505,9.7505,9.5007,9.7505,0.0886,182250
197,1980-12-26,9.7505,9.7505,9.7505,9.7505,0.0886,0
198,1980-12-29,9.6276,9.6276,9.6276,9.6276,0.0875,5695
199,1980-12-30,9.3758,9.3758,9.2496,9.3758,0.0852,85430
200,1980-12-31,10.0022,10.0022,9.3758,10.0022,0.0909,130992
201,1981-01-02,9.8774,9.8774,9.8774,9.8774,0.0897,5695
202,1981-01-05,9.6276,9.7505,9.5007,9.6276,0.0875,148078
203,1981-01-06,9.7505,9.7505,9.5007,9.7505,0.0886,170859
204,1981-01-07,9.6276,9.6276,9.3758,9.6276,0.0875,375891
205,1981-01-08,9.7505,9.7505,9.3758,9.7505,0.0886,165164
206,1981-01-09,9.3758,9.6276,9.3758,9.3758,0.0852,284766
207,1981-01-12,9.126,9.2496,9.126,9.126,0.0829,45563
208,1981-01-13,9.3758,9.5007,9.2496,9.3758,0.0852,85430
209,1981-01-14,9.2496,9.3758,9.2496,9.2496,0.084,28477
210,1981-01-15,9.2496,9.2496,9.2496,9.2496,0.084,34172
211,1981-01-16,9.3758,9.3758,9.3758,9.3758,0.0852,28477
212,1981-01-19,9.5007,9.6276,9.5007,9.5007,0.0863,62648
213,1981-01-20,9.5007,9.5007,9.5007,9.5007,0.0863,11391
214,1981-01-21,9.5007,9.5007,9.5007,9.5007,0.0863,0
215,1981-01-22,9.126,9.2496,9.126,9.126,0.0829,68344
216,1981-01-23,8.9999,8.9999,8.8749,8.9999,0.0818,102516
217,1981-01-26,8.748,8.748,8.6252,8.748,0.0795,79734
218,1981-01-27,8.9999,8.9999,8.9999,8.9999,0.0818,102516
219,1981-01-28,8.9999,8.9999,8.9999,8.9999,0.0818,22781
220,1981-01-29,8.748,8.748,8.748,8.748,0.0795,56953
221,1981-01-30,9.2496,9.2496,8.4983,9.2496,0.084,478406
222,1981-02-02,8.8749,8.9999,8.8749,8.8749,0.0806,74039
223,1981-02-03,8.748,8.748,8.748,8.748,0.0795,5695
224,1981-02-04,8.9999,8.9999,8.748,8.9999,0.0818,296156
225,1981-02-05,8.748,8.8749,8.748,8.748,0.0795,113906
226,1981-02-06,8.9999,8.9999,8.8749,8.9999,0.0818,358805
227,1981-02-09,8.9999,8.9999,8.9999,8.9999,0.0818,0
228,1981-02-10,9.8774,9.8774,9.2496,9.8774,0.0897,159469
229,1981-02-11,10.0022,10.3782,9.7505,10.0022,0.0909,336023
230,1981-02-12,9.8774,9.8774,9.8774,9.8774,0.0897,11391
231,1981-02-13,9.8774,9.8774,9.8774,9.8774,0.0897,22781
232,1981-02-17,10.6299,10.7528,10.1285,10.6299,0.0966,364500
233,1981-02-18,10.6299,10.7528,10.6299,10.6299,0.0966,68344
234,1981-02-19,10.3782,10.503,10.0022,10.3782,0.0943,159469
235,1981-02-20,12.1284,12.3782,11.1261,12.1284,0.1102,899859
236,1981-02-23,11.7539,12.2547,11.7539,11.7539,0.1068,814430
237,1981-02-24,11.502,11.627,11.502,11.502,0.1045,119602
238,1981-02-25,11.1261,11.627,10.7528,11.1261,0.1011,239203
239,1981-02-26,11.627,11.627,11.2523,11.627,0.1056,108211
240,1981-02-27,12.7562,12.879,11.627,12.7562,0.1159,489797
241,1981-03-02,12.6293,12.6293,12.0036,12.6293,0.1147,301852
242,1981-03-03,12.879,13.0059,12.3782,12.879,0.117,472711
243,1981-03-04,12.879,12.879,12.6293,12.879,0.117,199336
244,1981-03-05,12.5045,12.879,12.3782,12.5045,0.1136,318938
245,1981-03-06,12.5045,12.879,12.5045,12.5045,0.1136,136688
246,1981-03-09,13.0059,13.0059,12.6293,13.0059,0.1181,233508
247,1981-03-10,12.879,13.0059,12.7562,12.879,0.117,142383
248,1981-03-11,12.6293,12.879,12.6293,12.6293,0.1147,56953
249,1981-03-12,12.6293,12.6293,12.6293,12.6293,0.1147,0
250,1981-03-13,12.7562,12.879,12.6293,12.7562,0.1159,205031
251,1981-03-16,13.0059,13.0059,12.6293,13.0059,0.1181,239203
252,1981-03-17,12.7562,13.1309,12.7562,12.7562,0.1159,364500
253,1981-03-18,13.2489,13.2489,12.6293,13.2489,0.1204,85430
254,1981-03-19,14.2514,14.2514,13.2489,14.2514,0.1295,176555
255,1981-03-20,14.2514,14.2514,13.8747,14.2514,0.1295,79734
256,1981-03-23,14.0016,14.2514,14.0016,14.0016,0.1272,79734
257,1981-03-24,14.1245,14.1245,14.0016,14.1245,0.1283,45563
258,1981-03-25,13.5,14.0016,13.5,13.5,0.1226,56953
259,1981-03-26,13.5,13.7498,13.5,13.5,0.1226,136688
260,1981-03-27,13.7498,13.7498,13.6236,13.7498,0.1249,125297
261,1981-03-30,13.6236,13.6236,13.3739,13.6236,0.1238,39867
262,1981-03-31,13.3739,13.5,13.2489,13.3739,0.1215,96820
263,1981-04-01,13.3739,13.6236,13.3739,13.3739,0.1215,34172
264,1981-04-02,13.0059,13.2489,12.7562,13.0059,0.1181,148078
265,1981-04-03,13.2489,13.2489,12.879,13.2489,0.1204,45563
266,1981-04-06,12.7562,13.0059,12.7562,12.7562,0.1159,79734
267,1981-04-07,13.1309,13.2489,13.0059,13.1309,0.1193,34172
268,1981-04-08,13.2489,13.2489,12.879,13.2489,0.1204,74039
269,1981-04-09,13.0059,13.0059,13.0059,13.0059,0.1181,28477
