,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1980-03-17,23.994,25.009,23.994,23.994,0.4856,1201
1,1980-03-18,23.503,24.502,23.503,23.503,0.4757,1100
2,1980-03-19,23.753,24.751,23.753,23.753,0.4807,1201
3,1980-03-21,23.753,24.751,23.753,23.753,0.4807,401
4,1980-03-24,23.753,24.751,23.753,23.753,0.4807,301
5,1980-03-25,23.503,24.502,23.503,23.503,0.4757,1300
6,1980-03-26,23.503,24.502,23.503,23.503,0.4757,401
7,1980-03-27,22.754,23.753,22.754,22.754,0.4605,1300
8,1980-03-28,22.754,23.753,22.754,22.754,0.4605,101
9,1980-03-31,25.243,26.25,25.243,25.243,0.5109,4701
10,1980-04-01,27.997,28.996,27.997,27.997,0.5666,9601
11,1980-04-02,27.506,28.497,27.506,27.506,0.5567,2500
12,1980-04-03,26.757,27.756,26.757,26.757,0.5415,3100
13,1980-04-07,24.751,25.75,24.751,24.751,0.5009,5201
14,1980-04-08,24.502,25.508,24.502,24.502,0.4959,101
15,1980-04-09,24.751,25.75,24.751,24.751,0.5009,301
16,1980-04-10,24.751,25.75,24.751,24.751,0.5009,200
17,1980-04-11,24.751,25.75,24.751,24.751,0.5009,200
18,1980-04-14,23.994,25.009,23.994,23.994,0.4856,1300
19,1980-04-15,23.753,24.751,23.753,23.753,0.4807,1900
20,1980-04-17,23.503,24.502,23.503,23.503,0.4757,401
21,1980-04-18,23.503,24.502,23.503,23.503,0.4757,800
22,1980-04-21,23.503,24.502,23.503,23.503,0.4757,200
23,1980-04-22,23.503,24.502,23.503,23.503,0.4757,1201
24,1980-04-23,23.503,24.502,23.503,23.503,0.4757,1600
25,1980-04-24,23.003,23.994,23.003,23.003,0.4655,2200
26,1980-04-25,23.003,23.994,23.003,23.003,0.4655,101
27,1980-04-28,23.003,23.994,23.003,23.003,0.4655,1201
28,1980-04-29,23.003,23.994,23.003,23.003,0.4655,4600
29,1980-04-30,23.003,23.994,23.003,23.003,0.4655,401
30,1980-05-01,23.003,23.994,23.003,23.003,0.4655,1801
31,1980-05-02,23.003,23.994,23.003,23.003,0.4655,600
32,1980-05-05,23.253,24.26,23.253,23.253,0.4706,9401
33,1980-05-06,23.253,24.26,23.253,23.253,0.4706,1201
34,1980-05-08,23.253,24.26,23.253,23.253,0.4706,2000
35,1980-05-09,23.503,24.502,23.503,23.503,0.4757,1300
36,1980-05-12,23.753,24.751,23.753,23.753,0.4807,901
37,1980-05-13,24.26,25.243,24.26,24.26,0.491,2200
38,1980-05-14,24.26,25.243,24.26,24.26,0.491,600
39,1980-05-15,24.502,25.508,24.502,24.502,0.4959,901
40,1980-05-16,24.502,25.508,24.502,24.502,0.4959,1900
41,1980-05-19,24.502,25.508,24.502,24.502,0.4959,401
42,1980-05-20,24.502,25.508,24.502,24.502,0.4959,1700
43,1980-05-21,24.502,25.508,24.502,24.502,0.4959,1300
44,1980-05-22,24.502,25.508,24.502,24.502,0.4959,101
45,1980-05-27,24.751,25.75,24.751,24.751,0.5009,2101
46,1980-05-28,25.009,26.0,25.009,25.009,0.5061,4000
47,1980-05-29,25.243,26.25,25.243,25.243,0.5109,1700
48,1980-05-30,25.75,26.757,25.75,25.75,0.5211,2000
49,1980-06-02,25.75,26.757,25.75,25.75,0.5211,800
50,1980-06-03,25.75,26.757,25.75,25.75,0.5211,3700
51,1980-06-05,26.25,27.241,26.25,26.25,0.5312,2500
52,1980-06-06,26.499,27.506,26.499,26.499,0.5363,301
53,1980-06-09,26.499,27.506,26.499,26.499,0.5363,501
54,1980-06-10,26.499,27.506,26.499,26.499,0.5363,501
55,1980-06-11,26.757,27.756,26.757,26.757,0.5415,301
56,1980-06-12,27.241,28.255,27.241,27.241,0.5513,1600
57,1980-06-13,27.506,28.497,27.506,27.506,0.5567,200
58,1980-06-16,27.506,28.497,27.506,27.506,0.5567,301
59,1980-06-17,27.506,28.497,27.506,27.506,0.5567,800
60,1980-06-18,27.506,28.497,27.506,27.506,0.5567,1001
61,1980-06-19,27.506,28.497,27.506,27.506,0.5567,1001
62,1980-06-20,27.506,28.497,27.506,27.506,0.5567,101
63,1980-06-23,27.756,28.754,27.756,27.756,0.5617,1100
64,1980-06-24,27.756,28.754,27.756,27.756,0.5617,301
65,1980-06-25,28.497,29.503,28.497,28.497,0.5768,4101
66,1980-06-26,29.246,30.245,29.246,29.246,0.5919,3900
67,1980-06-27,30.245,31.251,30.245,30.245,0.6121,1700
68,1980-06-30,31.002,32.0,31.002,31.002,0.6274,3001
69,1980-07-01,31.002,32.0,31.002,31.002,0.6274,3100
70,1980-07-02,31.251,32.25,31.251,31.251,0.6325,901
71,1980-07-03,31.251,32.25,31.251,31.251,0.6325,2101
72,1980-07-07,31.251,32.0,31.251,31.251,0.6325,701
73,1980-07-08,31.251,31.751,31.251,31.251,0.6325,1801
74,1980-07-09,31.251,32.0,31.251,31.251,0.6325,200
75,1980-07-10,31.251,32.0,31.251,31.251,0.6325,2301
76,1980-07-11,31.251,32.0,31.251,31.251,0.6325,1300
77,1980-07-14,31.251,31.751,31.251,31.251,0.6325,901
78,1980-07-15,31.251,31.751,31.251,31.251,0.6325,101
79,1980-07-16,31.251,31.751,31.251,31.251,0.6325,1001
80,1980-07-17,31.251,31.751,31.251,31.251,0.6325,1300
81,1980-07-18,31.251,31.751,31.251,31.251,0.6325,401
82,1980-07-21,31.251,31.751,31.251,31.251,0.6325,701
83,1980-07-22,31.251,31.751,31.251,31.251,0.6325,1600
84,1980-07-23,31.251,31.751,31.251,31.251,0.6325,901
85,1980-07-24,31.251,31.751,31.251,31.251,0.6325,301
86,1980-07-25,31.501,32.0,31.501,31.501,0.6375,4000
87,1980-07-28,31.751,32.0,31.751,31.751,0.6426,1100
88,1980-07-29,31.751,32.0,31.751,31.751,0.6426,1900
89,1980-07-31,31.751,32.0,31.751,31.751,0.6426,401
90,1980-08-01,31.751,32.0,31.751,31.751,0.6426,1001
91,1980-08-04,31.751,32.0,31.751,31.751,0.6426,600
92,1980-08-05,31.751,32.0,31.751,31.751,0.6426,200
93,1980-08-06,31.751,32.0,31.751,31.751,0.6426,1201
94,1980-08-07,31.751,32.0,31.751,31.751,0.6426,1001
95,1980-08-08,31.751,32.0,31.751,31.751,0.6426,200
96,1980-08-11,31.751,32.0,31.751,31.751,0.6426,701
97,1980-08-12,31.251,32.0,31.251,31.251,0.6325,2500
98,1980-08-13,30.752,31.501,30.752,30.752,0.6224,901
99,1980-08-14,30.245,31.002,30.245,30.245,0.6121,2301
100,1980-08-15,30.003,30.752,30.003,30.003,0.6072,800
101,1980-08-18,30.003,30.752,30.003,30.003,0.6072,501
102,1980-08-19,28.996,29.745,28.996,28.996,0.5868,2900
103,1980-08-20,28.996,29.745,28.996,28.996,0.5868,101
104,1980-08-21,28.996,29.745,28.996,28.996,0.5868,200
105,1980-08-22,29.246,29.745,29.246,29.246,0.5919,200
106,1980-08-25,29.745,30.51,29.745,29.745,0.602,4300
107,1980-08-26,30.003,30.752,30.003,30.003,0.6072,2301
108,1980-08-27,31.002,31.751,31.002,31.002,0.6274,5400
109,1980-08-28,31.251,31.751,31.251,31.251,0.6325,301
110,1980-08-29,32.0,32.5,32.0,32.0,0.6476,2900
111,1980-09-02,31.751,32.5,31.751,31.751,0.6426,1401
112,1980-09-03,32.5,33.257,32.5,32.5,0.6577,2701
113,1980-09-04,33.007,33.491,33.007,33.007,0.668,401
114,1980-09-05,33.007,33.491,33.007,33.007,0.668,1100
115,1980-09-08,33.007,33.764,33.007,33.007,0.668,501
116,1980-09-09,33.007,33.491,33.007,33.007,0.668,200
117,1980-09-10,33.007,33.491,33.007,33.007,0.668,301
118,1980-09-11,33.007,33.764,33.007,33.007,0.668,200
119,1980-09-12,33.007,33.764,33.007,33.007,0.668,401
120,1980-09-15,33.007,33.491,33.007,33.007,0.668,2400
121,1980-09-16,33.007,33.491,33.007,33.007,0.668,101
122,1980-09-17,33.007,33.491,33.007,33.007,0.668,1900
123,1980-09-18,33.007,33.491,33.007,33.007,0.668,2200
124,1980-09-19,33.007,33.491,33.007,33.007,0.668,301
125,1980-09-22,33.007,33.491,33.007,33.007,0.668,901
126,1980-09-23,33.007,33.491,33.007,33.007,0.668,2000
127,1980-09-24,33.007,33.491,33.007,33.007,0.668,1501
128,1980-09-25,33.007,33.491,33.007,33.007,0.668,901
129,1980-09-26,33.007,33.491,33.007,33.007,0.668,101
130,1980-09-29,30.753,31.256,30.753,30.753,0.6224,2700
131,1980-09-30,30.753,31.256,30.753,30.753,0.6224,601
132,1980-10-01,30.002,30.753,30.002,30.002,0.6072,3700
133,1980-10-02,28.995,29.754,28.995,28.995,0.5868,3001
134,1980-10-03,28.995,29.754,28.995,28.995,0.5868,3001
135,1980-10-06,28.995,29.499,28.995,28.995,0.5868,900
136,1980-10-07,28.995,29.499,28.995,28.995,0.5868,2500
137,1980-10-08,28.995,29.499,28.995,28.995,0.5868,300
138,1980-10-09,28.747,29.499,28.747,28.747,0.5818,1201
139,1980-10-10,28.747,29.243,28.747,28.747,0.5818,1300
140,1980-10-13,28.507,29.499,28.507,28.507,0.5769,201
141,1980-10-14,28.507,29.499,28.507,28.507,0.5769,601
142,1980-10-15,28.507,29.243,28.507,28.507,0.5769,300
143,1980-10-16,28.507,29.243,28.507,28.507,0.5769,1400
144,1980-10-20,28.507,29.243,28.507,28.507,0.5769,800
145,1980-10-21,28.507,28.995,28.507,28.507,0.5769,1300
146,1980-10-22,28.507,28.995,28.507,28.507,0.5769,100
147,1980-10-23,28.507,28.995,28.507,28.507,0.5769,601
148,1980-10-27,28.507,28.995,28.507,28.507,0.5769,300
149,1980-10-28,28.251,28.995,28.251,28.251,0.5718,1601
150,1980-10-29,28.004,28.995,28.004,28.004,0.5667,1400
151,1980-10-30,28.004,28.507,28.004,28.004,0.5667,800
152,1980-10-31,28.004,28.507,28.004,28.004,0.5667,1300
153,1980-11-03,27.748,28.507,27.748,27.748,0.5616,1700
154,1980-11-05,28.251,28.747,28.251,28.251,0.5718,2700
155,1980-11-06,28.251,28.507,28.251,28.251,0.5718,1300
156,1980-11-07,28.004,28.507,28.004,28.004,0.5667,100
157,1980-11-10,28.004,28.507,28.004,28.004,0.5667,1300
158,1980-11-12,27.748,28.507,27.748,27.748,0.5616,201
159,1980-11-13,28.004,28.507,28.004,28.004,0.5667,700
160,1980-11-17,27.748,28.251,27.748,27.748,0.5616,1300
161,1980-11-18,27.748,28.251,27.748,27.748,0.5616,1100
162,1980-11-19,27.748,28.251,27.748,27.748,0.5616,700
163,1980-11-20,27.748,28.251,27.748,27.748,0.5616,2001
164,1980-11-21,27.748,28.251,27.748,27.748,0.5616,601
165,1980-11-24,27.748,28.251,27.748,27.748,0.5616,201
166,1980-11-26,27.748,28.251,27.748,27.748,0.5616,1000
167,1980-11-28,28.004,28.507,28.004,28.004,0.5667,1100
168,1980-12-01,27.748,28.507,27.748,27.748,0.5616,4000
169,1980-12-02,27.5,28.251,27.5,27.5,0.5566,700
170,1980-12-04,27.26,28.004,27.26,27.26,0.5517,201
171,1980-12-05,27.26,28.004,27.26,27.26,0.5517,201
172,1980-12-08,26.253,26.757,26.253,26.253,0.5314,2601
173,1980-12-09,25.247,26.005,25.247,25.247,0.511,2001
174,1980-12-10,25.006,25.743,25.006,25.006,0.5061,500
175,1980-12-11,24.262,25.006,24.262,24.262,0.491,2300
176,1980-12-12,24.262,25.006,24.262,24.262,0.491,800
177,1980-12-15,24.262,25.006,24.262,24.262,0.491,601
178,1980-12-16,24.496,25.006,24.496,24.496,0.4958,400
179,1980-12-17,24.0,24.751,24.0,24.0,0.4857,1500
180,1980-12-18,25.006,25.495,25.006,25.006,0.5061,4700
181,1980-12-19,25.247,25.495,25.247,25.247,0.511,1901
182,1980-12-22,25.495,26.005,25.495,25.495,0.5159,2800
183,1980-12-23,26.005,26.494,26.005,26.005,0.5263,2700
184,1980-12-24,27.004,27.26,27.004,27.004,0.5465,5300
185,1980-12-26,28.004,28.507,28.004,28.004,0.5667,1201
186,1980-12-29,28.004,28.507,28.004,28.004,0.5667,1400
187,1980-12-30,28.004,28.507,28.004,28.004,0.5667,601
188,1980-12-31,28.004,28.507,28.004,28.004,0.5667,700
189,1981-01-02,28.004,28.507,28.004,28.004,0.5667,2900
190,1981-01-05,28.004,28.995,28.004,28.004,0.5667,3500
191,1981-01-06,28.251,28.747,28.251,28.251,0.5718,700
192,1981-01-07,28.004,28.747,28.004,28.004,0.5667,2400
193,1981-01-08,27.5,28.251,27.5,27.5,0.5566,1100
194,1981-01-09,27.26,27.748,27.26,27.26,0.5517,8500
195,1981-01-12,27.26,27.748,27.26,27.26,0.5517,1201
196,1981-01-13,27.26,27.748,27.26,27.26,0.5517,300
197,1981-01-14,27.26,27.748,27.26,27.26,0.5517,1400
198,1981-01-16,27.26,27.748,27.26,27.26,0.5517,900
199,1981-01-19,27.26,27.748,27.26,27.26,0.5517,2700
200,1981-01-20,27.26,27.748,27.26,27.26,0.5517,601
201,1981-01-21,27.26,27.748,27.26,27.26,0.5517,1700
202,1981-01-22,26.757,27.5,26.757,26.757,0.5415,2100
203,1981-01-23,26.494,27.26,26.494,26.494,0.5362,500
204,1981-01-26,26.494,27.26,26.494,26.494,0.5362,100
205,1981-01-27,26.494,27.004,26.494,26.494,0.5362,400
206,1981-01-28,26.494,27.26,26.494,26.494,0.5362,1000
207,1981-01-29,26.494,27.26,26.494,26.494,0.5362,900
208,1981-01-30,26.757,27.5,26.757,26.757,0.5415,300
209,1981-02-02,26.757,27.5,26.757,26.757,0.5415,700
210,1981-02-03,26.757,27.26,26.757,26.757,0.5415,2800
211,1981-02-04,26.757,27.26,26.757,26.757,0.5415,300
212,1981-02-05,26.757,27.26,26.757,26.757,0.5415,900
213,1981-02-06,26.757,27.26,26.757,26.757,0.5415,1100
214,1981-02-10,26.494,27.26,26.494,26.494,0.5362,1801
215,1981-02-11,26.494,27.004,26.494,26.494,0.5362,201
216,1981-02-12,26.494,27.004,26.494,26.494,0.5362,1100
217,1981-02-13,26.494,27.004,26.494,26.494,0.5362,300
218,1981-02-17,26.494,27.004,26.494,26.494,0.5362,1400
219,1981-02-18,26.005,26.494,26.005,26.005,0.5263,2500
220,1981-02-19,26.005,26.494,26.005,26.005,0.5263,500
221,1981-02-20,26.005,26.494,26.005,26.005,0.5263,500
222,1981-02-23,26.005,26.494,26.005,26.005,0.5263,400
223,1981-02-24,26.253,27.004,26.253,26.253,0.5314,1300
224,1981-02-25,26.757,27.26,26.757,26.757,0.5415,4600
225,1981-02-26,26.757,27.26,26.757,26.757,0.5415,1300
226,1981-02-27,26.757,27.5,26.757,26.757,0.5415,1100
227,1981-03-02,26.757,27.26,26.757,26.757,0.5415,3401
228,1981-03-03,26.757,27.26,26.757,26.757,0.5415,7900
229,1981-03-04,27.004,27.5,27.004,27.004,0.5465,5601
230,1981-03-05,27.004,27.5,27.004,27.004,0.5465,400
231,1981-03-06,27.004,27.5,27.004,27.004,0.5465,1400
232,1981-03-09,27.004,27.5,27.004,27.004,0.5465,300
233,1981-03-10,27.26,27.5,27.26,27.26,0.5517,300
234,1981-03-11,27.26,27.5,27.26,27.26,0.5517,1400
235,1981-03-12,27.26,27.5,27.26,27.26,0.5517,1201
236,1981-03-13,27.26,27.5,27.26,27.26,0.5517,1300
237,1981-03-16,27.004,27.5,27.004,27.004,0.5465,300
238,1981-03-17,27.004,27.5,27.004,27.004,0.5465,1801
239,1981-03-19,27.004,27.5,27.004,27.004,0.5465,1100
240,1981-03-20,27.26,27.5,27.26,27.26,0.5517,2100
241,1981-03-23,27.26,27.5,27.26,27.26,0.5517,4300
242,1981-03-24,27.5,28.251,27.5,27.5,0.5566,2300
243,1981-03-25,28.747,29.499,28.747,28.747,0.5818,6700
244,1981-03-26,29.243,29.499,29.243,29.243,0.5918,2400
245,1981-03-27,28.747,29.243,28.747,28.747,0.5818,1901
246,1981-03-30,28.507,29.243,28.507,28.507,0.5769,300
247,1981-03-31,28.507,29.243,28.507,28.507,0.5769,700
248,1981-04-01,28.747,29.243,28.747,28.747,0.5818,2601
249,1981-04-02,28.995,29.243,28.995,28.995,0.5868,400
250,1981-04-03,28.995,29.499,28.995,28.995,0.5868,2700
251,1981-04-06,28.995,29.754,28.995,28.995,0.5868,2001
252,1981-04-07,29.243,29.754,29.243,29.243,0.5918,3600
253,1981-04-08,29.499,30.002,29.499,29.499,0.597,2201
254,1981-04-09,29.754,30.25,29.754,29.754,0.6022,4600
255,1981-04-10,30.25,30.753,30.25,30.25,0.6122,4000
256,1981-04-13,30.25,30.753,30.25,30.25,0.6122,6100
257,1981-04-14,30.002,30.505,30.002,30.002,0.6072,3100
258,1981-04-15,30.002,30.505,30.002,30.002,0.6072,4700
259,1981-04-16,30.25,31.001,30.25,30.25,0.6122,3301
260,1981-04-20,30.505,31.001,30.505,30.505,0.6174,2500
261,1981-04-21,30.505,31.001,30.505,30.505,0.6174,1300
262,1981-04-22,31.001,31.752,31.001,31.001,0.6274,2800
263,1981-04-23,31.504,31.752,31.504,31.504,0.6376,15400
264,1981-04-24,33.247,33.757,33.247,33.247,0.6729,9400
265,1981-04-27,33.998,34.494,33.998,33.998,0.6881,4700
266,1981-04-28,34.494,34.997,34.494,34.494,0.6981,4401
267,1981-04-29,34.997,35.508,34.997,34.997,0.7083,6401
268,1981-04-30,34.756,35.508,34.756,34.756,0.7034,3301
269,1981-05-01,34.494,35.245,34.494,34.494,0.6981,1901
270,1981-05-04,33.502,34.246,33.502,33.502,0.678,8800
