,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2011-03-10,31.2,31.5,30.7,31.02,23.5093,64600369
1,2011-03-11,30.5,31.29,30.5,31.12,23.5851,9531504
2,2011-03-14,30.96,31.05,30.57,30.91,23.426,8663783
3,2011-03-15,30.39,31.5,30.36,31.34,23.7519,7126571
4,2011-03-16,31.25,31.95,31.12,31.25,23.6837,6157808
5,2011-03-17,31.54,31.93,31.4,31.91,24.1839,3332379
6,2011-03-18,32.11,33.08,31.9,33.06,25.0554,5463348
7,2011-03-21,33.39,33.39,32.0,32.25,24.4415,3823474
8,2011-03-22,32.37,32.39,31.3904,31.87,24.1535,3943895
9,2011-03-23,31.7,32.68,31.5,32.68,24.7674,4216233
10,2011-03-24,32.53,32.95,32.5,32.69,24.775,2125551
11,2011-03-25,32.71,33.1,32.58,32.95,24.972,3026587
12,2011-03-28,32.87,33.11,32.75,33.04,25.0403,2112581
13,2011-03-29,33.44,34.01,33.05,33.89,25.6845,5137353
14,2011-03-30,34.57,34.57,33.93,34.24,25.9497,3049809
15,2011-03-31,34.0,34.11,33.665,33.87,25.6693,1960876
16,2011-04-01,33.89,34.1,33.66,33.74,25.5708,1822039
17,2011-04-04,33.87,33.87,33.31,33.67,25.5177,2647964
18,2011-04-05,33.7,34.05,33.25,34.02,25.783,3607250
19,2011-04-06,33.75,34.2,33.24,33.3,25.2373,2718425
20,2011-04-07,33.28,33.85,32.85,33.66,25.5101,1947469
21,2011-04-08,33.52,33.99,32.99,33.17,25.1388,2340014
22,2011-04-11,33.34,33.34,30.79,32.12,24.343,15028125
23,2011-04-12,32.11,32.59,31.33,31.53,23.8959,3848784
24,2011-04-13,32.0,32.45,31.7,32.06,24.2975,3969785
25,2011-04-14,31.89,32.5,31.79,32.14,24.3582,1565889
26,2011-04-15,32.3,32.38,31.89,31.98,24.2369,3073284
27,2011-04-18,31.82,32.54,30.75,32.08,24.3127,2911031
28,2011-04-19,33.08,33.1,31.66,31.74,24.055,3838184
29,2011-04-20,32.0,32.1897,31.15,31.65,23.9868,3866027
30,2011-04-21,31.81,31.98,31.27,31.4,23.7973,1461936
31,2011-04-25,31.56,31.5999,31.1,31.4,23.7973,732637
32,2011-04-26,31.35,32.07,31.16,32.0,24.2521,1771522
33,2011-04-27,32.26,33.0,32.2503,32.65,24.7447,3354452
34,2011-04-28,32.51,32.99,32.25,32.57,24.6841,1571782
35,2011-04-29,32.5,32.86,32.03,32.8,24.8584,1233833
36,2011-05-02,32.8,33.79,32.8,33.44,25.3434,2786222
37,2011-05-03,33.59,33.882,31.94,32.61,24.7144,3429362
38,2011-05-04,33.1,33.96,32.79,33.55,25.4268,4518260
39,2011-05-05,33.45,34.74,33.15,34.34,26.0255,2612938
40,2011-05-06,34.06,34.5,33.89,34.25,25.9573,1601327
41,2011-05-09,34.35,34.75,34.14,34.49,26.1392,1996004
42,2011-05-10,34.03,34.86,34.0,34.59,26.215,1475160
43,2011-05-11,34.2,34.79,34.06,34.54,26.1771,1431728
44,2011-05-12,34.3,34.59,34.12,34.51,26.1543,814706
45,2011-05-13,34.43,34.769,34.232,34.6,26.2225,1694184
46,2011-05-16,34.3,34.6,34.05,34.25,25.9573,1719853
47,2011-05-17,34.21,34.95,34.0,34.54,26.1771,3037305
48,2011-05-18,34.4,35.24,34.15,35.07,26.5787,2070267
49,2011-05-19,35.02,35.23,34.5,35.05,26.5636,1183894
50,2011-05-20,34.9,35.04,34.15,34.63,26.2453,2012662
51,2011-05-23,34.4,34.55,34.0,34.41,26.0785,2180438
52,2011-05-24,34.53,34.64,34.07,34.49,26.1392,3046754
53,2011-05-25,34.57,35.0,34.24,34.68,26.2832,2539055
54,2011-05-26,34.9,34.91,34.05,34.83,26.3969,1798281
55,2011-05-27,34.92,35.1,34.41,34.74,26.3286,1474669
56,2011-05-31,34.99,35.31,34.56,34.89,26.4423,8113338
57,2011-06-01,35.0,35.27,34.42,34.77,26.3514,3049797
58,2011-06-02,34.84,35.05,34.25,34.36,26.0407,2160044
59,2011-06-03,34.0,34.15,33.72,34.14,25.8739,2519008
60,2011-06-06,33.98,34.28,33.06,33.74,25.5708,2360977
61,2011-06-07,33.79,34.9,33.73,34.52,26.1619,1896517
62,2011-06-08,34.57,34.99,34.25,34.76,26.3438,1458308
63,2011-06-09,35.03,35.37,34.58,35.24,26.7076,1634034
64,2011-06-10,35.0,35.0,33.86,33.9,25.692,2222630
65,2011-06-13,34.15,34.15,33.25,33.65,25.5026,1671649
66,2011-06-14,33.8,34.07,33.26,33.54,25.4192,1846285
67,2011-06-15,33.25,33.52,32.62,33.15,25.1236,2544669
68,2011-06-16,34.05,34.8,33.5,33.87,25.6693,5779259
69,2011-06-17,34.0,34.99,33.95,34.59,26.215,3872503
70,2011-06-20,34.72,34.72,34.05,34.23,25.9421,1461612
71,2011-06-21,34.2,34.36,33.5,33.9,25.692,2728101
72,2011-06-22,33.9,33.995,33.36,33.42,25.3282,2487424
73,2011-06-23,33.3,33.44,32.28,33.21,25.1691,3222017
74,2011-06-24,33.31,33.31,32.16,32.25,24.4415,11475082
75,2011-06-27,32.4,32.71,31.49,32.48,24.6158,3136953
76,2011-06-28,32.59,33.08,32.58,32.75,24.8205,2536483
77,2011-06-29,32.98,33.3,32.59,32.76,24.8281,1405715
78,2011-06-30,32.78,33.39,32.63,33.0,25.0099,1479194
79,2011-07-01,33.14,33.5,32.54,33.06,25.0554,1663110
80,2011-07-05,33.07,33.47,32.98,33.17,25.1388,957818
81,2011-07-06,33.26,34.17,33.12,33.99,25.7602,2467427
82,2011-07-07,34.25,34.74,34.0,34.29,25.9876,1928512
83,2011-07-08,33.96,34.01,33.29,33.83,25.639,874719
84,2011-07-11,33.54,33.665,32.99,33.06,25.0554,777890
85,2011-07-12,33.05,33.73,32.65,32.8,24.8584,1075721
86,2011-07-13,32.98,33.67,32.81,33.24,25.1918,1120040
87,2011-07-14,33.3,33.54,32.98,33.22,25.1767,1107784
88,2011-07-15,33.27,33.28,32.74,33.22,25.1767,1116681
89,2011-07-18,33.04,33.0723,32.44,32.59,24.6992,1609431
90,2011-07-19,33.04,33.93,32.87,33.03,25.0327,2768163
91,2011-07-20,33.2,33.51,32.69,33.25,25.1994,721634
92,2011-07-21,33.43,34.56,33.43,34.43,26.0937,1554058
93,2011-07-22,34.32,34.92,34.02,34.61,26.2301,2101253
94,2011-07-25,30.05,30.8,27.51,27.97,21.1978,25103520
95,2011-07-26,27.67,28.38,26.9636,28.04,21.2509,7726233
96,2011-07-27,27.96,28.38,27.33,27.37,20.7431,7519385
97,2011-07-28,27.52,27.9,26.89,27.22,20.6294,3745220
98,2011-07-29,27.03,27.15,26.5,26.68,20.2202,4122661
99,2011-08-01,26.96,27.19,23.53,24.94,18.9015,11984959
100,2011-08-02,25.95,26.09,24.34,24.64,18.6741,4763039
