,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1999-07-13,1.736,1.97,1.658,1.931,1.931,86817800
1,1999-07-14,1.949,2.057,1.92,1.979,1.979,28192198
2,1999-07-15,1.998,1.998,1.959,1.97,1.97,16396702
3,1999-07-16,1.959,1.988,1.92,1.935,1.935,13985803
4,1999-07-19,1.901,1.91,1.881,1.896,1.896,19696298
5,1999-07-20,1.901,1.91,1.892,1.892,1.892,8393898
6,1999-07-21,1.892,1.91,1.892,1.901,1.901,5725198
7,1999-07-22,1.901,1.91,1.892,1.901,1.901,4442202
8,1999-07-23,1.901,1.931,1.892,1.931,1.931,4408199
9,1999-07-26,1.901,1.949,1.892,1.931,1.931,5167399
10,1999-07-27,1.92,1.97,1.92,1.959,1.959,4793598
11,1999-07-28,1.959,1.998,1.949,1.979,1.979,2278799
12,1999-07-29,1.979,1.988,1.949,1.959,1.959,1728002
13,1999-07-30,1.97,1.998,1.91,1.988,1.988,3848399
14,1999-08-02,1.959,1.998,1.949,1.988,1.988,3145702
15,1999-08-03,1.988,2.009,1.97,1.998,1.998,3188002
16,1999-08-04,1.979,1.988,1.979,1.984,1.984,1470201
17,1999-08-05,1.97,1.998,1.949,1.988,1.988,4156201
18,1999-08-06,1.979,1.998,1.97,1.988,1.988,1577897
19,1999-08-09,1.97,2.027,1.97,2.009,2.009,2848800
20,1999-08-10,1.998,2.018,1.988,1.998,1.998,1999903
21,1999-08-11,2.018,2.027,1.998,2.018,2.018,1426003
22,1999-08-12,2.009,2.027,2.009,2.009,2.009,1193902
23,1999-08-13,2.013,2.037,2.009,2.018,2.018,2817997
24,1999-08-16,2.027,2.037,2.018,2.027,2.027,2424999
25,1999-08-17,2.027,2.057,2.027,2.048,2.048,3025098
26,1999-08-18,2.037,2.057,2.027,2.027,2.027,1351598
27,1999-08-19,2.027,2.048,2.027,2.037,2.037,1376599
28,1999-08-20,2.037,2.057,2.027,2.032,2.032,671901
29,1999-08-23,2.037,2.057,2.027,2.057,2.057,1093797
30,1999-08-24,2.057,2.066,2.037,2.048,2.048,1129698
31,1999-08-25,2.048,2.066,2.037,2.057,2.057,1454203
32,1999-08-26,2.052,2.066,2.048,2.048,2.048,739297
33,1999-08-27,2.048,2.076,2.048,2.057,2.057,2467299
34,1999-08-30,2.062,2.062,2.027,2.048,2.048,840600
35,1999-08-31,2.066,2.066,2.037,2.048,2.048,1933801
36,1999-09-01,2.037,2.066,2.037,2.048,2.048,1659400
37,1999-09-02,2.048,2.057,2.027,2.037,2.037,674498
38,1999-09-03,2.048,2.087,2.037,2.048,2.048,1191298
39,1999-09-07,2.037,2.057,2.037,2.048,2.048,710398
40,1999-09-08,2.048,2.126,2.048,2.096,2.096,1496503
41,1999-09-09,2.091,2.096,2.087,2.096,2.096,556497
42,1999-09-10,2.091,2.115,2.091,2.115,2.115,908497
43,1999-09-13,2.115,2.115,2.087,2.105,2.105,1018803
44,1999-09-14,2.11,2.115,2.096,2.105,2.105,698203
45,1999-09-15,2.105,2.115,2.057,2.057,2.057,585403
46,1999-09-16,2.057,2.076,2.018,2.048,2.048,861100
47,1999-09-17,2.062,2.076,2.057,2.066,2.066,189699
48,1999-09-20,2.066,2.066,2.057,2.057,2.057,269298
49,1999-09-21,2.057,2.066,2.057,2.057,2.057,2355698
50,1999-09-22,2.062,2.076,2.057,2.076,2.076,678300
51,1999-09-23,2.057,2.105,2.048,2.066,2.066,2301203
52,1999-09-24,2.087,2.096,2.066,2.096,2.096,1668402
53,1999-09-27,2.076,2.087,2.066,2.076,2.076,1192600
54,1999-09-28,2.076,2.105,2.076,2.096,2.096,733501
55,1999-09-29,2.096,2.105,2.087,2.096,2.096,1387499
56,1999-09-30,2.091,2.204,2.087,2.144,2.144,3391300
57,1999-10-01,2.144,2.165,2.105,2.115,2.115,593097
58,1999-10-04,2.105,2.204,2.105,2.144,2.144,1153500
59,1999-10-05,2.165,2.183,2.144,2.165,2.165,536601
60,1999-10-06,2.165,2.183,2.165,2.165,2.165,274998
61,1999-10-07,2.165,2.183,2.105,2.105,2.105,369902
62,1999-10-08,2.105,2.144,2.076,2.115,2.115,529599
63,1999-10-11,2.115,2.115,2.087,2.096,2.096,430803
64,1999-10-12,2.105,2.115,2.096,2.105,2.105,1055402
65,1999-10-13,2.105,2.105,2.076,2.105,2.105,1867097
66,1999-10-14,2.087,2.105,2.087,2.096,2.096,1289402
67,1999-10-15,2.087,2.096,2.037,2.096,2.096,1588201
68,1999-10-18,2.076,2.087,2.048,2.057,2.057,743100
69,1999-10-19,2.062,2.076,2.057,2.057,2.057,1599698
70,1999-10-20,2.062,2.076,2.057,2.066,2.066,1275302
71,1999-10-21,2.071,2.076,2.037,2.048,2.048,626401
72,1999-10-22,2.048,2.066,2.048,2.048,2.048,695003
73,1999-10-25,2.037,2.048,2.027,2.037,2.037,1175300
74,1999-10-26,2.048,2.048,2.037,2.037,2.037,805302
75,1999-10-27,2.041,2.048,2.037,2.037,2.037,535402
76,1999-10-28,2.037,2.048,2.037,2.048,2.048,441697
77,1999-10-29,2.048,2.087,2.048,2.076,2.076,1443303
78,1999-11-01,2.066,2.105,2.057,2.076,2.076,674498
79,1999-11-02,2.066,2.096,2.066,2.096,2.096,1085500
80,1999-11-03,2.105,2.105,2.087,2.091,2.091,337900
81,1999-11-04,2.087,2.105,2.087,2.096,2.096,2476302
82,1999-11-05,2.096,2.105,2.096,2.096,2.096,915602
83,1999-11-08,2.101,2.105,2.096,2.105,2.105,1067502
84,1999-11-09,2.101,2.105,2.096,2.096,2.096,518699
85,1999-11-10,2.096,2.105,2.096,2.096,2.096,816203
86,1999-11-11,2.096,2.105,2.096,2.105,2.105,1043200
87,1999-11-12,2.096,2.105,2.096,2.096,2.096,178202
88,1999-11-15,2.101,2.105,2.096,2.105,2.105,1044502
89,1999-11-16,2.096,2.105,2.096,2.096,2.096,947001
90,1999-11-17,2.096,2.105,2.096,2.096,2.096,711700
91,1999-11-18,2.101,2.105,2.096,2.105,2.105,692400
92,1999-11-19,2.096,2.105,2.096,2.105,2.105,639898
93,1999-11-22,2.105,2.105,2.096,2.105,2.105,1967202
94,1999-11-23,2.101,2.115,2.096,2.096,2.096,1845303
95,1999-11-24,2.101,2.105,2.096,2.096,2.096,434702
96,1999-11-26,2.101,2.105,2.096,2.096,2.096,176901
97,1999-11-29,2.096,2.105,2.096,2.096,2.096,2649400
98,1999-11-30,2.105,2.105,2.096,2.096,2.096,2804602
99,1999-12-01,2.096,2.105,2.096,2.096,2.096,2631401
100,1999-12-02,2.096,2.105,2.096,2.096,2.096,418697
101,1999-12-03,2.101,2.105,2.087,2.096,2.096,839299
102,1999-12-06,2.101,2.105,2.096,2.096,2.096,934799
103,1999-12-07,2.096,2.115,2.096,2.105,2.105,2233902
104,1999-12-08,2.105,2.115,2.096,2.105,2.105,1789499
105,1999-12-09,2.105,2.144,2.076,2.144,2.144,5822699
106,1999-12-10,2.126,2.144,2.096,2.115,2.115,1531801
107,1999-12-13,2.105,2.126,2.096,2.096,2.096,727102
108,1999-12-14,2.101,2.126,2.066,2.096,2.096,1679303
109,1999-12-15,2.105,2.105,2.057,2.087,2.087,1693999
110,1999-12-16,2.087,2.126,2.087,2.105,2.105,1037397
111,1999-12-17,2.096,2.105,2.066,2.105,2.105,516801
112,1999-12-20,2.071,2.105,2.066,2.096,2.096,1590798
113,1999-12-21,2.096,2.105,2.087,2.096,2.096,2102399
114,1999-12-22,2.101,2.105,2.096,2.096,2.096,1186201
115,1999-12-23,2.096,2.105,2.076,2.076,2.076,508401
116,1999-12-27,2.071,2.076,2.048,2.057,2.057,833502
117,1999-12-28,2.062,2.096,2.057,2.096,2.096,549502
118,1999-12-29,2.087,2.096,2.087,2.087,2.087,1658701
119,1999-12-30,2.087,2.096,2.087,2.087,2.087,552003
120,1999-12-31,2.091,2.096,2.087,2.096,2.096,355802
121,2000-01-03,2.087,2.096,2.076,2.087,2.087,2170398
122,2000-01-04,2.057,2.066,1.998,2.009,2.009,1621499
123,2000-01-05,1.998,1.998,1.97,1.988,1.988,2580798
124,2000-01-06,1.988,1.993,1.97,1.979,1.979,1418302
125,2000-01-07,1.984,2.048,1.979,2.027,2.027,1040001
126,2000-01-10,2.032,2.087,2.027,2.076,2.076,2112703
127,2000-01-11,2.076,2.154,2.076,2.154,2.154,2463401
128,2000-01-12,2.135,2.165,2.126,2.135,2.135,2119801
129,2000-01-13,2.135,2.174,2.135,2.165,2.165,1647801
130,2000-01-14,2.165,2.193,2.165,2.174,2.174,2571199
131,2000-01-18,2.144,2.193,2.144,2.165,2.165,2793003
132,2000-01-19,2.158,2.183,2.144,2.174,2.174,1590798
133,2000-01-20,2.165,2.183,2.154,2.174,2.174,1190003
134,2000-01-21,2.165,2.183,2.144,2.165,2.165,6031698
135,2000-01-24,2.174,2.193,2.169,2.183,2.183,2754499
136,2000-01-25,2.179,2.193,2.174,2.183,2.183,565500
137,2000-01-26,2.179,2.213,2.174,2.213,2.213,1575999
138,2000-01-27,2.213,2.282,2.193,2.261,2.261,1165702
139,2000-01-28,2.243,2.339,2.243,2.291,2.291,687302
140,2000-01-31,2.291,2.321,2.291,2.31,2.31,1030402
141,2000-02-01,2.31,2.378,2.31,2.378,2.378,1463802
142,2000-02-02,2.399,2.399,2.31,2.321,2.321,3978601
143,2000-02-03,2.33,2.339,2.321,2.339,2.339,507099
144,2000-02-04,2.335,2.339,2.321,2.335,2.335,679601
145,2000-02-07,2.321,2.33,2.3,2.305,2.305,755898
146,2000-02-08,2.3,2.321,2.3,2.321,2.321,891903
147,2000-02-09,2.3,2.321,2.3,2.31,2.31,759097
148,2000-02-10,2.31,2.33,2.31,2.31,2.31,1837602
149,2000-02-11,2.314,2.33,2.31,2.33,2.33,1299700
150,2000-02-14,2.33,2.349,2.321,2.321,2.321,638603
151,2000-02-15,2.325,2.33,2.3,2.31,2.31,625099
152,2000-02-16,2.31,2.33,2.31,2.321,2.321,355199
