Date,Open,High,Low,Close,Adjusted_close,Volume
2021-12-09,81.16,89.5,80.26,85.19,85.19,12946400
2021-12-10,84.58,90.74,84,85.7,85.7,2650700
2021-12-13,86,88.88,84.5,85.99,85.99,1493700
2021-12-14,84.2,87.49,83.08,84.01,84.01,1173200
2021-12-15,83.755,85.94,82.565,84.92,84.92,1909600
2021-12-16,84.72,85.38,81.61,82,82,497600
2021-12-17,80.72,82.45,79.271,80.89,80.89,940200
2021-12-20,80,81.07,79.36,80,80,404600
2021-12-21,80.58,85.16,80.52,84.97,84.97,485900
2021-12-22,83.81,88.588,83.39,85.87,85.87,578300
2021-12-23,86.28,90.79,85.87,89.82,89.82,386100
2021-12-27,90,102.95,89.845,97.6,97.6,901300
2021-12-28,98.05,99.63,91.37,93.18,93.18,316300
2021-12-29,93.52,94.7,88.42,89.83,89.83,279200
2021-12-30,89.85,93.44,89.69,90.54,90.54,246600
2021-12-31,91,93.5,88.8,91.04,91.04,470300
2022-01-03,91.5,92.73,83.35,84.01,84.01,634100
2022-01-04,83.69,84.4,76.8,78.83,78.83,1288500
2022-01-05,78,78.69,70.865,72.79,72.79,852500
2022-01-06,73.5,78.29,71.84,77.75,77.75,1183200
2022-01-07,77.56,80.29,71.2,71.77,71.77,896600
2022-01-10,71.5,71.7,64.51,70.75,70.75,748600
2022-01-11,70,77.96,68.7,73.76,73.76,1009200
2022-01-12,75.35,76.75,71.23,72.27,72.27,402500
2022-01-13,72.72,73.14,66.8,66.97,66.97,735100
2022-01-14,66.8,68.53,63.25,66.69,66.69,720500
2022-01-18,66.01,66.05,63.312,64.5,64.5,540300
2022-01-19,64.95,66.245,62.19,62.63,62.63,473000
2022-01-20,63.08,68,62.95,62.97,62.97,529400
2022-01-21,62.35,63.76,56.52,58.93,58.93,846000
2022-01-24,56.82,63,45.43,62.08,62.08,2873400
2022-01-25,60.01,60.78,54.241,55.51,55.51,721400
2022-01-26,59.98,62.76,57.25,57.88,57.88,1392500
2022-01-27,58.1,60.156,55.45,58.65,58.65,760200
2022-01-28,59.24,63.41,57.18,63.01,63.01,306700
2022-01-31,63.3,68,63.04,66.39,66.39,330100
2022-02-01,66.57,73.97,66.09,71.75,71.75,711400
2022-02-02,71.8,73.24,67.56,68.7,68.7,646800
2022-02-03,67.5,70.019,59.35,59.95,59.95,680400
2022-02-04,59.96,67.2,59.24,64.89,64.89,611900
2022-02-07,64.79,72.92,64.15,70.3,70.3,499000
2022-02-08,70,76.8,69.12,76,76,418800
2022-02-09,77.42,79.395,72,77.97,77.97,552500
2022-02-10,75.87,83.12,75.01,76.67,76.67,859800
2022-02-11,76,78.99,67.9,69.53,69.53,652700
2022-02-14,69.02,70.72,66.34,68.15,68.15,424000
2022-02-15,69.51,70.759,64.77,69.75,69.75,619000
2022-02-16,68.58,69.69,64.86,66.06,66.06,367000
2022-02-17,64.23,66.02,56.171,58.51,58.51,784300
2022-02-18,60.927,60.927,51.491,54.41,54.41,955900
2022-02-22,54.32,56.245,52.8,53.68,53.68,621400
2022-02-23,54.39,54.84,48.29,48.89,48.89,477000
2022-02-24,47.75,53.75,47.4,53.5,53.5,1414300
2022-02-25,53.49,54.8,49.88,50.9,50.9,581500
2022-02-28,50.55,51.55,48.11,50.39,50.39,960400
2022-03-01,50.15,53.34,48.73,49,49,715300
2022-03-02,49.45,51.08,44.5,49.3,49.3,753100
2022-03-03,49.31,49.345,43.2,44.99,44.99,1144500
2022-03-04,44.43,45.64,41.65,42.01,42.01,670400
2022-03-07,42.61,43.73,37.155,37.49,37.49,1602000
2022-03-08,37.16,41.33,34.47,38.96,38.96,1714000
2022-03-09,40.78,43.43,40.78,42.25,42.25,915300
2022-03-10,40.95,41.985,36.41,37.74,37.74,1200200
2022-03-11,38.71,43,32.9,33.56,33.56,3571900
2022-03-14,33.54,35.65,31.36,32.45,32.45,2489700
2022-03-15,33.09,35.31,32.35,33.79,33.79,1172200
2022-03-16,34.94,42.44,34.745,41.16,41.16,1905800
2022-03-17,40.34,44.47,39.14,44.2,44.2,1433100
2022-03-18,43.56,47.37,42.86,46.8,46.8,2031500
2022-03-21,46.29,50.71,46.01,48.44,48.44,2053100
2022-03-22,48.31,53.76,46.91,50.36,50.36,1212000
2022-03-23,49.43,51.67,48.3,50.69,50.69,766300
2022-03-24,50.85,54.53,48.72,54.3,54.3,912500
2022-03-25,54.25,54.43,49.98,51.3,51.3,1469000
2022-03-28,50.21,53.8,48.91,53.1,53.1,891700
2022-03-29,54.2,57.37,52.14,56.96,56.96,700800
2022-03-30,56,58,53.18,55.32,55.32,1317800
2022-03-31,55.56,56.71,52.36,54,54,1814100
2022-04-01,54.27,56.325,52.55,54,54,1672000
2022-04-04,54.44,59.16,54.44,58.02,58.02,985100
2022-04-05,57.62,58.91,55.52,58.14,58.14,1783400
2022-04-06,56.4,57.92,50.29,53.85,53.85,2805800
2022-04-07,53.23,55.68,52,53.64,53.64,1411500
2022-04-08,53.08,53.76,50.01,50.86,50.86,1319600
2022-04-11,50,54.67,48.357,53.8,53.8,967200
2022-04-12,54.19,58.34,52.34,54.29,54.29,1279900
2022-04-13,54.07,60.03,52.6,58.22,58.22,1034200
2022-04-14,58.12,58.12,55.05,56.07,56.07,821900
2022-04-18,55,55.49,51.37,53.15,53.15,1193200
2022-04-19,52.53,58.28,52.36,57.68,57.68,774100
2022-04-20,57.13,58.081,54.46,56.6,56.6,721800
2022-04-21,57.55,58.99,50.3,50.34,50.34,947200
2022-04-22,50.65,51.27,44.77,45.14,45.14,1418800
2022-04-25,44.13,50.57,44.01,50.39,50.39,1009700
2022-04-26,49.78,50.5,46.04,49.76,49.76,1152000
2022-04-27,49.97,53.92,48.78,49.13,49.13,704600
2022-04-28,49.95,51.88,46.17,50.35,50.35,855600
2022-04-29,48.95,52.69,45.71,47.08,47.08,844700
2022-05-02,46.66,49.49,44.68,47.01,47.01,1122300
2022-05-03,46.66,50.36,44.87,47.68,47.68,821800
2022-05-04,47.59,55.75,43.61,54.54,54.54,1521800
2022-05-05,53.49,53.49,44,46.33,46.33,1795700
2022-05-06,45.26,45.44,38.61,39,39,2803700
2022-05-09,37.26,38.87,32.57,33.39,33.39,4183500
2022-05-10,35.43,36.49,30.57,32.44,32.44,2236100
2022-05-11,32.74,34.25,30,32.35,32.35,2120600
2022-05-12,31.44,38.17,29.26,34.15,34.15,2106600
2022-05-13,36.91,43.4,36.01,38.49,38.49,1472200
2022-05-16,38.41,39.7,32.19,34.49,34.49,1539800
2022-05-17,35.58,36.58,32.605,36.17,36.17,1012000
2022-05-18,34.71,35.9,31.5,33.62,33.62,1099100
2022-05-19,32.72,37.9,32.64,35.58,35.58,1142700
2022-05-20,36.27,37.72,31.51,34.04,34.04,1054300
2022-05-23,34.24,34.9,31.96,34.65,34.65,1091800
2022-05-24,33,33.489,29.79,30.96,30.96,1821100
2022-05-25,30.42,33.097,30.11,32.5,32.5,1162000
2022-05-26,32.06,36.15,32,33.89,33.89,1506400
2022-05-27,34.47,37.09,34.18,36.95,36.95,827500
2022-05-31,36.69,37.1,33.51,35.02,35.02,993700
2022-06-01,35.28,37.41,33.54,35.61,35.61,749300
2022-06-02,34.9,41.82,34.32,41.27,41.27,2131800
2022-06-03,35.41,35.99,31.31,34,34,4625400
2022-06-06,34.88,37.175,31.86,35.57,35.57,2960700
2022-06-07,33.51,38.53,32.82,38.33,38.33,3488500
2022-06-08,36.13,36.64,32.23,32.76,32.76,3895200
2022-06-09,32.81,33.12,29.78,30.15,30.15,3040100
2022-06-10,29.15,30.48,28.01,30.09,30.09,3400200
2022-06-13,28.09,30.74,27.72,28.02,28.02,2537000
2022-06-14,27.29,28.5,26.29,26.95,26.95,2261400
2022-06-15,27.41,29.97,27.01,28.47,28.47,1686000
2022-06-16,27.6,27.73,25.51,26.62,26.62,1546600
2022-06-17,26.35,27.97,25.93,27.19,27.19,5023700
2022-06-21,27.36,30.45,27.34,29.14,29.14,1736700
2022-06-22,28.72,30.58,28.16,29.42,29.42,1048100
2022-06-23,29.41,31.605,28.9,31.35,31.35,1841700
2022-06-24,31.5,33.32,31.16,32.77,32.77,1137400
2022-06-27,33,33,30.86,31.58,31.58,2079900
2022-06-28,31.34,31.785,28.37,28.66,28.66,1428200
2022-06-29,28.405,30.08,27.81,29.7,29.7,1156600
2022-06-30,28.8,29.79,28.17,29.44,29.44,1375100
2022-07-01,29.21,30.645,28.29,29.97,29.97,816700
2022-07-05,29.08,32.75,28.42,32.74,32.74,1177800
2022-07-06,32.66,33.15,31.69,32.92,32.92,991000
2022-07-07,32.5,35.1,32.32,34.97,34.97,1459900
2022-07-08,34.25,36,33.03,34.96,34.96,1067300
2022-07-11,34.9,35.179,32.8,34.1,34.1,723500
2022-07-12,34.35,35.15,33.32,34.17,34.17,1349800
2022-07-13,33.57,36.08,33.25,35.19,35.19,1482900
2022-07-14,34.38,34.685,32.36,32.47,32.47,744900
2022-07-15,32,34.3,31.28,34.14,34.14,753700
2022-07-18,34.71,35.23,32.945,33.25,33.25,828800
2022-07-19,33.76,34.11,31.85,32.11,32.11,872500
2022-07-20,32.95,36.41,32.48,36.25,36.25,2225400
2022-07-21,35.59,36.71,34.865,35.99,35.99,929400
2022-07-22,35.19,36.12,33.12,33.44,33.44,1443800
2022-07-25,33.31,35.395,32.82,34.68,34.68,1499300
2022-07-26,33.69,34.102,31.26,31.99,31.99,2777800
2022-07-27,32.48,35.64,32.22,35.37,35.37,1156000
2022-07-28,35.06,36.4,33.895,36.21,36.21,685600
2022-07-29,36.35,36.9,35.5,36.24,36.24,1085000
2022-08-01,36.15,37.49,34.74,36.48,36.48,842300
2022-08-02,36.09,37.08,35.85,36.87,36.87,760900
2022-08-03,37.41,39.78,36.91,39.5,39.5,1511900
2022-08-04,37.24,37.94,35.19,36.91,36.91,2799900
2022-08-05,36,39.15,35.81,37.82,37.82,1236000
2022-08-08,37.93,39.71,37.36,39.67,39.67,1436400
2022-08-09,39,39,35.97,38.92,38.92,1164900
2022-08-10,40.94,40.94,39.44,40.85,40.85,1894900
2022-08-11,41.79,43.81,40.29,40.62,40.62,1515800
2022-08-12,41.09,44.34,40.72,43.62,43.62,1133000
2022-08-15,42,42.5,38.71,40.99,40.99,3133600
2022-08-16,40.62,41,39.17,40.89,40.89,1634300
2022-08-17,39.8,40.015,38.8,39.5,39.5,870900
2022-08-18,39.53,40.85,39.33,40.24,40.24,792400
2022-08-19,38.92,39.15,37.68,38.58,38.58,1378100
2022-08-22,37.42,38.69,36.54,37.13,37.13,989500
2022-08-23,37.19,39.06,36.27,37.91,37.91,820200
2022-08-24,37.97,39.81,37.73,39.24,39.24,1076100
2022-08-25,38.84,39.86,38.15,39.25,39.25,1357600
2022-08-26,39.3,39.77,36.98,37.96,37.96,867900
2022-08-29,36.86,38.16,36.716,37.49,37.49,764000
2022-08-30,37.86,38.82,35.86,36.19,36.19,644500
2022-08-31,36.41,37.484,34.69,35.35,35.35,978000
2022-09-01,34.54,34.8,28.59,30.26,30.26,3342200
2022-09-02,35.28,36.82,29.33,30.11,30.11,4026800
2022-09-06,29.47,30.44,28.1,28.55,28.55,2402600
2022-09-07,28.51,30.4,28.18,30.23,30.23,1845100
2022-09-08,28.76,29.93,28.07,29.54,29.54,2463100
2022-09-09,30.28,31.02,29.74,30.7,30.7,1426500
2022-09-12,30.96,32.59,30.55,32.56,32.56,1702200
2022-09-13,30.79,31.23,29.77,30.84,30.84,1318900
2022-09-14,30.92,32.48,30.31,32.05,32.05,1284700
2022-09-15,31.65,32.79,31.13,31.44,31.44,1044700
2022-09-16,30.55,30.78,29.5,30.07,30.07,1750700
2022-09-19,29.5,30.35,28.9,30.27,30.27,1071500
2022-09-20,29.89,30.57,29.21,29.27,29.27,802700
2022-09-21,29.56,30.98,28.8,29.13,29.13,1262300
2022-09-22,28.87,29.15,26.795,27.12,27.12,1369700
2022-09-23,26.28,27.84,26.28,27.76,27.76,1573200
2022-09-26,27.3,29.23,27.26,28.93,28.93,1528000
2022-09-27,29.58,30.69,29.13,29.72,29.72,871200
2022-09-28,30,32.92,29.85,32.83,32.83,1518100
2022-09-29,32.16,32.64,31.36,32.49,32.49,1226400
2022-09-30,31.96,34.2,31.78,32.19,32.19,1661000
2022-10-03,32.38,32.95,30.76,31.7,31.7,1299000
2022-10-04,32.71,34.41,32.53,33.32,33.32,1148800
2022-10-05,32.28,33.77,32.09,33.68,33.68,989000
2022-10-06,34.12,34.91,31.28,33,33,1968700
2022-10-07,32.43,32.7,31.59,32.28,32.28,1904800
2022-10-10,32.11,32.11,29.015,29.27,29.27,1568400
2022-10-11,28.94,29.65,27.03,28.71,28.71,1046300
2022-10-12,28.95,29.1,27.1,28.67,28.67,944900
2022-10-13,27.87,29.87,27.025,28.94,28.94,1393400
2022-10-14,29.76,29.76,27.28,27.34,27.34,1245400
2022-10-17,28.72,30.04,28.57,29.58,29.58,1164700
2022-10-18,30.05,31.57,30.05,30.81,30.81,1291700
2022-10-19,30,30.39,29.05,29.69,29.69,1273500
2022-10-20,29.57,32.41,29.57,30.58,30.58,1509300
2022-10-21,30.48,30.78,28.82,30.58,30.58,1247200
2022-10-24,30.9,31.5,28.66,30.92,30.92,899600
2022-10-25,31.18,34.47,31.18,33.94,33.94,1800300
2022-10-26,32.58,33.735,30.66,30.83,30.83,1362500
2022-10-27,31.31,31.98,30.48,31.04,31.04,591200
2022-10-28,30.94,31.94,30.28,31.88,31.88,1260400
2022-10-31,30.29,31.5,29.98,30.73,30.73,1091500
2022-11-01,31.6,32,30.25,30.28,30.28,859800
2022-11-02,30.56,30.56,27.61,27.86,27.86,1306100
2022-11-03,27.37,28.72,26.25,26.51,26.51,2140200
2022-11-04,26.88,26.88,22.96,23.81,23.81,2702600
2022-11-07,23.87,24.19,21.97,22.6,22.6,2520600
2022-11-08,23.04,24.02,21.9,22.84,22.84,1432600
2022-11-09,22.36,22.495,21.5,22.04,22.04,1380100
2022-11-10,24.3,26,23.93,25.96,25.96,2743700
2022-11-11,26.46,30.83,25.94,29.5,29.5,3413200
2022-11-14,28.9,29.58,27.23,28.89,28.89,1227000
2022-11-15,30.32,31.18,28.76,29.98,29.98,1712681
