,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1980-03-17,46.6248,48.2502,46.125,46.6248,4.2447,747600
1,1980-03-18,48.2502,48.6252,45.375,48.2502,4.3926,1204800
2,1980-03-19,48.375,49.5,48.375,48.375,4.404,745200
3,1980-03-20,47.25,49.0002,46.9998,47.25,4.3016,430800
4,1980-03-21,46.3752,47.7498,46.3752,46.3752,4.2219,453000
5,1980-03-24,43.6248,46.125,43.2498,43.6248,3.9715,810000
6,1980-03-25,42.4998,44.625,42.0,42.4998,3.8691,2117400
7,1980-03-26,41.8752,43.2498,41.625,41.8752,3.8123,816600
8,1980-03-27,40.9998,41.3748,37.6248,40.9998,3.7326,1286400
9,1980-03-28,43.2498,43.9998,41.625,43.2498,3.9374,837600
10,1980-03-31,43.5,44.1252,42.4998,43.5,3.9602,399600
11,1980-04-01,42.8748,43.875,42.375,42.8748,3.9033,631200
12,1980-04-02,43.5,43.875,43.0002,43.5,3.9602,486000
13,1980-04-03,43.0002,43.875,42.8748,43.0002,3.9147,483600
14,1980-04-07,42.0,42.75,42.0,42.0,3.8236,315000
15,1980-04-08,43.0002,43.2498,41.7498,43.0002,3.9147,348000
16,1980-04-09,44.25,44.3748,43.0002,44.25,4.0285,824400
17,1980-04-10,44.625,44.625,43.875,44.625,4.0626,516000
18,1980-04-11,46.2498,46.2498,44.8752,46.2498,4.2105,829200
19,1980-04-14,46.7502,46.7502,45.6252,46.7502,4.2561,594600
20,1980-04-15,46.125,47.3748,46.0002,46.125,4.1992,346200
21,1980-04-16,44.3748,46.3752,44.25,44.3748,4.0398,456600
22,1980-04-17,44.3748,44.5002,43.5,44.3748,4.0398,353400
23,1980-04-18,44.3748,45.1248,43.875,44.3748,4.0398,268800
24,1980-04-21,43.6248,44.625,43.0002,43.6248,3.9715,346800
25,1980-04-22,47.7498,47.7498,43.6248,47.7498,4.3471,852000
26,1980-04-23,46.875,47.7498,46.3752,46.875,4.2674,838800
27,1980-04-24,46.5,46.9998,45.6252,46.5,4.2333,589200
28,1980-04-25,46.5,46.5,45.2502,46.5,4.2333,379800
29,1980-04-28,46.9998,48.0,46.7502,46.9998,4.2788,469200
30,1980-04-29,48.2502,48.375,47.25,48.2502,4.3926,319800
31,1980-04-30,47.7498,48.2502,47.25,47.7498,4.3471,215400
32,1980-05-01,47.1252,48.6252,47.1252,47.1252,4.2902,627000
33,1980-05-02,46.3752,47.25,46.3752,46.3752,4.2219,1040400
34,1980-05-05,46.0002,46.6248,46.0002,46.0002,4.1878,316200
35,1980-05-06,45.0,46.0002,45.0,45.0,4.0967,381000
36,1980-05-07,43.875,44.8752,43.7502,43.875,3.9943,545400
37,1980-05-08,43.5,43.875,43.2498,43.5,3.9602,782400
38,1980-05-09,42.75,43.125,42.4998,42.75,3.8919,482400
39,1980-05-12,42.75,42.8748,42.375,42.75,3.8919,250800
40,1980-05-13,44.3748,44.3748,43.0002,44.3748,4.0398,430200
41,1980-05-14,43.7502,44.8752,43.7502,43.7502,3.983,750600
42,1980-05-15,43.875,44.25,43.5,43.875,3.9943,247200
43,1980-05-16,43.3752,43.9998,43.0002,43.3752,3.9488,600600
44,1980-05-19,43.0002,43.3752,42.6252,43.0002,3.9147,844200
45,1980-05-20,43.0002,43.3752,43.0002,43.0002,3.9147,499800
46,1980-05-21,43.125,43.2498,42.75,43.125,3.926,622800
47,1980-05-22,44.5002,44.7498,43.2498,44.5002,4.0512,743400
48,1980-05-23,45.6252,46.3752,45.2502,45.6252,4.1537,793200
49,1980-05-27,45.6252,46.2498,45.375,45.6252,4.1537,682800
50,1980-05-28,48.4998,48.8748,46.0002,48.4998,4.4154,759000
51,1980-05-29,47.3748,49.125,47.1252,47.3748,4.3129,606000
52,1980-05-30,48.4998,48.6252,46.3752,48.4998,4.4154,487800
53,1980-06-02,48.8748,49.2498,48.375,48.8748,4.4495,300000
54,1980-06-03,50.5002,50.8752,48.75,50.5002,4.5975,714000
55,1980-06-04,51.6252,52.0002,50.5002,51.6252,4.6999,619800
56,1980-06-05,51.1248,52.2498,51.0,51.1248,4.6543,558600
57,1980-06-06,52.125,52.2498,51.2502,52.125,4.7454,792000
58,1980-06-09,54.4998,54.4998,53.1252,54.4998,4.9616,964200
59,1980-06-10,55.7502,55.875,54.4998,55.7502,5.0754,1206000
60,1980-06-11,56.25,57.75,55.3752,56.25,5.1209,2180400
61,1980-06-12,54.75,55.9998,53.5002,54.75,4.9844,1104000
62,1980-06-13,54.6252,55.125,54.2502,54.6252,4.973,1853400
63,1980-06-16,53.625,54.75,53.625,53.625,4.8819,370800
64,1980-06-17,54.8748,54.8748,53.7498,54.8748,4.9957,527400
65,1980-06-18,54.6252,54.8748,54.2502,54.6252,4.973,519600
66,1980-06-19,54.1248,55.0002,54.0,54.1248,4.9274,598200
67,1980-06-20,53.25,54.1248,53.25,53.25,4.8478,367800
68,1980-06-23,53.7498,54.0,52.9998,53.7498,4.8933,748800
69,1980-06-24,53.7498,54.1248,53.25,53.7498,4.8933,554400
70,1980-06-25,55.0002,55.5,54.2502,55.0002,5.0071,857400
71,1980-06-26,55.3752,56.3748,55.3752,55.3752,5.0413,629400
72,1980-06-27,55.875,56.25,55.5,55.875,5.0868,432600
73,1980-06-30,52.9998,55.7502,52.7502,52.9998,4.825,423600
74,1980-07-01,53.7498,54.0,52.9998,53.7498,4.8933,327000
75,1980-07-02,54.4998,55.0002,54.0,54.4998,4.9616,337200
76,1980-07-03,57.4998,57.6252,55.3752,57.4998,5.2347,1262400
77,1980-07-07,58.9998,59.1252,58.3752,58.9998,5.3713,921600
78,1980-07-08,58.0002,59.3748,57.75,58.0002,5.2803,1087800
79,1980-07-09,56.3748,57.6252,56.3748,56.3748,5.1323,1456200
80,1980-07-10,55.6248,56.3748,55.5,55.6248,5.064,687000
81,1980-07-11,57.0,57.1248,55.5,57.0,5.1892,1108800
82,1980-07-14,59.625,59.625,57.2502,59.625,5.4282,786600
83,1980-07-15,57.6252,60.0,57.0,57.6252,5.2461,1125600
84,1980-07-16,57.6252,58.2498,57.0,57.6252,5.2461,569400
85,1980-07-17,58.6248,58.6248,57.4998,58.6248,5.3371,366000
86,1980-07-18,58.0002,58.9998,57.4998,58.0002,5.2803,496800
87,1980-07-21,58.9998,59.1252,57.1248,58.9998,5.3713,448200
88,1980-07-22,59.7498,60.6252,59.625,59.7498,5.4395,1582200
89,1980-07-23,60.375,61.2498,59.7498,60.375,5.4965,540000
90,1980-07-24,60.75,61.3752,60.0,60.75,5.5306,717600
91,1980-07-25,61.6248,61.6248,60.8748,61.6248,5.6102,922200
92,1980-07-28,63.4998,63.4998,61.0002,63.4998,5.7809,934200
93,1980-07-29,64.2498,64.5,63.2502,64.2498,5.8492,829800
94,1980-07-30,60.75,64.5,60.75,60.75,5.5306,1433400
95,1980-07-31,59.7498,60.375,58.5,59.7498,5.4395,1350600
96,1980-08-01,59.5002,60.0,58.7502,59.5002,5.4168,613200
97,1980-08-04,58.7502,58.875,58.0002,58.7502,5.3485,383400
98,1980-08-05,59.3748,59.7498,58.6248,59.3748,5.4054,391800
99,1980-08-06,60.0,60.0,58.9998,60.0,5.4623,251400
100,1980-08-07,61.7502,61.7502,59.8752,61.7502,5.6217,758400
101,1980-08-08,61.875,63.2502,61.2498,61.875,5.633,770400
102,1980-08-11,61.2498,61.7502,60.8748,61.2498,5.5761,304800
103,1980-08-12,60.0,61.3752,60.0,60.0,5.4623,216000
104,1980-08-13,59.8752,60.4998,59.5002,59.8752,5.451,259200
105,1980-08-14,61.875,61.875,60.1248,61.875,5.633,443400
106,1980-08-15,62.1252,62.25,61.3752,62.1252,5.6558,720600
107,1980-08-18,61.5,61.9998,61.0002,61.5,5.5989,475800
108,1980-08-19,61.2498,61.7502,61.0002,61.2498,5.5761,505800
109,1980-08-20,61.5,61.7502,61.2498,61.5,5.5989,406800
110,1980-08-21,64.7502,64.9998,61.6248,64.7502,5.8948,1105200
111,1980-08-22,64.9998,65.3748,64.6248,64.9998,5.9175,1016400
112,1980-08-25,65.3748,65.625,64.6248,65.3748,5.9516,302400
113,1980-08-26,64.6248,65.625,64.5,64.6248,5.8834,477000
114,1980-08-27,62.625,64.5,62.3748,62.625,5.7013,701400
115,1980-08-28,62.25,63.1248,61.5,62.25,5.6672,894000
116,1980-08-29,30.5001,30.9999,30.375,30.5001,5.5534,327900
