,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1962-01-02,33.24,33.3148,33.0904,33.24,2.978,40740
1,1962-01-03,33.6144,33.6144,33.3148,33.6144,3.0115,83483
2,1962-01-04,33.8392,34.1384,33.6892,33.8392,3.0317,74801
3,1962-01-05,33.764,34.1384,33.6892,33.764,3.0249,42744
4,1962-01-08,33.914,34.1384,33.39,33.914,3.0384,90830
5,1962-01-09,33.8392,34.0636,33.6892,33.8392,3.0317,62780
6,1962-01-10,33.1652,33.8392,33.0904,33.1652,2.9713,38736
7,1962-01-11,33.1652,33.24,32.7908,33.1652,2.9713,46751
8,1962-01-12,32.8656,33.39,32.7908,32.8656,2.9444,30054
9,1962-01-15,32.2668,32.8656,32.0424,32.2668,2.8908,36733
10,1962-01-16,31.8176,32.2668,31.8176,31.8176,2.8505,26047
11,1962-01-17,31.8924,31.8924,31.8176,31.8924,2.8573,39404
12,1962-01-18,31.8924,31.8924,31.8176,31.8924,2.8573,31390
13,1962-01-19,31.8924,32.0424,31.8924,31.8924,2.8573,38068
14,1962-01-22,31.5184,31.8924,31.5184,31.5184,2.8237,50758
15,1962-01-23,31.5184,31.5932,31.4432,31.5184,2.8237,43411
16,1962-01-24,31.2188,31.2936,30.9192,31.2188,2.7969,48754
17,1962-01-25,31.144,31.2936,31.144,31.144,2.7902,41408
18,1962-01-26,30.8444,31.144,30.8444,30.8444,2.7634,54765
19,1962-01-29,30.9192,31.0692,30.6948,30.9192,2.7701,32058
20,1962-01-30,31.3684,31.3684,30.994,31.3684,2.8103,34729
21,1962-01-31,31.8176,31.8924,31.2188,31.8176,2.8505,60776
22,1962-02-01,31.8176,32.1172,31.5184,31.8176,2.8505,66119
23,1962-02-02,31.8924,32.0424,31.668,31.8924,2.8573,36733
24,1962-02-05,32.192,32.192,31.8176,32.192,2.8841,50090
25,1962-02-06,32.1172,32.1172,31.9676,32.1172,2.8774,38736
26,1962-02-07,32.4916,32.4916,31.9676,32.4916,2.9109,57437
27,1962-02-08,32.4916,32.6412,32.3416,32.4916,2.9109,71462
28,1962-02-09,32.4164,32.5664,32.4164,32.4164,2.9042,35397
29,1962-02-12,32.4164,32.4916,32.3416,32.4164,2.9042,20704
30,1962-02-13,32.192,32.4164,32.192,32.192,2.8841,48086
31,1962-02-14,31.5184,32.192,31.5184,31.5184,2.8237,40072
32,1962-02-15,31.5932,31.8176,31.2188,31.5932,2.8304,54765
33,1962-02-16,31.3684,31.7428,31.2936,31.3684,2.8103,94169
34,1962-02-19,31.5184,32.0424,31.4432,31.5184,2.8237,66787
35,1962-02-20,31.3684,31.4432,31.2188,31.3684,2.8103,57437
36,1962-02-21,30.7696,31.144,30.6948,30.7696,2.7567,83483
37,1962-02-23,30.2456,30.8444,30.0956,30.2456,2.7097,106859
38,1962-02-26,29.7216,30.3952,29.5716,29.7216,2.6628,112870
39,1962-02-27,30.2456,30.5448,29.7216,30.2456,2.7097,96173
