,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1997-12-31,58.0,58.0,57.69,57.88,57.88,678900
1,1998-01-02,57.88,57.88,57.69,57.69,57.69,239600
2,1998-01-05,57.88,57.88,57.63,57.75,57.75,464800
3,1998-01-06,57.75,57.75,57.19,57.38,57.38,282900
4,1998-01-07,57.25,57.25,55.63,55.88,55.88,651600
5,1998-01-08,55.88,56.0,55.13,56.0,56.0,660300
6,1998-01-09,55.94,55.94,54.38,54.44,54.44,209100
7,1998-01-12,53.5,53.88,52.69,52.94,52.94,892400
8,1998-01-13,53.19,53.44,52.56,53.0,53.0,468000
9,1998-01-14,53.0,54.94,53.0,54.5,54.5,614300
10,1998-01-15,54.25,54.44,53.69,54.38,54.38,726500
11,1998-01-16,54.44,55.06,54.44,55.06,55.06,548600
12,1998-01-20,55.19,55.5,55.06,55.19,55.19,286400
13,1998-01-21,55.19,55.19,54.25,54.31,54.31,203700
14,1998-01-22,54.13,54.13,53.88,53.94,53.94,521300
15,1998-01-23,54.19,54.38,53.5,53.5,53.5,698500
16,1998-01-26,53.5,53.69,53.38,53.69,53.69,340500
17,1998-01-27,53.69,54.94,53.69,54.44,54.44,729600
18,1998-01-28,54.44,55.31,54.44,55.19,55.19,1179800
19,1998-01-29,53.25,53.81,52.63,53.63,53.63,2486800
20,1998-01-30,53.38,54.38,51.56,54.25,54.25,4062500
21,1998-02-02,53.13,53.13,51.88,52.0,52.0,2512500
22,1998-02-03,52.0,52.94,51.75,52.88,52.88,1849100
23,1998-02-04,52.94,53.19,52.56,53.0,53.0,857300
24,1998-02-05,53.06,53.13,52.0,52.5,52.5,1681200
25,1998-02-06,52.25,52.25,51.72,51.81,51.81,1120500
26,1998-02-09,51.88,52.13,51.75,51.81,51.81,1036200
27,1998-02-10,51.88,53.25,51.81,52.63,52.63,1469900
28,1998-02-11,52.63,54.81,52.63,54.63,54.63,1701400
29,1998-02-12,54.19,54.19,53.5,53.63,53.63,1061700
30,1998-02-13,52.75,54.88,52.69,54.69,54.69,1888300
31,1998-02-17,54.81,54.94,54.44,54.63,54.63,1421400
32,1998-02-18,54.56,54.63,54.19,54.31,54.31,1445900
33,1998-02-19,54.31,54.31,52.81,53.0,53.0,1319200
34,1998-02-20,52.81,53.63,51.63,53.06,53.06,1949000
35,1998-02-23,53.63,54.13,53.44,53.88,53.88,1020900
36,1998-02-24,54.0,54.38,53.0,54.13,54.13,1937300
37,1998-02-25,54.5,56.0,54.44,55.88,55.88,1504200
38,1998-02-26,55.88,55.88,55.0,55.44,55.44,1416600
39,1998-02-27,55.5,56.56,54.75,56.56,56.56,2123700
40,1998-03-02,56.56,57.56,56.44,56.94,56.94,2290100
41,1998-03-03,56.69,56.75,55.13,55.25,55.25,2501600
42,1998-03-04,55.13,55.5,54.25,54.31,54.31,1325900
43,1998-03-05,53.88,53.94,52.75,53.0,53.0,1393000
44,1998-03-06,52.88,53.88,52.88,53.31,53.31,2531300
45,1998-03-09,52.63,53.13,51.69,51.88,51.88,1507400
46,1998-03-10,51.0,52.19,50.5,52.19,52.19,1593500
47,1998-03-11,52.13,52.56,51.75,52.44,52.44,1236700
48,1998-03-12,52.31,52.56,51.0,51.19,51.19,2470700
49,1998-03-13,51.31,51.63,50.06,50.13,50.13,1788600
50,1998-03-16,49.75,51.75,49.5,51.75,51.75,2418200
51,1998-03-17,52.0,52.63,51.5,52.13,52.13,1230300
52,1998-03-18,53.13,53.31,52.25,52.63,52.63,1415100
53,1998-03-19,52.63,52.88,51.19,51.81,51.81,1835600
54,1998-03-20,52.06,52.13,51.38,51.38,51.38,1626300
55,1998-03-23,51.0,51.31,50.81,51.06,51.06,1544200
56,1998-03-24,50.81,51.75,50.75,51.44,51.44,1410500
57,1998-03-25,51.0,51.69,51.0,51.19,51.19,1432300
58,1998-03-26,51.44,52.5,51.44,52.06,52.06,1292800
59,1998-03-27,52.5,53.94,51.94,53.56,53.56,2504300
60,1998-03-30,53.5,54.56,53.38,53.56,53.56,2890000
61,1998-03-31,53.69,53.94,53.38,53.44,53.44,1043700
62,1998-04-01,53.69,54.13,53.56,53.88,53.88,1254400
63,1998-04-02,53.81,54.38,53.81,54.0,54.0,852600
64,1998-04-03,53.88,54.13,53.44,53.56,53.56,652500
65,1998-04-06,53.75,54.13,53.63,53.94,53.94,773000
66,1998-04-07,53.25,53.69,53.19,53.44,53.44,992600
67,1998-04-08,53.19,53.5,52.63,53.25,53.25,397700
68,1998-04-09,53.06,53.19,52.06,52.63,52.63,654300
69,1998-04-13,52.44,53.0,51.81,51.88,51.88,946700
70,1998-04-14,51.0,51.25,50.5,50.75,50.75,1829300
71,1998-04-15,51.75,53.0,51.69,52.75,52.75,2017800
72,1998-04-16,52.69,52.69,50.81,50.88,50.88,1706900
73,1998-04-17,50.94,51.44,50.63,51.06,51.06,1201100
74,1998-04-20,50.38,50.88,50.25,50.44,50.44,666400
75,1998-04-21,50.56,50.94,49.56,49.69,49.69,1443200
76,1998-04-22,49.75,49.94,48.94,49.5,49.5,1636400
77,1998-04-23,49.56,50.25,49.38,49.94,49.94,981700
78,1998-04-24,50.13,50.25,49.44,49.69,49.69,1071200
79,1998-04-27,48.56,48.81,47.0,47.75,47.75,1073400
80,1998-04-28,49.19,49.5,47.63,49.19,49.19,1543300
81,1998-04-29,49.63,50.13,49.5,49.75,49.75,698800
82,1998-04-30,50.13,50.81,50.13,50.19,50.19,801100
83,1998-05-01,50.75,51.75,50.69,51.5,51.5,645200
84,1998-05-04,51.69,52.69,51.69,52.31,52.31,859800
85,1998-05-05,51.75,52.44,51.25,52.25,52.25,543100
86,1998-05-06,53.13,53.31,50.5,50.63,50.63,2186400
87,1998-05-07,50.81,51.75,50.56,51.63,51.63,917700
88,1998-05-08,51.5,52.19,51.38,51.5,51.5,756600
89,1998-05-11,51.63,51.94,50.94,51.0,51.0,532100
90,1998-05-12,50.88,51.19,50.25,50.56,50.56,582100
91,1998-05-13,50.81,50.81,50.13,50.25,50.25,346800
92,1998-05-14,50.0,50.31,49.44,49.5,49.5,872900
93,1998-05-15,49.75,50.06,49.31,49.31,49.31,1063300
94,1998-05-18,49.19,49.31,48.38,48.81,48.81,1011000
95,1998-05-19,49.0,49.63,48.88,49.31,49.31,913400
96,1998-05-20,49.25,49.25,48.44,48.75,48.75,1150900
97,1998-05-21,48.88,49.19,48.5,48.81,48.81,1010400
98,1998-05-22,48.81,49.06,48.63,48.88,48.88,760400
99,1998-05-26,48.75,48.75,47.5,47.5,47.5,978300
100,1998-05-27,46.88,47.13,46.06,47.13,47.13,1140900
101,1998-05-28,47.5,48.44,47.44,47.44,47.44,1946700
102,1998-05-29,47.56,47.88,46.38,47.19,47.19,1668100
103,1998-06-01,47.25,47.25,46.75,47.0,47.0,509600
