,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1980-10-15,43.75,44.75,43.75,44.75,3.8401,77600
1,1980-10-16,44.75,47.1252,43.8752,44.25,3.7972,158400
2,1980-10-17,43.8752,43.8752,43.0,43.1252,3.7007,33600
3,1980-10-20,43.1252,43.1252,42.6252,43.1252,3.7007,30400
4,1980-10-21,43.1252,43.8752,43.1252,43.5,3.7329,36000
5,1980-10-22,43.5,43.75,43.0,43.0,3.6899,28000
6,1980-10-23,42.6252,42.6252,41.8752,42.25,3.6256,63600
7,1980-10-24,42.25,43.1252,41.0,43.1252,3.7007,124800
8,1980-10-27,42.5,42.5,40.8752,41.3752,3.5505,63600
9,1980-10-28,41.3752,41.8752,41.3752,41.8752,3.5934,14800
10,1980-10-29,41.8752,42.5,41.75,41.8752,3.5934,38800
11,1980-10-30,41.8752,42.25,40.8752,41.0,3.5183,11600
12,1980-10-31,41.0,41.0,40.5,41.0,3.5183,50000
13,1980-11-03,41.0,43.5,41.0,43.5,3.7329,20000
14,1980-11-05,45.0,47.0,45.0,45.0,3.8616,183200
15,1980-11-06,45.0,45.0,44.6252,44.75,3.8401,18800
16,1980-11-07,44.25,44.25,43.5,43.8752,3.7651,35600
17,1980-11-10,44.1252,44.3752,44.1252,44.1252,3.7865,26400
18,1980-11-11,44.1252,44.1252,43.5,44.1252,3.7865,41600
19,1980-11-12,44.6252,45.1252,44.6252,45.0,3.8616,173600
20,1980-11-13,45.5,45.6252,45.5,45.6252,3.9152,230800
21,1980-11-14,45.6252,46.0,45.0,46.0,3.9474,96400
22,1980-11-17,45.8752,45.8752,44.75,45.8752,3.9367,72400
23,1980-11-18,45.8752,46.75,45.6252,46.25,3.9688,49200
24,1980-11-19,46.6252,47.5,46.6252,47.0,4.0332,119600
25,1980-11-20,47.0,49.6252,47.0,48.8752,4.1941,114000
26,1980-11-21,50.1252,51.3752,50.1252,51.25,4.3979,89200
27,1980-11-24,50.3752,50.3752,48.75,50.0,4.2906,66800
28,1980-11-25,50.75,52.5,50.75,52.3752,4.4945,191600
29,1980-11-26,52.3752,52.5,51.25,51.75,4.4408,78000
30,1980-11-28,51.75,52.0,51.3752,52.0,4.4623,58800
31,1980-12-01,52.0,52.1252,50.8752,50.8752,4.3657,54400
32,1980-12-02,50.0,50.0,45.5,46.75,4.0117,103200
33,1980-12-03,48.0,49.5,48.0,49.5,4.2477,253600
34,1980-12-04,49.5,49.6252,48.75,48.8752,4.1941,52000
35,1980-12-05,48.0,48.0,46.3752,47.8752,4.1083,70800
36,1980-12-08,47.6252,47.6252,44.25,44.3752,3.808,112400
37,1980-12-09,44.3752,45.1252,44.25,45.1252,3.8723,130000
38,1980-12-10,45.0,45.0,43.1252,44.25,3.7972,43600
39,1980-12-11,44.25,45.6252,43.3752,45.6252,3.9152,302400
40,1980-12-12,45.6252,47.1252,45.5,47.1252,4.0439,84000
41,1980-12-15,47.5,48.0,47.5,48.0,4.119,135600
42,1980-12-16,48.0,48.0,47.5,47.6252,4.0868,36800
43,1980-12-17,48.0,50.75,48.0,50.0,4.2906,98000
44,1980-12-18,50.5,52.8752,50.5,50.8752,4.3657,82800
45,1980-12-19,50.8752,51.25,50.5,51.25,4.3979,22800
46,1980-12-22,51.25,51.75,50.5,50.8752,4.3657,37200
47,1980-12-23,50.8752,50.8752,50.0,50.0,4.2906,39600
48,1980-12-24,50.0,52.1252,50.0,52.1252,4.473,55600
49,1980-12-26,51.75,51.75,51.6252,51.75,4.4408,5200
50,1980-12-29,52.8752,54.1252,52.8752,52.8752,4.5374,75200
51,1980-12-30,52.8752,53.0,51.3752,51.3752,4.4086,105600
52,1980-12-31,51.3752,51.3752,50.8752,50.8752,4.3657,103200
53,1981-01-02,50.8752,52.75,50.8752,52.1252,4.473,118000
54,1981-01-05,52.1252,52.3752,51.3752,51.6252,4.4301,70000
55,1981-01-06,51.3752,51.3752,49.25,49.25,4.2263,75600
56,1981-01-07,48.25,48.25,47.6252,48.0,4.119,280000
57,1981-01-08,48.0,49.25,46.3752,46.3752,3.9796,184400
58,1981-01-09,46.3752,47.1252,46.0,46.3752,3.9796,256000
59,1981-01-12,46.3752,46.3752,44.6252,44.75,3.8401,66400
60,1981-01-13,44.75,44.75,43.0,44.75,3.8401,111200
61,1981-01-14,44.75,45.5,44.75,45.5,3.9045,153200
62,1981-01-15,45.5,46.3752,45.5,46.3752,3.9796,24400
63,1981-01-16,46.3752,47.0,46.25,46.75,4.0117,58000
64,1981-01-19,46.75,47.0,46.75,47.0,4.0332,34800
65,1981-01-20,47.0,47.1252,46.3752,46.75,4.0117,168800
66,1981-01-21,46.0,46.0,45.3752,45.3752,3.8938,100800
67,1981-01-22,45.3752,46.0,45.1252,45.5,3.9045,24800
68,1981-01-23,45.1252,45.1252,43.5,44.1252,3.7865,52000
69,1981-01-26,44.1252,44.3752,43.3752,43.3752,3.7221,25200
70,1981-01-27,43.5,45.0,43.5,43.75,3.7543,39200
71,1981-01-28,44.1252,44.6252,44.1252,44.25,3.7972,94400
72,1981-01-29,44.25,44.3752,43.5,44.25,3.7972,20400
73,1981-01-30,44.25,44.75,43.75,43.75,3.7543,215200
74,1981-02-02,43.0,43.0,39.25,39.8752,3.4218,120400
75,1981-02-03,40.5,41.75,40.5,41.25,3.5398,168000
76,1981-02-04,41.3752,43.0,41.3752,42.75,3.6685,333600
77,1981-02-05,43.5,44.3752,43.5,44.3752,3.808,108800
78,1981-02-06,44.25,44.25,43.5,43.5,3.7329,87600
79,1981-02-09,43.5,43.5,41.3752,41.3752,3.5505,76800
80,1981-02-10,41.3752,42.5,41.3752,42.5,3.647,38000
81,1981-02-11,42.5,42.5,41.3752,41.3752,3.5505,219200
82,1981-02-12,41.3752,42.1252,41.25,41.5,3.5612,140800
83,1981-02-13,41.5,42.1252,41.0,42.1252,3.6149,92400
84,1981-02-17,42.1252,46.0,41.75,45.0,3.8616,348800
85,1981-02-18,45.0,46.25,44.75,46.0,3.9474,406800
86,1981-02-19,46.0,46.0,44.3752,44.3752,3.808,106000
87,1981-02-20,44.25,44.25,41.8752,42.1252,3.6149,95200
88,1981-02-23,42.1252,42.75,41.8752,42.75,3.6685,209200
89,1981-02-24,42.5,42.5,40.6252,41.0,3.5183,148800
90,1981-02-25,41.0,41.3752,40.25,41.3752,3.5505,196400
91,1981-02-26,42.25,43.8752,42.25,43.8752,3.7651,118800
92,1981-02-27,44.6252,45.1252,44.6252,45.0,3.8616,125200
93,1981-03-02,45.0,46.75,45.0,46.75,4.0117,104400
94,1981-03-03,46.75,47.25,46.25,46.25,3.9688,107600
95,1981-03-04,46.25,46.25,45.5,45.5,3.9045,135200
96,1981-03-05,45.5,45.5,44.6252,44.6252,3.8294,100800
97,1981-03-06,44.6252,44.75,44.1252,44.3752,3.808,56400
98,1981-03-09,44.3752,46.0,44.3752,46.0,3.9474,28800
99,1981-03-10,46.0,46.3752,45.5,45.5,3.9045,72800
