,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2015-10-19,18.4974,18.4974,16.4777,16.5477,7.905,1581576
1,2015-10-20,16.2477,16.9275,16.2477,16.8676,8.0578,709632
2,2015-10-21,17.2476,17.3475,16.3976,16.4777,7.8715,78598
3,2015-10-22,16.7076,17.0475,16.2377,16.9475,8.096,110000
4,2015-10-23,17.2476,17.2476,16.8476,16.9975,8.1199,59910
5,2015-10-26,17.1076,17.1076,16.3077,16.4176,7.8429,514799
6,2015-10-27,16.5576,16.7476,15.5978,15.7277,7.5133,636017
7,2015-10-28,15.8978,16.3476,15.8427,16.2776,7.776,296321
8,2015-10-29,16.0077,16.2677,15.5478,15.9478,7.6184,290446
9,2015-10-30,15.8978,16.0977,14.7179,14.7179,7.0309,2449278
10,2015-11-02,14.9878,15.1678,13.858,14.488,6.921,40866207
11,2015-11-03,14.068,14.7079,13.6731,14.3579,6.8589,40205820
12,2015-11-04,14.3879,14.508,13.6081,13.658,6.5246,31525811
13,2015-11-05,13.638,13.8881,13.1182,13.2781,6.3431,22190461
14,2015-11-06,13.1781,14.4779,13.1481,14.398,6.8781,30049949
15,2015-11-09,14.258,14.4779,14.128,14.1979,6.7825,17528090
16,2015-11-10,14.128,14.438,14.0079,14.4079,6.8828,14777770
17,2015-11-11,14.1979,14.3079,14.088,14.108,6.7395,11009390
18,2015-11-12,13.808,13.8181,13.5881,13.6981,6.5437,20371670
19,2015-11-13,13.6081,13.758,13.1481,13.3881,6.3956,14924530
20,2015-11-16,13.3681,13.6081,13.1381,13.3781,6.3909,13781680
21,2015-11-17,13.3781,13.4881,13.1182,13.2181,6.3144,12420760
22,2015-11-18,13.478,13.728,13.1867,13.638,6.515,13020480
23,2015-11-19,13.5281,13.8881,13.5181,13.778,6.5819,13171490
24,2015-11-20,13.778,14.628,13.6781,14.208,6.7873,18559391
25,2015-11-23,14.1679,14.208,13.568,13.848,6.6153,15317350
26,2015-11-24,13.5781,14.023,13.498,13.688,6.5389,24110881
27,2015-11-25,13.9081,14.8579,13.8381,14.118,6.7443,22677090
28,2015-11-27,14.118,14.6379,14.048,14.348,6.8542,6041718
29,2015-11-30,14.228,14.9979,14.178,14.8579,7.0978,29104250
30,2015-12-01,14.8779,15.8778,14.8479,15.6077,7.456,25106561
31,2015-12-02,15.3678,15.5377,14.8678,14.9479,7.1408,12681140
32,2015-12-03,14.9979,15.3378,14.5779,14.6179,6.9831,18905240
33,2015-12-04,14.3879,15.2928,14.2379,15.2178,7.2697,12001090
34,2015-12-07,14.9979,15.4778,14.9179,15.4478,7.4141,9546047
35,2015-12-08,15.0879,15.2878,14.6179,15.1678,7.2797,11617600
36,2015-12-09,14.9878,15.3878,14.6778,14.8479,7.1262,14261930
37,2015-12-10,14.7879,14.8079,14.5279,14.7179,7.0638,11350210
38,2015-12-11,14.9878,15.3977,14.138,14.178,6.8047,10616160
39,2015-12-14,14.298,14.4979,13.918,14.438,6.9294,11528140
40,2015-12-15,14.508,14.9779,14.4829,14.558,6.987,12888740
41,2015-12-16,14.6179,14.8079,14.5479,14.698,7.0542,7840968
42,2015-12-17,14.6079,14.7179,14.2179,14.3079,6.8671,7625458
