,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1980-03-17,60.252,62.128,59.628,60.252,0.385,74000
1,1980-03-18,61.752,62.0,59.876,61.752,0.3946,79000
2,1980-03-19,62.876,63.128,61.752,62.876,0.4017,41200
3,1980-03-20,61.252,62.752,61.252,61.252,0.3914,81100
4,1980-03-21,60.376,61.0,60.0,60.376,0.3858,132700
5,1980-03-24,59.0,60.128,59.0,59.0,0.377,57000
6,1980-03-25,60.0,60.5,58.876,60.0,0.3834,54800
7,1980-03-26,59.876,61.0,59.876,59.876,0.3826,62200
8,1980-03-27,59.5,59.5,56.5,59.5,0.3802,204400
9,1980-03-28,60.5,61.252,58.752,60.5,0.3866,87300
10,1980-03-31,62.876,63.0,61.5,62.876,0.4017,46200
11,1980-04-01,62.5,63.0,61.628,62.5,0.3993,121800
12,1980-04-02,62.376,63.5,62.376,62.376,0.3985,59000
13,1980-04-03,61.0,62.376,60.376,61.0,0.3898,71300
14,1980-04-07,60.0,61.0,59.252,60.0,0.3834,40100
15,1980-04-08,60.5,61.0,58.5,60.5,0.3866,164500
16,1980-04-09,61.0,61.0,60.0,61.0,0.3898,103700
17,1980-04-10,60.252,60.628,60.0,60.252,0.385,111300
18,1980-04-11,59.0,60.628,59.0,59.0,0.377,51800
19,1980-04-14,57.0,58.5,56.752,57.0,0.3642,74000
20,1980-04-15,56.628,57.752,56.628,56.628,0.3618,141400
21,1980-04-16,53.5,56.876,53.5,53.5,0.3419,208500
22,1980-04-17,54.0,54.5,52.252,54.0,0.345,192900
23,1980-04-18,53.876,54.752,53.5,53.876,0.3442,83900
24,1980-04-21,52.0,53.876,51.252,52.0,0.3323,91100
25,1980-04-22,55.628,56.376,52.0,55.628,0.3554,359500
26,1980-04-23,56.128,57.5,55.876,56.128,0.3586,107300
27,1980-04-24,57.752,58.128,55.876,57.752,0.369,64300
28,1980-04-25,57.376,57.752,56.628,57.376,0.3666,77600
29,1980-04-28,58.252,59.0,58.128,58.252,0.3722,77400
30,1980-04-29,58.0,58.5,57.876,58.0,0.3706,51000
31,1980-04-30,57.5,57.628,56.876,57.5,0.3674,33800
