,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,30.0,30.0,30.0,30.0,0.226,44800
1,1984-11-07,29.7504,30.0,29.7504,29.7504,0.2241,64000
2,1984-11-08,29.1264,29.6256,29.1264,29.1264,0.2194,160000
3,1984-11-09,28.7488,29.0016,28.7488,28.7488,0.2166,134400
4,1984-11-12,28.7488,28.7488,28.4992,28.7488,0.2166,70400
5,1984-11-13,29.0016,29.0016,28.7488,29.0016,0.2185,121600
6,1984-11-14,28.7488,28.7488,28.7488,28.7488,0.2166,25600
7,1984-11-15,29.0016,29.0016,29.0016,29.0016,0.2185,140800
8,1984-11-16,29.0016,29.0016,29.0016,29.0016,0.2185,12800
9,1984-11-19,29.1264,29.1264,28.8736,29.1264,0.2194,44800
10,1984-11-21,28.7488,28.7488,28.7488,28.7488,0.2166,38400
11,1984-11-26,29.2512,29.2512,29.0016,29.2512,0.2204,185600
12,1984-11-28,29.1264,29.1264,29.1264,29.1264,0.2194,12800
13,1984-11-29,29.0016,29.0016,28.7488,29.0016,0.2185,134400
14,1984-11-30,29.0016,29.0016,28.7488,29.0016,0.2185,211200
15,1984-12-03,29.0016,29.0016,29.0016,29.0016,0.2185,6400
16,1984-12-04,29.2512,29.2512,29.0016,29.2512,0.2204,38400
17,1984-12-05,29.5008,29.5008,29.5008,29.5008,0.2223,70400
18,1984-12-07,29.7504,29.7504,29.7504,29.7504,0.2241,19200
19,1984-12-10,29.376,29.376,29.376,29.376,0.2213,108800
20,1984-12-11,29.0016,29.2512,29.0016,29.0016,0.2185,44800
21,1984-12-12,29.0016,29.0016,29.0016,29.0016,0.2185,51200
22,1984-12-13,29.2512,29.2512,29.0016,29.2512,0.2204,57600
23,1984-12-14,30.3744,30.624,29.376,30.3744,0.2289,217600
24,1984-12-17,30.3744,30.3744,30.3744,30.3744,0.2289,6400
25,1984-12-18,30.3744,30.3744,30.3744,30.3744,0.2289,64000
26,1984-12-19,30.624,30.624,30.624,30.624,0.2307,25600
27,1984-12-20,30.624,30.624,30.624,30.624,0.2307,25600
28,1984-12-21,30.1248,30.624,30.1248,30.1248,0.227,147200
29,1984-12-24,30.2496,30.2496,30.2496,30.2496,0.2279,51200
30,1984-12-26,30.3744,30.3744,30.3744,30.3744,0.2289,102400
