Date,Open,High,Low,Close,Adjusted_close,Volume
2003-09-11,34.1,34.3,33.9,34.1,12.2717,425600
2003-10-01,36.4,36.53,35.9,36.02,12.9626,722900
2003-10-02,36.08,36.37,35.89,35.9,12.9195,389000
2003-10-03,36.15,36.35,35.84,35.93,12.9302,446500
2003-10-06,36.05,36.28,35.975,36.12,12.9987,464100
2003-10-07,35.87,36.1,35.82,35.97,12.9446,411400
2003-10-08,36.05,36.51,36.05,36.15,13.0095,539100
2003-10-09,36.35,36.44,36.04,36.23,13.0383,546600
2003-10-10,36.1,36.6,36.07,36.48,13.1282,208200
2003-10-13,36.39,36.76,35.7,35.79,12.8799,354600
2003-10-14,35.79,36.32,35.68,36.22,13.0346,234800
2003-10-15,36.6,36.64,36.1,36.18,13.0202,360900
2003-10-16,36.19,36.49,35.93,36.11,12.9951,285700
2003-10-17,36.16,36.2,35.57,35.63,12.8223,238200
2003-10-20,35.75,36.07,35.31,35.74,12.8619,228500
2003-10-21,35.84,36.14,35.7,35.74,12.8619,267600
2003-10-22,35.74,36,35.35,35.41,12.7432,295200
2003-10-23,35.3,35.63,35.24,35.53,12.7863,331500
2003-10-24,35.4,35.7,35.15,35.63,12.8223,273100
2003-10-27,35.68,36.08,35.63,35.82,12.8907,185600
2003-10-28,36,36.46,35.88,36.39,13.0958,338400
2003-10-29,36.4,36.95,36.35,36.79,13.2398,344800
2003-10-30,36.9,37.45,36.8,37.43,13.4701,546900
2003-10-31,37.33,37.41,37.11,37.22,13.3945,245900
2003-11-03,37,37.96,37,37.96,13.6608,393648
2003-11-04,37.9,38.2,37.75,38.2,13.7472,431437
2003-11-05,38.2,38.2,37.21,37.9,13.6393,241900
2003-11-06,37.97,38.45,37.85,38.3,13.7832,309500
2003-11-07,38.4,38.73,38.12,38.12,13.7184,296300
2003-11-10,38.02,38.23,37.31,37.35,13.4413,267800
2003-11-11,37.35,37.43,37,37.13,13.3621,127100
2003-11-12,37.13,37.9,37.13,37.89,13.6356,194900
2003-11-13,37.79,37.9,37.43,37.75,13.5852,184200
2003-11-14,37.65,37.97,36.87,36.88,13.2721,141400
2003-11-17,36.88,36.88,36.34,36.76,13.2289,254600
2003-11-18,36.86,37.1,36.65,36.77,13.2325,296900
2003-11-19,36.67,36.98,36.42,36.77,13.2325,181600
2003-11-20,36.72,37,36.56,37,13.3153,448000
2003-11-21,37,37.15,36.88,37.03,13.3262,312500
2003-11-24,37.13,38.14,37.03,38.11,13.7148,241600
2003-11-25,38.1,38.68,38.06,38.55,13.8731,431200
2003-11-26,38.53,38.95,38.35,38.45,13.8372,324300
2003-11-28,38.4,38.89,38.25,38.77,13.9523,153100
2003-12-01,38.91,39.2,38.68,39.2,14.1071,335700
2003-12-02,39,39.3,38.85,39.27,14.1322,259800
2003-12-03,39.4,39.48,38.35,38.39,13.8155,458100
