,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,39.25,39.25,39.25,39.25,1.4073,171600
1,1984-11-06,38.75,39.1252,38.75,38.75,1.3894,270000
2,1984-11-07,39.3752,39.3752,39.0,39.3752,1.4118,384000
3,1984-11-08,39.1252,39.5,39.1252,39.1252,1.4028,1149600
4,1984-11-09,38.3752,38.3752,37.25,38.3752,1.3759,352800
5,1984-11-12,38.3752,38.3752,38.3752,38.3752,1.3759,67200
6,1984-11-13,38.25,38.6252,38.25,38.25,1.3714,793200
7,1984-11-14,38.1252,38.1252,38.1252,38.1252,1.367,279600
8,1984-11-15,39.1252,39.1252,38.75,39.1252,1.4028,332400
9,1984-11-16,39.25,39.25,39.25,39.25,1.4073,162000
10,1984-11-19,38.8752,38.8752,38.5,38.8752,1.3939,228000
11,1984-11-20,38.75,38.75,38.75,38.75,1.3894,74400
12,1984-11-21,40.25,40.25,39.1248,40.25,1.4432,556800
13,1984-11-23,40.5,40.8752,40.5,40.5,1.4521,498000
14,1984-11-26,40.0,40.3752,40.0,40.0,1.4342,188400
15,1984-11-27,40.0,40.0,39.6252,40.0,1.4342,170400
16,1984-11-28,39.5,39.8752,39.5,39.5,1.4163,128400
17,1984-11-29,39.1252,39.1252,39.1252,39.1252,1.4028,81600
18,1984-11-30,39.25,39.25,38.8752,39.25,1.4073,94800
19,1984-12-03,39.0,39.0,39.0,39.0,1.3983,81600
20,1984-12-04,39.3752,39.3752,39.0,39.3752,1.4118,135600
21,1984-12-05,39.5,39.8752,39.5,39.5,1.4163,340800
22,1984-12-06,39.75,39.75,39.3752,39.75,1.4252,261600
23,1984-12-07,38.75,39.5,38.75,38.75,1.3894,291600
24,1984-12-10,38.8752,38.8752,38.8752,38.8752,1.3939,96000
25,1984-12-11,39.1252,39.1252,38.75,39.1252,1.4028,73200
26,1984-12-12,39.1252,39.1252,39.1252,39.1252,1.4028,79200
27,1984-12-13,38.5,38.8752,38.5,38.5,1.3804,494400
28,1984-12-14,38.3752,38.3752,38.3752,38.3752,1.3759,147600
29,1984-12-17,39.3752,39.3752,38.6252,39.3752,1.4118,366000
30,1984-12-18,39.8752,39.8752,39.5,39.8752,1.4297,301200
31,1984-12-19,39.1252,39.8752,39.1252,39.1252,1.4028,216000
32,1984-12-20,38.6252,38.6252,38.6252,38.6252,1.3849,121200
33,1984-12-21,37.75,38.5,37.75,37.75,1.3535,176400
34,1984-12-24,38.0,38.0,38.0,38.0,1.3625,33600
35,1984-12-26,38.25,38.25,38.25,38.25,1.3714,44400
36,1984-12-27,38.3752,38.3752,38.3752,38.3752,1.3759,135600
37,1984-12-28,38.25,38.25,38.25,38.25,1.3714,236400
38,1984-12-31,38.6252,38.6252,38.25,38.6252,1.3849,500400
39,1985-01-02,38.3752,38.3752,38.3752,38.3752,1.3759,222000
40,1985-01-03,38.1252,38.5,38.1252,38.1252,1.367,176400
41,1985-01-04,37.6252,38.0,37.6252,37.6252,1.349,214800
42,1985-01-07,37.6252,37.6252,37.6252,37.6252,1.349,216000
43,1985-01-08,38.1252,38.1252,37.75,38.1252,1.367,122400
44,1985-01-09,38.3752,38.3752,38.3752,38.3752,1.3759,300000
45,1985-01-10,38.3752,38.3752,38.3752,38.3752,1.3759,368400
46,1985-01-11,39.3752,39.3752,38.25,39.3752,1.4118,206400
47,1985-01-14,39.25,39.6252,39.25,39.25,1.4073,494400
48,1985-01-15,38.8752,39.25,38.8752,38.8752,1.3939,340800
49,1985-01-16,38.0,38.3752,38.0,38.0,1.3625,412800
50,1985-01-17,38.0,38.0,37.6252,38.0,1.3625,615600
51,1985-01-18,37.75,37.75,37.75,37.75,1.3535,810000
52,1985-01-21,37.25,38.0,37.25,37.25,1.3356,513600
53,1985-01-22,37.25,37.6252,37.25,37.25,1.3356,1106400
54,1985-01-23,36.75,37.1252,36.3752,36.75,1.3177,1081200
55,1985-01-24,35.3752,36.8752,35.3752,35.3752,1.2684,2206800
56,1985-01-25,36.8752,36.8752,35.3748,36.8752,1.3221,2301600
57,1985-01-28,36.6252,37.3752,36.6252,36.6252,1.3132,1221600
58,1985-01-29,38.0,38.0,36.5,38.0,1.3625,1056000
59,1985-01-30,37.8752,38.6252,37.8752,37.8752,1.358,744000
60,1985-01-31,37.5,37.5,37.5,37.5,1.3446,2367600
61,1985-02-01,37.25,37.25,37.25,37.25,1.3356,278400
62,1985-02-04,37.8752,37.8752,37.8752,37.8752,1.358,646800
63,1985-02-05,37.1252,37.8752,37.1252,37.1252,1.3311,316800
64,1985-02-06,38.3752,38.3752,37.25,38.3752,1.3759,460800
65,1985-02-07,39.0,39.3752,38.25,39.0,1.3983,266400
66,1985-02-08,39.6252,39.6252,39.25,39.6252,1.4207,793200
67,1985-02-11,38.6252,39.3752,38.6252,38.6252,1.3849,339600
68,1985-02-12,38.25,38.6252,38.25,38.25,1.3714,324000
69,1985-02-13,39.75,39.75,38.25,39.75,1.4252,573600
