,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1980-03-17,248.364,253.8072,248.364,248.364,22.8407,32100
1,1980-03-18,255.6216,257.3856,248.364,255.6216,23.5082,35400
2,1980-03-19,266.4072,266.4072,252.9288,266.4072,24.5001,55400
3,1980-03-20,268.2216,284.3928,268.2216,268.2216,24.6669,54000
4,1980-03-21,262.7784,265.4712,262.7784,262.7784,24.1664,29600
5,1980-03-24,253.8072,260.136,252.9288,253.8072,23.3413,37400
6,1980-03-25,245.6712,251.1144,245.6712,245.6712,22.5931,35900
7,1980-03-26,249.3,260.136,245.6712,249.3,22.9268,54800
8,1980-03-27,246.6,247.536,234.0576,246.6,22.6785,69100
9,1980-03-28,268.2216,268.2216,248.364,268.2216,24.6669,41900
10,1980-03-31,279.8856,279.8856,262.7784,279.8856,25.7396,65500
11,1980-04-01,278.1216,284.3928,277.2432,278.1216,25.5774,69700
12,1980-04-02,277.2432,281.7504,277.2432,277.2432,25.4966,88800
13,1980-04-03,277.2432,277.2432,272.7288,277.2432,25.4966,22700
14,1980-04-07,262.7784,276.3072,262.7784,262.7784,24.1664,105000
15,1980-04-08,260.136,264.6432,257.3856,260.136,23.9234,36400
16,1980-04-09,260.136,262.7784,257.3856,260.136,23.9234,28200
17,1980-04-10,263.7072,263.7072,254.6928,263.7072,24.2518,52700
18,1980-04-11,272.7288,272.7288,264.6432,272.7288,25.0814,59600
19,1980-04-14,272.7288,274.4928,271.8,272.7288,25.0814,19300
20,1980-04-15,269.1,274.4928,269.1,269.1,24.7477,12700
21,1980-04-16,267.2856,270.9144,266.4072,267.2856,24.5809,23900
22,1980-04-17,261.8928,265.4712,261.8928,261.8928,24.0849,26300
23,1980-04-18,261.0144,262.7784,261.0144,261.0144,24.0041,10000
24,1980-04-21,257.3856,260.136,255.6216,257.3856,23.6704,46700
25,1980-04-22,273.6144,275.4288,262.7784,273.6144,25.1629,79800
26,1980-04-23,279.0,282.5784,279.0,279.0,25.6582,44200
27,1980-04-24,282.5784,286.2072,280.8144,282.5784,25.9873,34500
28,1980-04-25,287.0928,288.9072,275.4288,287.0928,26.4024,35800
29,1980-04-28,294.2928,295.2288,289.836,294.2928,27.0646,35000
30,1980-04-29,293.4144,297.9216,290.7216,293.4144,26.9838,24000
31,1980-04-30,290.7216,294.2928,288.9072,290.7216,26.7362,16700
32,1980-05-01,288.0216,292.536,286.2072,288.0216,26.4878,35000
33,1980-05-02,293.4144,293.4144,288.0216,293.4144,26.9838,28200
34,1980-05-05,290.7216,294.2928,288.9072,290.7216,26.7362,21500
