,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1962-01-02,154.2658,154.2658,152.5336,152.5336,1.6754,407940
1,1962-01-03,152.5336,153.8674,152.5336,153.8674,1.6901,305955
2,1962-01-04,153.8674,153.8674,152.2658,152.3327,1.6732,274575
3,1962-01-05,152.1319,152.1319,149.0676,149.3337,1.6403,384405
4,1962-01-08,149.1998,149.1998,145.3338,146.5337,1.6095,572685
5,1962-01-09,147.1998,150.132,147.1998,148.2659,1.6286,517770
6,1962-01-10,148.5337,149.1998,148.5337,148.5337,1.6315,313800
7,1962-01-11,148.9337,150.132,148.9337,150.132,1.6491,337335
8,1962-01-12,150.3997,151.4675,150.3997,150.3997,1.652,462855
9,1962-01-15,150.9336,151.4006,150.9336,151.0675,1.6593,266730
10,1962-01-16,150.9336,150.9336,149.4675,149.4675,1.6417,266730
11,1962-01-17,148.7998,148.7998,146.6659,147.0676,1.6154,439320
12,1962-01-18,147.4676,148.9337,147.4676,147.4676,1.6198,392250
13,1962-01-19,147.4676,147.8676,145.8676,147.5998,1.6212,423630
14,1962-01-22,147.5998,149.0676,147.1998,147.3337,1.6183,290265
15,1962-01-23,147.2668,147.4676,145.5999,145.8676,1.6022,392250
16,1962-01-24,145.8676,146.6659,145.1329,146.6659,1.611,431475
17,1962-01-25,146.6659,147.8676,144.7999,145.0676,1.5934,337335
18,1962-01-26,145.0676,145.5999,144.266,144.3329,1.5854,258885
19,1962-01-29,144.3329,145.3338,141.8677,141.8677,1.5583,611910
20,1962-01-30,141.8677,142.666,140.0653,140.0653,1.5385,776655
21,1962-01-31,141.4677,144.5338,141.4677,144.5338,1.5876,800190
22,1962-02-01,146.0015,148.2659,146.0015,147.8676,1.6242,674670
23,1962-02-02,147.8676,148.7998,147.1998,148.7998,1.6344,533460
24,1962-02-05,148.7998,148.7998,146.1321,146.9337,1.6139,329490
25,1962-02-06,146.9337,147.1998,146.3998,147.0676,1.6154,274575
26,1962-02-07,147.1998,148.0015,147.1998,147.1998,1.6168,266730
27,1962-02-08,147.1998,148.0015,147.1998,147.3337,1.6183,23535
28,1962-02-09,147.3337,148.3998,146.6659,148.3998,1.63,455010
29,1962-02-12,148.3998,149.6014,148.2659,148.5337,1.6315,298110
30,1962-02-13,148.5337,148.6659,146.1321,146.1321,1.6051,274575
31,1962-02-14,146.1321,146.6659,145.5999,145.8676,1.6022,219660
32,1962-02-15,145.8676,145.8676,145.1999,145.3338,1.5963,243195
33,1962-02-16,145.3338,145.8676,145.1999,145.1999,1.5949,235350
34,1962-02-19,145.1999,145.8676,143.4677,143.7338,1.5788,298110
35,1962-02-20,143.8007,144.5338,143.8007,143.8007,1.5795,305955
36,1962-02-21,143.8007,144.7999,142.733,142.733,1.5678,384405
37,1962-02-23,142.9338,143.4677,142.9338,143.1999,1.5729,305955
38,1962-02-26,143.1999,143.3338,142.3999,142.666,1.567,313800
39,1962-02-27,142.666,143.8677,141.8677,142.9338,1.57,368715
40,1962-02-28,142.9338,143.1999,142.1322,143.1999,1.5729,282420
41,1962-03-01,143.7338,144.9338,143.7338,144.9338,1.592,298110
42,1962-03-02,146.1321,146.9337,146.1321,146.1321,1.6051,258885
43,1962-03-05,146.1321,146.1321,145.0676,145.5999,1.5993,376560
44,1962-03-06,145.5999,146.2659,145.3338,145.7337,1.6007,196125
45,1962-03-07,145.7337,146.199,145.3338,146.199,1.6059,133365
46,1962-03-08,146.199,146.5337,145.3338,146.5337,1.6095,196125
47,1962-03-09,146.6659,147.4676,146.6659,147.4676,1.6198,305955
48,1962-03-12,147.4676,147.8676,146.9337,147.3337,1.6183,298110
49,1962-03-13,147.3337,147.3337,146.6659,147.1998,1.6168,133365
50,1962-03-14,147.1998,147.5998,146.6659,146.9337,1.6139,211815
51,1962-03-15,146.9337,147.7337,146.6659,146.6659,1.611,258885
52,1962-03-16,146.6659,147.3337,146.6659,147.3337,1.6183,172590
53,1962-03-19,147.5998,148.2659,147.5998,147.7337,1.6227,392250
54,1962-03-20,147.4676,147.4676,146.7998,146.7998,1.6124,172590
55,1962-03-21,146.7998,147.1998,146.3998,146.9337,1.6139,274575
56,1962-03-22,146.3998,146.3998,145.3338,145.3338,1.5963,251040
57,1962-03-23,145.4676,146.1321,145.4676,145.8676,1.6022,196125
58,1962-03-26,145.8676,146.3998,145.5999,145.8007,1.6015,141210
59,1962-03-27,145.4676,145.4676,142.9338,143.0677,1.5715,368715
60,1962-03-28,143.1999,144.266,143.1999,143.8677,1.5802,345180
61,1962-03-29,143.8677,144.5338,143.4677,143.4677,1.5758,243195
62,1962-03-30,143.1999,143.1999,141.4008,142.0652,1.5604,462855
63,1962-04-02,142.0016,142.0016,140.1322,140.1322,1.5392,392250
