Date,Open,High,Low,Close,Adjusted_close,Volume
2015-04-08,20.18,20.24,19.49,19.89,15.2896,5695995
2015-04-09,19.94,20.5,19.555,20.48,15.7431,4995093
2015-04-10,20.5,20.945,20.25,20.25,15.5663,6068417
2015-04-13,20.25,20.71,20.17,20.4,15.6816,4402590
2015-04-14,20.34,20.625,19.96,20.55,15.7969,6385212
2015-04-15,20.55,20.55,20.1,20.32,15.6201,4093539
2015-04-16,20.24,20.28,18.73,19.18,14.7438,7020549
2015-04-17,18.96,19.7,18.15,19.57,15.0436,4687170
2015-04-20,19.59,19.77,19.34,19.7,15.1435,2165937
2015-04-21,19.67,19.92,19.33,19.9,15.2972,1380485
2015-04-22,19.87,19.93,19.495,19.88,15.2819,1892439
2015-04-23,19.88,20.06,19.56,20,15.3741,1415579
2015-04-24,20,20.25,19.78,20.21,15.5355,1789825
2015-04-27,20.21,20.21,19.92,20.03,15.3972,1613987
2015-04-28,19.9,20.2,19.89,20.19,15.5202,3496542
2015-04-29,19.98,20.36,19.95,20.36,15.6508,2757034
2015-04-30,20.37,20.44,20.23,20.36,15.6508,2384908
2015-05-01,20.28,20.7785,20.11,20.75,15.9506,1205318
2015-05-04,20.76,21.15,20.51,21.1,16.2197,1470238
2015-05-05,21.06,21.23,20.56,21.05,16.1812,1583741
2015-05-06,21.13,21.17,20.68,20.93,16.089,1368864
2015-05-07,20.9,21.2299,20.89,21.19,16.2889,1270290
2015-05-08,21.15,21.16,20.39,20.72,15.9276,1562804
2015-05-11,20.57,20.88,20.28,20.72,15.9276,1147352
2015-05-12,20.6,20.72,20.39,20.54,15.7892,1199061
2015-05-13,19.93,19.99,19.14,19.35,14.8744,3191780
2015-05-14,19.39,19.57,18.12,18.28,14.0519,2898655
2015-05-15,18.46,18.89,18.29,18.38,14.1288,1666358
2015-05-18,18.27,18.27,17.86,18.14,13.9443,2239287
2015-05-19,18.15,18.41,17.83,18.39,14.1365,1841943
2015-05-20,18.43,18.43,18.04,18.12,13.9289,672525
2015-05-21,18.16,18.59,17.95,18.17,13.9674,899520
2015-05-22,18.02,18.23,17.95,18.08,13.8982,343238
2015-05-26,17.69,18.4001,17.29,18.04,13.8674,846642
2015-05-27,18.01,18.55,17.89,18.38,14.1288,805095
2015-05-28,18.32,18.5,18,18.38,14.1288,1062076
2015-05-29,18.23,18.47,17.89,18.09,13.9059,1566083
2015-06-01,18.07,18.15,17.81,17.96,13.8059,916588
2015-06-02,17.94,18.13,17.66,17.72,13.6215,825850
2015-06-03,17.72,18.02,17.59,17.87,13.7368,698910
2015-06-04,17.74,17.84,17.55,17.6,13.5292,715151
2015-06-05,17.57,17.94,17.29,17.8,13.683,1138415
2015-06-08,18.44,18.48,17.955,18.01,13.8444,0
2015-06-09,18.05,18.22,17.6,18.06,13.8828,0
