,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1993-11-04,7.5,7.75,7.5,7.5,1.875,1406400
1,1993-11-05,7.5,8.0,7.5,7.875,1.9688,802000
2,1993-11-08,8.0,8.25,7.875,7.875,1.9688,430400
3,1993-11-09,7.875,8.0,7.875,7.875,1.9688,142000
4,1993-11-10,7.875,8.0,7.875,8.0,2.0,90800
5,1993-11-11,8.0,8.5,8.0,8.125,2.0313,408800
6,1993-11-12,8.125,8.625,8.125,8.375,2.0938,393200
7,1993-11-15,8.625,9.5,8.375,9.25,2.3125,602800
8,1993-11-16,9.25,10.0,9.25,9.75,2.4375,455200
9,1993-11-17,9.875,10.0,9.5,9.5,2.375,165600
10,1993-11-18,9.5,9.5,9.25,9.25,2.3125,299200
11,1993-11-19,9.25,9.375,9.25,9.375,2.3438,58800
12,1993-11-22,9.125,9.125,8.375,9.0,2.25,244400
13,1993-11-23,8.875,9.75,8.875,9.625,2.4063,259200
14,1993-11-24,9.625,9.875,9.375,9.375,2.3438,48400
15,1993-11-26,9.5,9.625,9.5,9.5,2.375,16800
16,1993-11-29,9.5,9.5,9.0,9.0,2.25,92000
17,1993-11-30,8.875,9.25,8.875,9.0,2.25,89200
18,1993-12-01,9.125,9.125,8.75,8.75,2.1875,98400
19,1993-12-02,8.875,10.375,8.875,10.375,2.5938,612400
20,1993-12-03,11.0,11.875,9.75,10.25,2.5625,494800
21,1993-12-06,10.125,10.25,9.625,9.625,2.4063,74400
22,1993-12-07,9.625,9.625,9.375,9.375,2.3438,88000
23,1993-12-08,9.625,9.75,9.5,9.5,2.375,64800
24,1993-12-09,9.625,9.625,9.375,9.375,2.3438,10800
25,1993-12-10,9.5,9.5,9.25,9.25,2.3125,16000
26,1993-12-13,9.25,9.25,8.75,8.875,2.2188,96400
27,1993-12-14,8.875,8.875,8.625,8.75,2.1875,236000
28,1993-12-15,8.625,9.0,8.5,8.875,2.2188,60800
29,1993-12-16,9.0,9.125,8.875,8.875,2.2188,52000
30,1993-12-17,9.0,9.0,8.625,8.625,2.1563,23200
31,1993-12-20,8.625,9.0,8.625,8.875,2.2188,29600
32,1993-12-21,8.75,8.75,8.75,8.75,2.1875,20800
33,1993-12-22,8.875,8.875,8.75,8.75,2.1875,40800
34,1993-12-23,9.0,9.25,9.0,9.125,2.2813,42800
35,1993-12-27,9.375,9.375,9.25,9.25,2.3125,22000
36,1993-12-28,9.375,9.375,9.0,9.125,2.2813,58800
37,1993-12-29,9.0,9.0,9.0,9.0,2.25,12000
38,1993-12-30,9.0,9.0,8.875,8.875,2.2188,17600
39,1993-12-31,9.0,9.0,9.0,9.0,2.25,7200
40,1994-01-03,8.875,9.0,8.75,8.75,2.1875,22400
41,1994-01-04,8.75,8.75,8.625,8.625,2.1563,57600
42,1994-01-05,8.75,8.875,8.75,8.875,2.2188,23200
43,1994-01-06,8.875,8.875,8.75,8.875,2.2188,27200
44,1994-01-07,8.75,8.75,8.625,8.75,2.1875,25200
45,1994-01-10,8.625,8.625,8.625,8.625,2.1563,5200
46,1994-01-11,8.75,8.875,8.625,8.625,2.1563,39600
47,1994-01-12,8.75,8.75,8.75,8.75,2.1875,4000
48,1994-01-13,8.75,8.75,8.0,8.5,2.125,466400
49,1994-01-14,8.375,8.5,8.25,8.25,2.0625,157200
50,1994-01-17,8.375,8.5,8.375,8.375,2.0938,39600
51,1994-01-18,8.5,8.5,8.375,8.5,2.125,18000
52,1994-01-19,8.75,9.25,8.75,9.0,2.25,271200
53,1994-01-20,9.25,9.25,9.0,9.125,2.2813,78000
54,1994-01-21,9.0,9.125,9.0,9.125,2.2813,26400
55,1994-01-24,9.25,9.5,9.125,9.375,2.3438,90400
56,1994-01-25,9.375,9.375,9.25,9.25,2.3125,12000
57,1994-01-26,9.375,10.5,9.375,10.5,2.625,144000
58,1994-01-27,10.625,11.5,10.625,10.75,2.6875,247200
59,1994-01-28,10.875,11.125,10.625,10.875,2.7188,69200
60,1994-01-31,11.125,11.25,10.5,11.125,2.7813,438400
61,1994-02-01,11.125,11.125,10.625,10.875,2.7188,33200
62,1994-02-02,10.625,10.875,10.625,10.625,2.6563,65200
63,1994-02-03,10.75,10.75,10.5,10.625,2.6563,35200
64,1994-02-04,10.5,10.5,10.125,10.125,2.5313,60000
65,1994-02-07,10.25,10.375,9.75,10.25,2.5625,97200
66,1994-02-08,10.25,10.25,10.0,10.0,2.5,51200
67,1994-02-09,10.0,11.125,10.0,11.125,2.7813,150000
68,1994-02-10,11.25,11.25,11.0,11.25,2.8125,21600
69,1994-02-11,11.125,11.125,10.75,11.0,2.75,44400
70,1994-02-14,11.25,11.25,11.0,11.25,2.8125,34400
71,1994-02-15,11.125,11.125,10.875,11.0,2.75,14400
72,1994-02-16,10.875,11.25,10.875,11.0,2.75,30800
73,1994-02-17,10.875,11.0,10.875,10.875,2.7188,25600
74,1994-02-18,10.75,10.75,10.625,10.625,2.6563,4000
75,1994-02-22,10.5,10.5,10.25,10.25,2.5625,18000
76,1994-02-23,10.125,10.125,10.125,10.125,2.5313,14800
77,1994-02-24,10.0,10.0,10.0,10.0,2.5,4000
78,1994-02-25,10.125,10.375,10.0,10.0,2.5,401200
79,1994-02-28,10.125,10.375,10.125,10.375,2.5938,170000
80,1994-03-01,10.25,10.375,10.125,10.375,2.5938,32000
81,1994-03-02,10.125,10.25,10.125,10.125,2.5313,31200
82,1994-03-03,10.25,10.25,10.25,10.25,2.5625,800
83,1994-03-04,10.125,10.25,10.125,10.125,2.5313,16000
84,1994-03-07,10.0,10.375,10.0,10.375,2.5938,50000
85,1994-03-08,10.375,10.375,10.125,10.125,2.5313,14800
86,1994-03-09,10.0,10.125,10.0,10.0,2.5,91200
87,1994-03-10,10.0,10.0,9.75,9.75,2.4375,16400
88,1994-03-11,9.75,9.75,9.625,9.625,2.4063,6400
89,1994-03-14,9.625,9.625,9.375,9.625,2.4063,65200
90,1994-03-15,9.5,9.5,9.25,9.375,2.3438,34400
91,1994-03-16,9.375,9.875,9.375,9.75,2.4375,240000
92,1994-03-17,9.625,9.625,9.5,9.5,2.375,7200
93,1994-03-18,9.625,10.5,9.625,10.25,2.5625,120800
94,1994-03-21,10.125,10.375,10.125,10.375,2.5938,5600
95,1994-03-22,10.25,10.375,10.0,10.0,2.5,27600
96,1994-03-23,9.875,10.125,9.875,9.875,2.4688,50400
97,1994-03-24,10.0,10.0,10.0,10.0,2.5,6000
98,1994-03-25,9.875,10.25,9.75,9.75,2.4375,42000
99,1994-03-28,9.75,9.75,9.5,9.5,2.375,16800
100,1994-03-29,9.5,9.5,9.5,9.5,2.375,12400
101,1994-03-30,9.375,9.375,9.125,9.25,2.3125,28800
102,1994-03-31,9.375,9.375,8.75,8.75,2.1875,79600
103,1994-04-04,8.875,8.875,8.875,8.875,2.2188,1200
104,1994-04-05,9.0,9.0,8.75,8.75,2.1875,8000
105,1994-04-06,8.625,8.75,8.625,8.75,2.1875,9200
106,1994-04-07,8.625,8.75,8.625,8.625,2.1563,11200
107,1994-04-08,8.625,8.625,8.625,8.625,2.1563,20800
