,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,47.608,47.608,46.7912,47.608,3.4115,1279200
1,1984-11-06,48.4248,48.4248,47.7248,48.4248,3.47,1179600
2,1984-11-07,48.1916,48.4248,47.608,48.1916,3.4533,1196000
3,1984-11-08,49.5918,49.5918,47.9582,49.5918,3.5536,3754400
4,1984-11-09,48.1916,49.8252,48.0748,48.1916,3.4533,768800
5,1984-11-12,48.0748,48.4248,47.608,48.0748,3.4449,766400
6,1984-11-13,47.4914,47.8414,47.258,47.4914,3.4031,643600
7,1984-11-14,47.4914,47.608,47.3748,47.4914,3.4031,481600
8,1984-11-15,47.258,47.7248,46.7912,47.258,3.3864,950400
9,1984-11-16,46.0912,47.4914,46.0912,46.0912,3.3028,1098400
10,1984-11-19,45.9744,46.2078,45.5078,45.9744,3.335,982400
11,1984-11-20,46.908,46.908,46.0912,46.908,3.4027,437600
12,1984-11-21,47.8414,47.8414,46.558,47.8414,3.4704,383200
13,1984-11-23,47.7248,48.3082,47.608,47.7248,3.4619,299200
14,1984-11-26,47.4914,47.8414,47.3748,47.4914,3.445,384800
15,1984-11-27,49.125,49.2418,47.4914,49.125,3.5635,648400
16,1984-11-28,47.9582,48.775,47.3748,47.9582,3.4789,626400
17,1984-11-29,47.1414,47.7248,46.908,47.1414,3.4196,530800
18,1984-11-30,47.3748,47.7248,47.0246,47.3748,3.4366,659600
19,1984-12-03,47.4914,47.7248,47.258,47.4914,3.445,519600
20,1984-12-04,47.608,47.7248,47.258,47.608,3.4535,558400
21,1984-12-05,46.2078,47.608,46.0912,46.2078,3.3519,1268400
22,1984-12-06,46.6746,47.1414,45.8578,46.6746,3.3858,382400
23,1984-12-07,45.8578,46.7912,45.6244,45.8578,3.3265,583600
24,1984-12-10,45.8578,46.2078,45.2744,45.8578,3.3265,1516000
25,1984-12-11,46.6746,46.6746,45.391,46.6746,3.3858,918800
26,1984-12-12,45.7412,46.4412,45.6244,45.7412,3.318,683600
27,1984-12-13,46.558,46.6746,45.7412,46.558,3.3773,3081200
28,1984-12-14,47.3748,47.7248,46.558,47.3748,3.4366,859200
29,1984-12-17,47.7248,48.5416,47.258,47.7248,3.4619,845600
30,1984-12-18,48.4248,48.5416,47.8414,48.4248,3.5127,710400
31,1984-12-19,49.475,49.475,48.4248,49.475,3.5889,1486800
32,1984-12-20,50.1752,52.7422,50.1752,50.1752,3.6397,2795200
33,1984-12-21,50.1752,50.2918,49.475,50.1752,3.6397,1012000
34,1984-12-24,49.9418,50.2918,49.475,49.9418,3.6228,944000
35,1984-12-26,50.2918,50.2918,49.475,50.2918,3.6482,198800
36,1984-12-27,49.475,50.1752,49.475,49.475,3.5889,316800
37,1984-12-28,49.9418,49.9418,49.3584,49.9418,3.6228,318800
38,1984-12-31,50.2918,50.2918,49.9418,50.2918,3.6482,757200
39,1985-01-02,49.7084,50.0586,49.475,49.7084,3.6058,290000
40,1985-01-03,48.8916,49.8252,48.8916,48.8916,3.5466,950400
41,1985-01-04,49.3584,49.475,48.775,49.3584,3.5804,378400
