,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2006-12-13,25.0,26.06,21.61,25.6,25.3403,10769850
1,2006-12-14,25.66,26.0,24.51,25.15,24.8949,998869
2,2006-12-15,25.24,26.0,24.11,24.6,24.3505,1012586
3,2006-12-18,24.4,25.0,23.6,23.79,23.5487,733916
4,2006-12-19,23.58,23.99,22.5,23.1,22.8657,1297839
5,2006-12-20,23.2,25.47,23.05,25.0,24.7464,496545
6,2006-12-21,25.16,25.65,24.0,24.6,24.3505,276968
7,2006-12-22,24.59,25.0,23.71,24.02,23.7764,222209
8,2006-12-26,23.92,24.38,23.9,24.21,23.9644,109465
9,2006-12-27,24.25,24.25,23.91,24.08,23.8357,91013
10,2006-12-28,23.9,24.12,23.51,23.9999,23.7565,62069
11,2006-12-29,24.35,24.35,23.86,24.0,23.7566,68846
12,2007-01-03,23.83,24.29,23.7,24.09,23.8456,193398
13,2007-01-04,23.85,24.22,23.85,24.09,23.8456,253312
14,2007-01-05,23.91,25.24,23.82,24.82,24.5682,192191
15,2007-01-08,24.883,25.0,24.09,24.66,24.4099,82297
16,2007-01-09,24.49,25.75,24.19,25.7,25.4393,119112
17,2007-01-10,25.5,27.96,25.43,27.24,26.9637,257307
18,2007-01-11,27.5,27.5,26.54,26.8,26.5282,188703
19,2007-01-12,26.83,26.83,26.33,26.33,26.0629,129073
20,2007-01-16,26.27,26.3951,23.57,25.12,24.8652,599815
21,2007-01-17,25.15,26.16,24.58,26.02,25.7561,118719
22,2007-01-18,25.95,25.95,24.81,25.13,24.8751,63880
23,2007-01-19,24.95,25.37,24.95,25.09,24.8355,81268
24,2007-01-22,26.0,26.38,25.18,25.79,25.5284,182785
25,2007-01-23,26.06,26.1,25.35,25.37,25.1127,88548
26,2007-01-24,26.0,26.0,24.9,25.6,25.3403,134893
27,2007-01-25,25.9,25.9,25.17,25.44,25.1819,31524
28,2007-01-26,25.59,26.5,25.0,26.42,26.152,88781
29,2007-01-29,26.55,27.2,26.5,27.04,26.7657,95492
30,2007-01-30,27.75,28.0,27.04,27.47,27.1914,103879
31,2007-01-31,27.325,27.37,26.32,26.41,26.1421,154737
32,2007-02-01,27.0,27.0,25.49,26.04,25.7759,62121
33,2007-02-02,25.85,26.98,25.78,26.41,26.1421,36980
34,2007-02-05,26.4,26.5,25.42,26.09,25.8254,80646
35,2007-02-06,26.09,26.1,25.75,25.88,25.6175,47809
36,2007-02-07,26.16,26.55,25.88,26.3,26.0332,61070
37,2007-02-08,26.46,26.46,26.01,26.3,26.0332,39774
38,2007-02-09,26.14,26.69,25.91,26.19,25.9243,72555
39,2007-02-12,26.29,26.29,25.34,25.6,25.3403,110343
40,2007-02-13,25.44,25.82,25.0,25.06,24.8058,106821
41,2007-02-14,25.0,25.5,25.0,25.04,24.786,35483
42,2007-02-15,25.01,25.25,24.13,24.18,23.9347,166641
43,2007-02-16,24.23,25.0,24.1,24.75,24.4989,29307
44,2007-02-20,25.06,25.68,24.5801,25.37,25.1127,137739
45,2007-02-21,25.12,25.85,25.0,25.21,24.9543,62452
46,2007-02-22,25.02,25.2801,24.84,25.0,24.7464,73187
47,2007-02-23,25.0,25.0,24.45,24.52,24.2713,71144
48,2007-02-26,24.75,24.75,22.62,24.0,23.7566,275254
49,2007-02-27,23.25,23.56,22.89,23.05,22.8162,323136
50,2007-02-28,22.87,23.48,22.87,23.19,22.9548,141552
51,2007-03-01,23.05,23.25,22.0101,22.46,22.2322,193473
52,2007-03-02,22.4,24.25,22.11,23.82,23.5784,159157
53,2007-03-05,23.24,23.99,22.82,23.23,22.9944,152319
54,2007-03-06,22.46,22.6,19.51,21.45,21.2324,1111797
55,2007-03-07,21.2,21.4,19.6,20.38,20.1733,637391
56,2007-03-08,19.64,20.35,19.64,20.3,20.0941,312940
57,2007-03-09,19.98,20.3,19.37,19.9,19.6981,220103
58,2007-03-12,19.79,20.1,19.5,19.87,19.6684,80131
59,2007-03-13,19.8,20.1,19.65,19.8,19.5992,119584
60,2007-03-14,19.8,20.0,18.89,19.09,18.8964,265286
61,2007-03-15,18.94,19.22,17.92,18.02,17.8372,482084
62,2007-03-16,18.0,18.33,17.78,18.23,18.0451,304110
63,2007-03-19,18.03,18.85,18.03,18.69,18.5004,231386
64,2007-03-20,18.52,19.07,18.2501,19.0,18.8073,186868
65,2007-03-21,19.1,19.2,18.86,19.05,18.8568,216027
66,2007-03-22,19.19,19.58,18.95,19.41,19.2131,160356
