,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2000-06-13,9.0,9.1251,8.9685,9.0315,2.0069,23075078
1,2000-06-14,9.0,9.1872,8.8749,9.0,2.0,6429596
2,2000-06-15,9.2502,9.2502,9.0,9.1251,2.0278,2802597
3,2000-06-16,9.0621,9.2502,9.0,9.1251,2.0278,521550
4,2000-06-19,9.1251,9.2502,9.0,9.0,2.0,1363049
5,2000-06-20,9.0315,9.8127,7.875,9.3753,2.0833,1177649
6,2000-06-21,9.9999,11.1249,9.6246,10.9998,2.4444,2342248
7,2000-06-22,11.0628,11.1249,9.531,9.8748,2.1944,857699
8,2000-06-23,10.1871,10.6254,9.9999,10.3752,2.3056,615150
9,2000-06-26,10.5003,10.6254,9.7497,9.9999,2.2222,458550
10,2000-06-27,9.9999,10.4373,9.0,9.5004,2.1111,616050
11,2000-06-28,9.6246,9.8748,9.1251,9.6246,2.1389,827999
12,2000-06-29,9.8748,9.8748,9.0,9.0,2.0,834299
13,2000-06-30,9.3123,9.6246,9.1251,9.4374,2.0972,859499
14,2000-07-03,9.7497,9.7497,9.5004,9.6246,2.1389,144450
15,2000-07-05,9.7497,9.9999,9.5004,9.9999,2.2222,621900
16,2000-07-06,9.9999,10.0629,9.4374,9.7497,2.1667,584550
17,2000-07-07,10.0314,11.6253,9.5625,10.2501,2.2778,3571647
18,2000-07-10,11.0628,13.2498,10.4373,12.5622,2.7917,2830497
19,2000-07-11,13.5621,14.2497,11.8746,12.7503,2.8333,6016496
20,2000-07-12,13.9689,15.4377,12.6873,15.0003,3.3333,4924346
21,2000-07-13,18.0,18.1251,16.1253,16.7499,3.7222,5490896
22,2000-07-14,17.6247,17.7498,14.8752,15.4998,3.4444,2537097
23,2000-07-17,16.0002,16.1253,15.2496,15.6249,3.4722,829799
24,2000-07-18,15.6879,15.9372,14.3748,14.4999,3.2222,604350
25,2000-07-19,14.3748,14.4999,13.1247,14.0004,3.1111,792899
26,2000-07-20,13.8123,16.6248,13.6251,15.8751,3.5278,1184399
27,2000-07-21,15.8751,17.1252,15.6249,17.1252,3.8056,857699
28,2000-07-24,17.0001,17.7498,16.0623,16.7499,3.7222,837899
29,2000-07-25,16.875,17.2503,15.4998,16.1253,3.5833,435150
30,2000-07-26,16.1253,17.4996,14.1246,17.3754,3.8611,884249
31,2000-07-27,16.7499,18.9999,16.4997,17.1252,3.8056,1004399
32,2000-07-28,17.1252,17.1873,15.4998,16.2504,3.6111,681749
33,2000-07-31,16.0002,19.0629,14.8752,18.8748,4.1944,1438199
34,2000-08-01,17.9379,18.1251,17.3754,17.4375,3.875,446400
35,2000-08-02,17.4996,18.1872,17.0001,17.0622,3.7917,297900
36,2000-08-03,17.0001,18.0,16.4997,17.5626,3.9028,220950
37,2000-08-04,18.0,18.0621,16.875,17.0622,3.7917,366750
38,2000-08-07,17.0001,17.3754,15.4998,16.0002,3.5556,522000
39,2000-08-08,16.7499,16.7499,15.4998,15.75,3.5,148500
40,2000-08-09,15.7185,15.9372,14.4999,14.6871,3.2639,355050
41,2000-08-10,14.7501,15.6249,14.625,14.7501,3.2778,225900
42,2000-08-11,14.3127,14.7501,13.1877,14.0004,3.1111,388350
43,2000-08-14,14.6565,14.6565,14.0004,14.0004,3.1111,167850
44,2000-08-15,13.9374,14.0004,12.6252,12.6252,2.8056,616500
45,2000-08-16,12.7503,14.1876,12.7503,13.6872,3.0417,243450
46,2000-08-17,14.0004,14.4999,13.6251,14.4999,3.2222,537300
47,2000-08-18,14.5314,14.625,14.0004,14.0004,3.1111,116550
48,2000-08-21,13.9059,13.9374,13.2498,13.5621,3.0139,73800
49,2000-08-22,13.2498,13.5621,13.1247,13.2498,2.9444,80550
50,2000-08-23,12.9996,13.1247,12.5001,13.0626,2.9028,191250
51,2000-08-24,12.8754,12.9996,12.5001,12.8754,2.8611,221400
52,2000-08-25,12.7809,15.1254,12.5001,15.1254,3.3611,649350
53,2000-08-28,15.0939,15.1254,14.1246,14.3748,3.1944,184950
54,2000-08-29,15.3126,15.3747,14.1246,14.3748,3.1944,120600
55,2000-08-30,14.5314,15.1254,14.5314,15.0003,3.3333,78750
56,2000-08-31,15.2496,15.2496,14.0004,14.4999,3.2222,192150
57,2000-09-01,14.5314,14.8752,13.8753,13.8753,3.0833,387900
58,2000-09-05,14.0004,14.2812,13.5,13.9374,3.0972,348300
59,2000-09-06,13.8753,14.0004,13.5,13.7502,3.0556,319500
60,2000-09-07,13.7502,14.0004,13.5,13.8753,3.0833,217350
61,2000-09-08,13.9374,14.4378,13.7502,14.0004,3.1111,280800
62,2000-09-11,14.0625,14.1876,13.8123,14.1876,3.1528,150750
63,2000-09-12,14.3127,14.9373,14.2497,14.9373,3.3194,350100
64,2000-09-13,14.8752,14.8752,14.0004,14.0625,3.125,166050
65,2000-09-14,14.4999,14.7501,14.0004,14.5629,3.2361,207000
66,2000-09-15,14.2191,14.5629,13.2498,13.5,3.0,267750
67,2000-09-18,13.7502,14.0004,12.5001,12.9996,2.8889,213750
68,2000-09-19,12.7503,12.9996,12.7503,12.7503,2.8333,358650
69,2000-09-20,12.8754,12.9996,11.6253,11.6253,2.5833,387900
70,2000-09-21,11.6253,12.2499,10.5003,10.9998,2.4444,374400
71,2000-09-22,10.7811,11.9997,10.6254,11.9376,2.6528,127350
72,2000-09-25,11.9997,13.3749,11.7504,11.8746,2.6389,274050
73,2000-09-26,11.9376,11.9997,11.7504,11.8746,2.6389,82800
74,2000-09-27,11.8746,12.2499,11.5002,11.6253,2.5833,238500
75,2000-09-28,12.2499,12.2499,11.7504,11.7504,2.6111,812249
76,2000-09-29,11.5002,12.2499,11.4372,11.7504,2.6111,566550
77,2000-10-02,11.7504,12.5001,11.6253,11.8125,2.625,830699
78,2000-10-03,12.5001,12.5001,11.5623,11.6253,2.5833,341550
79,2000-10-04,11.5623,11.6253,10.9998,11.5002,2.5556,143100
80,2000-10-05,11.5002,11.6253,11.0628,11.0628,2.4583,334350
81,2000-10-06,11.3121,11.5002,10.3122,10.3752,2.3056,230850
82,2000-10-09,10.5003,10.7496,9.9999,10.125,2.25,442350
83,2000-10-10,10.0782,10.2501,9.4374,9.4374,2.0972,546300
84,2000-10-11,9.4374,9.9999,9.1872,9.7497,2.1667,110700
85,2000-10-12,9.8595,9.8748,8.3754,9.7497,2.1667,561600
86,2000-10-13,9.7029,10.125,9.0,9.5004,2.1111,153450
87,2000-10-16,9.6246,10.2501,9.2655,10.2501,2.2778,656100
88,2000-10-17,10.2501,10.6254,10.125,10.5003,2.3333,449100
89,2000-10-18,9.891,9.9999,9.1251,9.5004,2.1111,113850
90,2000-10-19,9.8748,9.9846,9.5004,9.5004,2.1111,57150
91,2000-10-20,9.6246,10.125,9.5004,9.9999,2.2222,386550
92,2000-10-23,10.2348,10.2501,9.9999,10.125,2.25,207000
93,2000-10-24,10.3752,10.6875,9.9999,10.5003,2.3333,144900
94,2000-10-25,10.6722,11.8746,9.9999,11.6253,2.5833,306450
95,2000-10-26,11.7504,12.5001,11.3751,12.375,2.75,447750
96,2000-10-27,13.1715,13.8753,12.9996,13.6872,3.0417,719999
97,2000-10-30,13.7655,15.0624,13.7655,14.7501,3.2778,1561049
98,2000-10-31,15.0003,15.0003,13.1247,13.6251,3.0278,196200
99,2000-11-01,13.8906,14.3748,12.5001,12.7503,2.8333,98100
100,2000-11-02,13.2345,13.2345,11.5002,12.5001,2.7778,101700
101,2000-11-03,12.6873,13.8123,12.6252,13.6251,3.0278,117450
102,2000-11-06,13.1247,13.7502,12.8754,12.9996,2.8889,418950
103,2000-11-07,13.4379,13.4379,12.8754,12.9996,2.8889,129600
104,2000-11-08,12.5154,12.9996,12.1248,12.6252,2.8056,71550
105,2000-11-09,12.141,14.0004,12.141,14.0004,3.1111,57600
106,2000-11-10,13.7502,14.0004,11.5002,13.8753,3.0833,202950
107,2000-11-13,14.0004,14.0004,12.8124,13.2498,2.9444,160650
108,2000-11-14,13.5,13.8753,13.1247,13.4379,2.9861,102600
109,2000-11-15,13.8591,13.8591,13.1247,13.2498,2.9444,131400
110,2000-11-16,13.6719,14.0004,13.0626,13.6251,3.0278,348300
111,2000-11-17,13.8753,14.0004,13.2498,13.5,3.0,310950
112,2000-11-20,13.1409,13.6251,12.6252,12.8124,2.8472,53550
113,2000-11-21,12.6252,13.2498,10.9998,13.2498,2.9444,178650
114,2000-11-22,12.5622,12.5622,10.3122,11.3751,2.5278,274500
115,2000-11-24,11.6253,11.9997,10.2501,10.2501,2.2778,154350
116,2000-11-27,10.9998,11.9376,10.7496,11.9376,2.6528,612450
117,2000-11-28,11.9997,11.9997,10.7496,10.7496,2.3889,117000
118,2000-11-29,10.6254,10.9998,10.3752,10.5003,2.3333,271350
119,2000-11-30,10.5003,12.375,10.4373,11.7504,2.6111,329850
120,2000-12-01,11.7504,11.8746,11.5002,11.7504,2.6111,153450
121,2000-12-04,11.0628,11.25,10.6254,10.6254,2.3611,66150
122,2000-12-05,10.7496,11.1249,10.5003,10.5624,2.3472,201150
123,2000-12-06,10.125,10.7496,9.0,9.0,2.0,544500
124,2000-12-07,8.8596,9.2502,8.1252,9.1251,2.0278,492750
125,2000-12-08,9.2502,9.7497,8.9379,9.5625,2.125,176400
126,2000-12-11,7.0002,8.8749,6.4998,8.3754,1.8611,3202647
