,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1995-12-15,24.25,24.25,22.25,22.5,1.0252,17585002
1,1995-12-18,23.0,23.0,21.625,22.0,1.0025,15633124
2,1995-12-19,22.0,22.25,21.5,22.25,1.0139,17550018
3,1995-12-20,22.25,22.5,21.875,21.875,0.9968,13798261
4,1995-12-21,22.125,22.75,21.25,22.5,1.0252,33558318
5,1995-12-22,22.5,23.25,22.5,23.0,1.0481,14817629
6,1995-12-26,23.125,24.0,23.125,23.875,1.0879,9793170
7,1995-12-27,23.875,23.875,23.5,23.5,1.0708,7819577
8,1995-12-28,23.5,23.875,23.25,23.75,1.0822,15695854
9,1995-12-29,23.625,24.0,23.5,24.0,1.0936,3440517
10,1996-01-02,23.75,24.25,23.625,24.125,1.0993,5252459
11,1996-01-03,24.0,24.5,23.625,23.625,1.0765,16687476
12,1996-01-04,23.625,23.875,23.25,23.375,1.0652,12236034
13,1996-01-05,23.25,23.25,22.75,23.0,1.0481,11664223
14,1996-01-08,23.0,23.375,23.0,23.125,1.0537,3342803
15,1996-01-09,23.25,23.75,23.25,23.375,1.0652,52008275
16,1996-01-10,23.125,23.375,22.75,23.0,1.0481,19456055
17,1996-01-11,23.0,23.125,22.25,22.625,1.031,22176380
18,1996-01-12,22.625,23.0,22.5,23.0,1.0481,8829295
19,1996-01-15,22.875,23.125,22.5,23.125,1.0537,7724276
20,1996-01-16,23.125,23.25,22.875,23.25,1.0594,10720856
21,1996-01-17,23.125,23.5,23.0,23.375,1.0652,9861932
22,1996-01-18,23.25,23.5,23.125,23.125,1.0537,7899197
23,1996-01-19,22.75,23.0,22.5,22.5,1.0252,5725349
24,1996-01-22,22.625,23.5,22.5,23.5,1.0708,10069425
25,1996-01-23,23.5,24.75,23.5,24.625,1.1221,11816224
26,1996-01-24,24.875,25.875,24.875,25.75,1.1733,13396546
27,1996-01-25,25.5,25.625,24.875,24.875,1.1335,9793170
28,1996-01-26,24.75,25.125,24.5,25.125,1.1449,4868839
29,1996-01-29,25.125,25.875,25.125,25.875,1.1791,4730108
30,1996-01-30,25.625,26.0,25.5,26.0,1.1848,7267068
31,1996-01-31,25.75,26.125,25.75,26.0,1.1848,7996911
32,1996-02-01,25.875,26.5,25.875,26.375,1.2018,5247634
33,1996-02-02,26.375,26.5,25.5,25.875,1.1791,5371888
34,1996-02-05,25.75,26.25,25.75,25.875,1.1791,4983442
35,1996-02-06,25.75,25.875,25.0,25.25,1.1506,6178938
36,1996-02-07,25.25,25.5,25.125,25.375,1.1562,9577233
37,1996-02-08,25.5,25.75,25.25,25.75,1.1733,6381605
38,1996-02-09,25.875,26.375,25.75,26.125,1.1904,4525028
39,1996-02-12,26.0,26.375,25.625,26.25,1.1961,3765026
40,1996-02-13,25.75,26.5,25.75,26.25,1.1961,2193149
41,1996-02-14,26.25,26.5,25.875,25.875,1.1791,3299374
42,1996-02-15,25.75,26.0,25.25,25.25,1.1506,6823130
43,1996-02-16,25.0,25.5,24.625,25.375,1.1562,8741231
44,1996-02-20,25.0,25.875,25.0,25.75,1.1733,3450168
45,1996-02-21,25.25,27.0,25.25,26.75,1.2333,3809661
46,1996-02-22,27.0,27.75,26.625,26.625,1.2275,6285097
47,1996-02-23,26.375,26.75,26.375,26.5,1.2218,3522549
48,1996-02-26,26.5,26.625,26.125,26.5,1.2218,4603441
49,1996-02-27,26.5,26.75,26.375,26.5,1.2218,9215327
50,1996-02-28,26.5,26.875,26.5,26.5,1.2218,3563565
51,1996-02-29,26.375,26.5,26.25,26.25,1.2103,2450102
52,1996-03-01,26.5,26.5,25.625,26.5,1.2218,2702229
53,1996-03-04,26.625,26.625,26.25,26.625,1.2275,3399501
54,1996-03-05,26.5,26.75,26.25,26.625,1.2275,1507940
55,1996-03-06,26.625,26.75,25.875,26.0,1.1987,1659941
56,1996-03-07,26.0,26.0,25.5,26.0,1.1987,6075191
57,1996-03-08,25.5,25.75,25.0,25.5,1.1757,3380200
58,1996-03-11,25.125,25.375,24.875,25.375,1.1699,3270422
59,1996-03-12,25.0,25.5,24.875,25.375,1.1699,4924331
60,1996-03-13,25.25,26.0,25.25,25.75,1.1872,5731381
61,1996-03-14,25.75,26.5,25.625,26.375,1.216,3863947
62,1996-03-15,25.75,25.875,25.25,25.375,1.1699,9091073
63,1996-03-18,25.125,25.375,24.875,25.375,1.1699,4935188
64,1996-03-19,25.75,27.0,25.75,26.875,1.2391,16718841
65,1996-03-20,26.625,26.875,26.375,26.75,1.2333,6180144
66,1996-03-21,26.5,27.0,26.5,26.875,1.2391,5888207
