,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1995-08-25,33.625,34.125,33.625,34.0,6.7625,708200
1,1995-08-28,33.875,33.875,33.25,33.5,6.6902,283700
2,1995-08-29,33.75,33.875,33.125,33.5,6.6902,175800
3,1995-08-30,33.5,33.625,33.375,33.625,6.7151,87300
4,1995-08-31,33.625,33.625,33.25,33.5,6.6902,121300
5,1995-09-01,33.5,33.625,33.375,33.625,6.7151,43400
6,1995-09-05,33.5,33.625,33.375,33.5,6.6902,77100
7,1995-09-06,33.375,33.5,33.25,33.375,6.6652,49400
8,1995-09-07,33.375,33.375,33.0,33.125,6.6153,147600
9,1995-09-08,32.875,33.0,31.375,31.375,6.2658,189200
10,1995-09-11,31.5,32.625,31.5,32.125,6.4156,86800
11,1995-09-12,32.75,33.375,32.75,33.25,6.6403,163500
12,1995-09-13,33.75,33.875,33.25,33.375,6.6652,108500
13,1995-09-14,33.375,33.5,33.25,33.5,6.6902,30900
14,1995-09-15,33.375,33.5,33.375,33.5,6.6902,43700
15,1995-09-18,33.375,33.625,33.25,33.625,6.7151,84500
16,1995-09-19,33.5,33.5,33.25,33.375,6.6652,23300
17,1995-09-20,33.25,33.25,32.625,32.75,6.5404,24900
18,1995-09-21,33.0,33.125,32.75,33.0,6.5903,31400
19,1995-09-22,32.75,32.75,32.25,32.25,6.4405,18900
20,1995-09-25,32.5,32.5,32.125,32.125,6.4156,10600
21,1995-09-26,32.75,33.0,32.625,32.625,6.5154,53300
22,1995-09-27,32.5,32.625,32.5,32.5,6.4905,19000
23,1995-09-28,32.75,33.125,32.75,33.0,6.5903,41000
24,1995-09-29,34.0,34.625,34.0,34.5,6.8899,260600
25,1995-10-02,35.0,35.625,35.0,35.125,7.0147,114000
26,1995-10-03,35.25,35.375,35.0,35.25,7.0397,33000
27,1995-10-04,35.125,35.125,34.875,34.875,6.9648,21700
28,1995-10-05,35.0,35.125,34.875,35.125,7.0147,14100
29,1995-10-06,35.125,35.125,34.75,34.875,6.9648,55400
30,1995-10-09,34.75,35.0,34.625,34.625,6.9149,15400
31,1995-10-10,34.625,34.625,34.0,34.125,6.815,16000
32,1995-10-11,34.125,34.5,34.125,34.125,6.815,16100
33,1995-10-12,34.375,35.25,34.375,35.125,7.0147,34000
34,1995-10-13,35.75,36.375,35.75,36.25,7.2394,40200
35,1995-10-16,36.5,37.125,36.5,36.875,7.3642,26000
36,1995-10-17,36.75,36.75,36.375,36.375,7.2643,30900
37,1995-10-18,36.375,37.375,36.375,36.875,7.3642,33800
38,1995-10-19,37.125,37.625,37.125,37.625,7.514,26100
39,1995-10-20,37.875,38.5,37.875,38.25,7.6388,42500
40,1995-10-23,38.375,38.375,38.25,38.375,7.6638,13200
41,1995-10-24,38.125,38.125,37.75,37.75,7.5389,14300
42,1995-10-25,37.75,37.75,37.625,37.625,7.514,56900
43,1995-10-26,37.625,37.75,37.125,37.25,7.4391,19200
44,1995-10-27,37.125,37.25,37.0,37.25,7.4391,5000
45,1995-10-30,37.125,37.375,37.125,37.125,7.4141,3700
46,1995-10-31,37.75,38.25,37.75,38.25,7.6388,41600
47,1995-11-01,38.125,38.125,37.375,37.5,7.489,21400
48,1995-11-02,37.625,38.25,37.625,38.0,7.5889,58200
49,1995-11-03,39.5,39.625,39.5,39.625,7.9134,50500
50,1995-11-06,39.625,40.0,39.25,40.0,7.9883,47000
51,1995-11-07,40.0,40.0,39.625,39.625,7.9134,38400
52,1995-11-08,39.625,39.75,39.5,39.75,7.9384,2900
53,1995-11-09,39.625,40.25,39.625,40.125,8.0132,8300
54,1995-11-10,40.0,40.0,39.75,39.75,7.9384,2200
55,1995-11-13,39.625,39.625,39.375,39.625,7.9134,5800
56,1995-11-14,39.5,39.5,39.0,39.0,7.7886,7100
57,1995-11-15,39.0,39.375,39.0,39.375,7.8635,2300
58,1995-11-16,39.375,40.0,39.375,40.0,7.9883,6200
59,1995-11-17,40.0,40.0,40.0,40.0,7.9883,2900
60,1995-11-20,40.0,40.5,40.0,40.375,8.0632,5000
61,1995-11-21,40.375,40.625,40.375,40.625,8.1131,1300
62,1995-11-22,40.5,41.125,40.5,41.125,8.2129,4300
63,1995-11-24,41.125,41.125,40.75,40.75,8.1381,2400
64,1995-11-27,40.75,40.75,40.25,40.25,8.0382,4200
