,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1993-04-29,7.25,7.5,7.0,7.25,0.7085,3764800
1,1993-04-30,7.25,7.75,7.1252,7.5,0.7329,1552000
2,1993-05-03,7.5,7.75,7.3752,7.6252,0.7451,859200
3,1993-05-04,7.6252,7.6252,7.25,7.5,0.7329,1188000
4,1993-05-05,7.25,7.75,7.25,7.5,0.7329,1298400
5,1993-05-06,7.3752,8.1252,7.3752,8.1252,0.794,1876800
6,1993-05-07,8.1252,8.5,8.0,8.5,0.8306,1213600
7,1993-05-10,8.5,8.7812,8.3752,8.75,0.8551,940000
8,1993-05-11,8.75,8.75,8.25,8.6252,0.8429,768800
9,1993-05-12,8.6252,8.6564,8.0,8.0,0.7818,532800
10,1993-05-13,8.5,8.5,7.9688,8.3752,0.8184,255200
11,1993-05-14,8.0,8.3752,8.0,8.3752,0.8184,207200
12,1993-05-17,8.3752,8.5,8.0,8.25,0.8062,460800
13,1993-05-18,8.5,8.5,8.1252,8.25,0.8062,278400
14,1993-05-19,8.1252,8.5,8.1252,8.25,0.8062,164800
15,1993-05-20,8.25,8.5,8.25,8.5,0.8306,515200
16,1993-05-21,8.5,9.0,8.25,9.0,0.8795,838400
17,1993-05-24,8.6252,8.8752,8.5,8.8752,0.8673,405600
18,1993-05-25,8.8752,8.8752,8.25,8.75,0.8551,303200
19,1993-05-26,8.75,8.8752,8.25,8.5,0.8306,1228000
20,1993-05-27,8.6252,8.75,8.1252,8.1252,0.794,1132800
21,1993-05-28,8.0,8.25,7.75,7.75,0.7574,1062400
22,1993-06-01,8.0,8.0,7.5,7.5,0.7329,1884000
23,1993-06-02,7.5,7.5,6.25,6.8752,0.6718,2198400
24,1993-06-03,6.8752,7.0,6.5,7.0,0.6841,525600
25,1993-06-04,6.75,8.0,6.75,8.0,0.7818,482400
26,1993-06-07,8.25,8.25,7.5,8.0,0.7818,964000
27,1993-06-08,8.25,8.25,7.6252,8.25,0.8062,470400
28,1993-06-09,8.25,8.5,8.0,8.5,0.8306,627200
29,1993-06-10,8.5,8.75,8.0,8.5,0.8306,232800
30,1993-06-11,8.5,8.75,8.0,8.0,0.7818,234400
31,1993-06-14,8.5,8.5,8.0,8.0624,0.7879,244800
32,1993-06-15,8.0,8.25,7.5,8.25,0.8062,512000
33,1993-06-16,8.25,8.25,7.75,8.0,0.7818,188000
34,1993-06-17,8.25,8.25,7.75,8.0,0.7818,247200
35,1993-06-18,8.25,8.25,7.75,8.0,0.7818,104000
36,1993-06-21,8.25,8.25,7.75,8.0,0.7818,76000
37,1993-06-22,8.0,8.3752,7.5,8.0,0.7818,698400
38,1993-06-23,8.1252,8.8752,7.75,8.25,0.8062,1614400
39,1993-06-24,8.8752,9.75,8.25,9.0,0.8795,1463200
40,1993-06-25,9.0,9.5,8.75,9.0,0.8795,889600
41,1993-06-28,9.0,9.5,9.0,9.5,0.9284,940000
42,1993-06-29,9.5,9.5,9.0,9.5,0.9284,884800
43,1993-06-30,9.25,9.75,9.25,9.75,0.9528,876800
44,1993-07-01,9.75,10.0,9.5,9.5,0.9284,262400
45,1993-07-02,9.8752,10.0,9.5,9.5,0.9284,315200
46,1993-07-06,10.0,10.0,9.0,9.0,0.8795,216000
47,1993-07-07,8.75,9.25,8.75,9.0,0.8795,210400
48,1993-07-08,9.0,9.0,8.6252,9.0,0.8795,20000
49,1993-07-09,8.6252,9.25,8.6252,9.25,0.9039,114400
50,1993-07-12,9.25,9.25,9.0,9.0,0.8795,216000
51,1993-07-13,9.0,9.25,9.0,9.0,0.8795,77600
52,1993-07-14,9.25,9.5,9.0,9.0,0.8795,126400
53,1993-07-15,8.75,9.25,8.5,8.75,0.8551,165600
54,1993-07-16,9.0,9.0,8.5,8.5,0.8306,32000
55,1993-07-19,8.5,9.0,8.0,8.1252,0.794,292800
56,1993-07-20,8.5,8.5,8.0,8.0,0.7818,131200
57,1993-07-21,8.5,8.5,8.0,8.5,0.8306,308000
58,1993-07-22,8.5,8.5,8.25,8.5,0.8306,110400
59,1993-07-23,8.25,8.75,8.25,8.75,0.8551,486400
60,1993-07-26,8.3752,9.0,8.3752,8.5,0.8306,62400
