,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,20.9448,20.9448,20.9448,20.9448,0.2424,21600
1,1984-11-06,20.9448,20.9448,20.9448,20.9448,0.2424,21600
2,1984-11-07,20.9448,21.1152,20.9448,20.9448,0.2424,43200
3,1984-11-08,21.1728,21.3432,21.1728,21.1728,0.245,28800
4,1984-11-09,21.1728,21.3432,21.1728,21.1728,0.245,10800
5,1984-11-12,21.288,21.288,21.1152,21.288,0.2463,21600
6,1984-11-13,21.06,21.06,21.06,21.06,0.2437,111600
7,1984-11-14,22.5384,22.5384,21.3432,22.5384,0.2608,183600
8,1984-11-15,22.5384,22.7112,22.5384,22.5384,0.2608,205200
9,1984-11-16,22.1976,22.5384,22.1976,22.1976,0.2569,50400
10,1984-11-19,21.7416,21.912,21.7416,21.7416,0.2516,50400
11,1984-11-20,21.6288,21.6288,21.4584,21.6288,0.2503,68400
12,1984-11-21,21.1728,21.3432,21.1728,21.1728,0.245,25200
13,1984-11-23,21.4008,21.4008,21.4008,21.4008,0.2477,57600
14,1984-11-26,21.4008,21.4008,21.4008,21.4008,0.2477,28800
15,1984-11-27,21.4008,21.4008,21.4008,21.4008,0.2477,90000
16,1984-11-28,21.4008,21.4008,21.4008,21.4008,0.2477,39600
17,1984-11-29,21.8568,21.8568,21.6864,21.8568,0.2529,97200
18,1984-11-30,24.0192,24.1896,21.9696,24.0192,0.278,608400
19,1984-12-03,25.044,25.2144,24.8736,25.044,0.2898,230400
20,1984-12-04,24.588,24.7584,24.588,24.588,0.2845,295200
21,1984-12-05,24.4752,24.4752,24.3048,24.4752,0.2832,97200
22,1984-12-06,24.2472,24.2472,24.2472,24.2472,0.2806,46800
23,1984-12-07,24.132,24.4752,24.132,24.132,0.2793,518400
24,1984-12-10,24.2472,24.2472,24.2472,24.2472,0.2806,3600
25,1984-12-11,24.4752,24.4752,24.3048,24.4752,0.2832,115200
26,1984-12-12,24.588,24.588,24.4176,24.588,0.2845,75600
27,1984-12-13,25.272,25.272,24.7584,25.272,0.2925,435600
28,1984-12-14,26.1816,26.352,25.6704,26.1816,0.303,691200
29,1984-12-17,28.2312,28.2312,26.5224,28.2312,0.3267,277200
30,1984-12-18,30.2808,30.2808,28.4016,30.2808,0.3504,698400
