,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1985-11-20,6.8132,6.8132,6.8132,6.8132,0.1502,5373000
1,1985-11-21,6.5012,6.626,6.3744,6.5012,0.1433,6557401
2,1985-11-22,6.5636,6.5636,6.5636,6.5636,0.1447,415800
3,1985-11-25,6.4388,6.4388,6.4388,6.4388,0.1419,626400
4,1985-11-26,6.4388,6.4388,6.4388,6.4388,0.1419,505800
5,1985-11-27,6.4388,6.4388,6.4388,6.4388,0.1419,295200
6,1985-11-29,6.4388,6.4388,6.4388,6.4388,0.1419,338400
7,1985-12-02,6.2496,6.3744,6.1248,6.2496,0.1378,219600
8,1985-12-03,6.1872,6.1872,6.1872,6.1872,0.1364,813600
9,1985-12-04,6.1872,6.1872,6.1872,6.1872,0.1364,248400
10,1985-12-05,6.1872,6.1872,6.1872,6.1872,0.1364,237600
11,1985-12-06,6.1872,6.1872,6.1872,6.1872,0.1364,304200
12,1985-12-09,6.1872,6.1872,6.1872,6.1872,0.1364,561600
13,1985-12-10,6.1872,6.1872,6.1872,6.1872,0.1364,183600
14,1985-12-11,6.1872,6.1872,6.1872,6.1872,0.1364,491400
15,1985-12-12,6.3744,6.5012,6.2496,6.3744,0.1405,289800
16,1985-12-13,6.5012,6.626,6.3744,6.5012,0.1433,687600
17,1985-12-16,6.5012,6.626,6.3744,6.5012,0.1433,394200
18,1985-12-17,6.5012,6.626,6.3744,6.5012,0.1433,64800
19,1985-12-18,6.3744,6.5012,6.2496,6.3744,0.1405,390600
20,1985-12-19,6.312,6.312,6.312,6.312,0.1392,149400
21,1985-12-20,6.312,6.312,6.312,6.312,0.1392,441000
22,1985-12-23,6.2496,6.3744,6.1248,6.2496,0.1378,181800
23,1985-12-24,6.2496,6.3744,6.1248,6.2496,0.1378,63000
24,1985-12-26,6.2496,6.3744,6.1248,6.2496,0.1378,32400
25,1985-12-27,6.1872,6.1872,6.1872,6.1872,0.1364,86400
26,1985-12-30,6.1872,6.1872,6.1872,6.1872,0.1364,41400
27,1985-12-31,6.1872,6.1872,6.1872,6.1872,0.1364,226800
28,1986-01-02,6.1872,6.1872,6.1872,6.1872,0.1364,63000
29,1986-01-03,6.1872,6.1872,6.1872,6.1872,0.1364,41400
30,1986-01-06,6.1872,6.1872,6.1872,6.1872,0.1364,41400
31,1986-01-07,6.1872,6.1872,6.1872,6.1872,0.1364,72000
32,1986-01-08,6.1872,6.1872,6.1872,6.1872,0.1364,127800
33,1986-01-09,6.1872,6.1872,6.1872,6.1872,0.1364,460800
34,1986-01-10,6.1872,6.1872,6.1872,6.1872,0.1364,660600
35,1986-01-13,6.1872,6.1872,6.1872,6.1872,0.1364,37800
36,1986-01-14,6.2496,6.3744,6.1248,6.2496,0.1378,77400
37,1986-01-15,6.312,6.312,6.312,6.312,0.1392,124200
38,1986-01-16,6.2496,6.3744,6.1248,6.2496,0.1378,72000
39,1986-01-17,6.2496,6.3744,6.1248,6.2496,0.1378,549000
40,1986-01-20,6.2496,6.3744,6.1248,6.2496,0.1378,27000
41,1986-01-21,6.2496,6.3744,6.1248,6.2496,0.1378,100800
42,1986-01-22,6.2496,6.3744,6.1248,6.2496,0.1378,81000
43,1986-01-23,6.2496,6.3744,6.1248,6.2496,0.1378,99000
44,1986-01-24,6.312,6.312,6.312,6.312,0.1392,435600
45,1986-01-27,6.312,6.312,6.312,6.312,0.1392,68400
46,1986-01-28,6.2496,6.3744,6.1248,6.2496,0.1378,199800
47,1986-01-29,6.1872,6.1872,6.1872,6.1872,0.1364,300600
48,1986-01-30,6.1872,6.1872,6.1872,6.1872,0.1364,81000
49,1986-01-31,6.1872,6.1872,6.1872,6.1872,0.1364,108000
50,1986-02-03,6.2496,6.3744,6.1248,6.2496,0.1378,81000
51,1986-02-04,6.1248,6.3744,6.1248,6.1248,0.135,144000
52,1986-02-05,6.1248,6.3744,6.1248,6.1248,0.135,64800
53,1986-02-06,6.1248,6.3744,6.1248,6.1248,0.135,261000
54,1986-02-07,6.1248,6.1248,6.1248,6.1248,0.135,93600
55,1986-02-10,6.1248,6.3744,6.1248,6.1248,0.135,79200
56,1986-02-11,6.1248,6.3744,6.1248,6.1248,0.135,196200
57,1986-02-12,6.3744,6.3744,6.1248,6.3744,0.1405,298800
58,1986-02-13,6.2496,6.3744,6.1248,6.2496,0.1378,171000
59,1986-02-14,6.1248,6.2496,6.1248,6.1248,0.135,180000
60,1986-02-18,6.3744,6.3744,6.1248,6.3744,0.1405,63000
61,1986-02-19,6.1248,6.3744,6.1248,6.1248,0.135,169200
62,1986-02-20,6.3744,6.3744,6.1248,6.3744,0.1405,138600
63,1986-02-21,6.1248,6.3744,6.1248,6.1248,0.135,360000
64,1986-02-24,6.1248,6.2496,6.1248,6.1248,0.135,156600
65,1986-02-25,6.1248,6.2496,6.1248,6.1248,0.135,145800
66,1986-02-26,6.2496,6.5012,6.1248,6.2496,0.1378,1513800
67,1986-02-27,6.3744,6.7508,6.2496,6.3744,0.1405,1612800
68,1986-02-28,7.0004,7.0004,6.5012,7.0004,0.1543,799200
69,1986-03-03,7.0004,7.1256,6.8756,7.0004,0.1543,1251000
70,1986-03-04,7.1256,7.1256,6.8756,7.1256,0.1571,678600
71,1986-03-05,6.8756,7.1256,6.8756,6.8756,0.1516,340200
72,1986-03-06,7.0004,7.0004,6.8756,7.0004,0.1543,142200
73,1986-03-07,7.0004,7.1256,6.8756,7.0004,0.1543,324000
74,1986-03-10,7.2504,7.2504,7.0004,7.2504,0.1598,115200
75,1986-03-11,6.8756,7.2504,6.8756,6.8756,0.1516,419400
76,1986-03-12,7.2504,7.2504,7.0004,7.2504,0.1598,203400
77,1986-03-13,7.1256,7.2504,6.8756,7.1256,0.1571,149400
78,1986-03-14,6.8756,7.2504,6.8756,6.8756,0.1516,237600
79,1986-03-17,6.8756,7.2504,6.8756,6.8756,0.1516,369000
80,1986-03-18,7.0004,7.1256,6.8756,7.0004,0.1543,432000
81,1986-03-19,7.3752,7.3752,7.0004,7.3752,0.1626,232200
82,1986-03-20,7.3752,7.3752,7.0004,7.3752,0.1626,675000
83,1986-03-21,7.1256,7.3752,7.1256,7.1256,0.1571,160200
84,1986-03-24,7.3752,7.3752,7.1256,7.3752,0.1626,140400
85,1986-03-25,7.1256,7.3752,7.1256,7.1256,0.1571,120600
86,1986-03-26,7.2504,7.3752,7.1256,7.2504,0.1598,221400
87,1986-03-27,7.2504,7.5,7.2504,7.2504,0.1598,423000
88,1986-03-31,7.2504,7.5,7.2504,7.2504,0.1598,81000
89,1986-04-01,7.0004,7.2504,7.0004,7.0004,0.1543,302400
90,1986-04-02,7.0004,7.3752,7.0004,7.0004,0.1543,59400
91,1986-04-03,7.0004,7.2504,7.0004,7.0004,0.1543,199800
92,1986-04-04,7.0004,7.0004,7.0004,7.0004,0.1543,104400
93,1986-04-07,7.1256,7.1256,7.0004,7.1256,0.1571,23400
94,1986-04-08,7.0004,7.0004,6.7508,7.0004,0.1543,82800
95,1986-04-09,6.2496,7.0004,6.2496,6.2496,0.1378,230400
96,1986-04-10,6.2496,6.7508,6.2496,6.2496,0.1378,37800
97,1986-04-11,6.7508,6.7508,6.3744,6.7508,0.1488,106200
98,1986-04-14,6.3744,6.7508,6.3744,6.3744,0.1405,66600
99,1986-04-15,6.1248,6.5012,6.1248,6.1248,0.135,64800
100,1986-04-16,5.8752,6.3744,5.8752,5.8752,0.1295,61200
101,1986-04-17,6.3744,6.3744,5.8752,6.3744,0.1405,165600
102,1986-04-18,6.3744,6.3744,6.1248,6.3744,0.1405,120600
103,1986-04-21,6.5012,6.5012,6.2496,6.5012,0.1433,127800
104,1986-04-22,6.2496,6.5012,6.2496,6.2496,0.1378,194400
105,1986-04-23,6.5012,6.5012,6.2496,6.5012,0.1433,235800
106,1986-04-24,6.2496,6.5012,6.2496,6.2496,0.1378,70200
107,1986-04-25,6.2496,6.5012,6.2496,6.2496,0.1378,45000
108,1986-04-28,6.3744,6.5012,6.2496,6.3744,0.1405,212400
109,1986-04-29,6.5012,6.626,6.3744,6.5012,0.1433,435600
110,1986-04-30,6.5012,6.5012,6.3744,6.5012,0.1433,84600
