,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1999-06-25,105.0,106.0,94.0,98.875,13.5554,45433799
1,1999-06-28,97.875,99.5,90.125,99.125,13.5897,9166200
2,1999-06-29,97.875,134.75,95.8126,115.5,15.8346,14730000
3,1999-06-30,121.75,159.125,119.0,149.0,20.4274,16852800
4,1999-07-01,157.875,162.0,142.0,146.0,20.0161,9501000
5,1999-07-02,147.375,150.9376,135.0,142.75,19.5705,3912600
6,1999-07-06,144.0,154.25,137.0,139.5,19.125,3632400
7,1999-07-07,138.625,143.0,128.0,135.0626,18.5166,4234800
8,1999-07-08,137.5,138.0,128.0,128.0,17.5484,2370000
9,1999-07-09,132.0,133.0,122.0,132.75,18.1996,2935200
10,1999-07-12,134.0,135.0,127.625,128.0,17.5484,1416000
11,1999-07-13,125.75,132.9376,122.0,125.0,17.1371,1843800
12,1999-07-14,127.4376,137.0,125.5,132.0626,18.1053,3486000
13,1999-07-15,132.75,150.0,132.0,149.5,20.4959,5128200
14,1999-07-16,154.625,158.0,141.125,142.875,19.5877,5008800
15,1999-07-19,148.25,149.0,134.75,135.0,18.508,2044800
16,1999-07-20,132.625,143.75,127.375,138.0,18.9193,3841800
17,1999-07-21,144.5,157.375,142.0,143.75,19.7076,12091200
18,1999-07-22,148.8126,153.625,135.75,148.5,20.3588,7816800
19,1999-07-23,152.0,153.0,143.0,145.875,19.999,3629400
20,1999-07-26,144.9376,148.0,139.0,144.25,19.7762,4404000
21,1999-07-27,148.5,149.75,145.0,146.125,20.0332,2255400
22,1999-07-28,145.125,145.25,141.5,143.75,19.7076,2297400
23,1999-07-29,138.0,147.5,137.0,145.0,19.879,1638000
24,1999-07-30,146.875,165.0,146.0,162.4376,22.2696,9073800
25,1999-08-02,160.0,172.5,156.0,161.25,22.1068,6874200
26,1999-08-03,164.375,168.5,153.125,155.375,21.3014,6499800
27,1999-08-04,153.75,156.0,148.0,155.875,21.3699,4508400
28,1999-08-05,153.6876,161.0,146.0,157.6562,21.6141,5100000
29,1999-08-06,156.5,163.75,153.375,160.0,21.9354,3399000
30,1999-08-09,162.0,169.6876,160.875,162.4376,22.2696,2832600
31,1999-08-10,162.75,171.125,161.0,170.9376,23.4349,3091800
32,1999-08-11,173.0,185.375,172.75,185.375,25.4143,4552200
33,1999-08-12,185.25,199.0,185.0,197.0,27.008,4590600
34,1999-08-13,205.0,214.9376,199.0,213.75,29.3044,6362400
35,1999-08-16,212.375,213.0,200.0,204.0,27.9677,4176000
36,1999-08-17,207.875,219.5,202.0626,218.5938,29.9685,4975800
37,1999-08-18,216.0,223.875,206.8126,206.8126,28.3533,3699600
38,1999-08-19,203.0,210.0,201.0,207.0,28.379,2773800
39,1999-08-20,209.4376,209.5,201.0,204.625,28.0534,1428000
40,1999-08-23,204.0,227.9376,203.5,227.0,31.1209,4897800
41,1999-08-24,223.0626,234.375,216.875,221.3126,30.3412,7678800
42,1999-08-25,225.0,227.0,214.5,216.5,29.6814,3115200
43,1999-08-26,216.9376,225.2188,214.5626,215.3126,29.5186,3348000
44,1999-08-27,218.25,223.0,212.0,218.0,29.887,2197200
45,1999-08-30,218.0,218.0,208.5938,210.0626,28.7988,2007600
46,1999-08-31,210.5,213.5,202.625,205.0,28.1048,2745600
47,1999-09-01,206.375,208.5,179.125,180.25,24.7117,12541200
48,1999-09-02,169.5,201.75,169.5,198.625,27.2308,13288800
49,1999-09-03,204.5,205.125,189.0626,193.25,26.4939,7052400
50,1999-09-07,191.625,196.5626,186.125,193.5,26.5282,1929600
51,1999-09-08,192.375,204.0,188.5626,193.5,26.5282,3897600
52,1999-09-09,196.25,196.25,186.0,192.1876,26.3482,1240800
53,1999-09-10,194.5,200.0,190.125,191.5,26.254,1700400
54,1999-09-13,192.0,192.75,179.875,180.0,24.6774,1663200
55,1999-09-14,181.5,189.875,179.875,183.125,25.1058,2368800
56,1999-09-15,187.625,194.75,182.125,184.4688,25.29,4597800
57,1999-09-16,185.875,186.0,178.375,183.375,25.1401,2417400
58,1999-09-17,185.25,188.1876,181.75,182.5,25.0201,1386000
59,1999-09-20,183.25,185.75,179.0,183.0,25.0887,1418400
60,1999-09-21,182.75,193.875,181.25,187.0,25.6371,3106800
61,1999-09-22,186.875,191.4376,182.0,189.75,26.0141,1777800
62,1999-09-23,189.0,195.5,182.0,182.9376,25.0801,3078000
63,1999-09-24,183.375,199.0,181.0,198.9376,27.2736,3400800
64,1999-09-27,199.9376,217.875,199.9376,206.875,28.3618,7338000
