Date,Open,High,Low,Close,Adjusted_close,Volume
2001-05-25,6.222,7.324,6.222,7.218,7.218,12145001
2001-05-29,7.218,7.556,7.111,7.324,7.324,1889501
2001-05-30,7.324,7.556,7.218,7.36,7.36,4239601
2001-05-31,7.36,7.556,7.218,7.324,7.324,3943800
2001-06-01,7.324,7.662,7.253,7.324,7.324,3449401
2001-06-04,7.324,7.556,7.324,7.431,7.431,7595199
2001-06-05,7.431,7.556,7.324,7.502,7.502,4901801
2001-06-06,7.502,7.556,7.324,7.502,7.502,4768200
2001-06-07,7.431,7.431,7.253,7.324,7.324,1733101
2001-06-08,7.324,7.431,7.218,7.324,7.324,2965001
2001-06-11,7.324,7.324,7.253,7.289,7.289,1093201
2001-06-12,7.289,7.324,7.182,7.218,7.218,2542201
2001-06-13,7.218,7.253,7.182,7.253,7.253,825001
2001-06-14,7.218,7.218,7.182,7.182,7.182,646601
2001-06-15,7.227,7.227,7.2,7.222,7.222,20201
2001-06-18,7.222,7.222,7.156,7.2,7.2,692199
2001-06-19,7.222,7.222,7.178,7.2,7.2,499901
2001-06-20,7.222,7.222,7.062,7.089,7.089,1156201
2001-06-21,7.067,7.067,6.667,6.667,6.667,798399
2001-06-22,6.711,6.889,6.711,6.889,6.889,179100
2001-06-25,7.164,7.222,6.978,7.222,7.222,1919700
2001-06-26,7.222,7.356,7.178,7.356,7.356,3242700
2001-06-27,7.489,7.511,7.356,7.356,7.356,1255901
2001-06-28,7.356,7.356,7.289,7.333,7.333,161199
2001-06-29,7.311,7.311,7.267,7.289,7.289,553500
2001-07-02,7.333,7.333,7.267,7.333,7.333,1115199
2001-07-03,7.289,7.356,7.289,7.342,7.342,978901
2001-07-05,7.356,7.378,7.333,7.378,7.378,39600
2001-07-06,7.289,7.391,7.289,7.333,7.333,521100
2001-07-09,7.4,7.422,7.356,7.422,7.422,861300
2001-07-10,7.422,7.444,7.4,7.444,7.444,231901
2001-07-11,7.467,7.484,7.422,7.484,7.484,417699
2001-07-12,7.467,7.511,7.422,7.444,7.444,3497801
2001-07-13,7.444,7.444,7.4,7.444,7.444,847501
2001-07-16,7.444,7.444,7.422,7.422,7.422,208800
2001-07-17,7.422,7.444,7.4,7.4,7.4,249001
2001-07-18,7.422,7.444,7.422,7.436,7.436,22901
2001-07-19,7.422,7.444,7.333,7.422,7.422,363600
2001-07-20,7.378,7.422,7.311,7.333,7.333,4671900
2001-07-23,7.333,7.356,7.311,7.311,7.311,1201201
2001-07-24,7.311,7.333,7.133,7.222,7.222,1024299
2001-07-25,7.178,7.222,7.178,7.178,7.178,110401
2001-07-26,7.222,7.222,7.178,7.178,7.178,72601
2001-07-27,7.178,7.222,7.156,7.191,7.191,1584900
2001-07-30,7.191,7.2,7.156,7.182,7.182,143100
2001-07-31,7.191,7.191,7.133,7.178,7.178,1284001
2001-08-01,7.2,7.271,7.142,7.178,7.178,862200
2001-08-02,7.231,8,7.231,7.631,7.631,5323001
2001-08-03,7.667,7.822,7.644,7.676,7.676,4326901
2001-08-06,7.667,7.667,7.511,7.578,7.578,1545901
2001-08-07,7.582,7.733,7.556,7.711,7.711,1529199
2001-08-08,7.733,7.862,7.444,7.778,7.778,2439099
2001-08-09,7.778,7.844,7.689,7.782,7.782,2120101
2001-08-10,7.782,7.844,7.769,7.813,7.813,264600
2001-08-13,7.796,7.84,7.756,7.787,7.787,302499
2001-08-14,7.778,7.813,7.733,7.742,7.742,1180800
2001-08-15,7.764,7.8,7.733,7.751,7.751,2278301
2001-08-16,7.773,7.778,7.724,7.724,7.724,146799
2001-08-17,7.764,7.844,7.698,7.844,7.844,1348801
2001-08-20,7.836,8.004,7.778,7.956,7.956,1185701
2001-08-21,8.133,8.307,7.978,7.978,7.978,2117201
2001-08-22,8.102,8.102,7.884,7.933,7.933,3978099
2001-08-23,8,8.044,7.911,8.04,8.04,3208001
2001-08-24,8.044,8.044,7.929,8.018,8.018,925200
2001-08-27,8.022,8.111,8.022,8.067,8.067,94901
2001-08-28,8.036,8.08,7.951,7.964,7.964,85901
2001-08-29,8.018,8.044,7.996,8.009,8.009,161199
2001-08-30,8.004,8.04,7.92,7.978,7.978,1473001
2001-08-31,7.978,8.04,7.933,7.978,7.978,1134999
2001-09-04,8.16,8.644,7.982,8.511,8.511,3708601
2001-09-05,8.547,8.622,8.418,8.547,8.547,5380601
2001-09-06,8.556,8.644,8.498,8.587,8.587,4176900
2001-09-07,8.578,8.578,8.333,8.333,8.333,5096201
2001-09-10,8.351,8.387,7.911,7.947,7.947,8001401
2001-09-17,7.613,7.667,6.6,7.116,7.116,4768601
2001-09-18,7.2,7.36,7.111,7.116,7.116,3753601
2001-09-19,7.182,7.182,6.644,6.667,6.667,1110699
2001-09-20,6.756,6.756,6.24,6.338,6.338,2424699
2001-09-21,6.369,6.369,6.111,6.178,6.178,2356801
2001-09-24,6.267,6.8,6.267,6.662,6.662,2338200
2001-09-25,6.667,6.933,6.667,6.844,6.844,472901
2001-09-26,6.769,6.773,6.604,6.644,6.644,629199
2001-09-27,6.684,6.684,6.316,6.6,6.6,161199
2001-09-28,6.444,6.756,6.444,6.6,6.6,2647899
2001-10-01,6.484,6.667,6.422,6.667,6.667,1029699
2001-10-02,6.667,6.711,6.644,6.671,6.671,895001
2001-10-03,6.711,6.711,6.533,6.533,6.533,1595700
2001-10-04,6.689,6.689,6.44,6.676,6.676,167400
2001-10-05,6.689,6.689,6.596,6.689,6.689,508500
2001-10-08,6.756,6.756,6.582,6.68,6.68,1005701
2001-10-09,6.689,6.978,6.689,6.956,6.956,1338701
2001-10-10,6.978,7.191,6.862,7.102,7.102,1329300
2001-10-11,7.244,7.476,7.2,7.378,7.378,2396201
2001-10-12,7.422,7.422,7.289,7.311,7.311,1693899
2001-10-15,7.413,7.413,7.267,7.284,7.284,991800
2001-10-16,7.333,7.333,7.2,7.284,7.284,267001
2001-10-17,7.28,7.284,7.111,7.133,7.133,1428300
2001-10-18,7.182,7.222,6.973,7.156,7.156,232601
2001-10-19,7.133,7.2,7.111,7.178,7.178,291101
2001-10-22,7.209,7.231,7.111,7.222,7.222,1010700
2001-10-23,7.244,7.467,7.244,7.427,7.427,1182699
2001-10-24,7.391,7.444,7.338,7.422,7.422,1500399
2001-10-25,7.413,7.467,7.333,7.467,7.467,1125099
2001-10-26,7.467,7.813,7.422,7.8,7.8,1353101
2001-10-29,7.778,7.844,7.711,7.76,7.76,755100
2001-10-30,7.756,7.756,7.533,7.631,7.631,1041901
2001-10-31,7.644,7.8,7.64,7.756,7.756,507101
2001-11-01,7.711,7.831,7.711,7.822,7.822,1976801
2001-11-02,7.733,8.009,7.644,7.911,7.911,619200
2001-11-05,7.911,8.044,7.6,7.604,7.604,878400
2001-11-06,7.733,7.822,7.733,7.733,7.733,88801
2001-11-07,7.778,7.778,7.533,7.622,7.622,792601
2001-11-08,7.658,7.778,7.502,7.502,7.502,270999
2001-11-09,7.533,7.533,7.2,7.249,7.249,810000
2001-11-12,7.244,7.244,7.004,7.067,7.067,456300
2001-11-13,7.102,7.244,7.044,7.244,7.244,712800
2001-11-14,7.253,7.453,7.222,7.311,7.311,468900
2001-11-15,7.311,7.462,7.173,7.204,7.204,877599
2001-11-16,7.138,7.244,7.138,7.178,7.178,228301
2001-11-19,7.156,7.222,7.133,7.178,7.178,342000
2001-11-20,7.271,7.271,7.12,7.156,7.156,206701
2001-11-21,7.267,7.267,7.156,7.244,7.244,149801
2001-11-23,7.298,7.298,7.178,7.222,7.222,180000
2001-11-26,7.298,7.298,6.756,6.813,6.813,745601
2001-11-27,6.8,6.809,6.356,6.742,6.742,583801
2001-11-28,6.796,6.796,6.582,6.733,6.733,400001
2001-11-29,6.738,6.942,6.72,6.942,6.942,135401
2001-11-30,6.956,7.022,6.684,6.889,6.889,1199799
2001-12-03,7,7,6.764,6.929,6.929,210101
2001-12-04,6.929,7.2,6.88,7.16,7.16,237101
2001-12-05,7.231,7.498,7.156,7.471,7.471,471600
2001-12-06,7.511,7.511,7.378,7.444,7.444,840101
2001-12-07,7.52,7.556,7.444,7.52,7.52,431199
2001-12-10,7.4,7.44,7.133,7.156,7.156,2799000
2001-12-11,7.2,7.244,7.156,7.187,7.187,826299
2001-12-12,7.16,7.218,7.058,7.133,7.133,863100
2001-12-13,7.089,7.124,6.724,6.787,6.787,286200
2001-12-14,6.836,7.089,6.796,6.822,6.822,991899
2001-12-17,6.844,6.933,6.711,6.742,6.742,7042599
2001-12-18,6.756,6.956,6.711,6.907,6.907,748800
2001-12-19,6.84,7.169,6.778,7.133,7.133,1351501
2001-12-20,7.111,7.222,7.111,7.191,7.191,1802401
2001-12-21,7.191,7.347,7.133,7.289,7.289,1070100
2001-12-24,7.222,7.378,7.138,7.356,7.356,358299
2001-12-26,7.28,7.596,7.28,7.467,7.467,296701
2001-12-27,7.511,7.76,7.431,7.631,7.631,739301
2001-12-28,7.627,7.796,7.564,7.773,7.773,590499
2001-12-31,7.8,7.84,7.467,7.467,7.467,537399
2002-01-02,7.6,7.6,7.422,7.489,7.489,864601
2002-01-03,7.596,7.596,7.364,7.578,7.578,317700
2002-01-04,7.4,7.631,7.364,7.511,7.511,1131701
2002-01-07,7.6,7.6,7.516,7.556,7.556,200401
2002-01-08,7.618,7.618,7.378,7.449,7.449,3005100
2002-01-09,7.369,7.422,7.333,7.36,7.36,929799
2002-01-10,7.333,7.547,7.333,7.4,7.4,486099
2002-01-11,7.511,7.578,7.404,7.467,7.467,494701
2002-01-14,7.676,7.707,7.347,7.4,7.4,849699
2002-01-15,7.462,7.551,7.462,7.516,7.516,910899
2002-01-16,7.547,7.587,7.467,7.511,7.511,473499
2002-01-17,7.551,7.689,7.511,7.671,7.671,849699
2002-01-18,7.644,7.671,7.556,7.556,7.556,439299
2002-01-22,7.658,7.658,7.511,7.551,7.551,384701
2002-01-23,7.618,7.618,7.427,7.533,7.533,444699
2002-01-24,7.596,7.6,7.511,7.564,7.564,389799
2002-01-25,7.6,7.889,7.556,7.862,7.862,1125099
2002-01-28,7.907,7.956,7.853,7.951,7.951,499201
2002-01-29,7.969,7.969,7.533,7.804,7.804,487301
2002-01-30,7.849,7.911,7.751,7.827,7.827,280301
2002-01-31,7.956,7.956,7.764,7.8,7.8,407799
2002-02-01,7.8,7.8,7.742,7.742,7.742,206501
2002-02-04,7.756,7.756,7.511,7.538,7.538,227401
2002-02-05,7.511,7.511,7,7.2,7.2,950801
2002-02-06,7.2,7.467,7.156,7.227,7.227,1286100
