,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2008-04-28,4.6692,4.8302,4.3552,4.3552,0.8906,906532
1,2008-04-29,4.315,4.4116,4.315,4.3794,0.8955,927400
2,2008-04-30,4.4277,4.7014,4.3472,4.5001,0.9497,927500
3,2008-05-01,4.5082,4.5082,4.3488,4.3713,0.9225,2050600
4,2008-05-02,4.3794,4.4277,4.154,4.154,0.8766,2540647
5,2008-05-05,4.2023,4.257,4.0332,4.2506,0.897,1664030
6,2008-05-06,4.1234,4.1379,4.0284,4.0332,0.8511,3142070
7,2008-05-07,4.0574,4.154,3.993,4.1057,0.8664,38943367
8,2008-05-08,4.1185,4.1588,3.9833,4.0896,0.863,12468501
9,2008-05-09,4.0413,4.0896,4.0155,4.0638,0.8576,9747438
10,2008-05-12,4.0429,4.323,4.0413,4.1169,0.8688,7921758
11,2008-05-13,4.0863,4.1733,4.0574,4.1701,0.88,4518734
12,2008-05-14,4.1057,4.2361,3.9608,4.2135,0.8892,4295515
13,2008-05-15,4.1459,4.2522,4.1185,4.191,0.8844,3969288
14,2008-05-16,4.1636,4.3069,4.133,4.2667,0.9004,11418172
15,2008-05-19,4.2103,4.2586,4.1813,4.1974,0.8858,5645014
16,2008-05-20,4.1379,4.1765,4.0252,4.1137,0.8681,8338029
17,2008-05-21,4.0847,4.1507,4.067,4.1073,0.8668,1729260
18,2008-05-22,4.0477,4.2071,4.0445,4.1411,0.8739,7979958
19,2008-05-23,4.1089,4.1411,4.067,4.0928,0.8637,2421087
20,2008-05-27,4.0831,4.1105,4.0445,4.0863,0.8624,1899240
21,2008-05-28,4.0606,4.1008,4.0332,4.059,0.8566,5346265
22,2008-05-29,4.0268,4.0477,4.001,4.0171,0.8477,6850828
23,2008-05-30,3.9962,4.1008,3.9881,4.0541,0.8556,5456313
24,2008-06-02,4.0203,4.0364,3.8819,3.8835,0.8196,2692521
25,2008-06-03,3.8319,3.9044,3.7981,3.8964,0.8223,4636377
26,2008-06-04,3.8561,3.8947,3.8448,3.848,0.8121,2871238
27,2008-06-05,3.993,4.2473,3.9769,4.1153,0.8685,10802541
28,2008-06-06,4.0445,4.0847,4.0139,4.0219,0.8488,4040897
29,2008-06-09,3.993,4.0735,3.9752,4.0203,0.8484,2018343
30,2008-06-10,4.0058,4.0413,4.001,4.0139,0.8471,3237519
31,2008-06-11,4.0219,4.0219,3.8738,3.9173,0.8267,2352276
32,2008-06-12,3.9881,4.001,3.8633,3.8931,0.8216,1885825
33,2008-06-13,3.8883,3.9817,3.869,3.972,0.8382,2718229
34,2008-06-16,3.9817,3.9881,3.7836,3.8175,0.8056,2799015
35,2008-06-17,3.8191,3.8223,3.7386,3.7772,0.7971,3945095
36,2008-06-18,3.7192,3.8641,3.7128,3.8303,0.8083,1883134
37,2008-06-19,3.84,3.8658,3.7675,3.8464,0.8117,2262004
38,2008-06-20,3.7595,3.8641,3.7547,3.8641,0.8155,2339498
39,2008-06-23,3.8641,3.8641,3.7933,3.7997,0.8019,1562796
40,2008-06-24,3.7434,3.7434,3.5743,3.6291,0.7659,4845550
41,2008-06-25,3.5953,3.6838,3.5888,3.6291,0.7659,2268041
42,2008-06-26,3.5663,3.6323,3.5534,3.5695,0.7533,2938407
43,2008-06-27,3.5454,3.555,3.4649,3.4777,0.7339,3328921
44,2008-06-30,3.4745,3.4745,3.3199,3.3779,0.7129,3048004
45,2008-07-01,3.3489,3.3554,3.225,3.3167,0.6999,3516628
46,2008-07-02,3.3666,3.46,3.3473,3.4359,0.7251,1593477
47,2008-07-03,3.4149,3.4359,3.3071,3.3715,0.7115,1530385
48,2008-07-07,3.3892,3.4729,3.3715,3.4327,0.7244,1491680
