,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,16.875,17.0,16.625,16.875,0.7221,650400
1,1984-11-06,16.9376,16.9376,16.875,16.9376,0.7247,32000
2,1984-11-07,16.75,17.0,16.75,16.75,0.7167,16000
3,1984-11-08,17.0,17.0,16.75,17.0,0.7274,40000
4,1984-11-09,17.125,17.125,16.875,17.125,0.7328,163200
5,1984-11-12,16.875,17.125,16.875,16.875,0.7221,5600
6,1984-11-13,16.75,17.0626,16.75,16.75,0.7167,51200
7,1984-11-14,16.75,16.875,16.75,16.75,0.7167,40000
8,1984-11-15,16.8126,16.875,16.75,16.8126,0.7194,44000
9,1984-11-16,16.875,16.875,16.75,16.875,0.7221,14400
10,1984-11-19,16.75,16.875,16.625,16.75,0.7167,36800
11,1984-11-20,16.625,16.6876,16.625,16.625,0.7114,18400
12,1984-11-21,16.6876,16.6876,16.625,16.6876,0.714,1600
13,1984-11-23,16.625,16.75,16.625,16.625,0.7114,48000
14,1984-11-26,16.625,16.75,16.625,16.625,0.7114,16800
15,1984-11-27,16.625,16.75,16.625,16.625,0.7114,63200
16,1984-11-28,16.625,16.75,16.625,16.625,0.7114,57600
17,1984-11-29,16.75,16.75,16.625,16.75,0.7167,138400
18,1984-11-30,16.8126,16.8126,16.6876,16.8126,0.7194,76000
19,1984-12-03,16.8126,16.8126,16.75,16.8126,0.7194,108800
20,1984-12-04,17.1876,17.25,16.8126,17.1876,0.7354,124000
21,1984-12-05,17.125,17.1876,16.9376,17.125,0.7328,35200
22,1984-12-06,17.0626,17.25,17.0,17.0626,0.7301,24800
23,1984-12-07,17.0626,17.0626,17.0,17.0626,0.7301,821600
24,1984-12-10,17.0626,17.0626,17.0,17.0626,0.7301,32800
25,1984-12-11,17.0626,17.0626,17.0,17.0626,0.7301,146400
26,1984-12-12,17.125,17.125,17.0,17.125,0.7328,48800
27,1984-12-13,17.375,17.4376,17.0,17.375,0.7435,94400
28,1984-12-14,17.1876,17.4376,17.1876,17.1876,0.7354,60000
29,1984-12-17,17.3126,17.3126,17.125,17.3126,0.7408,196800
30,1984-12-18,17.875,17.875,17.25,17.875,0.7648,264800
31,1984-12-19,18.0,18.125,17.75,18.0,0.7702,99200
32,1984-12-20,18.0,18.0,17.875,18.0,0.7702,136800
33,1984-12-21,17.875,18.125,17.875,17.875,0.7648,42400
34,1984-12-24,18.125,18.125,17.875,18.125,0.7755,32800
35,1984-12-26,18.0,18.125,18.0,18.0,0.7702,96800
36,1984-12-27,18.25,18.25,18.0,18.25,0.7809,122400
37,1984-12-28,18.125,18.25,18.0,18.125,0.7755,31200
38,1984-12-31,18.0,18.25,17.9376,18.0,0.7702,44800
39,1985-01-02,17.75,18.0,17.75,17.75,0.7595,150400
40,1985-01-03,18.125,18.125,17.75,18.125,0.7755,217600
41,1985-01-04,18.125,18.125,17.875,18.125,0.7755,363200
42,1985-01-07,18.125,18.125,18.0,18.125,0.7755,63200
43,1985-01-08,18.0,18.25,18.0,18.0,0.7702,288000
44,1985-01-09,18.3126,18.375,18.125,18.3126,0.7836,219200
45,1985-01-10,18.5,18.625,18.25,18.5,0.7916,249600
46,1985-01-11,19.25,19.25,18.625,19.25,0.8237,131200
47,1985-01-14,19.25,19.25,19.0,19.25,0.8237,164000
48,1985-01-15,19.25,19.375,19.125,19.25,0.8237,68000
49,1985-01-16,19.25,19.375,19.125,19.25,0.8237,48000
50,1985-01-17,19.5,19.5,19.25,19.5,0.8344,44800
51,1985-01-18,19.4376,19.5,19.25,19.4376,0.8317,160000
52,1985-01-21,19.625,19.875,19.4376,19.625,0.8397,147200
53,1985-01-22,20.25,20.25,19.625,20.25,0.8665,923200
54,1985-01-23,20.0,20.25,20.0,20.0,0.8558,19200
55,1985-01-24,20.125,20.375,20.0,20.125,0.8611,177600
56,1985-01-25,20.5,20.625,20.25,20.5,0.8772,119200
57,1985-01-28,20.5,20.625,20.5,20.5,0.8772,72000
58,1985-01-29,20.5,20.625,20.5,20.5,0.8772,146400
59,1985-01-30,20.5,20.75,20.5,20.5,0.8772,9600
60,1985-01-31,20.25,20.625,20.25,20.25,0.8665,213600
61,1985-02-01,20.25,20.5,20.25,20.25,0.8665,152800
62,1985-02-04,20.375,20.375,20.125,20.375,0.8718,54400
63,1985-02-05,20.25,20.5,20.125,20.25,0.8665,159200
64,1985-02-06,20.25,20.5,20.25,20.25,0.8665,60000
65,1985-02-07,20.375,20.5,20.25,20.375,0.8718,144800
66,1985-02-08,20.5,20.625,20.375,20.5,0.8772,72800
67,1985-02-11,20.625,20.75,20.5,20.625,0.8825,76000
68,1985-02-12,21.0626,21.0626,20.75,21.0626,0.9012,180000
69,1985-02-13,21.0,21.25,21.0,21.0,0.8986,47200
70,1985-02-14,21.625,21.625,21.25,21.625,0.9253,192800
71,1985-02-15,21.375,21.75,21.375,21.375,0.9146,800800
72,1985-02-19,21.5,21.625,21.375,21.5,0.92,138400
73,1985-02-20,21.25,21.375,21.25,21.25,0.9093,52000
74,1985-02-21,21.25,21.25,21.125,21.25,0.9093,48800
75,1985-02-22,20.75,21.125,20.75,20.75,0.8879,43200
76,1985-02-25,20.5,20.875,20.375,20.5,0.8772,270400
77,1985-02-26,20.875,20.875,20.5,20.875,0.8932,24800
78,1985-02-27,20.5,20.5,20.25,20.5,0.8772,30400
79,1985-02-28,20.25,20.375,20.125,20.25,0.8665,472000
80,1985-03-01,20.0,20.0,20.0,20.0,0.8558,8000
81,1985-03-04,20.0,20.0,20.0,20.0,0.8558,8800
82,1985-03-05,20.0,20.25,20.0,20.0,0.8558,183200
83,1985-03-06,20.0,20.125,19.9376,20.0,0.8558,105600
84,1985-03-07,19.875,20.125,19.875,19.875,0.8504,39200
85,1985-03-08,19.75,20.0,19.75,19.75,0.8451,176000
86,1985-03-11,20.0,20.0,19.75,20.0,0.8558,16800
87,1985-03-12,19.75,20.0,19.75,19.75,0.8451,173600
88,1985-03-13,20.0,20.0,19.75,20.0,0.8558,129600
89,1985-03-14,19.75,19.875,19.75,19.75,0.8451,95200
90,1985-03-15,19.875,19.875,19.5626,19.875,0.8504,248800
91,1985-03-18,19.625,19.875,19.5626,19.625,0.8397,262400
92,1985-03-19,19.75,19.875,19.625,19.75,0.8451,140000
93,1985-03-20,19.75,19.875,19.625,19.75,0.8451,186400
94,1985-03-21,20.0,20.125,19.75,20.0,0.8558,369600
95,1985-03-22,19.875,20.0,19.875,19.875,0.8504,47200
96,1985-03-25,19.875,20.125,19.875,19.875,0.8504,10400
97,1985-03-26,20.0,20.0,19.875,20.0,0.8558,100000
98,1985-03-27,20.0,20.125,20.0,20.0,0.8558,55200
99,1985-03-28,19.9376,20.125,19.875,19.9376,0.8531,104800
100,1985-03-29,19.875,20.125,19.875,19.875,0.8504,96800
101,1985-04-01,19.875,20.0,19.875,19.875,0.8504,528000
102,1985-04-02,20.125,20.125,19.875,20.125,0.8611,308000
103,1985-04-03,20.0,20.25,20.0,20.0,0.8558,318400
104,1985-04-04,20.375,20.375,20.0,20.375,0.8718,90400
105,1985-04-08,20.25,20.375,20.125,20.25,0.8665,90400
106,1985-04-09,20.5,20.75,20.25,20.5,0.8772,181600
107,1985-04-10,20.625,20.875,20.625,20.625,0.8825,76000
108,1985-04-11,21.0,21.125,20.625,21.0,0.8986,105600
109,1985-04-12,21.0626,21.375,21.0,21.0626,0.9012,90400
110,1985-04-15,21.5,21.5,21.125,21.5,0.92,128800
111,1985-04-16,21.5,21.5,21.25,21.5,0.92,35200
112,1985-04-17,21.375,21.5,21.375,21.375,0.9146,40000
113,1985-04-18,21.25,21.5,21.25,21.25,0.9093,32000
114,1985-04-19,21.25,21.3126,21.25,21.25,0.9093,8800
115,1985-04-22,21.375,21.375,21.125,21.375,0.9146,119200
116,1985-04-23,21.25,21.375,21.25,21.25,0.9093,53600
117,1985-04-24,21.375,21.375,21.25,21.375,0.9146,21600
118,1985-04-25,21.3126,21.3126,21.25,21.3126,0.9119,74400
119,1985-04-26,21.4376,21.5,21.25,21.4376,0.9173,105600
120,1985-04-29,21.4376,21.625,21.375,21.4376,0.9173,35200
121,1985-04-30,21.375,21.375,21.375,21.375,0.9146,8000
122,1985-05-01,21.75,21.875,21.375,21.75,0.9307,58400
123,1985-05-02,21.875,22.125,21.625,21.875,0.936,338400
124,1985-05-03,22.125,22.25,21.875,22.125,0.9467,195200
125,1985-05-06,22.125,22.25,22.125,22.125,0.9467,169600
126,1985-05-07,22.125,22.25,22.125,22.125,0.9467,67200
127,1985-05-08,23.25,23.25,22.25,23.25,0.9948,201600
128,1985-05-09,23.5,23.5,23.125,23.5,1.0055,524000
129,1985-05-10,23.75,23.875,23.5,23.75,1.0162,274400
130,1985-05-13,23.25,23.625,23.125,23.25,0.9948,239200
131,1985-05-14,22.875,23.25,22.875,22.875,0.9788,152800
132,1985-05-15,22.625,22.75,22.625,22.625,0.9681,53600
133,1985-05-16,22.625,22.875,22.625,22.625,0.9681,31200
134,1985-05-17,22.625,22.875,22.625,22.625,0.9681,55200
135,1985-05-20,22.375,22.625,22.375,22.375,0.9574,95200
136,1985-05-21,21.75,22.25,21.75,21.75,0.9307,70400
137,1985-05-22,21.5,21.75,21.375,21.5,0.92,170400
138,1985-05-23,21.625,21.625,21.5,21.625,0.9253,58400
139,1985-05-24,21.75,21.75,21.5,21.75,0.9307,70400
140,1985-05-28,21.625,21.75,21.5,21.625,0.9253,43200
141,1985-05-29,22.0,22.0,21.875,22.0,0.9414,134400
142,1985-05-30,21.875,22.0,21.875,21.875,0.936,58400
143,1985-05-31,21.875,22.0,21.875,21.875,0.936,148800
