,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2003-09-11,29.74,29.8,29.5,29.68,29.68,1607700
1,2003-10-01,29.4,30.0,29.4,29.95,29.95,1926200
2,2003-10-02,29.91,30.0,29.76,29.93,29.93,1142800
3,2003-10-03,30.18,30.18,29.82,29.92,29.92,1328800
4,2003-10-06,30.0,30.08,29.6,30.0,30.0,1201900
5,2003-10-07,29.9,30.05,29.81,30.0,30.0,1307200
6,2003-10-08,29.95,29.96,29.57,29.67,29.67,1463500
7,2003-10-09,29.69,29.84,29.46,29.65,29.65,2347900
8,2003-10-10,29.48,29.61,29.44,29.47,29.47,2206600
9,2003-10-13,29.47,29.62,29.47,29.51,29.51,1176700
10,2003-10-14,29.32,29.45,29.25,29.35,29.35,2222700
11,2003-10-15,29.6,29.62,29.35,29.49,29.49,2119200
12,2003-10-16,29.25,29.38,29.01,29.38,29.38,3514200
13,2003-10-17,29.3,29.35,29.14,29.15,29.15,1779600
14,2003-10-20,29.08,29.33,29.01,29.2,29.2,2205700
15,2003-10-21,29.23,29.26,28.95,28.95,28.95,1958000
16,2003-10-22,28.75,29.17,28.75,29.0,29.0,2440700
17,2003-10-23,28.95,29.25,28.95,29.19,29.19,939800
18,2003-10-24,29.05,29.09,28.9,29.05,29.05,903400
19,2003-10-27,29.0,29.19,28.93,28.95,28.95,979000
20,2003-10-28,29.03,29.36,29.0,29.3,29.3,1101900
21,2003-10-29,29.31,29.37,29.06,29.32,29.32,1778000
22,2003-10-30,29.32,29.49,29.19,29.19,29.19,1180100
23,2003-10-31,29.14,29.25,29.09,29.1,29.1,1580000
24,2003-11-03,29.18,29.33,29.07,29.23,29.23,1040393
25,2003-11-04,29.24,29.3,29.15,29.15,29.15,1183479
26,2003-11-05,29.03,29.11,28.5,28.99,28.99,2256400
27,2003-11-06,29.05,29.39,28.94,29.35,29.35,1652800
28,2003-11-07,29.38,30.0,29.32,29.8,29.8,1664100
29,2003-11-10,29.75,29.78,29.53,29.72,29.72,965900
30,2003-11-11,29.55,29.63,29.16,29.36,29.36,1141000
31,2003-11-12,29.46,30.39,29.41,30.33,30.33,2030300
32,2003-11-13,30.25,30.35,29.92,30.27,30.27,1322700
33,2003-11-14,29.86,30.62,29.86,30.52,30.52,1471700
34,2003-11-17,30.47,31.76,30.41,31.2,31.2,3868300
35,2003-11-18,31.2,31.25,30.85,31.0,31.0,1608500
36,2003-11-19,30.8,30.95,30.57,30.68,30.68,1323100
37,2003-11-20,30.43,30.94,30.43,30.72,30.72,1101000
38,2003-11-21,30.62,31.08,30.6,30.95,30.95,1335900
39,2003-11-24,31.15,31.47,30.9,31.35,31.35,1336000
40,2003-11-25,31.38,31.69,31.11,31.61,31.61,1561300
41,2003-11-26,31.51,31.81,31.4535,31.79,31.79,1470000
42,2003-11-28,31.78,31.85,31.64,31.67,31.67,926200
43,2003-12-01,31.65,31.87,31.52,31.81,31.81,1434700
44,2003-12-02,31.66,32.25,31.66,32.22,32.22,2155400
45,2003-12-03,32.15,32.5,32.11,32.3,32.3,1423700
46,2003-12-04,32.3,32.345,31.44,31.55,31.55,1595900
47,2003-12-05,31.4,31.9,31.35,31.51,31.51,1778500
48,2003-12-08,31.5,31.72,31.36,31.71,31.71,1303400
49,2003-12-09,31.76,31.8,31.21,31.4,31.4,1083400
50,2003-12-10,31.28,31.42,31.01,31.37,31.37,1247400
51,2003-12-11,31.23,31.36,31.16,31.36,31.36,1175300
52,2003-12-12,31.31,31.85,31.21,31.7,31.7,1111200
53,2003-12-15,31.95,32.05,31.77,31.83,31.83,1052700
54,2003-12-16,31.58,31.7,31.13,31.59,31.59,1849100
55,2003-12-17,31.09,31.95,30.97,31.49,31.49,3174000
56,2003-12-18,31.35,31.6,31.14,31.49,31.49,1772900
57,2003-12-19,31.68,31.68,31.07,31.37,31.37,1257800
58,2003-12-22,31.15,31.85,31.15,31.75,31.75,1897200
59,2003-12-23,31.75,31.7875,31.5,31.59,31.59,1395200
60,2003-12-24,31.49,31.58,31.39,31.44,31.44,630000
61,2003-12-26,31.37,31.58,31.35,31.48,31.48,374000
62,2003-12-29,31.5,31.75,31.41,31.72,31.72,1084400
63,2003-12-30,31.8,32.47,31.75,32.25,32.25,1287800
64,2003-12-31,32.4,32.45,32.1,32.22,32.22,617300
65,2004-01-02,32.2,32.58,32.01,32.08,32.08,841800
66,2004-01-05,32.28,32.39,31.83,32.16,32.16,1192300
67,2004-01-06,32.11,32.52,32.1,32.49,32.49,1690500
68,2004-01-07,32.49,32.58,32.12,32.28,32.28,1334200
69,2004-01-08,32.23,32.63,32.21,32.3,32.3,1773800
70,2004-01-09,32.31,32.35,32.0,32.1,32.1,974500
71,2004-01-12,32.0,32.15,31.89,32.03,32.03,1321300
72,2004-01-13,32.0,32.01,30.96,31.3,31.3,2189200
73,2004-01-14,31.3,31.59,31.21,31.57,31.57,1005300
74,2004-01-15,31.57,31.6,31.15,31.34,31.34,952100
75,2004-01-16,31.24,31.77,31.15,31.62,31.62,1329800
76,2004-01-20,31.62,31.83,31.19,31.83,31.83,1146000
77,2004-01-21,31.67,31.85,31.45,31.81,31.81,1507800
78,2004-01-22,31.69,32.03,31.42,31.96,31.96,1611700
79,2004-01-23,31.85,31.86,31.05,31.18,31.18,2296100
80,2004-01-26,31.3,32.8,31.3,32.48,32.48,1960800
81,2004-01-27,32.01,32.48,31.97,32.13,32.13,1643300
82,2004-01-28,32.14,33.21,31.95,32.06,32.06,5395900
83,2004-01-29,32.11,32.95,32.06,32.14,32.14,3190000
84,2004-01-30,32.34,32.61,32.06,32.21,32.21,1200900
85,2004-02-02,32.12,32.7,32.03,32.55,32.55,1520400
86,2004-02-03,32.61,33.35,32.5,33.15,33.15,2530900
87,2004-02-04,33.16,33.85,33.06,33.48,33.48,2841500
88,2004-02-05,33.34,33.71,33.3,33.7,33.7,1772100
