,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1991-11-22,20.0002,20.125,19.875,20.0002,0.9029,6522750
1,1991-11-25,20.0002,20.0002,19.875,20.0002,0.9029,868950
2,1991-11-26,20.0002,20.0002,20.0002,20.0002,0.9029,165150
3,1991-11-27,20.0002,20.0002,19.875,20.0002,0.9029,93600
4,1991-11-29,20.0002,20.0002,19.875,20.0002,0.9029,151650
5,1991-12-02,20.0002,20.0002,19.75,19.875,0.8973,420300
6,1991-12-03,19.875,20.0002,19.75,19.875,0.8973,154800
7,1991-12-04,20.0002,20.0002,19.875,19.875,0.8973,189450
8,1991-12-05,19.875,19.875,19.875,19.875,0.8973,173700
9,1991-12-06,19.875,19.875,19.75,19.75,0.8916,270450
10,1991-12-09,19.75,19.875,19.75,19.75,0.8916,47250
11,1991-12-10,19.75,19.875,19.75,19.75,0.8916,177750
12,1991-12-11,19.5,19.75,19.2502,19.75,0.8916,302850
13,1991-12-12,19.75,19.75,19.6252,19.75,0.8916,72900
14,1991-12-13,19.75,19.875,19.75,19.75,0.8916,157950
15,1991-12-16,19.875,19.875,19.75,19.75,0.8916,49500
16,1991-12-17,19.875,19.875,19.75,19.875,0.8973,63450
17,1991-12-18,19.875,19.875,19.75,19.875,0.8973,24300
18,1991-12-19,19.75,20.0002,19.75,20.0002,0.9029,62100
19,1991-12-20,20.0002,20.125,20.0002,20.0002,0.9029,137700
20,1991-12-23,20.0002,20.5,20.0002,20.5,0.9255,158850
21,1991-12-24,20.5,20.5,20.25,20.3752,0.9198,62550
22,1991-12-26,20.5,20.875,20.5,20.7502,0.9368,83700
23,1991-12-27,20.7502,20.7502,20.5,20.625,0.9311,183150
24,1991-12-30,20.7502,20.7502,20.625,20.625,0.9311,101700
25,1991-12-31,20.7502,21.5002,20.7502,21.5002,0.9706,126000
26,1992-01-02,21.375,21.75,21.1252,21.5002,0.9706,173250
27,1992-01-03,21.5002,21.8752,21.5002,21.625,0.9763,215100
28,1992-01-06,21.75,22.5,21.75,22.125,0.9988,198000
29,1992-01-07,22.125,22.6252,22.125,22.2502,1.0045,434250
30,1992-01-08,22.2502,22.375,22.125,22.2502,1.0045,131850
31,1992-01-09,22.2502,22.2502,22.125,22.125,0.9988,149400
32,1992-01-10,22.125,22.5,22.125,22.5,1.0158,184500
33,1992-01-13,22.375,22.6252,22.375,22.5,1.0158,92700
34,1992-01-14,22.5,22.875,22.5,22.875,1.0327,153000
35,1992-01-15,22.75,23.125,22.75,23.125,1.044,106200
36,1992-01-16,23.3752,23.5,23.125,23.125,1.044,73350
37,1992-01-17,23.0002,23.25,23.0002,23.25,1.0496,116100
38,1992-01-20,23.25,23.3752,23.125,23.125,1.044,60300
39,1992-01-21,23.125,23.3752,23.125,23.25,1.0496,37800
40,1992-01-22,23.125,23.3752,23.125,23.25,1.0496,36000
41,1992-01-23,23.125,23.3752,23.125,23.25,1.0496,50850
42,1992-01-24,23.125,23.3752,23.0002,23.25,1.0568,44100
43,1992-01-27,23.25,23.25,23.0002,23.125,1.0511,35550
44,1992-01-28,23.3752,23.3752,23.125,23.3752,1.0625,31500
45,1992-01-29,23.7502,24.1252,23.5,23.5,1.0682,222750
46,1992-01-30,23.5,23.625,23.5,23.625,1.0738,224550
47,1992-01-31,23.5,23.7502,23.5,23.625,1.0738,32850
48,1992-02-03,23.625,24.0,23.5,23.7502,1.0795,148500
49,1992-02-04,23.7502,24.375,23.7502,24.0,1.0909,55800
50,1992-02-05,24.0,24.25,24.0,24.25,1.1023,30600
51,1992-02-06,24.25,24.625,24.25,24.25,1.1023,129150
52,1992-02-07,24.25,24.625,24.25,24.5002,1.1136,152550
53,1992-02-10,24.5002,24.75,24.375,24.5002,1.1136,49500
54,1992-02-11,24.75,24.75,24.375,24.375,1.1079,37800
55,1992-02-12,24.25,24.375,24.1252,24.375,1.1079,321300
56,1992-02-13,24.25,24.25,24.0,24.1252,1.0966,263700
57,1992-02-14,24.0,24.1252,24.0,24.1252,1.0966,41400
58,1992-02-18,24.25,24.25,24.0,24.0,1.0909,26100
59,1992-02-19,24.0,24.0,23.875,23.875,1.0852,36450
60,1992-02-20,23.625,23.875,23.625,23.7502,1.0795,138600
61,1992-02-21,23.625,23.7502,23.625,23.7502,1.0795,4950
62,1992-02-24,23.7502,23.875,23.7502,23.875,1.0852,117000
63,1992-02-25,23.875,24.0,23.7502,24.0,1.0909,65700
64,1992-02-26,23.875,23.875,23.7502,23.7502,1.0795,101250
65,1992-02-27,24.0,24.25,24.0,24.25,1.1023,96750
66,1992-02-28,24.1252,24.1252,24.0,24.0,1.0909,5850
67,1992-03-02,24.25,24.625,24.25,24.625,1.1193,162450
68,1992-03-03,24.8752,25.375,24.8752,25.0,1.1363,96300
69,1992-03-04,25.125,25.375,25.0,25.125,1.142,43650
70,1992-03-05,25.0,25.125,24.5002,24.5002,1.1136,31950
71,1992-03-06,24.625,24.625,24.0,24.1252,1.0966,174150
72,1992-03-09,24.1252,24.8752,24.1252,24.5002,1.1136,29700
73,1992-03-10,24.625,24.625,24.25,24.25,1.1023,503550
74,1992-03-11,24.375,24.375,24.25,24.25,1.1023,13500
75,1992-03-12,24.5002,24.5002,24.1252,24.1252,1.0966,23400
76,1992-03-13,24.1252,24.375,24.1252,24.375,1.1079,311400
77,1992-03-16,24.25,24.25,24.1252,24.1252,1.0966,36000
78,1992-03-17,24.1252,24.1252,23.875,24.0,1.0909,46800
79,1992-03-18,24.0,24.1252,24.0,24.0,1.0909,79200
80,1992-03-19,24.25,24.25,24.1252,24.25,1.1023,16200
81,1992-03-20,24.25,24.25,24.0,24.0,1.0909,28350
82,1992-03-23,24.0,24.1252,24.0,24.1252,1.0966,16200
83,1992-03-24,24.0,24.1252,23.7502,23.7502,1.0795,204750
84,1992-03-25,24.0,24.0,23.5,23.625,1.0738,63900
85,1992-03-26,23.5,23.625,23.5,23.5,1.0682,7200
86,1992-03-27,23.5,23.5,23.5,23.5,1.0682,40500
87,1992-03-30,23.5,23.5,23.3752,23.5,1.0682,9450
88,1992-03-31,23.3752,23.625,23.3752,23.625,1.0738,56700
89,1992-04-01,23.5,23.625,23.5,23.5,1.0682,147600
90,1992-04-02,23.5,23.5,23.3752,23.3752,1.0625,120600
91,1992-04-03,23.5,23.5,23.3752,23.3752,1.0625,2250
92,1992-04-06,23.5,23.5,23.25,23.25,1.0568,46800
93,1992-04-07,23.3752,23.3752,22.75,22.75,1.0341,55800
94,1992-04-08,22.6252,22.75,22.125,22.5,1.0227,65700
95,1992-04-09,22.375,22.6252,22.2502,22.2502,1.0113,108900
96,1992-04-10,22.2502,22.375,22.125,22.375,1.017,174150
97,1992-04-13,22.375,22.75,22.2502,22.6252,1.0284,219600
98,1992-04-14,22.875,23.0002,22.875,23.0002,1.0454,115650
99,1992-04-15,23.125,23.25,23.125,23.25,1.0568,99900
100,1992-04-16,23.25,23.25,23.25,23.25,1.0568,4500
101,1992-04-20,23.25,23.5,23.25,23.5,1.0682,11700
102,1992-04-21,23.625,23.625,23.625,23.625,1.0738,12600
103,1992-04-22,23.625,23.7502,23.625,23.7502,1.0795,17550
104,1992-04-23,23.5,23.5,23.3752,23.3752,1.0625,390600
105,1992-04-24,22.875,23.3752,22.875,23.3752,1.0829,9000
106,1992-04-27,23.625,23.7502,23.5,23.625,1.0944,22050
107,1992-04-28,23.5,23.625,23.5,23.625,1.0944,44100
108,1992-04-29,23.625,23.875,23.625,23.875,1.106,8550
109,1992-04-30,24.0,24.375,24.0,24.375,1.1292,21600
110,1992-05-01,24.375,24.375,24.1252,24.375,1.1292,144000
111,1992-05-04,24.25,24.375,24.25,24.375,1.1292,6300
112,1992-05-05,24.375,25.2502,24.375,25.125,1.1639,100800
113,1992-05-06,25.0,25.375,24.8752,24.8752,1.1523,36450
114,1992-05-07,24.8752,25.2502,24.8752,25.2502,1.1697,15750
115,1992-05-08,25.2502,25.2502,25.125,25.2502,1.1697,16200
116,1992-05-11,25.125,25.5,25.125,25.5,1.1813,10800
117,1992-05-12,25.5,26.0002,25.5,26.0002,1.2045,53550
118,1992-05-13,25.75,25.875,25.6252,25.6252,1.1871,22500
119,1992-05-14,25.5,25.5,25.375,25.375,1.1755,26550
120,1992-05-15,25.125,25.125,24.8752,24.8752,1.1523,27450
121,1992-05-18,25.0,25.2502,24.8752,25.2502,1.1697,21600
122,1992-05-19,25.2502,25.375,25.2502,25.375,1.1755,20250
123,1992-05-20,25.125,25.375,25.0,25.2502,1.1697,62100
124,1992-05-21,25.2502,25.375,25.2502,25.2502,1.1697,28800
125,1992-05-22,25.2502,25.75,25.2502,25.5,1.1813,101700
126,1992-05-26,25.5,25.6252,25.5,25.6252,1.1871,33300
127,1992-05-27,25.5,25.75,25.5,25.75,1.1929,15750
128,1992-05-28,25.6252,25.75,25.5,25.75,1.1929,66150
129,1992-05-29,25.875,25.875,25.75,25.75,1.1929,9900
130,1992-06-01,25.75,26.0002,25.75,26.0002,1.2045,100350
131,1992-06-02,25.875,25.875,25.75,25.75,1.1929,76950
132,1992-06-03,25.6252,25.75,25.6252,25.6252,1.1871,47250
133,1992-06-04,25.75,25.875,25.6252,25.75,1.1929,15750
134,1992-06-05,25.75,25.75,25.6252,25.75,1.1929,49500
135,1992-06-08,25.5,25.6252,25.375,25.6252,1.1871,43200
136,1992-06-09,25.6252,25.6252,25.6252,25.6252,1.1871,39600
137,1992-06-10,25.5,25.5,25.2502,25.2502,1.1697,43650
138,1992-06-11,25.2502,25.375,25.2502,25.375,1.1755,33750
139,1992-06-12,25.2502,25.375,25.2502,25.375,1.1755,4050
140,1992-06-15,25.375,25.6252,25.2502,25.6252,1.1871,50850
141,1992-06-16,25.5,25.75,25.5,25.75,1.1929,154350
142,1992-06-17,25.75,25.75,25.75,25.75,1.1929,31950
143,1992-06-18,25.6252,25.75,25.6252,25.75,1.1929,89100
144,1992-06-19,25.5,25.6252,25.5,25.6252,1.1871,16650
145,1992-06-22,25.6252,25.75,25.5,25.75,1.1929,55800
146,1992-06-23,25.6252,25.75,25.6252,25.75,1.1929,1350
147,1992-06-24,25.6252,25.75,25.6252,25.6252,1.1871,7200
148,1992-06-25,25.75,25.875,25.75,25.75,1.1929,118800
149,1992-06-26,25.875,25.875,25.75,25.75,1.1929,30600
150,1992-06-29,25.875,25.875,25.5,25.6252,1.1871,124200
151,1992-06-30,25.6252,25.6252,25.0,25.375,1.1755,189450
152,1992-07-01,25.375,25.375,25.2502,25.375,1.1755,2468700
153,1992-07-02,25.2502,25.5,25.2502,25.375,1.1755,1093050
154,1992-07-06,25.375,25.375,25.2502,25.375,1.1755,242100
155,1992-07-07,25.375,25.5,25.375,25.375,1.1755,261900
156,1992-07-08,25.5,25.5,25.375,25.375,1.1755,181350
157,1992-07-09,25.5,25.6252,25.5,25.6252,1.1871,314100
158,1992-07-10,25.6252,25.875,25.5,25.875,1.1987,335250
159,1992-07-13,26.0002,26.25,26.0002,26.25,1.216,321300
160,1992-07-14,26.125,26.25,26.0002,26.25,1.216,444600
161,1992-07-15,26.25,26.3752,26.125,26.125,1.2102,44100
162,1992-07-16,26.125,26.25,26.0002,26.125,1.2102,97200
163,1992-07-17,26.25,26.25,25.875,26.0002,1.2045,125100
164,1992-07-20,25.75,26.0002,25.75,26.0002,1.2045,82350
165,1992-07-21,26.125,26.25,25.875,26.125,1.2102,45900
166,1992-07-22,26.25,26.3752,26.125,26.3752,1.2218,80100
167,1992-07-23,26.25,26.625,26.25,26.5,1.2276,146700
168,1992-07-24,26.125,26.25,25.75,25.875,1.2189,107100
