Date,Open,High,Low,Close,Adjusted_close,Volume
1992-05-19,14,14,13.25,14,1.1622,18095200
1992-05-20,14.1252,14.8752,14,14.75,1.2245,3995200
1992-05-21,14.75,14.8752,14.3752,14.75,1.2245,1164800
1992-05-22,14.75,15.25,14.75,15.25,1.266,729600
1992-05-26,15.25,15.25,14.8752,15,1.2453,668800
1992-05-27,15,15.3752,14.75,15,1.2453,673600
1992-05-28,15,15.25,15,15.25,1.266,544800
1992-05-29,15.1252,15.8752,15.1252,15.6252,1.2971,292800
1992-06-01,15.75,16.5,15.6252,16,1.3283,1489600
1992-06-02,16,16.25,15.8752,16.1252,1.3387,1423200
1992-06-03,16,16.1252,15.6252,15.75,1.3075,1146400
1992-06-04,15.75,15.8752,15.6252,15.75,1.3075,408800
1992-06-05,15.8752,15.8752,15.75,15.8752,1.3179,491200
1992-06-08,15.8752,15.8752,15.5,15.75,1.3075,701600
1992-06-09,15.8752,15.8752,15,15.3752,1.2764,880000
1992-06-10,15.25,15.3752,15.1252,15.3752,1.2764,448800
1992-06-11,15.5,15.75,15.3752,15.5,1.2868,208800
1992-06-12,15.75,16,15.6252,15.75,1.3075,518400
1992-06-15,15.5,16.1252,15.5,15.8752,1.3179,380000
1992-06-16,16,16,15.25,15.3752,1.2764,216000
1992-06-17,15.6252,15.75,15.3752,15.5,1.2868,816800
1992-06-18,15.6252,15.6252,15.3752,15.3752,1.2764,220800
1992-06-19,15.25,15.3752,15.25,15.3752,1.2764,192800
1992-06-22,15.5,15.6252,15.1252,15.5,1.2868,954400
1992-06-23,15.75,16,15.6252,15.75,1.3075,1403200
1992-06-24,15.75,16,15.5,16,1.3283,1368800
1992-06-25,16,16.25,15.8752,16,1.3283,462400
1992-06-26,15.8752,16.25,15.8752,16.25,1.349,803200
1992-06-29,16.3752,17.25,16.3752,17,1.4113,295200
1992-06-30,16.75,18.25,16.75,18.25,1.5151,545600
1992-07-01,18.5,19.1252,17.3752,19,1.5773,2180000
1992-07-02,19,19.1252,18.3752,18.5,1.5358,1099200
1992-07-06,18.6252,18.8752,18.6252,18.8752,1.5669,1457600
1992-07-07,18.75,18.8752,18.75,18.75,1.5566,692800
1992-07-08,18.5,18.6252,17.6252,18.1252,1.5047,1060800
1992-07-09,18.5,19.25,18.5,19,1.5773,1344000
1992-07-10,19,19.75,19,19.75,1.6396,881600
1992-07-13,19.75,19.75,19.1252,19.5,1.6188,387200
1992-07-14,19.5,19.5,18.75,19,1.5773,321600
1992-07-15,18.75,19,18.3752,18.75,1.5566,313600
1992-07-16,18.8752,18.8752,18.3752,18.8752,1.5669,717600
1992-07-17,18.8752,18.8752,18.75,18.75,1.5566,39200
1992-07-20,18.75,18.75,18.25,18.25,1.5151,44800
1992-07-21,18.25,18.3752,18.25,18.25,1.5151,304000
1992-07-22,18,18.3752,18,18,1.4943,506400
1992-07-23,18,18.25,17.75,18,1.4943,584000
1992-07-24,18,18.25,17.75,17.8752,1.4839,446400
1992-07-27,18.1252,18.5,18.1252,18.25,1.5151,310400
1992-07-28,18.3752,18.5,17.75,18.3752,1.5254,960800
1992-07-29,18.3752,19.1252,18.3752,19,1.5773,1070400
1992-07-30,18.8752,19,18.75,19,1.5773,618400
1992-07-31,19,19.3752,19,19.3752,1.6085,500000
1992-08-03,19.3752,20.25,19.3752,20,1.6603,260000
1992-08-04,20.1252,21,20.1252,20.75,1.7226,676000
1992-08-05,20.75,21.6252,20.6252,21.6252,1.7952,204800
1992-08-06,21.3752,21.6252,21,21.25,1.7641,551200
1992-08-07,21,21.8752,21,21.75,1.8056,625600
1992-08-10,21.75,21.75,20.25,21,1.7434,549600
1992-08-11,21.25,22.5,21,22.5,1.8679,171200
1992-08-12,22.5,22.5,21.25,21.5,1.7849,411200
1992-08-13,21.6252,21.75,21.25,21.25,1.7641,424000
1992-08-14,21.3752,21.3752,20.75,21.1252,1.7537,640800
1992-08-17,21,21.6252,21,21.6252,1.7952,397600
1992-08-18,21.8752,21.8752,21.6252,21.75,1.8056,68000
1992-08-19,21.5,21.75,21.5,21.6252,1.7952,105600
1992-08-20,22,22,21.75,21.8752,1.816,431200
1992-08-21,21.8752,22.25,21.75,21.75,1.8056,260000
1992-08-24,21.5,21.5,21.1252,21.1252,1.7537,38400
1992-08-25,21.1252,21.1252,20.25,20.75,1.7226,288000
1992-08-26,20.8752,21.3752,20.6252,21.3752,1.7745,264800
1992-08-27,21.6252,22,21.5,21.5,1.7849,188800
1992-08-28,21.3752,21.75,21.3752,21.6252,1.7952,24800
1992-08-31,21.8752,22.25,21.75,21.75,1.8056,241600
1992-09-01,21.6252,23.25,21.6252,23,1.9094,284000
1992-09-02,23,23.75,22.75,23.75,1.9717,565600
1992-09-03,24,25,23.75,23.8752,1.982,1440800
1992-09-04,24,24,23.25,23.3752,1.9405,197600
1992-09-08,23.75,24,23.6252,24,1.9924,85600
1992-09-09,24,24,23.75,24,1.9924,700800
1992-09-10,24.25,25.25,24.25,24.5,2.0339,200800
1992-09-11,24.3752,24.3752,24,24.25,2.0132,575200
1992-09-14,24.5,24.5,24.1252,24.25,2.0132,142400
1992-09-15,24.5,24.5,24.1252,24.25,2.0132,444800
1992-09-16,24.25,24.75,24.25,24.5,2.0339,76800
1992-09-17,24.75,25,24.3752,25,2.0754,80800
1992-09-18,25,25,24.6252,24.75,2.0547,47200
1992-09-21,24.75,24.75,24.5,24.5,2.0339,600800
1992-09-22,24.5,24.8752,24.5,24.6252,2.0443,109600
1992-09-23,24.6252,24.75,24.5,24.75,2.0547,76000
1992-09-24,24.8752,25,24.8752,25,2.0754,112800
1992-09-25,25,25,24.5,24.5,2.0339,386400
1992-09-28,24.3752,24.3752,22.25,22.5,1.8679,349600
1992-09-29,22.5,22.75,20.75,22.5,1.8679,803200
1992-09-30,22.75,23,22.5,22.75,1.8886,522400
1992-10-01,22.5,23.5,21.5,23.5,1.9509,768800
1992-10-02,23.75,24.1252,23.5,23.6252,1.9613,233600
1992-10-05,23.3752,23.3752,21.25,22.1252,1.8368,255200
1992-10-06,22.25,23.25,22.25,23.25,1.9301,384000
1992-10-07,23.5,23.8752,23.5,23.5,1.9509,584800
1992-10-08,23.75,24,23.25,24,1.9924,282400
1992-10-09,24,24.25,23.75,23.75,1.9717,295200
1992-10-12,24,24.5,24,24.25,2.0132,20800
1992-10-13,24,24.75,24,24.6252,2.0443,68000
1992-10-14,24.75,24.75,24,24,1.9924,34400
1992-10-15,24,24.25,23.75,24.1252,2.0028,27200
1992-10-16,24.3752,24.6252,24.1252,24.3752,2.0235,43200
1992-10-19,24.1252,25,24,25,2.0754,359200
1992-10-20,25.25,26,25.25,25.5,2.1169,157600
1992-10-21,25.75,25.75,25.5,25.5,2.1169,38400
1992-10-22,25.6252,26,25.5,26,2.1584,76000
1992-10-23,26.25,26.75,25.3752,25.3752,2.1066,208800
1992-10-26,25.6252,26.25,25.6252,26.25,2.1792,61600
1992-10-27,26.25,27,26.25,27,2.2415,157600
1992-10-28,27,27.1252,26.8752,26.8752,2.2311,608800
1992-10-29,27.6252,27.75,26.6252,26.6252,2.2103,230400
1992-10-30,26.75,26.75,25.5,25.75,2.1377,205600
1992-11-02,26,26.5,26,26.5,2.2,19200
1992-11-03,26.5,27.25,26.5,27.25,2.2622,151200
1992-11-04,27.5,27.5,27,27,2.2415,160000
1992-11-05,27.5,28.75,27.1252,28.6252,2.3764,596800
1992-11-06,28.6252,30.25,28.6252,29.8752,2.4801,1281600
1992-11-09,29.6252,32,29.6252,31.75,2.6358,2169600
1992-11-10,31.5,31.75,31,31.5,2.615,1035200
1992-11-11,30.75,31.25,30.5,30.5,2.532,318400
1992-11-12,30.6252,30.6252,28.75,29.5,2.449,988800
1992-11-13,29.75,30.75,29.6252,30.5,2.532,171200
1992-11-16,30.75,32,30.5,30.75,2.5528,603200
1992-11-17,30.75,30.75,30.5,30.5,2.532,68000
1992-11-18,30.6252,30.75,30.3752,30.6252,2.5424,221600
1992-11-19,30.8752,31.8752,30.8752,31.6252,2.6254,85600
1992-11-20,31.6252,32,31.5,31.5,2.615,199200
1992-11-23,31.6252,31.6252,30.5,30.5,2.532,87200
1992-11-24,30.75,30.75,28.5,29.5,2.449,452800
1992-11-25,29.75,30.25,29.5,29.8752,2.4801,320800
1992-11-27,30,30.25,29.8752,29.8752,2.4801,48000
1992-11-30,30,30.3752,29.6252,29.8752,2.4801,105600
1992-12-01,29.8752,29.8752,29.25,29.25,2.4282,46400
1992-12-02,29.3752,29.3752,27.75,28,2.3245,376000
1992-12-03,28.25,28.5,27.5,27.6252,2.2933,162400
1992-12-04,27.5,28.5,27.3752,28.25,2.3452,752800
1992-12-07,29,29.5,29,29.1252,2.4179,193600
1992-12-08,29.25,29.8752,29,29.75,2.4698,148000
1992-12-09,29.8752,30,29.5,30,2.4905,300000
1992-12-10,30.25,30.25,29.75,29.8752,2.4801,80000
1992-12-11,29.75,30.25,29.6252,30.25,2.5113,171200
1992-12-14,30.3752,30.75,30,30.75,2.5528,128000
1992-12-15,30.75,30.8752,30.5,30.8752,2.5632,62400
1992-12-16,30.8752,30.8752,30,30.1252,2.5009,55200
1992-12-17,30.1252,30.1252,30,30,2.4905,8000
1992-12-18,30.1252,30.1252,29.3752,29.5,2.449,282400
1992-12-21,29.3752,29.3752,28.75,29,2.4075,179200
1992-12-22,29.25,29.3752,29.1252,29.1252,2.4179,36800
1992-12-23,29.1252,29.3752,29,29.1252,2.4179,180800
1992-12-24,28.8752,28.8752,28.8752,28.8752,2.3971,58400
1992-12-28,29.1252,29.3752,28.75,29.25,2.4282,286400
1992-12-29,29.5,29.5,29.1252,29.3752,2.4386,40000
1992-12-30,29.3752,29.75,29.3752,29.75,2.4698,11200
1992-12-31,29.5,30,29.5,30,2.4905,44800
1993-01-04,29.8752,29.8752,28.5,28.5,2.366,412800
