,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1980-03-17,60.503,61.5,60.503,60.503,0.4525,11600
1,1980-03-18,60.623,60.623,59.123,60.623,0.4534,9500
2,1980-03-19,62.003,62.25,61.125,62.003,0.4637,20800
3,1980-03-20,61.748,62.25,61.628,61.748,0.4618,8000
4,1980-03-21,61.253,61.748,60.998,61.253,0.4581,13000
5,1980-03-24,59.25,60.998,59.003,59.25,0.4431,37500
6,1980-03-25,58.373,59.25,57.998,58.373,0.4366,27400
7,1980-03-26,57.248,58.125,57.248,57.248,0.4282,15200
8,1980-03-27,53.625,56.873,52.875,53.625,0.4011,27100
9,1980-03-28,56.003,56.003,54.128,56.003,0.4189,8000
10,1980-03-31,56.873,57.0,56.123,56.873,0.4254,5200
11,1980-04-01,58.875,58.875,57.128,58.875,0.4404,9800
12,1980-04-02,61.875,62.753,59.123,61.875,0.4628,22200
13,1980-04-03,60.998,61.875,60.998,60.998,0.4563,5000
14,1980-04-07,60.998,61.253,60.503,60.998,0.4563,18400
15,1980-04-08,61.373,61.373,60.998,61.373,0.459,5500
16,1980-04-09,62.498,62.498,61.5,62.498,0.4674,3500
17,1980-04-10,63.623,63.623,63.128,63.623,0.4758,3200
18,1980-04-11,63.75,63.878,63.75,63.75,0.4768,4400
19,1980-04-14,63.248,63.503,63.128,63.248,0.4731,2400
20,1980-04-15,63.248,63.503,63.248,63.248,0.4731,2500
21,1980-04-16,63.75,63.998,63.248,63.75,0.4768,10600
22,1980-04-17,63.503,63.503,63.375,63.503,0.475,15900
23,1980-04-18,63.623,63.623,63.375,63.623,0.4758,8100
24,1980-04-21,63.375,64.125,63.375,63.375,0.474,9800
25,1980-04-22,65.003,65.123,63.998,65.003,0.4862,32900
26,1980-04-23,65.25,66.128,65.25,65.25,0.488,7200
27,1980-04-24,68.753,68.873,65.378,68.753,0.5142,20500
28,1980-04-25,67.5,68.25,66.998,67.5,0.5049,9900
29,1980-04-28,65.753,67.253,65.625,65.753,0.4918,10700
30,1980-04-29,65.873,66.0,65.378,65.873,0.4927,2300
31,1980-04-30,65.378,65.498,65.123,65.378,0.489,10100
32,1980-05-01,65.003,65.753,65.003,65.003,0.4862,9300
33,1980-05-02,65.003,65.25,65.003,65.003,0.4862,6000
34,1980-05-05,65.378,65.378,65.123,65.378,0.489,1400
35,1980-05-06,68.25,68.498,65.873,68.25,0.5104,39100
36,1980-05-07,71.25,72.0,68.25,71.25,0.5329,64600
37,1980-05-08,72.998,75.248,72.0,72.998,0.546,47900
