,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1980-03-17,11.877,12.0,11.877,11.877,0.1649,6500
1,1980-03-18,11.625,11.877,11.625,11.625,0.1614,1800
2,1980-03-19,11.499,11.625,11.499,11.499,0.1596,3000
3,1980-03-20,11.376,11.376,11.25,11.376,0.1579,700
4,1980-03-21,11.376,11.376,11.376,11.376,0.1579,500
5,1980-03-24,11.001,11.499,11.001,11.001,0.1527,900
6,1980-03-25,11.001,11.001,11.001,11.001,0.1527,3400
7,1980-03-26,11.001,11.001,11.001,11.001,0.1527,8500
8,1980-03-27,11.001,11.001,11.001,11.001,0.1527,1600
9,1980-03-28,10.875,11.127,10.875,10.875,0.151,1800
10,1980-03-31,10.875,11.127,10.875,10.875,0.151,1400
11,1980-04-01,10.875,10.875,10.875,10.875,0.151,300
12,1980-04-02,10.749,11.001,10.749,10.749,0.1492,600
13,1980-04-03,10.749,10.749,10.749,10.749,0.1492,200
14,1980-04-07,10.5,10.626,10.5,10.5,0.1457,1800
15,1980-04-08,10.5,10.5,10.377,10.5,0.1457,900
16,1980-04-09,9.999,10.251,9.999,9.999,0.1388,2200
17,1980-04-10,10.125,10.125,9.999,10.125,0.1405,4800
18,1980-04-11,9.999,9.999,9.999,9.999,0.1388,500
19,1980-04-15,9.999,9.999,9.999,9.999,0.1388,300
20,1980-04-16,9.999,10.251,9.999,9.999,0.1388,1000
21,1980-04-17,10.875,10.875,10.251,10.875,0.151,5600
22,1980-04-18,11.001,11.001,11.001,11.001,0.1527,100
23,1980-04-21,10.626,11.001,10.626,10.626,0.1475,1300
24,1980-04-22,11.25,11.25,10.749,11.25,0.1562,7600
25,1980-04-24,11.127,11.127,11.001,11.127,0.1545,1600
26,1980-04-25,11.001,11.001,11.001,11.001,0.1527,1100
27,1980-04-28,11.001,11.127,11.001,11.001,0.1527,1100
28,1980-04-29,10.875,10.875,10.875,10.875,0.151,500
29,1980-04-30,11.25,11.25,11.001,11.25,0.1562,1400
30,1980-05-01,11.751,11.877,11.499,11.751,0.1631,800
31,1980-05-02,11.877,12.0,11.877,11.877,0.1649,200
32,1980-05-06,12.0,12.0,12.0,12.0,0.1666,1400
33,1980-05-07,12.375,12.375,12.249,12.375,0.1718,1500
