Date,Open,High,Low,Close,Adjusted_close,Volume
1980-03-17,11.877,12,11.877,11.877,0.1649,6500
1980-03-18,11.625,11.877,11.625,11.625,0.1614,1800
1980-03-19,11.499,11.625,11.499,11.499,0.1596,3000
1980-03-20,11.376,11.376,11.25,11.376,0.1579,700
1980-03-21,11.376,11.376,11.376,11.376,0.1579,500
1980-03-24,11.001,11.499,11.001,11.001,0.1527,900
1980-03-25,11.001,11.001,11.001,11.001,0.1527,3400
1980-03-26,11.001,11.001,11.001,11.001,0.1527,8500
1980-03-27,11.001,11.001,11.001,11.001,0.1527,1600
1980-03-28,10.875,11.127,10.875,10.875,0.151,1800
1980-03-31,10.875,11.127,10.875,10.875,0.151,1400
1980-04-01,10.875,10.875,10.875,10.875,0.151,300
1980-04-02,10.749,11.001,10.749,10.749,0.1492,600
1980-04-03,10.749,10.749,10.749,10.749,0.1492,200
1980-04-07,10.5,10.626,10.5,10.5,0.1457,1800
1980-04-08,10.5,10.5,10.377,10.5,0.1457,900
1980-04-09,9.999,10.251,9.999,9.999,0.1388,2200
1980-04-10,10.125,10.125,9.999,10.125,0.1405,4800
1980-04-11,9.999,9.999,9.999,9.999,0.1388,500
1980-04-15,9.999,9.999,9.999,9.999,0.1388,300
1980-04-16,9.999,10.251,9.999,9.999,0.1388,1000
1980-04-17,10.875,10.875,10.251,10.875,0.151,5600
1980-04-18,11.001,11.001,11.001,11.001,0.1527,100
1980-04-21,10.626,11.001,10.626,10.626,0.1475,1300
1980-04-22,11.25,11.25,10.749,11.25,0.1562,7600
1980-04-24,11.127,11.127,11.001,11.127,0.1545,1600
1980-04-25,11.001,11.001,11.001,11.001,0.1527,1100
1980-04-28,11.001,11.127,11.001,11.001,0.1527,1100
1980-04-29,10.875,10.875,10.875,10.875,0.151,500
1980-04-30,11.25,11.25,11.001,11.25,0.1562,1400
1980-05-01,11.751,11.877,11.499,11.751,0.1631,800
1980-05-02,11.877,12,11.877,11.877,0.1649,200
1980-05-06,12,12,12,12,0.1666,1400
1980-05-07,12.375,12.375,12.249,12.375,0.1718,1500
1980-05-08,12.126,12.126,12,12.126,0.1683,11400
1980-05-09,11.751,12.126,11.751,11.751,0.1631,10000
1980-05-13,11.499,11.625,11.499,11.499,0.1596,300
1980-05-14,11.625,11.625,11.625,11.625,0.1614,300
1980-05-15,11.499,11.499,11.499,11.499,0.1596,300
1980-05-16,11.25,11.376,11.25,11.25,0.1562,1200
1980-05-19,11.127,11.25,11.127,11.127,0.1545,1300
1980-05-20,11.376,11.376,11.127,11.376,0.1579,800
1980-05-21,11.376,11.499,11.376,11.376,0.1579,1500
1980-05-22,11.25,11.25,11.127,11.25,0.1562,5300
1980-05-23,11.127,11.127,11.127,11.127,0.1545,2400
1980-05-27,10.749,11.127,10.749,10.749,0.1492,12500
1980-05-28,11.25,11.25,11.001,11.25,0.1562,2100
1980-05-29,11.376,11.499,11.376,11.376,0.1579,1400
1980-05-30,11.751,11.751,11.25,11.751,0.1631,1600
1980-06-02,11.376,11.751,11.376,11.376,0.1579,900
1980-06-03,11.127,11.25,11.127,11.127,0.1545,1200
1980-06-04,11.127,11.127,11.001,11.127,0.1545,1200
1980-06-05,11.127,11.127,11.127,11.127,0.1545,1100
1980-06-06,11.376,11.499,11.376,11.376,0.1579,2100
1980-06-09,11.127,11.376,11.127,11.127,0.1545,1200
1980-06-10,11.001,11.499,11.001,11.001,0.1527,2400
1980-06-11,11.127,11.127,10.875,11.127,0.1545,400
1980-06-12,11.001,11.001,11.001,11.001,0.1527,100
1980-06-13,11.001,11.001,11.001,11.001,0.1527,100
1980-06-16,11.127,11.25,11.127,11.127,0.1545,700
1980-06-17,11.499,11.499,11.001,11.499,0.1596,4600
