,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1981-12-31,40.6249,41.2498,40.0,41.1249,3.2608,180779
1,1982-01-04,40.6249,41.1249,40.0,40.2498,3.1914,80864
2,1982-01-05,39.6249,40.0,39.2502,39.2502,3.1122,152413
3,1982-01-06,38.7502,39.5,38.0,38.5,3.0527,364098
4,1982-01-07,38.5,38.8751,38.0,38.7502,3.0725,362405
5,1982-01-08,38.0,38.2498,37.7498,38.0,3.013,270533
6,1982-01-11,37.0,38.0,35.8751,35.8751,2.8446,453853
7,1982-01-12,36.3751,36.8751,35.7498,36.8751,2.9239,175699
8,1982-01-13,36.5,37.0,36.0,36.3751,2.8842,154953
9,1982-01-14,36.1249,36.2502,35.8751,36.2502,2.8743,262913
10,1982-01-15,36.0,36.2502,35.6249,36.2502,2.8743,393734
11,1982-01-18,36.0,36.2502,35.7498,36.2502,2.8743,83827
12,1982-01-19,36.1249,36.6249,35.5,35.7498,2.8346,574090
13,1982-01-20,35.0,35.8751,34.0,34.2502,2.7157,791279
14,1982-01-21,33.3751,34.6249,32.0,32.1249,2.5472,296782
15,1982-01-22,32.1249,32.7498,31.5,31.5,2.4977,690940
16,1982-01-25,30.6249,31.1249,30.0,30.7502,2.4382,483489
17,1982-01-26,31.2498,31.7502,30.7502,31.0,2.458,330652
18,1982-01-27,31.8751,32.5,31.1249,32.3751,2.567,201948
19,1982-01-28,34.0,35.2498,32.6249,35.2498,2.795,270957
20,1982-01-29,35.0,35.6249,34.2502,35.5,2.8148,206181
21,1982-02-01,34.0,34.7498,33.2502,33.5,2.6562,266300
22,1982-02-02,34.0,34.5,33.5,34.2502,2.7157,202371
23,1982-02-03,34.0,34.2502,33.7498,33.7498,2.676,37680
24,1982-02-04,33.5,33.7498,33.2502,33.6249,2.6661,347163
25,1982-02-05,34.3751,34.8751,33.8751,34.3751,2.7256,174852
26,1982-02-08,34.1249,34.7498,33.5,33.7498,2.676,85521
27,1982-02-09,33.6249,33.8751,33.2502,33.5,2.6562,120237
28,1982-02-10,34.1249,34.5,33.6249,33.8751,2.686,80864
29,1982-02-11,33.7498,34.0,33.5,34.0,2.6959,76207
30,1982-02-12,34.2502,34.5,33.8751,34.1249,2.7058,234547
31,1982-02-16,33.6249,33.8751,33.2502,33.6249,2.6661,246825
32,1982-02-17,34.1249,34.3751,33.8751,34.1249,2.7058,215919
33,1982-02-18,34.2502,34.5,34.0,34.1249,2.7058,185859
34,1982-02-19,33.6249,34.0,33.1249,33.2502,2.6364,530483
35,1982-02-22,33.5,34.0,33.0,33.0,2.6166,106689
36,1982-02-23,33.0,33.3751,32.6249,33.3751,2.6463,127434
37,1982-02-24,32.6249,33.0,32.1249,33.0,2.6166,372989
38,1982-02-25,33.0,33.2502,32.7498,32.8751,2.6067,265876
39,1982-02-26,32.6249,32.8751,32.3751,32.5,2.5769,163844
