,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1983-08-01,0.0,3.02,0.0,3.02,1.5696,188700
1,1983-08-02,0.0,3.02,0.0,2.96,1.5385,240300
2,1983-08-03,0.0,2.96,0.0,2.96,1.5385,80400
3,1983-08-04,0.0,2.96,0.0,2.88,1.4969,128700
4,1983-08-05,0.0,2.88,0.0,2.88,1.4969,90000
5,1983-08-08,0.0,2.84,0.0,2.82,1.4657,37200
6,1983-08-09,0.0,2.82,0.0,2.82,1.4657,84600
7,1983-08-10,0.0,2.82,0.0,2.66,1.3825,70800
8,1983-08-11,0.0,2.72,0.0,2.68,1.3929,63000
9,1983-08-12,0.0,2.7,0.0,2.64,1.3721,52200
10,1983-08-15,0.0,2.68,0.0,2.58,1.3409,63900
11,1983-08-16,0.0,2.56,0.0,2.5,1.2994,96300
12,1983-08-17,0.0,2.48,0.0,2.48,1.289,60000
13,1983-08-18,0.0,2.48,0.0,2.46,1.2786,42300
14,1983-08-19,0.0,2.46,0.0,2.44,1.2682,33900
15,1983-08-22,0.0,2.44,0.0,2.44,1.2682,16200
16,1983-08-23,0.0,2.44,0.0,2.32,1.2058,73200
17,1983-08-24,0.0,2.28,0.0,2.2,1.1434,130800
18,1983-08-25,0.0,2.22,0.0,2.16,1.1227,57900
19,1983-08-26,0.0,2.16,0.0,2.16,1.1227,69900
20,1983-08-29,0.0,2.28,0.0,2.26,1.1746,32400
21,1983-08-30,0.0,2.32,0.0,2.28,1.185,38400
22,1983-08-31,0.0,2.38,0.0,2.38,1.237,43200
23,1983-09-01,0.0,2.38,0.0,2.34,1.2162,26400
24,1983-09-02,0.0,2.36,0.0,2.36,1.2266,20400
25,1983-09-06,0.0,2.36,0.0,2.32,1.2058,24000
26,1983-09-07,0.0,2.34,0.0,2.3,1.1954,26400
27,1983-09-08,0.0,2.32,0.0,2.3,1.1954,13200
28,1983-09-09,0.0,2.3,0.0,2.3,1.1954,12600
29,1983-09-12,0.0,2.3,0.0,2.24,1.1642,23100
30,1983-09-13,0.0,2.16,0.0,2.14,1.1123,67200
31,1983-09-14,0.0,2.18,0.0,2.18,1.1331,41100
32,1983-09-15,0.0,2.18,0.0,2.14,1.1123,8700
33,1983-09-16,0.0,2.14,0.0,2.14,1.1123,18300
34,1983-09-19,0.0,2.16,0.0,2.12,1.1019,16200
35,1983-09-20,0.0,2.16,0.0,2.14,1.1123,50700
36,1983-09-21,0.0,2.16,0.0,2.1,1.0915,32700
37,1983-09-22,0.0,2.12,0.0,2.12,1.1019,15000
38,1983-09-23,0.0,2.12,0.0,2.1,1.0915,14700
39,1983-09-26,0.0,2.12,0.0,2.08,1.0811,15000
40,1983-09-27,0.0,2.08,0.0,2.04,1.0603,433200
41,1983-09-28,0.0,2.04,0.0,1.98,1.0291,53100
42,1983-09-29,0.0,1.98,0.0,1.96,1.0187,90300
43,1983-09-30,0.0,1.96,0.0,1.92,0.9979,43800
44,1983-10-03,0.0,1.96,0.0,1.94,1.0083,26400
45,1983-10-04,0.0,2.02,0.0,1.98,1.0291,30300
46,1983-10-05,0.0,2.02,0.0,2.02,1.0499,18600
47,1983-10-06,0.0,2.1,0.0,2.08,1.0811,55800
48,1983-10-07,0.0,2.12,0.0,2.12,1.1019,39900
49,1983-10-10,0.0,2.12,0.0,2.12,1.1019,6300
50,1983-10-11,0.0,2.12,0.0,2.08,1.0811,30300
51,1983-10-12,0.0,2.14,0.0,2.12,1.1019,19800
52,1983-10-13,0.0,2.1,0.0,2.06,1.0707,19800
53,1983-10-14,0.0,2.06,0.0,2.04,1.0603,12300
54,1983-10-17,0.0,2.04,0.0,2.02,1.0499,26400
55,1983-10-18,0.0,1.98,0.0,1.94,1.0083,32700
56,1983-10-19,0.0,1.96,0.0,1.92,0.9979,50400
57,1983-10-20,0.0,1.92,0.0,1.88,0.9771,30300
58,1983-10-21,0.0,1.9,0.0,1.86,0.9667,20400
59,1983-10-24,0.0,1.86,0.0,1.86,0.9667,54000
60,1983-10-25,0.0,1.88,0.0,1.84,0.9563,33900
61,1983-10-26,0.0,1.9,0.0,1.84,0.9563,101100
62,1983-10-27,0.0,1.84,0.0,1.8,0.9355,27000
63,1983-10-28,0.0,1.82,0.0,1.78,0.9252,40800
64,1983-10-31,0.0,1.8,0.0,1.8,0.9355,45900
65,1983-11-01,0.0,1.76,0.0,1.68,0.8732,68700
66,1983-11-02,0.0,1.76,0.0,1.74,0.9044,61200
67,1983-11-03,0.0,1.74,0.0,1.74,0.9044,28800
68,1983-11-04,0.0,1.72,0.0,1.72,0.894,24000
69,1983-11-07,0.0,1.7,0.0,1.68,0.8732,60000
70,1983-11-08,0.0,1.7,0.0,1.66,0.8628,41100
71,1983-11-09,0.0,1.68,0.0,1.64,0.8524,66300
72,1983-11-10,0.0,1.66,0.0,1.64,0.8524,43800
73,1983-11-11,0.0,1.66,0.0,1.64,0.8524,75000
74,1983-11-14,0.0,1.74,0.0,1.72,0.894,232200
75,1983-11-15,0.0,1.82,0.0,1.82,0.9459,393000
76,1983-11-16,0.0,2.02,0.0,2.0,1.0395,324600
77,1983-11-17,0.0,2.12,0.0,2.12,1.1019,188400
78,1983-11-18,0.0,2.14,0.0,2.08,1.0811,132300
79,1983-11-21,0.0,2.16,0.0,2.1,1.0915,192300
80,1983-11-22,0.0,2.18,0.0,2.16,1.1227,175800
81,1983-11-23,0.0,2.22,0.0,2.12,1.1019,110400
82,1983-11-25,0.0,2.14,0.0,2.12,1.1019,51000
83,1983-11-28,0.0,2.14,0.0,2.1,1.0915,41100
84,1983-11-29,0.0,2.12,0.0,2.12,1.1019,48300
85,1983-11-30,0.0,2.14,0.0,2.08,1.0811,25200
86,1983-12-01,0.0,2.14,0.0,2.1,1.0915,52800
87,1983-12-02,0.0,2.1,0.0,2.0,1.0395,43200
88,1983-12-05,0.0,1.96,0.0,1.9,0.9875,75000
