Date,Open,High,Low,Close,Adjusted_close,Volume
2003-09-11,15.7,16.12,15.7,15.9,15.9,2302400
2003-10-01,15.08,15.76,15.08,15.76,15.76,2375900
2003-10-02,15.76,16.1,15.69,16.03,16.03,2726600
2003-10-03,16.03,16.44,16.03,16.23,16.23,2419000
2003-10-06,16.23,16.23,16.04,16.17,16.17,1749300
2003-10-07,16,16.43,15.9,16.35,16.35,1947500
2003-10-08,16.38,16.38,15.93,16,16,2192000
2003-10-09,16.6,17.45,16.51,17.01,17.01,5479400
2003-10-10,17.0101,17.05,16.5,16.88,16.88,2591000
2003-10-13,17.03,17.44,16.99,17.28,17.28,1117200
2003-10-14,17.13,17.67,17.04,17.53,17.53,2380400
2003-10-15,17.65,17.75,17.28,17.67,17.67,2153500
2003-10-16,17.67,17.75,17.5,17.62,17.62,1329100
2003-10-17,17.67,17.8,17.35,17.39,17.39,1358500
2003-10-20,17.39,17.6,17.22,17.53,17.53,1315900
2003-10-21,17.75,17.83,17.5,17.59,17.59,1896700
2003-10-22,17.59,17.59,16.98,17.12,17.12,1790800
2003-10-23,17,17.17,16.94,17.09,17.09,1409200
2003-10-24,17.09,17.09,16.5,16.99,16.99,1987000
2003-10-27,16.99,17.2,16.7,17.1,17.1,1241200
2003-10-28,17.1,17.43,17.09,17.39,17.39,1762500
2003-10-29,17.35,17.5,17.04,17.39,17.39,1212900
2003-10-30,17.39,17.6,17.13,17.3,17.3,1685500
2003-10-31,17.3,17.7,17.3,17.6,17.6,1474800
2003-11-03,17.6,17.9,17.55,17.79,17.79,1753371
2003-11-04,17.65,17.75,17.4,17.51,17.51,1257010
2003-11-05,17.51,17.7,17.2,17.52,17.52,1221600
2003-11-06,17.52,17.99,17.25,17.96,17.96,2630600
2003-11-07,17.96,18,17.63,17.65,17.65,1437100
2003-11-10,17.66,17.67,17.42,17.54,17.54,1235700
2003-11-11,17.54,17.76,17.2,17.4,17.4,1482100
2003-11-12,17.4,17.66,17.3,17.66,17.66,1489800
2003-11-13,17.51,18,17.3,18,18,2359800
2003-11-14,17.9,18.46,17.6,17.8,17.8,2656300
2003-11-17,17.8,17.8,17.22,17.45,17.45,1167600
2003-11-18,17.5,17.73,17.45,17.45,17.45,1377200
2003-11-19,17.42,17.56,17.3,17.49,17.49,2681300
2003-11-20,17.74,18.08,17.55,17.85,17.85,3311500
2003-11-21,18,18.11,17.63,17.74,17.74,6478700
2003-11-24,17.85,17.98,17.75,17.8,17.8,2586300
2003-11-25,17.85,18.19,17.79,18,18,2703000
2003-11-26,18.1,18.1,17.51,17.71,17.71,1260100
2003-11-28,17.77,17.98,17.72,17.92,17.92,550100
2003-12-01,18.09,18.19,17.93,18.14,18.14,2724200
