,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,21.0,21.1247,20.5002,21.0,0.799,1699481
1,1984-11-06,21.375,21.6257,21.0,21.375,0.8131,2218893
2,1984-11-07,21.0,21.6257,21.0,21.0,0.799,5298920
3,1984-11-08,20.7509,20.7509,20.5002,20.7509,0.79,544472
4,1984-11-09,20.3756,21.2504,20.3756,20.3756,0.7757,567253
5,1984-11-12,19.8746,20.3756,19.6254,19.8746,0.7568,1931850
6,1984-11-13,19.6254,19.6254,19.3751,19.6254,0.7472,735834
7,1984-11-14,19.7499,19.8746,19.6254,19.7499,0.7517,3084581
8,1984-11-15,20.1252,20.1252,19.7499,20.1252,0.7666,947700
9,1984-11-16,19.3751,20.3756,18.9998,19.3751,0.7377,6959673
10,1984-11-19,19.5008,19.8746,19.2504,19.5008,0.7426,3437690
11,1984-11-20,19.3751,19.7499,19.3751,19.3751,0.7377,1257525
12,1984-11-21,19.3751,19.5008,18.7506,19.3751,0.7377,4485627
13,1984-11-23,20.7509,20.7509,19.6254,20.7509,0.79,3998109
14,1984-11-26,20.3756,21.4995,20.3756,20.3756,0.7757,3713343
15,1984-11-27,21.2504,21.375,20.1252,21.2504,0.8086,1717706
16,1984-11-28,20.8755,21.4995,20.8755,20.8755,0.7955,1569628
17,1984-11-29,20.2499,20.6247,20.2499,20.2499,0.7725,3166593
18,1984-11-30,20.2499,20.3756,20.0007,20.2499,0.7725,822403
19,1984-12-03,20.3756,20.3756,20.1252,20.3756,0.7769,1006931
20,1984-12-04,20.2499,20.3756,20.0007,20.2499,0.7725,795065
21,1984-12-05,20.0007,20.3756,19.8746,20.0007,0.7628,781397
22,1984-12-06,20.0007,20.0007,19.8746,20.0007,0.7628,879356
23,1984-12-07,20.2499,20.5002,19.8746,20.2499,0.7725,2843099
24,1984-12-10,20.6247,20.7509,20.3756,20.6247,0.7866,464737
25,1984-12-11,20.6247,21.1247,20.6247,20.6247,0.7866,1455722
26,1984-12-12,22.3761,22.3761,21.1247,22.3761,0.8524,10841595
27,1984-12-13,21.8748,22.3761,21.8748,21.8748,0.8342,1116282
28,1984-12-14,21.8748,22.1252,21.8748,21.8748,0.8342,3656390
29,1984-12-17,21.8748,22.1252,21.8748,21.8748,0.8342,822403
