,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1998-03-31,537.15,555.0,372.15,537.15,537.15,0
1,1998-04-01,596.25,628.125,540.0,556.875,556.875,1831400
2,1998-04-02,562.5,565.35,517.95,524.1,524.1,863600
3,1998-04-03,525.0,525.0,465.9,468.75,468.75,961600
4,1998-04-06,491.25,493.125,414.375,461.25,461.25,987100
5,1998-04-07,473.4,508.125,449.1,486.6,486.6,586500
6,1998-04-08,488.4,489.375,482.85,483.75,483.75,286100
7,1998-04-09,487.5,489.375,473.4,476.25,476.25,226900
8,1998-04-13,487.5,489.375,453.75,455.625,455.625,290200
9,1998-04-14,468.75,480.0,463.125,476.25,476.25,400200
10,1998-04-15,483.75,489.375,470.625,487.5,487.5,746600
11,1998-04-16,487.5,488.4,480.9,487.95,487.95,448200
12,1998-04-17,489.375,502.5,486.6,502.5,502.5,621000
13,1998-04-20,510.0,522.15,498.75,515.625,515.625,421600
14,1998-04-21,514.65,516.6,505.35,510.0,510.0,862900
15,1998-04-22,508.125,509.1,498.75,499.65,499.65,145800
16,1998-04-23,503.4,503.4,472.5,478.125,478.125,234900
17,1998-04-24,480.0,484.65,468.75,474.375,474.375,204800
18,1998-04-27,470.625,470.625,451.875,457.95,457.95,274900
19,1998-04-28,468.75,468.75,451.875,451.875,451.875,148300
20,1998-04-29,466.875,472.5,451.875,457.95,457.95,241300
21,1998-04-30,466.875,487.05,461.25,465.0,465.0,866100
22,1998-05-01,474.375,474.375,454.65,463.125,463.125,234600
23,1998-05-04,466.875,474.375,463.125,473.4,473.4,77600
24,1998-05-05,472.5,476.25,463.125,468.75,468.75,86000
25,1998-05-06,476.25,476.25,461.25,461.25,461.25,85900
26,1998-05-07,467.85,476.25,442.5,448.575,448.575,546100
27,1998-05-08,449.1,457.5,448.125,452.85,452.85,226000
28,1998-05-11,451.875,457.5,446.25,448.575,448.575,124200
29,1998-05-12,450.0,451.875,431.25,435.9,435.9,294500
30,1998-05-13,436.875,438.75,416.25,421.875,421.875,468700
31,1998-05-14,420.45,420.45,384.375,394.65,394.65,606800
32,1998-05-15,382.5,390.0,367.5,384.375,384.375,811800
33,1998-05-18,386.25,388.125,356.25,360.0,360.0,946200
34,1998-05-19,360.9,381.6,358.125,375.0,375.0,858400
35,1998-05-20,376.875,376.875,369.375,371.7,371.7,263700
36,1998-05-21,373.125,385.35,372.15,376.425,376.425,281800
37,1998-05-22,376.875,378.75,374.1,375.9,375.9,191100
38,1998-05-26,382.05,382.5,366.6,374.1,374.1,311300
39,1998-05-27,373.125,375.0,363.3,370.35,370.35,257900
40,1998-05-28,371.25,378.75,363.75,375.9,375.9,190100
41,1998-05-29,377.85,377.85,371.25,375.45,375.45,212000
42,1998-06-01,374.1,374.1,363.75,365.625,365.625,230200
