Date,Open,High,Low,Close,Adjusted_close,Volume
1997-12-31,18.155,19,18.155,19,19,934000
1998-01-02,18.875,18.97,18.315,18.5,18.5,689600
1998-01-05,18.875,18.875,18.69,18.78,18.78,1103000
1998-01-06,18.78,18.78,18.25,18.315,18.315,674400
1998-01-07,18.31,18.31,17.94,18.25,18.25,427400
1998-01-08,18.155,18.75,18.155,18.69,18.69,448200
1998-01-09,18.69,18.69,18,18,18,383600
1998-01-12,17.75,18.065,17.5,17.875,17.875,441200
1998-01-13,17.875,19,17.875,19,19,931800
1998-01-14,18.845,19.065,18.815,18.97,18.97,1346600
1998-01-15,18.875,18.875,18.47,18.595,18.595,793000
1998-01-16,18.565,18.69,18.5,18.655,18.655,472600
1998-01-20,18.655,19.25,18.625,19,19,427800
1998-01-21,18.94,19,18.315,18.47,18.47,776000
1998-01-22,18.065,18.5,18.065,18.28,18.28,248400
1998-01-23,18.875,18.875,18,18.375,18.375,521400
1998-01-26,19,19.375,18.19,18.19,18.19,520800
1998-01-27,18.19,18.565,17.94,18.375,18.375,581200
1998-01-28,18.405,18.94,18.19,18.905,18.905,845800
1998-01-29,19,19.75,18.97,19.565,19.565,771000
1998-01-30,19.44,19.69,19.345,19.53,19.53,500600
1998-02-02,19.53,19.985,19.53,19.905,19.905,718600
1998-02-03,20,20.315,19.94,20.315,20.315,1174800
1998-02-04,20.22,20.78,20.155,20.75,20.75,1012600
1998-02-05,20.75,20.94,20.69,20.72,20.72,1088800
1998-02-06,20.72,20.72,19.94,19.94,19.94,768000
1998-02-09,19.94,20.22,19.875,20.19,20.19,503200
1998-02-10,20.19,21.28,20.03,21.19,21.19,885800
1998-02-11,21.065,21.095,20.47,20.47,20.47,750800
1998-02-12,20.405,20.565,20,20.345,20.345,730800
1998-02-13,20.405,20.595,20.25,20.565,20.565,1418600
1998-02-17,20.875,21.125,20.78,21.125,21.125,2107600
1998-02-18,21.125,21.315,20.94,21.28,21.28,819800
1998-02-19,21.47,21.47,21,21.345,21.345,499200
1998-02-20,21.375,21.375,21.125,21.315,21.315,725800
1998-02-23,21.25,21.815,21.25,21.25,21.25,696800
1998-02-24,21.25,21.5,20.845,21,21,484800
1998-02-25,21,21.625,20.97,21.5,21.5,813800
1998-02-26,21.405,21.595,21.315,21.44,21.44,322000
1998-02-27,21.5,21.78,21.315,21.375,21.375,799600
1998-03-02,21.44,21.94,21.405,21.815,21.815,821200
1998-03-03,21.75,21.905,21.375,21.5,21.5,654000
1998-03-04,21.565,21.78,21.5,21.655,21.655,288400
1998-03-05,21.375,21.595,21,21,21,515400
1998-03-06,21.25,22.315,21.25,22.125,22.125,378400
1998-03-09,21.905,21.905,20.875,21.315,21.315,780000
1998-03-10,21.5,22.565,21.375,22.565,22.565,920600
1998-03-11,22.5,22.5,21.815,22.19,22.19,933600
1998-03-12,22.22,22.565,22.19,22.47,22.47,405000
1998-03-13,22.47,22.47,21.97,22.47,22.47,407200
1998-03-16,22.405,22.405,21.875,21.875,21.875,352000
1998-03-17,21.75,21.94,21.53,21.78,21.78,284800
1998-03-18,21.905,22.565,21.905,22.5,22.5,471800
1998-03-19,22.5,22.565,22.19,22.19,22.19,6850800
1998-03-20,22.405,22.44,22.19,22.315,22.315,933400
1998-03-23,22.25,22.44,22.22,22.315,22.315,990800
1998-03-24,22.315,22.405,22.28,22.315,22.315,444000
1998-03-25,22.19,22.44,21.625,22,22,1008000
1998-03-26,22,22.125,21.75,22,22,1539600
1998-03-27,21.97,22.065,21.69,22,22,500600
1998-03-30,21.815,22,21.72,21.97,21.97,303200
1998-03-31,22,22.625,22,22.565,22.565,896800
1998-04-01,22.53,22.565,22.155,22.345,22.345,669400
1998-04-02,22.25,23,22.095,22.75,22.75,1665400
1998-04-03,22.875,22.94,22.44,22.565,22.565,976000
1998-04-06,22.565,22.75,22.22,22.22,22.22,454000
1998-04-07,22.22,22.25,21.875,22.25,22.25,691200
1998-04-08,22.19,22.5,22,22.5,22.5,1786600
1998-04-09,22.44,22.845,22.315,22.565,22.565,592200
1998-04-13,22.5,22.75,22,22.595,22.595,793200
1998-04-14,22.655,23.125,22.44,22.72,22.72,1232600
1998-04-15,22.72,23.97,22.72,23.905,23.905,1747800
1998-04-16,23.94,23.94,23.47,23.625,23.625,639200
1998-04-17,23.625,24,23.565,23.875,23.875,1173800
1998-04-20,26,29.69,25.625,29.5,29.5,4699400
1998-04-21,29.25,30.375,28.625,30,30,3004800
1998-04-22,28.75,29.94,28.5,29.78,29.78,1274000
1998-04-23,29.25,29.28,28.69,29.065,29.065,825800
1998-04-24,29.065,29.065,28,28.72,28.72,598600
1998-04-27,28.5,28.5,27.375,27.69,27.69,679800
1998-04-28,28.19,28.25,27.905,28.25,28.25,655000
1998-04-29,28.125,29.25,28.125,28.97,28.97,1488800
1998-04-30,29,29.815,28.94,29.03,29.03,1527400
1998-05-01,29.155,29.28,28.375,29.28,29.28,456400
1998-05-04,29.345,29.94,29.25,29.75,29.75,596000
