,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1992-02-05,17.25,18.25,16.5,17.25,5.1303,11325800
1,1992-02-06,16.875,17.25,16.75,16.875,5.0188,5696400
2,1992-02-07,16.875,16.875,15.625,15.625,4.647,1698000
3,1992-02-10,15.75,15.75,15.0,15.125,4.4983,1104400
4,1992-02-11,15.125,15.375,15.125,15.375,4.5727,656200
5,1992-02-12,15.375,16.0,15.25,15.875,4.7214,629600
6,1992-02-13,16.0,16.375,15.875,16.0,4.7585,808200
7,1992-02-14,16.0,16.0,15.625,15.625,4.647,418000
8,1992-02-18,15.75,15.75,15.5,15.625,4.647,687200
9,1992-02-19,15.625,16.0,15.625,16.0,4.7585,638000
10,1992-02-20,16.0,16.0,15.625,15.625,4.647,139000
11,1992-02-21,15.875,15.875,15.75,15.875,4.7214,410600
12,1992-02-24,15.875,16.0,15.75,15.875,4.7214,353800
13,1992-02-25,15.875,15.875,15.25,15.375,4.5727,590400
14,1992-02-26,15.5,15.625,15.125,15.25,4.5355,155200
15,1992-02-27,15.25,15.75,15.25,15.375,4.5727,438000
16,1992-02-28,15.75,15.75,15.5,15.5,4.6098,266600
17,1992-03-02,15.25,15.875,15.25,15.625,4.647,83800
18,1992-03-03,15.5,15.75,15.5,15.75,4.6842,177400
19,1992-03-04,15.75,15.75,15.5,15.5,4.6098,247800
20,1992-03-05,15.625,15.75,15.375,15.375,4.5727,131200
21,1992-03-06,15.375,15.625,15.375,15.625,4.647,453400
22,1992-03-09,15.5,15.625,15.5,15.625,4.647,114000
23,1992-03-10,15.5,15.625,15.5,15.5,4.6098,57800
24,1992-03-11,15.5,15.625,15.375,15.375,4.5727,104200
25,1992-03-12,15.5,15.5,15.375,15.375,4.5727,70800
26,1992-03-13,15.375,15.5,15.375,15.375,4.5727,124800
27,1992-03-16,15.5,15.5,15.25,15.5,4.6098,34600
28,1992-03-17,15.375,15.5,15.375,15.375,4.5727,202200
29,1992-03-18,15.375,15.375,15.125,15.375,4.5727,53000
30,1992-03-19,15.375,15.375,15.0,15.125,4.4983,155600
31,1992-03-20,15.0,15.0,14.25,14.5,4.3124,215200
32,1992-03-23,14.25,14.375,13.75,14.0,4.1637,131600
33,1992-03-24,14.0,14.125,13.5,14.0,4.1637,231200
34,1992-03-25,14.0,15.875,14.0,15.75,4.6842,662000
35,1992-03-26,15.625,15.875,15.25,15.25,4.5355,162600
36,1992-03-27,15.25,15.25,14.625,14.625,4.3496,120600
37,1992-03-30,14.75,14.75,14.375,14.375,4.2753,96200
38,1992-03-31,14.25,14.375,14.125,14.25,4.2381,96400
39,1992-04-01,14.125,14.5,14.125,14.125,4.2009,503600
40,1992-04-02,14.25,15.125,14.25,15.0,4.4611,1363800
41,1992-04-03,14.875,15.0,14.625,14.625,4.3496,308600
42,1992-04-06,14.875,14.875,14.0,14.25,4.2381,440600
43,1992-04-07,14.375,14.625,13.75,13.875,4.1266,134200
44,1992-04-08,13.625,13.75,12.875,13.5,4.015,136600
45,1992-04-09,14.0,14.0,13.0,13.0,3.8663,181200
46,1992-04-10,13.5,13.5,13.0,13.5,4.015,166600
47,1992-04-13,13.625,14.0,13.25,13.875,4.1266,146800
48,1992-04-14,14.125,14.125,13.75,14.0,4.1637,161400
49,1992-04-15,14.0,14.625,13.875,14.25,4.2381,160600
50,1992-04-16,14.125,14.25,13.75,13.875,4.1266,113200
51,1992-04-20,13.875,13.875,13.375,13.375,3.9779,79200
52,1992-04-21,13.25,13.375,12.875,13.0,3.8663,123400
53,1992-04-22,13.0,13.0,12.625,13.0,3.8663,142600
54,1992-04-23,13.0,13.0,11.75,12.0,3.5689,322800
55,1992-04-24,11.875,12.0,11.25,11.625,3.4574,321000
56,1992-04-27,11.5,12.0,11.5,11.75,3.4946,247200
57,1992-04-28,11.75,11.75,11.5,11.625,3.4574,581600
58,1992-04-29,11.5,12.5,11.375,12.5,3.7176,517600
59,1992-04-30,12.75,13.5,12.75,13.375,3.9779,710800
60,1992-05-01,13.875,13.875,13.375,13.375,3.9779,199200
61,1992-05-04,13.5,13.625,13.375,13.625,4.0522,170400
62,1992-05-05,13.625,13.625,13.25,13.375,3.9779,70000
63,1992-05-06,13.375,13.875,13.375,13.625,4.0522,285400
64,1992-05-07,13.75,13.75,13.5,13.625,4.0522,125000
65,1992-05-08,13.5,13.5,12.875,13.0,3.8663,66000
66,1992-05-11,12.875,13.75,12.875,13.75,4.0894,251800
67,1992-05-12,13.75,13.75,13.25,13.25,3.9407,500200
68,1992-05-13,13.375,13.875,12.875,12.875,3.8291,646200
69,1992-05-14,12.875,12.875,12.625,12.75,3.792,223000
70,1992-05-15,12.5,12.75,12.125,12.375,3.6804,643000
71,1992-05-18,12.5,12.5,12.125,12.375,3.6804,320000
72,1992-05-19,12.5,12.625,12.25,12.375,3.6804,576000
73,1992-05-20,12.125,12.25,11.625,12.0,3.5689,2278800
74,1992-05-21,11.875,12.0,11.625,11.875,3.5317,17965200
75,1992-05-22,12.125,12.625,12.125,12.625,3.7548,8355600
76,1992-05-26,12.625,12.625,12.0,12.25,3.6433,3493000
77,1992-05-27,12.375,12.625,12.25,12.5,3.7176,3022800
78,1992-05-28,12.375,12.625,12.375,12.5,3.7176,2718400
79,1992-05-29,12.625,12.875,12.5,12.875,3.8291,2424200
80,1992-06-01,12.75,12.875,12.5,12.75,3.792,3283200
81,1992-06-02,12.625,12.75,12.5,12.75,3.792,2747600
82,1992-06-03,12.75,12.75,12.5,12.625,3.7548,1503000
83,1992-06-04,12.5,12.75,12.5,12.5,3.7176,1942800
84,1992-06-05,12.625,12.625,12.5,12.5,3.7176,1634400
85,1992-06-08,12.5,12.625,12.5,12.625,3.7548,973600
86,1992-06-09,12.625,12.75,12.375,12.5,3.7176,3744800
87,1992-06-10,12.5,12.5,12.125,12.25,3.6433,1095200
